occurrence_no,pres_mode,preservation_quality,common_body_parts,abund_value,abund_unit,class,family,genus,taxon_environment,life_habit,diet,early_interval,late_interval,time_bins,museum,collection_no,age_max,age_min,age_median,age_uncer_range,lng,lat,environment,occurrence_comments,cc,state,county,formation,stratgroup,member,zone,accepted_rank,ref_author,ref_pubyr,reference_no.x,collection_name,collection_subset,collection_aka,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,protected,stratscale,localsection,localbed,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,collection_comments,taxonomy_comments
N84,NA,NA,"an individual seprated from the 11753 b and c based on rigth ilium (four distal humerus, 3 isquiums, one isolated vertebrae, 3 articulated vertebrae, proximal radium and ulna, four proximais de femur, tr?s �lios dois direitos e um esquerdo e um coracoide, um humero proximal e um centro isolado)",NA,NA,Reptilia,Rhynchosauridae,Stenaulorhynchus,terrestrial,"ground dwelling, solitary",herbivore,Anisian,NA,Anisian,SAM-PK-,11753,247.2,242,244.6,5.2,-53.45,-29.56,NA,SAM-PK-11753a,TZ,Tanganyika,-,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N83,NA,NA,lower jaw and humerus,NA,NA,Reptilia,Rhynchosauridae,Mesosuchus,terrestrial,"ground dwelling, solitary",herbivore,Anisian,NA,Anisian,SAM-PK-,7838,247.2,242,244.6,5.2,-53.45,-29.56,NA,SAM-PK-7838,ZA,ECAPE,-,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N82,NA,NA,foot,NA,NA,Reptilia,Rhynchosauridae,Mesosuchus,terrestrial,"ground dwelling, solitary",herbivore,Anisian,NA,Anisian,SAM-PK-,6546,247.2,242,244.6,5.2,-53.45,-29.56,NA,SAM-PK-6546,ZA,ECAPE,-,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N81,NA,NA,maxilla,NA,NA,Reptilia,Rhynchosauridae,Mesosuchus,terrestrial,"ground dwelling, solitary",herbivore,Anisian,NA,Anisian,SAM-PK-,5887,247.2,242,244.6,5.2,-53.45,-29.56,NA,SAM-PK-5887,ZA,ECAPE,-,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N80,NA,NA,partial skull,NA,NA,Reptilia,Rhynchosauridae,Eohyosaurus,terrestrial,"ground dwelling, solitary",herbivore,Anisian,NA,Anisian,SAM-PK-,K11831,247.2,242,244.6,5.2,-53.45,-29.56,NA,SAM-PK-K11831,ZA,FSTATE,-,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N79,NA,NA,right hindlimb,NA,NA,Reptilia,Rhynchosauridae,Mesosuchus,terrestrial,"ground dwelling, solitary",herbivore,Anisian,NA,Anisian,SAM-PK-,7701,247.2,242,244.6,5.2,-53.45,-29.56,NA,SAM-PK-7701,ZA,ECAPE,Aliwal North Commonage,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N78,NA,NA,maxila direita,NA,NA,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,"ground dwelling, solitary",herbivore,Norian,NA,Norian,UFSM,sem numero,227,208.5,217.75,18.5,26.966667,-30.833332,NA,UFSMsem numero,BR,RS,Cerrito,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N77,NA,NA,UFSM 11561 ? um fragmento de dent�rio (que encaixa no UFSM 11562) e o UFSM 11562 cont?m maxila e fragmento de dent�rio,NA,NA,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,"ground dwelling, solitary",herbivore,Norian,NA,Norian,UFSM,"11561, UFSM 11562",227,208.5,217.75,18.5,25.7,-31.35,NA,"UFSM11561, UFSM 11562",BR,RS,Cerrito,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N76,NA,NA,dent�rio com dentes linguais e v?rtebra associada,NA,NA,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,"ground dwelling, solitary",herbivore,Norian,NA,Norian,UFSM,11733,227,208.5,217.75,18.5,26.45,-30.91666667,NA,UFSM11733,BR,RS,Cerrito,Burgersdorp,Beaufort,-,Cynognathus ,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N75,NA,NA,"osso do cranio indet quadrado jugal? (a), maxila (b) e fragmento de arco neural (c)",NA,NA,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,"ground dwelling, solitary",herbivore,Norian,NA,Norian,UFSM,"11672a, b c",227,208.5,217.75,18.5,24.215555,-32.043331,NA,"UFSM11672a, b c",BR,RS,Cerrito,-,-,Beaufort,Cistecephalus ,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
