occurrence_no,common_body_parts,pres_mode,preservation_quality,abund_value,abund_unit,class,order,family,genus,life_habit,diet,collection_no,early_interval,late_interval,time_bins,museum,age_max,age_min,age_median,age_uncer_range,lng,lat,occurrence_comments,cc,state,county,formation,stratgroup,member,zone,accepted_name,accepted_attr,accepted_rank,accepted_no,identified_name,identified_rank,identified_no,difference,ref_author,ref_pubyr,reference_no,collection_name,collection_subset,collection_aka,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,cc.1,protected,stratscale,stratcomments,lithdescript,lithology1,lithadj1,lithification1,lithology2,lithification2,environment,geology_comments,assembl_comps,articulated_parts,associated_parts,rare_body_parts,feed_pred_traces,preservation_comments,collection_type,collection_methods,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,composition,species,municipality,outcrop_details,outcrop_overview,source,ref
N510,cr�nio parcial,NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Massetognathus,NA,NA,87,Ladinian,NA,Ladinian,MMACR,242,237,239.5,5,24.455,-32.9112,MMACR087,BR,RS,Rinc?o do Semi?o ,Abrahamkraal,Beaufort,-,Tapinocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,Candel�ria,Sanga Becker,Pinheiro Area,Museum,
N509,skull,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,0227 T,Ladinian,NA,Ladinian,UFRGS-PV-,242,237,239.5,5,26.23771,-30.407,UFRGS-PV-0227 T,BR,RS,Porto Mariante 2,-,-,-,Lystrosaurus ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pedroanum,Bom Retiro do Sul,Porto Mariante 2,Porto Mariante,Museum,
N508,-,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,0000213 R,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,26.531389,-30.2125,MCT0000213 R,BR,RS,Pinheiro,-,-,-,Lystrosaurus ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oliveirai? pedroanum?,Candel�ria,Sanga do Janguta,Pinheiro Area,Museum,
N507,-,NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Santacruzodon,NA,NA,2751,Carnian,NA,Carnian,MCN-PV,237,227,232,10,-53.45,-29.56,MCN-PV2751,BR,RS,Schoenstatt,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hopsoni,Santa Cruz do Sul,Schoenstatt,Schoenstatt,Museum,
N506,-,NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Santacruzodon,NA,NA,0932 T,Carnian,NA,Carnian,UFRGS-PV-,237,227,232,10,-53.45,-29.56,UFRGS-PV-0932 T,BR,RS,Schoenstatt,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hopsoni,Santa Cruz do Sul,Schoenstatt,Schoenstatt,Museum,
N505,esquelto parcial,NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Protuberum,NA,NA,MCT/s_n� 125,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,21.94666667,-32.11058333,MCTMCT/s_n� 125,BR,RS,Pinheiro,Teekloof,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cabralensis,Candel�ria,Sanga Delfim Moreira (Buraco do Cinodonte),Pinheiro Area,Museum,
N504,completo,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,sem numero (exposi�?o 4.B),Ladinian,NA,Ladinian,ULVG,242,237,239.5,5,21.967501,-32.816113,ULVGsem numero (exposi�?o 4.B),BR,RS,-,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Ven�ncio Aires,-,Ven�ncio Aires,Museum,
N503,cr�nio (exposi�?o),NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,sem numero,Ladinian,NA,Ladinian,ULVG,242,237,239.5,5,26.302,-30.44319444,ULVGsem numero,BR,RS,-,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Ven�ncio Aires,-,Ven�ncio Aires,Museum,
N502,dente,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 208,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,21.55,-32.53333333,MCTMCT/s_n� 208,BR,RS,Pinheiro,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Pinheiros area,Pinheiro Area,Museum,
N501,dente,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 202,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,26.23771,-30.407,MCTMCT/s_n� 202,BR,RS,-,-,-,-,Lystrosaurus ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,prov. Rinc?o dos Bois,Pinheiro Area,Museum,
