cc,cont,area,area_NEW,note
DZ,AF,1,1,Gondwana (Africa)
EG,AF,1,1,Gondwana (Africa)
KE,AF,1,1,Gondwana (Africa)
KG,AF,1,1,Gondwana (Africa)
LS,AF,1,1,Gondwana (Africa)
MA,AF,1,1,Gondwana (Africa)
MG,AF,1,1,Gondwana (Africa)
MW,AF,1,1,Gondwana (Africa)
MZ,AF,1,1,Gondwana (Africa)
Namibia,AF,1,1,Gondwana (Africa)
NE,AF,1,1,Gondwana (Africa)
TZ,AF,1,1,Gondwana (Africa)
ZA,AF,1,1,Gondwana (Africa)
ZM,AF,1,1,Gondwana (Africa)
ZW,AF,1,1,Gondwana (Africa)
BA,ARABIA,1,1,Gondwana (Arabian Peninsula)
IL,ARABIA,1,1,Gondwana (Arabian Peninsula)
JO,ARABIA,1,1,Gondwana (Arabian Peninsula)
CN,ASIA_E,2,2,Eastern Laurasia (East Asia)
JP,ASIA_E,2,2,Eastern Laurasia (East Asia)
LA,ASIA_E,2,2,Eastern Laurasia (East Asia)
TH,ASIA_E,2,2,Eastern Laurasia (East Asia)
KZ,ASIA_W,3,3,Central Laurasia (Europe + West Asia)
PK,ASIA_W,3,3,Central Laurasia (Europe + West Asia)
RU,ASIA_W,3,3,Central Laurasia (Europe + West Asia)
AT,EU,3,3,Central Laurasia (Europe + West Asia)
BE,EU,3,3,Central Laurasia (Europe + West Asia)
BG,EU,3,3,Central Laurasia (Europe + West Asia)
CH,EU,3,3,Central Laurasia (Europe + West Asia)
CZ,EU,3,3,Central Laurasia (Europe + West Asia)
DE,EU,3,3,Central Laurasia (Europe + West Asia)
ES,EU,3,3,Central Laurasia (Europe + West Asia)
FR,EU,3,3,Central Laurasia (Europe + West Asia)
HU,EU,3,3,Central Laurasia (Europe + West Asia)
IT,EU,3,3,Central Laurasia (Europe + West Asia)
LU,EU,3,3,Central Laurasia (Europe + West Asia)
NL,EU,3,3,Central Laurasia (Europe + West Asia)
NO,EU,3,3,Central Laurasia (Europe + West Asia)
PL,EU,3,3,Central Laurasia (Europe + West Asia)
PT,EU,3,3,Central Laurasia (Europe + West Asia)
RO,EU,3,3,Central Laurasia (Europe + West Asia)
SE,EU,3,3,Central Laurasia (Europe + West Asia)
SI,EU,3,3,Central Laurasia (Europe + West Asia)
SJ,EU,3,3,Central Laurasia (Europe + West Asia)
SK,EU,3,3,Central Laurasia (Europe + West Asia)
UK,EU,3,3,Central Laurasia (Europe + West Asia)
IN,INDIA,4,1,Gondwana (India)
CA,NA,4,4,Western Laurasia (North America)
GL,NA,4,4,Western Laurasia (North America)
MX,NA,4,4,Western Laurasia (North America)
US,NA,4,4,Western Laurasia (North America)
AU,OC,4,1,Gondwana (Oceania)
AR,SA,4,1,Gondwana (South America)
BR,SA,4,1,Gondwana (South America)
PY,SA,4,1,Gondwana (South America)
UY,SA,4,1,Gondwana (South America)
VE,SA,4,1,Gondwana (South America)
