Rotated Lat,Rotated Lon,genus,age_max,age_min,range
-2.7466,-38.9219,Bolosaurus,298.9,290.1,"(298.9, 290.1)"
-1.3035,-22.1408,Protorothyris,298.9,293.52,"(298.9, 293.52)"
-1.3035,-22.1408,Protorothyris,298.9,293.52,"(298.9, 293.52)"
-1.3035,-22.1408,Protorothyris,298.9,293.52,"(298.9, 293.52)"
-1.3035,-22.1408,Protorothyris,298.9,293.52,"(298.9, 293.52)"
-1.3035,-22.1408,Protorothyris,298.9,293.52,"(298.9, 293.52)"
-1.3035,-22.1408,Protorothyris,298.9,293.52,"(298.9, 293.52)"
-1.3035,-22.1408,Protorothyris,298.9,293.52,"(298.9, 293.52)"
-2.7466,-38.9219,Protorothyris,298.9,293.52,"(298.9, 293.52)"
-2.7466,-38.9219,Protorothyris,298.9,293.52,"(298.9, 293.52)"
-2.7466,-38.9219,Protorothyris,298.9,293.52,"(298.9, 293.52)"
-2.7466,-38.9219,Protorothyris,298.9,293.52,"(298.9, 293.52)"
-2.7466,-38.9219,Protorothyris,298.9,293.52,"(298.9, 293.52)"
-2.7466,-38.9219,Romeria,298.9,293.52,"(298.9, 293.52)"
5.4598,17.9322,Aphelosaurus,298.9,293.52,"(298.9, 293.52)"
-0.4818,-24.8936,Edaphosaurus,303.7,298.9,"(303.7, 298.9)"
5.8574,-44.6091,Ophiacodon,298.9,290.1,"(298.9, 290.1)"
-0.5219,-37.7808,Ophiacodon,303.7,298.9,"(303.7, 298.9)"
-2.9673,-38.9083,Dimetrodon,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Ophiacodon,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Dimetrodon,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Ophiacodon,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Dimetrodon,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Dimetrodon,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Edaphosaurus,293.52,290.1,"(293.52, 290.1)"
-2.7466,-38.9219,Edaphosaurus,298.9,290.1,"(298.9, 290.1)"
-2.7466,-38.9219,Dimetrodon,298.9,290.1,"(298.9, 290.1)"
4.6147,-41.8361,Elcabrosaurus,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Ophiacodon,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Ophiacodon,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Ophiacodon,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Ophiacodon,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Ophiacodon,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Ophiacodon,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Ophiacodon,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Ophiacodon,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Ophiacodon,303.7,298.9,"(303.7, 298.9)"
0.456,-27.6087,Clepsydrops,305.9,303.7,"(305.9, 303.7)"
9.6624,15.1988,Stereorhachis,307.4,300.3,"(307.4, 300.3)"
-0.4818,-24.8936,Baldwinonus,298.9,290.1,"(298.9, 290.1)"
16.0936,19.7625,Datheosaurus,300.3,297.7,"(300.3, 297.7)"
12.7951,10.33,Hypselohaptodus,298.9,293.52,"(298.9, 293.52)"
0.3973,-33.9668,Haptodus,305.9,303.7,"(305.9, 303.7)"
-0.5077,-24.9119,Ctenospondylus,293.52,290.1,"(293.52, 290.1)"
0.456,-27.6087,Milosaurus,307.4,298.9,"(307.4, 298.9)"
4.6147,-41.8361,Baldwinonus,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Ruthiromia,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Aerosaurus,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Nitosaurus,303.7,298.9,"(303.7, 298.9)"
0.456,-27.6087,Clepsydrops,305.9,303.7,"(305.9, 303.7)"
0.456,-27.6087,Clepsydrops,305.9,303.7,"(305.9, 303.7)"
0.456,-27.6087,Clepsydrops,305.9,303.7,"(305.9, 303.7)"
0.3973,-33.9668,Ianthasaurus,305.9,303.7,"(305.9, 303.7)"
0.3973,-33.9668,Ianthasaurus,305.9,303.7,"(305.9, 303.7)"
0.3973,-33.9668,Ianthasaurus,305.9,303.7,"(305.9, 303.7)"
0.3973,-33.9668,Ianthasaurus,305.9,303.7,"(305.9, 303.7)"
0.3973,-33.9668,Ianthasaurus,305.9,303.7,"(305.9, 303.7)"
0.3973,-33.9668,Xyrospondylus,305.9,303.7,"(305.9, 303.7)"
16.6404,19.5629,Haptodus,293.52,290.1,"(293.52, 290.1)"
16.0936,19.7625,Haptodus,298.9,293.52,"(298.9, 293.52)"
16.0936,19.7625,Haptodus,298.9,293.52,"(298.9, 293.52)"
16.0936,19.7625,Haptodus,298.9,293.52,"(298.9, 293.52)"
16.0936,19.7625,Haptodus,298.9,293.52,"(298.9, 293.52)"
16.0936,19.7625,Haptodus,298.9,293.52,"(298.9, 293.52)"
16.0936,19.7625,Haptodus,298.9,293.52,"(298.9, 293.52)"
1.7029,-36.6404,Archaeovenator,303.7,298.9,"(303.7, 298.9)"
-2.7466,-38.9219,Ophiacodon,298.9,290.1,"(298.9, 290.1)"
0.456,-27.6087,Clepsydrops,305.9,303.7,"(305.9, 303.7)"
0.456,-27.6087,Clepsydrops,305.9,303.7,"(305.9, 303.7)"
16.0936,19.7625,Archaeothyris,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Archaeothyris,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Archaeothyris,309.8,307.4,"(309.8, 307.4)"
-2.9673,-38.9083,Ophiacodon,293.52,290.1,"(293.52, 290.1)"
-2.7466,-38.9219,Ophiacodon,298.9,290.1,"(298.9, 290.1)"
-2.7466,-38.9219,Ophiacodon,298.9,293.52,"(298.9, 293.52)"
-2.9673,-38.9083,Ophiacodon,293.52,290.1,"(293.52, 290.1)"
12.7951,10.33,Sphenacodon,298.9,293.52,"(298.9, 293.52)"
12.7951,10.33,Ophiacodon,298.9,293.52,"(298.9, 293.52)"
-0.5077,-24.9119,Ophiacodon,293.52,290.1,"(293.52, 290.1)"
13.1412,15.7725,Cryptovenator,303.7,293.52,"(303.7, 293.52)"
0.3973,-33.9668,Ianthodon,305.9,303.7,"(305.9, 303.7)"
-2.7466,-38.9219,Lupeosaurus,298.9,293.52,"(298.9, 293.52)"
1.7029,-36.6404,Eocasea,303.7,298.9,"(303.7, 298.9)"
-1.3035,-22.1408,Clepsydrops,305.9,298.9,"(305.9, 298.9)"
16.0936,19.7625,Macromerion,301.4,300.9,"(301.4, 300.9)"
4.6147,-41.8361,Ianthasaurus,305.9,303.7,"(305.9, 303.7)"
0.3973,-33.9668,Xyrospondylus,305.9,303.7,"(305.9, 303.7)"
4.6147,-41.8361,Ophiacodon,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Aerosaurus,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Edaphosaurus,303.7,298.9,"(303.7, 298.9)"
4.6147,-41.8361,Sphenacodon,303.7,298.9,"(303.7, 298.9)"
-0.4818,-24.8936,Edaphosaurus,303.7,298.9,"(303.7, 298.9)"
16.0936,19.7625,Bohemiclavulus,301.4,300.9,"(301.4, 300.9)"
16.0936,19.7625,Macromerion,301.4,300.9,"(301.4, 300.9)"
0.3973,-33.9668,Kenomagnathus,305.9,303.7,"(305.9, 303.7)"
0.3973,-33.9668,Tenuacaptor,305.9,303.7,"(305.9, 303.7)"
12.5951,19.408,Haptodus,298.9,293.52,"(298.9, 293.52)"
3.6502,-45.7873,Sphenacodon,303.7,290.1,"(303.7, 290.1)"
16.6404,19.5629,Edaphosaurus,293.52,290.1,"(293.52, 290.1)"
3.6502,-45.7873,Ophiacodon,303.7,290.1,"(303.7, 290.1)"
13.1412,15.7725,Remigiomontanus,303.7,293.52,"(303.7, 293.52)"
-2.7466,-38.9219,Dimetrodon,298.9,293.52,"(298.9, 293.52)"
-2.7466,-38.9219,Edaphosaurus,298.9,293.52,"(298.9, 293.52)"
-0.5219,-37.7808,Dimetrodon,298.9,290.1,"(298.9, 290.1)"
-2.7466,-38.9219,Edaphosaurus,298.9,293.52,"(298.9, 293.52)"
-0.5219,-37.7808,Dimetrodon,298.9,293.52,"(298.9, 293.52)"
-0.5219,-37.7808,Edaphosaurus,298.9,293.52,"(298.9, 293.52)"
-2.7466,-38.9219,Edaphosaurus,298.9,290.1,"(298.9, 290.1)"
1.7029,-36.6404,Ophiacodon,303.7,298.9,"(303.7, 298.9)"
14.5677,17.8279,Cabarzia,298.9,293.52,"(298.9, 293.52)"
-0.4818,-24.8936,Melanedaphodon,309.8,307.4,"(309.8, 307.4)"
4.6147,-41.8361,Anconastes,305.9,298.9,"(305.9, 298.9)"
5.8574,-44.6091,Eryops,298.9,290.1,"(298.9, 290.1)"
5.8574,-44.6091,Platyhystrix,298.9,290.1,"(298.9, 290.1)"
-0.5219,-37.7808,Eryops,303.7,298.9,"(303.7, 298.9)"
-2.7466,-38.9219,Parioxys,298.9,290.1,"(298.9, 290.1)"
-2.9673,-38.9083,Eryops,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Eryops,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Eryops,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Eryops,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Zatrachys,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Eryops,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Eryops,293.52,290.1,"(293.52, 290.1)"
-1.2905,-22.1478,Eryops,293.52,290.1,"(293.52, 290.1)"
-2.7466,-38.9219,Eryops,298.9,290.1,"(298.9, 290.1)"
9.6624,15.1988,Actinodon,298.9,290.1,"(298.9, 290.1)"
16.6404,19.5629,Onchiodon,293.52,290.1,"(293.52, 290.1)"
16.6404,19.5629,Onchiodon,293.52,290.1,"(293.52, 290.1)"
16.6404,19.5629,Apateon,293.52,290.1,"(293.52, 290.1)"
16.6404,19.5629,Branchierpeton,293.52,290.1,"(293.52, 290.1)"
16.6404,19.5629,Acanthostomatops,293.52,290.1,"(293.52, 290.1)"
-0.4818,-24.8936,Isodectes,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Isodectes,309.8,307.4,"(309.8, 307.4)"
-2.7466,-38.9219,Zatrachys,298.9,290.1,"(298.9, 290.1)"
-2.7466,-38.9219,Trimerorhachis,298.9,290.1,"(298.9, 290.1)"
3.8135,-29.3192,Amphibamus,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Erpetosaurus,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Erpetosaurus,309.8,307.4,"(309.8, 307.4)"
-0.5219,-37.7808,Rubeostratilia,298.9,290.1,"(298.9, 290.1)"
-0.4818,-24.8936,Zatrachys,303.7,298.9,"(303.7, 298.9)"
-2.7466,-38.9219,Scapanops,298.9,293.52,"(298.9, 293.52)"
