id,MinAge,MaxAge,Taxon,Rotated Lat,Rotated Lon
4308,264.28,266.9,Belebey,41.9725,35.9164
4307,264.28,273.01,Rothianiscus,2.6894,-35.9903
4304,264.28,273.01,Rothianiscus,2.6894,-35.9903
4305,264.28,273.01,Rothianiscus,2.6894,-35.9903
4306,264.28,273.01,Rothianiscus,2.6894,-35.9903
4303,264.28,273.01,Rothianiscus,2.6894,-35.9903
4302,264.28,273.01,Rothianiscus,2.6894,-35.9903
4301,264.28,273.01,Rothianiscus,2.6894,-35.9903
4300,264.28,273.01,Rothianiscus,2.6894,-35.9903
4299,264.28,273.01,Rothianiscus,2.6894,-35.9903
4298,264.28,273.01,Rothianiscus,2.6894,-35.9903
4297,264.28,273.01,Rothianiscus,2.6894,-35.9903
3431,259.51,266.9,Provelosaurus,-48.797,-22.9278
3427,266.9,276.5,Gecatogomphius,42.621,31.6632
3416,264.28,273.01,Nycteroleter,42.6876,20.3569
3415,266.9,276.5,Nyctiboetus,40.8403,30.4002
3414,264.28,266.9,Macroleter,42.6534,40.3398
3244,266.9,276.5,Gecatogomphius,41.4573,34.6428
3194,266.9,273.01,Belebey,39.6978,104.1239
3187,264.28,266.9,Bashkyroleter,41.9725,35.9164
3188,264.28,266.9,Bashkyroleter,41.9725,35.9164
3189,264.28,266.9,Bashkyroleter,41.9725,35.9164
3157,264.28,266.9,Belebey,42.6534,40.3398
3158,264.28,266.9,Belebey,42.6534,40.3398
3159,264.28,266.9,Belebey,42.6534,40.3398
3149,264.28,266.9,Belebey,40.6921,38.7763
3083,264.28,273.01,Nyctiphruretus,42.6876,20.3569
3084,264.28,273.01,Nyctiphruretus,42.6876,20.3569
3085,264.28,273.01,Nyctiphruretus,42.6876,20.3569
3086,264.28,273.01,Nyctiphruretus,42.6876,20.3569
3082,264.28,273.01,Macroleter,2.6894,-35.9903
3037,266.9,276.5,Nyctiboetus,40.8403,30.4002
3036,264.28,266.9,Rhipaeosaurus,41.9725,35.9164
2548,264.28,273.01,Lanthaniscus,42.6876,20.3569
1716,266.9,273.01,Gansurhinus,39.6978,104.1239
805,264.28,273.01,Lanthaniscus,42.6876,20.3569
804,264.28,273.01,Bashkyroleter,42.6876,20.3569
803,264.28,273.01,Nycteroleter,42.6876,20.3569
802,264.28,273.01,Macroleter,42.6876,20.3569
801,264.28,273.01,Bashkyroleter,42.6876,20.3569
800,264.28,273.01,Nyctiphruretus,42.6876,20.3569
798,264.28,273.01,Macroleter,42.6876,20.3569
799,264.28,273.01,Macroleter,42.6876,20.3569
797,264.28,273.01,Bashkyroleter,42.6876,20.3569
796,264.28,273.01,Nyctiphruretus,42.6876,20.3569
795,264.28,273.01,Bashkyroleter,42.6876,20.3569
794,264.28,273.01,Lanthanolania,42.6876,20.3569
793,264.28,273.01,Nyctiphruretus,42.6876,20.3569
792,264.28,273.01,Nyctiphruretus,42.6876,20.3569
790,264.28,273.01,Nyctiphruretus,42.6876,20.3569
791,264.28,273.01,Nyctiphruretus,42.6876,20.3569
782,259.51,266.9,Permotriturus,43.046,36.2856
774,259.51,266.9,Lanthanosuchus,43.046,36.2856
766,264.28,273.01,Nyctiphruretus,42.6876,20.3569
765,264.28,273.01,Bashkyroleter,42.6876,20.3569
764,264.28,273.01,Macroleter,42.6876,20.3569
180,266.9,273.01,Gecatogomphius,41.4573,34.6428
68,264.3,266.9,Provelosaurus,-51.3271,-26.4671
56,264.3,266.9,Provelosaurus,-51.3271,-26.4671
55,264.3,266.9,Provelosaurus,-51.3271,-26.4671
54,264.3,266.9,Provelosaurus,-51.3271,-26.4671
53,264.3,266.9,Provelosaurus,-51.3271,-26.4671
3387,264.28,273.01,Cotylorhynchus,2.6894,-35.9903
3386,264.28,273.01,Cotylorhynchus,2.6894,-35.9903
3385,264.28,273.01,Angelosaurus,2.6894,-35.9903
3384,264.28,273.01,Cotylorhynchus,2.6894,-35.9903
3383,264.28,273.01,Varanodon,2.6894,-35.9903
3382,264.28,273.01,Cotylorhynchus,2.6894,-35.9903
3381,264.28,273.01,Angelosaurus,2.6894,-35.9903
3380,259.51,266.9,Ulemosaurus,40.1271,34.4515
3379,259.51,266.9,Ulemica,40.1271,34.4515
3200,264.28,266.9,Patranomodon,-65.2444,-28.4547
3199,259.51,273.01,Eodicynodon,-66.2903,-29.7941
3192,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3190,266.9,283.5,Angelosaurus,0.2573,-40.5036
3191,266.9,283.5,Angelosaurus,0.2573,-40.5036
3185,264.28,273.01,Ennatosaurus,41.276,19.3882
3186,264.28,273.01,Ennatosaurus,41.276,19.3882
3187,264.28,273.01,Ennatosaurus,41.276,19.3882
3188,264.28,273.01,Ennatosaurus,41.276,19.3882
3189,264.28,273.01,Ennatosaurus,41.276,19.3882
3184,266.9,276.5,Phreatophasma,36.8962,36.2617
3170,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3083,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3084,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3085,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3086,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3087,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3088,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3089,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3090,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3091,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3092,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3093,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3094,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3095,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3096,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3097,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3081,266.9,283.5,Gorgodon,0.2573,-40.5036
3082,266.9,283.5,Gorgodon,0.2573,-40.5036
3079,266.9,283.5,Knoxosaurus,0.2573,-40.5036
3080,266.9,283.5,Knoxosaurus,0.2573,-40.5036
3078,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3077,266.9,283.5,Caseopsis,0.2573,-40.5036
3075,266.9,283.5,Angelosaurus,0.2573,-40.5036
3076,266.9,283.5,Angelosaurus,0.2573,-40.5036
3074,266.9,283.5,Tappenosaurus,0.2573,-40.5036
3072,266.9,283.5,Caseoides,0.2573,-40.5036
3073,266.9,283.5,Caseoides,0.2573,-40.5036
3071,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3067,266.9,283.5,Cotylorhynchus,2.4612,-39.3231
3068,266.9,283.5,Cotylorhynchus,2.4612,-39.3231
3069,266.9,283.5,Cotylorhynchus,2.4612,-39.3231
3070,266.9,283.5,Cotylorhynchus,2.4612,-39.3231
3066,266.9,283.5,Dimetrodon,0.2573,-40.5036
3065,266.9,283.5,Caseopsis,0.2573,-40.5036
3061,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3062,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3063,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3064,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3056,266.9,283.5,Angelosaurus,0.2573,-40.5036
3054,266.9,283.5,Mastersonia,0.2573,-40.5036
3053,266.9,283.5,Dimetrodon,0.2573,-40.5036
3050,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
3051,266.9,283.5,Cotylorhynchus,0.2573,-40.5036
