,occurrence_no,locality,county_original,state,cc,notes
0,146665,New Mexico,Rio Arriba,New Mexico,US,
1,147563,Texas,Baylor,Texas,US,
2,147564,Texas,Clay,Texas,US,
3,148243,Texas,Archer,Texas,US,
4,148244,Texas,Archer,Texas,US,
5,148245,Texas,Archer,Texas,US,
6,148246,Texas,Archer,Texas,US,
7,149740,Utah,San Juan,Utah,US,
8,149741,Utah,San Juan,Utah,US,
9,149920,Texas,Garza,Texas,US,
10,149923,Texas,Garza,Texas,US,
11,157307,Oklahoma,Seminole,Oklahoma,US,
12,219910,Texas,,Texas,US,
13,219959,,,,RU,delete
14,219960,,,,RU,delete
15,219961,,,,RU,delete
16,219962,,,,RU,delete
17,220039,Texas,Scurry,Texas,US,
18,220192,Texas,Wichita,Texas,US,
19,220193,Texas,Wichita,Texas,US,
20,220202,New Mexico,Santa Fe,New Mexico,US,
21,221286,Texas,Jones,Texas,US,
22,221286,Texas,Jones,Texas,US,
23,221286,Texas,Jones,Texas,US,
24,221286,Texas,Jones,Texas,US,
25,221286,Texas,Jones,Texas,US,
26,221286,Texas,Jones,Texas,US,
27,221286,Texas,Jones,Texas,US,
28,221286,Texas,Jones,Texas,US,
29,221286,Texas,Jones,Texas,US,
30,221286,Texas,Jones,Texas,US,
31,221286,Texas,Jones,Texas,US,
32,221286,Texas,Jones,Texas,US,
33,221286,Texas,Jones,Texas,US,
34,221286,Texas,Jones,Texas,US,
35,221286,Texas,Jones,Texas,US,
36,221286,Texas,Jones,Texas,US,
37,221286,Texas,Jones,Texas,US,
38,221286,Texas,Jones,Texas,US,
39,221286,Texas,Jones,Texas,US,
40,221286,Texas,Jones,Texas,US,
41,221286,Texas,Jones,Texas,US,
42,221286,Texas,Jones,Texas,US,
43,221286,Texas,Jones,Texas,US,
44,221286,Texas,Jones,Texas,US,
45,221286,Texas,Jones,Texas,US,
46,221286,Texas,Jones,Texas,US,
47,221286,Texas,Jones,Texas,US,
48,221286,Texas,Jones,Texas,US,
49,221286,Texas,Jones,Texas,US,
50,221286,Texas,Jones,Texas,US,
51,221286,Texas,Jones,Texas,US,
52,221286,Texas,Jones,Texas,US,
