occurrence_no,pres_mode,preservation_quality,common_body_parts,abund_value,abund_unit,class,order,family,genus,taxon_environment,life_habit,diet,museum,collection_no,early_interval,late_interval,time_bins,age_max,age_min,age_median,age_uncer_range,lng,lat,occurrence_comments,cc,state,county,formation,stratgroup,member,zone,accepted_name,accepted_attr,accepted_rank,accepted_no,identified_name,identified_rank,identified_no,difference,ref_author,ref_pubyr,reference_no,collection_name,collection_subset,collection_aka,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,cc.1,protected,stratscale,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,environment,tectonic_setting,assembl_comps,articulated_parts,associated_parts,rare_body_parts,feed_pred_traces,spatial_resolution,preservation_comments,collection_type,collection_methods,collectors,collection_dates,collection_comments,taxonomy_comments,composition,species,municipality,outcrop_details,outcrop_overview,source,ref
N9,NA,NA,small mandibular fragment,NA,NA,Amphibia,Temnospondyli,Chigutisauridae,Compsocerops,NA,NA,NA,ULBRA-PVT-,60,Norian,NA,Norian,227,208.5,217.75,18.5,-53.43,-29.66,ULBRA-PVT-060,BR,RS,Buriol,Santa Maria,Ros�rio do Sul,Alemoa,Hyperodapedon,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cosgriffi,S?o Jo?o do Pol�sine,Buriol,Buriol,Literature,Dias?da?Silva
N8,NA,NA,"dermal fragment that comprises most of the orbital series (jugal, postorbital, postfrontal and frontal, the latter being excluded from the orbital margin); ULBRA PVT 059b, a dermal fragment with three bones (tabular, postparietal and a partial supratemporal)",NA,NA,Amphibia,Temnospondyli,Chigutisauridae,Compsocerops,NA,NA,NA,ULBRA-PVT-,"059a,b",Norian,NA,Norian,227,208.5,217.75,18.5,-53.43,-29.66,"ULBRA-PVT-059a,b",BR,RS,Buriol,Santa Maria,Ros�rio do Sul,Alemoa,Hyperodapedon,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cosgriffi,S?o Jo?o do Pol�sine,Buriol,Buriol,Literature,Dias?da?Silva
N7,NA,NA,an almost complete left lower jaw,NA,NA,Amphibia,Temnospondyli,Rhinesuchidae,Rastosuchus,NA,NA,NA,UFRGS-PV-,0349-P,Wordian,NA,Wordian,266.9,264.3,265.6,2.6,-51.11,-24,UFRGS-PV-0349-P,BR,PR,Morro do Mulato,Rio do Rasto,Passa Dois,-,Provelosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hammeri,Ortigueira,t�nel ferrovi�rio 12 - abertura sul,T�nel 12,Literature,Dias
N6,NA,NA,right portion of an intermediate mandibular fragment,NA,NA,Amphibia,Temnospondyli,Rhinesuchidae,Rastosuchus,NA,NA,NA,UFRGS-PV-,0357-P,Wordian,NA,Wordian,266.9,264.3,265.6,2.6,-51.11,-24,UFRGS-PV-0357-P,BR,PR,Morro do Mulato,Rio do Rasto,Passa Dois,-,Provelosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hammeri,Ortigueira,t�nel ferrovi�rio 12 - abertura sul,T�nel 12,Literature,Dias
N5,NA,NA,"clavicle, cleithrum, scapulocoracoid, femur, disarticulated autopodial elements, disarticulated vertebral elements, fragmentary ribs and other unprepared postcranial elements.",NA,NA,Amphibia,Temnospondyli,Rhinesuchidae,Rastosuchus,NA,NA,NA,UFRGS-PV-,0356-P,Wordian,NA,Wordian,266.9,264.3,265.6,2.6,-51.11,-24,UFRGS-PV-0356-P,BR,PR,Morro do Mulato,Rio do Rasto,Passa Dois,-,Provelosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hammeri,Ortigueira,t�nel ferrovi�rio 12 - abertura sul,T�nel 12,Literature,Dias
N4,NA,NA,an almost complete skull and jaw,NA,NA,Amphibia,Temnospondyli,Rhinesuchidae,Rastosuchus,NA,NA,NA,UFRGS-PV-,0352-P,Wordian,NA,Wordian,266.9,264.3,265.6,2.6,-51.11,-24,UFRGS-PV-0352-P,BR,PR,Morro do Mulato,Rio do Rasto,Passa Dois,-,Provelosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hammeri,Ortigueira,t�nel ferrovi�rio 12 - abertura sul,T�nel 12,Literature,Dias
N3,NA,NA,mandibula direita. left and right mandibular rami. Right lower jaw almost complete lacking the symphysial area and the posterior portion of the left lower jaw,NA,NA,Amphibia,Temnospondyli,Rhinesuchidae,Rastosuchus,NA,NA,NA,UFRGS-PV-,0350-P (Holotype),Wordian,NA,Wordian,266.9,264.3,265.6,2.6,-51.11,-24,UFRGS-PV-0350-P (Holotype),BR,PR,Morro do Mulato,Rio do Rasto,Passa Dois,-,Provelosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hammeri,Ortigueira,t�nel ferrovi�rio 12 - abertura sul,T�nel 12,Literature,Dias
N2,NA,NA,an anterior mandibular fragment including the symphysial area,NA,NA,Amphibia,Temnospondyli,Rhinesuchidae,Rastosuchus,NA,NA,NA,UFRGS-PV-,0235-P,Wordian,NA,Wordian,266.9,264.3,265.6,2.6,-51.11,-24,UFRGS-PV-0235-P,BR,PR,Morro do Mulato,Rio do Rasto,Passa Dois,-,Provelosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hammeri,Ortigueira,t�nel ferrovi�rio 12 - abertura sul,T�nel 12,Literature,Dias
N14,NA,NA,Tomeia witecki,NA,NA,Amphibia,Temnospondyli,Capitosauroidea,Tomeia,NA,NA,NA,UNIPAMPA,746,Olenekian,NA,Olenekian,251.2,247.2,249.2,4,-55.05,-29.62,UNIPAMPA0746,BR,RS,Toroqu�,Sanga do Cabral,Ros�rio do Sul,-,Procolophon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,witecki,S?o Francisco de Assis,Bica S?o Tom�,Bica S?o Tom�,Museum,
N13,NA,NA,Cr�nio Temnospondyli,NA,NA,Amphibia,Temnospondyli,-,Kwatisuchus,NA,NA,NA,UNIPAMPA,765,Olenekian,NA,Olenekian,251.2,247.2,249.2,4,-55.04,-30.17,UNIPAMPA0765,BR,RS,-,Sanga do Cabral,Ros�rio do Sul,-,Procolophon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rosae,Ros�rio do Sul,Granja Palmeira,Granja Palmeiras,Museum,
