,occurrence_no,locality,county_original,state,cc,notes
0,146084,New Jersey,Hudson,New Jersey,US,
1,146085,New Jersey,Hudson,New Jersey,US,
2,146086,England,Somerset,England,UK,
3,146087,England,Somerset,England,UK,
4,147521,Eastern Cape,Chris Hani,Eastern Cape,ZA,
5,147523,Texas,Archer,Texas,US,
6,147523,Texas,Archer,Texas,US,
7,149237,England,Gloucestershire,England,UK,
8,149239,England,Gloucestershire,England,UK,
9,149241,England,Gloucestershire,England,UK,
10,149242,England,Gloucestershire,England,UK,
11,149243,England,Gloucestershire,England,UK,
12,149244,England,Gloucestershire,England,UK,
13,149246,England,Gloucestershire,England,UK,
14,149247,England,Gloucestershire,England,UK,
15,149249,England,Gloucestershire,England,UK,
16,149250,England,Gloucestershire,England,UK,
17,149251,England,Gloucestershire,England,UK,
18,149253,England,Gloucestershire,England,UK,
19,149254,England,Gloucestershire,England,UK,
20,149255,England,Gloucestershire,England,UK,
21,149257,England,Gloucestershire,England,UK,
22,149258,England,Gloucestershire,England,UK,
23,149260,England,Gloucestershire,England,UK,
24,149261,England,Gloucestershire,England,UK,
25,149262,England,Gloucestershire,England,UK,
26,149263,England,Gloucestershire,England,UK,
27,149264,England,Gloucestershire,England,UK,
28,149267,England,Gloucestershire,England,UK,
29,149268,England,Gloucestershire,England,UK,
30,149271,England,Gloucestershire,England,UK,
31,149272,England,Gloucestershire,England,UK,
32,149273,England,Gloucestershire,England,UK,
33,149274,England,Gloucestershire,England,UK,
34,149276,England,Gloucestershire,England,UK,
35,149277,England,Gloucestershire,England,UK,
36,149278,England,Gloucestershire,England,UK,
37,149279,England,Gloucestershire,England,UK,
38,149283,England,Gloucestershire,England,UK,
39,149284,England,Gloucestershire,England,UK,
40,149285,England,Gloucestershire,England,UK,
41,149286,England,Gloucestershire,England,UK,
42,149289,England,Gloucestershire,England,UK,
43,149290,England,Gloucestershire,England,UK,
44,149293,England,Gloucestershire,England,UK,
45,149294,England,Gloucestershire,England,UK,
46,149295,England,Gloucestershire,England,UK,
47,149296,England,Gloucestershire,England,UK,
48,149845,Texas,Crosby,Texas,US,
49,149866,La Rioja,,La Rioja,AR,
50,149867,La Rioja,,La Rioja,AR,
51,149917,Texas,Garza,Texas,US,
52,149917,Texas,Garza,Texas,US,
53,149918,Texas,Garza,Texas,US,
54,149919,Texas,Garza,Texas,US,
55,149988,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
56,150315,Switzerland,,,CH,
57,150316,Switzerland,,,CH,
58,219963,,,,RU,delete
59,220070,Switzerland,,Aargau,CH,
60,220071,Switzerland,,Aargau,CH,
61,220072,Switzerland,,Aargau,CH,
62,220073,Switzerland,,Aargau,CH,
63,220082,Baden-Wurttemberg,Freiburg,Baden-Wurttemberg,DE,
64,220082,Baden-Wurttemberg,Freiburg,Baden-Wurttemberg,DE,
65,220083,Baden-Wurttemberg,Freiburg,Baden-Wurttemberg,DE,
66,220083,Baden-Wurttemberg,Freiburg,Baden-Wurttemberg,DE,
67,220083,Baden-Wurttemberg,Freiburg,Baden-Wurttemberg,DE,
68,220084,Baden-Wurttemberg,Freiburg,Baden-Wurttemberg,DE,
69,220086,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
70,220087,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
71,220088,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
72,221283,Texas,Baylor,Texas,US,
73,221283,Texas,Baylor,Texas,US,
74,256434,San Juan,,San Juan,AR,
75,256434,San Juan,,San Juan,AR,
76,256435,San Juan,,San Juan,AR,
77,256436,San Juan,,San Juan,AR,
78,256437,San Juan,,San Juan,AR,
79,256441,San Juan,,San Juan,AR,
80,261808,England,Gloucestershire,England,UK,
81,261810,England,Gloucestershire,England,UK,
82,272321,La Rioja,,La Rioja,AR,
83,272322,La Rioja,,La Rioja,AR,
84,272323,La Rioja,,La Rioja,AR,
85,272324,La Rioja,,La Rioja,AR,
86,272325,La Rioja,,La Rioja,AR,
87,272327,La Rioja,,La Rioja,AR,
88,272328,La Rioja,,La Rioja,AR,
89,272329,La Rioja,,La Rioja,AR,
90,272330,La Rioja,,La Rioja,AR,
91,277109,La Rioja,General Lavalle,La Rioja,AR,
92,279623,Western Cape,Beaufort West,Western Cape,ZA,
93,283819,East Greenland,,East Greenland,GL,
94,283825,,,,GL,delete
95,283826,,,,GL,delete
96,283826,,,,GL,delete
97,283828,,,,GL,delete
98,283860,,,,GL,delete
99,284027,Wales,Swansea,Wales,UK,
100,285740,Nei Mongol,Zhuengeerqi,Nei Mongol,CN,
101,285752,Shaanxi,Fugu,Shaanxi,CN,
102,285753,Nei Mongol,,Nei Mongol,CN,
103,286782,Bashkortostan,Belebei,Bashkortostan,RU,
104,287287,Oklahoma,Blaine,Oklahoma,US,
105,287715,Oklahoma,Blaine,Oklahoma,US,
106,287715,Oklahoma,Blaine,Oklahoma,US,
107,287715,Oklahoma,Blaine,Oklahoma,US,
108,287747,Oklahoma,Blaine,Oklahoma,US,
109,287764,Oklahoma,Blaine,Oklahoma,US,
110,287827,Oklahoma,Kingfisher,Oklahoma,US,
111,287904,Oklahoma,Kingfisher,Oklahoma,US,
112,287929,Oklahoma,Canadian,Oklahoma,US,
113,289331,Oklahoma,Kingfisher,Oklahoma,US,
114,289337,Oklahoma,Kingfisher,Oklahoma,US,
115,290383,Texas,Knox,Texas,US,
116,295924,Texas,Wichita,Texas,US,
117,295924,Texas,Wichita,Texas,US,
118,295924,Texas,Wichita,Texas,US,
119,295924,Texas,Wichita,Texas,US,
120,295924,Texas,Wichita,Texas,US,
121,295924,Texas,Wichita,Texas,US,
122,295924,Texas,Wichita,Texas,US,
123,295925,Texas,Wichita,Texas,US,
124,295928,Texas,Archer,Texas,US,
125,296008,Texas,Baylor/Wilbarger,Texas,US,
126,296038,Texas,Baylor/Willbarger,Texas,US,
127,296039,Texas,Baylor/Willbarger,Texas,US,
128,296040,Texas,Baylor/Willbarger,Texas,US,
129,296041,Texas,Baylor/Willbarger,Texas,US,
130,296041,Texas,Baylor/Willbarger,Texas,US,
131,296042,Texas,Baylor/Willbarger,Texas,US,
132,296043,Texas,Baylor/Willbarger,Texas,US,
133,296060,Texas,Baylor,Texas,US,
134,296063,Texas,Baylor,Texas,US,
135,296064,Texas,Baylor,Texas,US,
136,296073,Texas,Baylor,Texas,US,
137,296074,Texas,Baylor,Texas,US,
138,296099,Texas,Baylor,Texas,US,
139,296100,Texas,Baylor,Texas,US,
140,296100,Texas,Baylor,Texas,US,
141,296100,Texas,Baylor,Texas,US,
142,296100,Texas,Baylor,Texas,US,
143,296100,Texas,Baylor,Texas,US,
144,296107,Texas,Baylor,Texas,US,
145,296108,Texas,Baylor,Texas,US,
146,296109,Texas,Baylor,Texas,US,
147,296117,Texas,Baylor,Texas,US,
148,297328,Namibia,,Erongo,Namibia,
149,297329,Namibia,,Erongo,Namibia,
150,297330,Namibia,,Erongo,Namibia,
151,297331,Namibia,,Erongo,Namibia,
152,297867,Queensland,,Queensland,AU,
153,299715,Kirov,Kotelnich,Kirov,RU,
154,299716,Tatarstan,Tetyushi,Tatarstan,RU,
155,337694,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,
156,337705,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,
157,337723,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,
158,337737,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,
159,337745,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,
160,337746,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,
161,346294,Texas,Archer,Texas,US,
162,360364,La Rioja,,La Rioja,AR,
163,361674,Nevada,Pershing,Nevada,US,
164,361674,Nevada,Pershing,Nevada,US,
165,363117,Svalbard,,Svalbard,NO,
166,363120,Franken,,Franken,DE,
167,367506,Pennsylvania,Montgomery,Pennsylvania,US,
168,367508,Texas,Baylor,Texas,US,
169,368043,Northern Cape,,Northern Cape,ZA,
170,368798,Arizona,Navajo,Arizona,US,
171,368799,Arizona,Navajo,Arizona,US,
172,382568,Friuli-Venezia Giulia,Udine,Friuli-Venezia Giulia,IT,
173,382582,Lombardia,,Lombardia,IT,
174,382582,Lombardia,,Lombardia,IT,
175,382582,Lombardia,,Lombardia,IT,
176,384378,Nizhegorod,Vetluga,Nizhegorod,RU,
177,385301,Eastern Cape,Herschel,Eastern Cape,ZA,
178,385607,Eastern Cape,Herschel,Eastern Cape,ZA,
179,385607,Eastern Cape,Herschel,Eastern Cape,ZA,
180,385607,Eastern Cape,Herschel,Eastern Cape,ZA,
181,385607,Eastern Cape,Herschel,Eastern Cape,ZA,
182,387512,Komi,Luza/Pre-Luza,Komi,RU,
183,387513,Orenburg,Belyaevka,Orenburg,RU,
184,387517,Orenburg,Belyaevka,Orenburg,RU,
185,387518,Orenburg,Sorochinsk,Orenburg,RU,
186,388713,Anhui,Chao,Anhui,CN,
187,388714,Anhui,,Anhui,CN,
188,389769,Lombardia,,Lombardia,IT,
189,389770,Lombardia,,Lombardia,IT,
190,389771,Lombardia,,Lombardia,IT,
191,389772,Lombardia,,Lombardia,IT,
192,391980,Guizhou,,Guizhou,CN,
193,393085,England,Warwickshire,England,UK,
194,401595,Malopolskie,Krakowski,Malopolskie,PL,
195,401596,Malopolskie,Krakowski,Malopolskie,PL,
196,401597,Malopolskie,Krakowski,Malopolskie,PL,
197,401599,Malopolskie,Krakowski,Malopolskie,PL,
198,401600,Malopolskie,Krakowski,Malopolskie,PL,
199,404182,Austria,,Niederosterreich,AT,
200,406854,Virginia,Chesterfield,Virginia,US,
201,406855,Virginia,Chesterfield,Virginia,US,
202,406858,Virginia,Chesterfield,Virginia,US,
203,406859,Virginia,Chesterfield,Virginia,US,
204,406864,Arizona,Apache,Arizona,US,
205,406867,Arizona,Apache,Arizona,US,
206,406869,Arizona,Apache,Arizona,US,
207,406872,Arizona,Apache,Arizona,US,
208,406876,Arizona,Apache,Arizona,US,
209,407766,Arizona,Apache,Arizona,US,
210,407767,Arizona,Apache,Arizona,US,
211,407768,Arizona,Apache,Arizona,US,
212,407776,Arizona,Apache,Arizona,US,
213,411325,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
214,411697,Komi,,Komi,RU,
215,423245,Arizona,Apache,Arizona,US,
216,423280,Arizona,Apache,Arizona,US,
217,423281,Arizona,Apache,Arizona,US,
218,423285,Arizona,Apache,Arizona,US,
219,423286,Arizona,Apache,Arizona,US,
220,423288,Arizona,Apache,Arizona,US,
221,451787,Hessen,,Hessen,DE,
222,460787,Texas,Randall,Texas,US,
223,461293,Rio Grande do Sul,,Rio Grande do Sul,BR,
224,465571,Wales,Swansea,Wales,UK,
225,465572,Wales,Swansea,Wales,UK,
226,465573,Wales,Swansea,Wales,UK,
227,465575,Wales,Glamorgan,Wales,UK,
228,465579,Wales,Glamorgan,Wales,UK,
229,465580,Wales,Glamorgan,Wales,UK,
230,465685,England,Somerset,England,UK,
231,467069,Nevada,Pershing,Nevada,US,
232,467070,Nevada,Pershing,Nevada,US,
233,467071,Nevada,Pershing,Nevada,US,
234,467073,Nevada,Pershing,Nevada,US,
235,467312,Arizona,Coconino,Arizona,US,
236,468647,North Carolina,Chatham,North Carolina,US,
237,471885,England,Avon,England,UK,
238,472008,Yunnan,Lufeng,Yunnan,CN,
239,474116,San Juan,,San Juan,AR,
240,474117,San Juan,,San Juan,AR,
241,474119,San Juan,,San Juan,AR,
242,475078,New Mexico,Rio Arriba,New Mexico,US,
243,475079,New Mexico,Rio Arriba,New Mexico,US,
244,475081,New Mexico,Rio Arriba,New Mexico,US,
245,477082,Connecticut,New Haven,Connecticut,US,
246,479381,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
247,479548,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
248,479551,Switzerland,Liestal,Basel-Landschaft,CH,
249,479551,Switzerland,Liestal,Basel-Landschaft,CH,
250,479563,Switzerland,,Schaffhausen,CH,
251,483859,Arizona,Apache,Arizona,US,
252,483867,New Mexico,Rio Arriba,New Mexico,US,
253,483868,New Mexico,Rio Arriba,New Mexico,US,
254,483884,Texas,Crosby,Texas,US,
255,484408,Mashonaland Central,,Mashonaland Central,ZW,
