occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
149866,La Rioja,,La Rioja,AR,,Lewisuchus,242,237
149867,La Rioja,,La Rioja,AR,,Lagerpeton,242,237
272321,La Rioja,,La Rioja,AR,,Luperosuchus,242,237
272322,La Rioja,,La Rioja,AR,,Lagerpeton,242,237
272323,La Rioja,,La Rioja,AR,,Chanaresuchus,242,237
272324,La Rioja,,La Rioja,AR,,Gualosuchus,242,237
272325,La Rioja,,La Rioja,AR,,Gracilisuchus,242,237
272327,La Rioja,,La Rioja,AR,,Marasuchus,242,237
272328,La Rioja,,La Rioja,AR,,Lewisuchus,242,237
272329,La Rioja,,La Rioja,AR,,Tropidosuchus,242,237
272330,La Rioja,,La Rioja,AR,,Tarjadia,242,237
277109,La Rioja,General Lavalle,La Rioja,AR,,Pisanosaurus,237,227
360364,La Rioja,,La Rioja,AR,,Zupaysaurus,227,208.5
513572,La Rioja,General Lavalle,La Rioja,AR,,Coloradisaurus,227,208.5
513603,La Rioja,General Lavalle,La Rioja,AR,,Riojasaurus,227,208.5
539206,La Rioja,Independencia,La Rioja,AR,,Lessemsaurus,227,208.5
539206,La Rioja,Independencia,La Rioja,AR,,Lessemsaurus,227,208.5
539206,La Rioja,Independencia,La Rioja,AR,,Lessemsaurus,227,208.5
561802,La Rioja,,La Rioja,AR,,Riojasaurus,227,208.5
573788,La Rioja,,La Rioja,AR,,Gracilisuchus,242,237
573792,La Rioja,,La Rioja,AR,,Luperosuchus,242,237
573793,La Rioja,,La Rioja,AR,,Lagerpeton,242,237
573794,La Rioja,,La Rioja,AR,,Chanaresuchus,242,237
573795,La Rioja,,La Rioja,AR,,Gualosuchus,242,237
922174,La Rioja,,La Rioja,AR,,Tropidosuchus,242,237
922175,La Rioja,,La Rioja,AR,,Marasuchus,242,237
922176,La Rioja,,La Rioja,AR,,Luperosuchus,242,237
922177,La Rioja,,La Rioja,AR,,Tarjadia,242,237
922178,La Rioja,,La Rioja,AR,,Tarjadia,242,237
922179,La Rioja,,La Rioja,AR,,Tarjadia,242,237
923083,La Rioja,,La Rioja,AR,,Riojasuchus,227,208.5
923086,La Rioja,General Lavalle,La Rioja,AR,,Neoaetosauroides,227,208.5
923086,La Rioja,General Lavalle,La Rioja,AR,,Neoaetosauroides,227,208.5
923087,La Rioja,,La Rioja,AR,,Hemiprotosuchus,227,208.5
923087,La Rioja,,La Rioja,AR,,Hemiprotosuchus,227,208.5
923088,La Rioja,,La Rioja,AR,,Pseudhesperosuchus,227,208.5
923089,La Rioja,,La Rioja,AR,,Palaeochersis,227,208.5
923089,La Rioja,,La Rioja,AR,,Palaeochersis,227,208.5
923089,La Rioja,,La Rioja,AR,,Palaeochersis,227,208.5
923090,La Rioja,Lavalle,La Rioja,AR,,Fasolasuchus,227,208.5
923092,La Rioja,,La Rioja,AR,,Neoaetosauroides,227,208.5
923093,La Rioja,,La Rioja,AR,,Neoaetosauroides,227,208.5
923093,La Rioja,,La Rioja,AR,,Neoaetosauroides,227,208.5
923094,La Rioja,,La Rioja,AR,,Neoaetosauroides,227,208.5
923095,La Rioja,General Lavalle,La Rioja,AR,,Neoaetosauroides,227,208.5
923096,La Rioja,,La Rioja,AR,,Neoaetosauroides,227,208.5
923804,La Rioja,,La Rioja,AR,,Lewisuchus,242,237
923804,La Rioja,,La Rioja,AR,,Lewisuchus,242,237
923804,La Rioja,,La Rioja,AR,,Lewisuchus,242,237
923807,La Rioja,,La Rioja,AR,,Lagerpeton,242,237
923807,La Rioja,,La Rioja,AR,,Lagerpeton,242,237
923809,La Rioja,,La Rioja,AR,,Tropidosuchus,242,237
923809,La Rioja,,La Rioja,AR,,Tropidosuchus,242,237
923809,La Rioja,,La Rioja,AR,,Tropidosuchus,242,237
923809,La Rioja,,La Rioja,AR,,Tropidosuchus,242,237
923809,La Rioja,,La Rioja,AR,,Tropidosuchus,242,237
923809,La Rioja,,La Rioja,AR,,Tropidosuchus,242,237
923809,La Rioja,,La Rioja,AR,,Tropidosuchus,242,237
1112358,La Rioja,General Lavalle,La Rioja,AR,,Coloradisaurus,227,208.5
1142068,La Rioja,General Lavalle,La Rioja,AR,,Venaticosuchus,237,227
1347794,La Rioja,General Lavalle,La Rioja,AR,,Trialestes,237,227
1435841,La Rioja,,La Rioja,AR,,Coloradisuchus,227,208.5
1475020,La Rioja,,La Rioja,AR,,Lewisuchus,237,227
1555177,La Rioja,,La Rioja,AR,,Powellvenator,227,208.5
1565299,La Rioja,,La Rioja,AR,,Chanaresuchus,242,237
N113,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N114,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N115,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N116,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N117,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N118,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N119,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N120,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N121,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N122,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N123,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N124,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N125,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N126,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N127,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N128,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N129,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
N130,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Coloradisaurus,227,208.5
N131,La Rioja,"Los Colorados, La Esquina",La Rioja,AR,,Lessemsaurus,227,208.5
568152,Mendoza,,Mendoza,AR,,Tetrasauropus,247.2,237
568152,Mendoza,,Mendoza,AR,,Tetrasauropus,247.2,237
256434,San Juan,,San Juan,AR,,Eoraptor,237,227
256434,San Juan,,San Juan,AR,,Eoraptor,237,227
256435,San Juan,,San Juan,AR,,Herrerasaurus,237,227
256436,San Juan,,San Juan,AR,,Saurosuchus,237,227
256437,San Juan,,San Juan,AR,,Aetosauroides,237,227
256441,San Juan,,San Juan,AR,,Herrerasaurus,237,227
474116,San Juan,,San Juan,AR,,Herrerasaurus,237,227
474117,San Juan,,San Juan,AR,,Hyperodapedon,237,227
474119,San Juan,,San Juan,AR,,Hyperodapedon,237,227
518725,San Juan,Valle Fertil,San Juan,AR,,Herrerasaurus,237,227
518725,San Juan,Valle Fertil,San Juan,AR,,Herrerasaurus,237,227
518726,San Juan,Valle Fertil,San Juan,AR,,Herrerasaurus,237,227
518727,San Juan,Valle Fertil,San Juan,AR,,Herrerasaurus,237,227
518731,San Juan,Valle Fertil,San Juan,AR,,Herrerasaurus,237,227
518732,San Juan,Valle Fertil,San Juan,AR,,Herrerasaurus,237,227
518733,San Juan,Valle Fertil,San Juan,AR,,Herrerasaurus,237,227
518734,San Juan,Valle Fertil,San Juan,AR,,Trialestes,237,227
518737,San Juan,Valle Fertil,San Juan,AR,,Proterochampsa,237,227
519917,San Juan,Valle Fertil,San Juan,AR,,Herrerasaurus,237,227
693837,San Juan,,San Juan,AR,,Chirotherium,242,237
693837,San Juan,,San Juan,AR,,Chirotherium,242,237
800076,San Juan,,San Juan,AR,,Panphagia,237,227
820889,San Juan,,San Juan,AR,,Sillosuchus,237,227
832678,San Juan,Valle Fertil,San Juan,AR,,Aetosauroides,237,227
893426,San Juan,,San Juan,AR,,Sanjuansaurus,237,227
908663,San Juan,,San Juan,AR,,Eodromaeus,237,227
1063632,San Juan,,San Juan,AR,,Chromogisaurus,237,227
1180352,San Juan,,San Juan,AR,,Ignotosaurus,237,227
1181558,San Juan,,San Juan,AR,,Hyperodapedon,237,227
1315237,San Juan,Caucete Department,San Juan,AR,,Sphenotitan,227,208.5
1347795,San Juan,Caucete,San Juan,AR,,Dromomeron,227,208.5
1347822,San Juan,Caucete,San Juan,AR,,Waluchelys,227,208.5
1347823,San Juan,Caucete,San Juan,AR,,Sphenotitan,227,208.5
1347824,San Juan,Caucete,San Juan,AR,,Sphenotitan,227,208.5
1347830,San Juan,Caucete,San Juan,AR,,Lucianovenator,227,208.5
1349988,San Juan,,San Juan,AR,,Pseudochampsa,237,227
1421955,San Juan,Caucete Department,San Juan,AR,,Ingentia,227,208.5
1572197,San Juan,,San Juan,AR,,Incertovenator,237,227
1583925,San Juan,,San Juan,AR,,Taytalura,237,227
1593287,San Juan,Caucete,San Juan,AR,,Yelaphomte,227,208.5
1139540,Santa Cruz,Magallanes,Santa Cruz,AR,,Plateosaurus,227,208.5
1139540,Santa Cruz,Magallanes,Santa Cruz,AR,,Plateosaurus,227,208.5
1139540,Santa Cruz,Magallanes,Santa Cruz,AR,,Plateosaurus,227,208.5
1139540,Santa Cruz,Magallanes,Santa Cruz,AR,,Plateosaurus,227,208.5
404182,Austria,,Niederosterreich,AT,,Placochelys,227,208.5
882293,Austria,,Styria,AT,,Mystriosuchus,227,208.5
882293,Austria,,Styria,AT,,Mystriosuchus,227,208.5
882293,Austria,,Styria,AT,,Mystriosuchus,227,208.5
882303,Austria,Scheibbs,Niederosterreich,AT,,Dolerosaurus,233.4,227
1094707,Austria,,Arlberg,AT,,Cymatosaurus,247.2,242
1415012,Austria,Gailtaler Alps,Karnten,AT,,Lariosaurus,239.7,237
1415013,Austria,Gailtaler Alps,Karnten,AT,,Neusticosaurus,239.7,237
1419207,Austria,,,AT,,Psephoderma,208.5,201.4
1432005,Austria,Bludenz,Vorarlberg,AT,,Partanosaurus,242,237
635142,Tirol,,Tirol,AT,,Austriadactylus,213.2,208.5
777000,Tirol,,Tirol,AT,,Austriadraco,213.2,208.5
1418498,Tirol,,Tirol,AT,,Langobardisaurus,213.2,208.5
297867,Queensland,,Queensland,AU,,Grallator,227,208.5
790404,Queensland,,Queensland,AU,,Kadimakara,251.902,251.2
790404,Queensland,,Queensland,AU,,Kadimakara,251.902,251.2
790405,Queensland,,Queensland,AU,,Kudnu,251.902,251.2
790405,Queensland,,Queensland,AU,,Kudnu,251.902,251.2
979962,Queensland,,Queensland,AU,,Tasmaniosaurus,251.902,251.2
979963,Queensland,,Queensland,AU,,Kalisuchus,251.902,251.2
1087072,Queensland,,Queensland,AU,,Eomurruna,251.902,251.2
1534873,Queensland,,Queensland,AU,,Eomurruna,251.902,251.2
979958,Tasmania,Hobart,Tasmania,AU,,Tasmaniosaurus,251.902,251.2
1134406,Vares,,Vares,BA,,Tholodus,247.2,237
1101333,Belgium,,Gaume,BE,,Ichthyosaurus,208.5,201.4
1101354,Belgium,,Gaume,BE,,Plesiosaurus,208.5,201.4
1101373,Belgium,,Gaume,BE,,Ichthyosaurus,208.5,201.4
1101374,Belgium,,Gaume,BE,,Plesiosaurus,208.5,201.4
1313178,Belgium,,Gaume,BE,,Diphydontosaurus,208.5,201.4
1391294,Belgium,,Gaume,BE,,Clevosaurus,208.5,201.4
1094847,Bulgaria,,,BG,,Nothosaurus,247.2,237
814809,Goias,Portelandia,Goias,BR,,Brazilosaurus,290.1,283.5
814810,Goias,Portelandia,Goias,BR,,Stereosternum,290.1,283.5
815039,Goias,Perolandia,Goias,BR,,Brazilosaurus,290.1,283.5
815039,Goias,Perolandia,Goias,BR,,Brazilosaurus,290.1,283.5
815039,Goias,Perolandia,Goias,BR,,Brazilosaurus,290.1,283.5
815039,Goias,Perolandia,Goias,BR,,Brazilosaurus,290.1,283.5
815039,Goias,Perolandia,Goias,BR,,Brazilosaurus,290.1,283.5
815039,Goias,Perolandia,Goias,BR,,Brazilosaurus,290.1,283.5
815039,Goias,Perolandia,Goias,BR,,Brazilosaurus,290.1,283.5
815039,Goias,Perolandia,Goias,BR,,Brazilosaurus,290.1,283.5
815039,Goias,Perolandia,Goias,BR,,Brazilosaurus,290.1,283.5
815039,Goias,Perolandia,Goias,BR,,Brazilosaurus,290.1,283.5
815040,Goias,Perolandia,Goias,BR,,Mesosaurus,290.1,283.5
815041,Goias,Perolandia,Goias,BR,,Stereosternum,290.1,283.5
820351,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
820351,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
820351,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
820351,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
820351,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
820351,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
820351,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
820351,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
820351,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
820575,Parana,,Parana,BR,,Brazilosaurus,290.1,283.5
820575,Parana,,Parana,BR,,Brazilosaurus,290.1,283.5
820575,Parana,,Parana,BR,,Brazilosaurus,290.1,283.5
820921,Parana,Irati,Parana,BR,,Mesosaurus,290.1,283.5
820921,Parana,Irati,Parana,BR,,Mesosaurus,290.1,283.5
820922,Parana,Irati,Parana,BR,,Mesosaurus,290.1,283.5
820922,Parana,Irati,Parana,BR,,Mesosaurus,290.1,283.5
820922,Parana,Irati,Parana,BR,,Mesosaurus,290.1,283.5
820928,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821005,Parana,Irati,Parana,BR,,Mesosaurus,290.1,283.5
821028,Parana,Reboucas,Parana,BR,,Mesosaurus,290.1,283.5
821068,Parana,,Parana,BR,,Stereosternum,290.1,283.5
821068,Parana,,Parana,BR,,Stereosternum,290.1,283.5
821068,Parana,,Parana,BR,,Stereosternum,290.1,283.5
821068,Parana,,Parana,BR,,Stereosternum,290.1,283.5
821068,Parana,,Parana,BR,,Stereosternum,290.1,283.5
821068,Parana,,Parana,BR,,Stereosternum,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
821444,Parana,Sao Mateus do Sul,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
823059,Parana,,Parana,BR,,Mesosaurus,290.1,283.5
461293,Rio Grande do Sul,,Rio Grande do Sul,BR,,Unaysaurus,227,208.5
486188,Rio Grande do Sul,,Rio Grande do Sul,BR,,Staurikosaurus,237,227
486189,Rio Grande do Sul,,Rio Grande do Sul,BR,,Spondylosoma,242,237
536062,Rio Grande do Sul,,Rio Grande do Sul,BR,,Sacisaurus,227,208.5
536068,Rio Grande do Sul,Faxinal do Soturno County,Rio Grande do Sul,BR,,Guaibasaurus,227,208.5
536068,Rio Grande do Sul,Faxinal do Soturno County,Rio Grande do Sul,BR,,Guaibasaurus,227,208.5
668537,Rio Grande do Sul,,Rio Grande do Sul,BR,,Teyumbaita,227,208.5
668708,Rio Grande do Sul,,Rio Grande do Sul,BR,,Prestosuchus,242,237
733154,Rio Grande do Sul,Sao Gabriel,Rio Grande do Sul,BR,,Provelosaurus,266.9,259.51
811795,Rio Grande do Sul,Faxinal do Soturno County,Rio Grande do Sul,BR,,Soturnia,227,208.5
811795,Rio Grande do Sul,Faxinal do Soturno County,Rio Grande do Sul,BR,,Soturnia,227,208.5
811795,Rio Grande do Sul,Faxinal do Soturno County,Rio Grande do Sul,BR,,Soturnia,227,208.5
811801,Rio Grande do Sul,Faxinal do Soturno County,Rio Grande do Sul,BR,,Clevosaurus,227,208.5
811801,Rio Grande do Sul,Faxinal do Soturno County,Rio Grande do Sul,BR,,Clevosaurus,227,208.5
