genus	rotated_lat_scaled
Abyssomedon	0.03
Acadiella	0.35
Acaenasuchus	0.09
Acallosuchus	0.09
Acerosodontosaurus	-1.39
Acleistorhinus	0.08
Acrodenta	0.2
Actiosaurus	1.08
Adamanasuchus	0.09
Adelosaurus	0.8
Aenigmasaurus	-1.7
Aenigmaspina	0.77
Aenigmastropheus	-1.33
Aetosauroides	-1.3399999999999999
Aetosaurus	0.9317857142857143
Agkistrognathus	0.96
Agnosphitys	0.77
Alexeyisaurus	1.68
Alwalkeria	-0.86
Amanasaurus	-1.4066666666666665
Ammorhynchus	0.305
Ammosaurus	0.73
Amotosaurus	0.73
Anarosaurus	0.835
Anchisauripus_Tropical_N	0.70375
Ancistronychus	0.09
Angistorhinus	0.269
Anisodontosaurus	0.305
Anomoepus_Tropical_N	0.6778947368421053
Anomoiodon	0.68
Anshunsaurus	0.6819999999999999
Anthodon	-1.6425
Anticheiropus	0.62
Apachesuchus	0.09
Apatopus_Tropical_N	0.287
Apatosuchus	0.98
Aphelosaurus	0.2
Araeoscelis	-0.004285714285714286
Archeopelta	-1.36
Archosaurus	1.3125
Arcticodactylus	1.2
Arganaceras	0.2
Arganasuchus	0.2
Argoides	0.62
Arizonasaurus	0.2966666666666667
Asilisaurus	-1.29
Askeptosaurus	0.6433333333333333
Asperoris	-1.29
Asylosaurus	1.08
Atopodentatus	0.41
Atreipus_Tropical_N	0.495
Augustaburiania	1.4649999999999999
Augustasaurus	0.51
Australothyris	-1.76
Austriadactylus	0.99
Austriadraco	0.99
Avalonnectes	1.09
Avicranium	0.3
Azendohsaurus	0.2
Baeotherates	0.03
Baisesaurus	0.32
Barasaurus	-1.291818181818182
Barberenasuchus	-1.36
Barracudasauroides	0.41
Barracudasaurus	0.4333333333333333
Barrancapus	0.09
Bashkyroleter	1.26875
Batrachopus_Tropical_N	0.597741935483871
Batrachotomus	0.84
Belebey	1.2449999999999999
Benggwigwishingasuchus	0.51
Bentonyx	0.65
Bergamodactylus	0.63
Besanosaurus	0.65
Blezingeria	0.81
Blomosaurus	1.35
Bobosaurus	0.91
