,genus,county,state,occurrence_no,age_max,age_min
5,Araeoscelis,Archer,Texas,147523,290.1,283.5
6,Araeoscelis,Archer,Texas,147523,290.1,283.5
51,Postosuchus,Garza,Texas,149917,227.0,208.5
52,Postosuchus,Garza,Texas,149917,227.0,208.5
63,Plateosaurus,Freiburg,Baden-WÃ¼rttemberg,220082,227.0,208.5
64,Plateosaurus,Freiburg,Baden-WÃ¼rttemberg,220082,227.0,208.5
65,Proganochelys,Freiburg,Baden-WÃ¼rttemberg,220083,227.0,208.5
66,Proganochelys,Freiburg,Baden-WÃ¼rttemberg,220083,227.0,208.5
67,Proganochelys,Freiburg,Baden-WÃ¼rttemberg,220083,227.0,208.5
72,Captorhinus,Baylor,Texas,221283,283.5,273.01
73,Captorhinus,Baylor,Texas,221283,283.5,273.01
74,Eoraptor,,San Juan,256434,237.0,227.0
75,Eoraptor,,San Juan,256434,237.0,227.0
95,Aetosaurus,,,283826,227.0,208.5
96,Aetosaurus,,,283826,227.0,208.5
105,Rothianiscus,Blaine,Oklahoma,287715,273.01,264.28
106,Rothianiscus,Blaine,Oklahoma,287715,273.01,264.28
107,Rothianiscus,Blaine,Oklahoma,287715,273.01,264.28
116,Bolosaurus,Wichita,Texas,295924,290.1,283.5
117,Bolosaurus,Wichita,Texas,295924,290.1,283.5
118,Bolosaurus,Wichita,Texas,295924,290.1,283.5
119,Bolosaurus,Wichita,Texas,295924,290.1,283.5
120,Bolosaurus,Wichita,Texas,295924,290.1,283.5
121,Bolosaurus,Wichita,Texas,295924,290.1,283.5
122,Bolosaurus,Wichita,Texas,295924,290.1,283.5
129,Captorhinus,Baylor/Willbarger,Texas,296041,283.5,273.01
130,Captorhinus,Baylor/Willbarger,Texas,296041,283.5,273.01
139,Araeoscelis,Baylor,Texas,296100,283.5,273.01
140,Araeoscelis,Baylor,Texas,296100,283.5,273.01
141,Araeoscelis,Baylor,Texas,296100,283.5,273.01
142,Araeoscelis,Baylor,Texas,296100,283.5,273.01
143,Araeoscelis,Baylor,Texas,296100,283.5,273.01
163,Omphalosaurus,Pershing,Nevada,361674,247.2,237.0
164,Omphalosaurus,Pershing,Nevada,361674,247.2,237.0
173,Psephoderma,,Lombardia,382582,216.7,213.2
174,Psephoderma,,Lombardia,382582,216.7,213.2
175,Psephoderma,,Lombardia,382582,216.7,213.2
178,Plateosauravus,Herschel,Eastern Cape,385607,227.0,208.5
179,Plateosauravus,Herschel,Eastern Cape,385607,227.0,208.5
180,Plateosauravus,Herschel,Eastern Cape,385607,227.0,208.5
181,Plateosauravus,Herschel,Eastern Cape,385607,227.0,208.5
248,Gresslyosaurus,Liestal,Basel-Landschaft,479551,213.2,208.5
249,Gresslyosaurus,Liestal,Basel-Landschaft,479551,213.2,208.5
258,Chindesaurus,Apache,Arizona,484986,227.0,208.5
259,Chindesaurus,Apache,Arizona,484986,227.0,208.5
274,Plateosaurus,,Baden-WÃ¼rttemberg,486407,208.5,201.4
275,Plateosaurus,,Baden-WÃ¼rttemberg,486407,208.5,201.4
277,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
278,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
279,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
280,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
281,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
282,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
283,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
284,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
285,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
286,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
287,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
288,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
289,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
290,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
291,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
292,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
293,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
294,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
295,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
296,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
297,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
298,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
299,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
300,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
301,Plateosaurus,,Sachsen-Anhalt,486411,208.5,201.4
302,Ruehleia,,Thuringia,486412,227.0,208.5
303,Ruehleia,,Thuringia,486412,227.0,208.5
304,Liliensternus,,Thuringia,486413,227.0,208.5
305,Liliensternus,,Thuringia,486413,227.0,208.5
355,Thecodontosaurus,,England,513479,208.5,201.4
356,Thecodontosaurus,,England,513479,208.5,201.4
357,Thecodontosaurus,,England,513479,208.5,201.4
358,Thecodontosaurus,,England,513479,208.5,201.4
359,Thecodontosaurus,,England,513479,208.5,201.4
360,Thecodontosaurus,,England,513479,208.5,201.4
361,Thecodontosaurus,,England,513479,208.5,201.4
362,Thecodontosaurus,,England,513479,208.5,201.4
363,Thecodontosaurus,,England,513479,208.5,201.4
364,Thecodontosaurus,,England,513479,208.5,201.4
365,Thecodontosaurus,,England,513479,208.5,201.4
389,Herrerasaurus,Valle FertÃ­l,San Juan,518725,237.0,227.0
390,Herrerasaurus,Valle FertÃ­l,San Juan,518725,237.0,227.0
427,Revueltosaurus,,Arizona,521669,227.0,208.5
428,Revueltosaurus,,Arizona,521669,227.0,208.5
429,Revueltosaurus,,Arizona,521669,227.0,208.5
430,Revueltosaurus,,Arizona,521669,227.0,208.5
431,Revueltosaurus,,Arizona,521669,227.0,208.5
432,Revueltosaurus,,Arizona,521669,227.0,208.5
434,Vancleavea,Rio Arriba,New Mexico,521673,208.5,201.4
435,Vancleavea,Rio Arriba,New Mexico,521673,208.5,201.4
436,Vancleavea,Rio Arriba,New Mexico,521673,208.5,201.4
438,Hesperosuchus,Rio Arriba,New Mexico,521679,208.5,201.4
439,Hesperosuchus,Rio Arriba,New Mexico,521679,208.5,201.4
464,Asylosaurus,,England,534770,208.5,201.4
465,Asylosaurus,,England,534770,208.5,201.4
466,Asylosaurus,,England,534770,208.5,201.4
467,Asylosaurus,,England,534770,208.5,201.4
468,Asylosaurus,,England,534770,208.5,201.4
469,Asylosaurus,,England,534770,208.5,201.4
473,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
474,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
475,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
476,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
477,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
478,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
479,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
480,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
481,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
482,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
483,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
484,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
485,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
486,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
487,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
488,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
489,Anomoepus,Hampden,Massachusetts,534782,201.4,199.5
506,Guaibasaurus,Faxinal do Soturno County,Rio Grande do Sul,536068,227.0,208.5
507,Guaibasaurus,Faxinal do Soturno County,Rio Grande do Sul,536068,227.0,208.5
525,Kholumolumo,,Mohale's Hoek,538678,227.0,208.5
526,Kholumolumo,,Mohale's Hoek,538678,227.0,208.5
527,Kholumolumo,,Mohale's Hoek,538678,227.0,208.5
528,Kholumolumo,,Mohale's Hoek,538678,227.0,208.5
529,Kholumolumo,,Mohale's Hoek,538678,227.0,208.5
530,Kholumolumo,,Mohale's Hoek,538678,227.0,208.5
531,Kholumolumo,,Mohale's Hoek,538678,227.0,208.5
535,Yimenosaurus,Yimen,Yunnan,539205,201.4,199.5
536,Yimenosaurus,Yimen,Yunnan,539205,201.4,199.5
537,Yimenosaurus,Yimen,Yunnan,539205,201.4,199.5
538,Yimenosaurus,Yimen,Yunnan,539205,201.4,199.5
539,Yimenosaurus,Yimen,Yunnan,539205,201.4,199.5
540,Yimenosaurus,Yimen,Yunnan,539205,201.4,199.5
541,Yimenosaurus,Yimen,Yunnan,539205,201.4,199.5
542,Yimenosaurus,Yimen,Yunnan,539205,201.4,199.5
543,Yimenosaurus,Yimen,Yunnan,539205,201.4,199.5
544,Yimenosaurus,Yimen,Yunnan,539205,201.4,199.5
545,Lessemsaurus,Independencia,La Rioja,539206,227.0,208.5
546,Lessemsaurus,Independencia,La Rioja,539206,227.0,208.5
547,Lessemsaurus,Independencia,La Rioja,539206,227.0,208.5
555,Apatopus,Garfield,Utah,545091,208.5,201.4
556,Apatopus,Garfield,Utah,545091,208.5,201.4
570,Typothorax,Apache,Arizona,557172,227.0,208.5
571,Typothorax,Apache,Arizona,557172,227.0,208.5
572,Typothorax,Apache,Arizona,557172,227.0,208.5
576,Coelophysis,Apache,Arizona,557177,227.0,208.5
577,Coelophysis,Apache,Arizona,557177,227.0,208.5
578,Coelophysis,Apache,Arizona,557177,227.0,208.5
579,Coelophysis,Apache,Arizona,557177,227.0,208.5
592,Effigia,Rio Arriba,New Mexico,560165,208.5,201.4
593,Effigia,Rio Arriba,New Mexico,560165,208.5,201.4
594,Effigia,Rio Arriba,New Mexico,560165,208.5,201.4
595,Effigia,Rio Arriba,New Mexico,560165,208.5,201.4
603,Protoavis,Garza,Texas,562836,227.0,208.5
604,Protoavis,Garza,Texas,562836,227.0,208.5
605,Protoavis,Garza,Texas,562836,227.0,208.5
612,Tetrasauropus,,Mendoza,568152,247.2,237.0
613,Tetrasauropus,,Mendoza,568152,247.2,237.0
654,Machaeroprosopus,Rio Arriba,New Mexico,590150,227.0,208.5
655,Machaeroprosopus,Rio Arriba,New Mexico,590150,227.0,208.5
656,Machaeroprosopus,Rio Arriba,New Mexico,590150,227.0,208.5
657,Machaeroprosopus,Rio Arriba,New Mexico,590150,227.0,208.5
658,Machaeroprosopus,Rio Arriba,New Mexico,590150,227.0,208.5
659,Machaeroprosopus,Rio Arriba,New Mexico,590150,227.0,208.5
660,Machaeroprosopus,Rio Arriba,New Mexico,590150,227.0,208.5
661,Machaeroprosopus,Rio Arriba,New Mexico,590150,227.0,208.5
662,Machaeroprosopus,Rio Arriba,New Mexico,590150,227.0,208.5
663,Machaeroprosopus,Rio Arriba,New Mexico,590150,227.0,208.5
664,Machaeroprosopus,Rio Arriba,New Mexico,590150,227.0,208.5
695,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
696,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
697,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
698,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
699,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
700,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
701,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
702,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
703,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
704,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
705,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
706,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
707,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
708,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
709,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
710,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
