Locality,cc,id,Taxon,MaxAge,MinAge,Rotated Lat,Rotated Lon,Area
New Jersey,US,4411,Icarosaurus,227.0,208.5,6.739,-20.6269,4
New Jersey,US,4410,Rutiodon,227.0,208.5,6.739,-20.6269,4
England,UK,4409,Kuehneosuchus,208.5,201.4,35.9688,2.1884,3
England,UK,4408,Kuehneosaurus,208.5,201.4,35.9688,2.1884,3
Eastern Cape,ZA,4407,Procolophon,251.902,247.2,-62.6208,-11.8191,1
Texas,US,4405,Araeoscelis,290.1,283.5,-2.9808,-38.7628,4
Texas,US,4406,Araeoscelis,290.1,283.5,-2.9808,-38.7628,4
England,UK,4404,Clevosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4403,Diphydontosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4402,Diphydontosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4401,Terrestrisuchus,237.0,227.0,24.9561,4.3648,3
England,UK,4400,Planocephalosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4399,Sigmala,237.0,227.0,24.9561,4.3648,3
England,UK,4398,Kuehneosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4397,Clevosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4396,Planocephalosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4395,Terrestrisuchus,237.0,227.0,24.9561,4.3648,3
England,UK,4394,Diphydontosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4393,Sigmala,237.0,227.0,24.9561,4.3648,3
England,UK,4392,Planocephalosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4391,Clevosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4390,Terrestrisuchus,237.0,227.0,24.9561,4.3648,3
England,UK,4389,Diphydontosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4388,Sigmala,237.0,227.0,24.9561,4.3648,3
England,UK,4387,Kuehneosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4386,Sigmala,237.0,227.0,24.9561,4.3648,3
England,UK,4385,Pelecymala,237.0,227.0,24.9561,4.3648,3
England,UK,4384,Planocephalosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4383,Planocephalosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4382,Clevosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4381,Sigmala,237.0,227.0,24.9561,4.3648,3
England,UK,4380,Kuehneosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4379,Planocephalosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4378,Clevosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4377,Sigmala,237.0,227.0,24.9561,4.3648,3
England,UK,4376,Kuehneosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4375,Planocephalosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4374,Clevosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4373,Sigmala,237.0,227.0,24.9561,4.3648,3
England,UK,4372,Kuehneosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4371,Planocephalosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4370,Clevosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4369,Sigmala,237.0,227.0,24.9561,4.3648,3
England,UK,4368,Planocephalosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4367,Planocephalosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4366,Clevosaurus,237.0,227.0,24.9561,4.3648,3
England,UK,4365,Terrestrisuchus,237.0,227.0,24.9561,4.3648,3
England,UK,4364,Diphydontosaurus,237.0,227.0,24.9561,4.3648,3
Texas,US,4363,Trilophosaurus,227.0,208.5,-1.4701,-41.4649,4
La Rioja,AR,4362,Lewisuchus,242.0,237.0,-49.9808,-33.9335,4
La Rioja,AR,4361,Lagerpeton,242.0,237.0,-49.9808,-33.9335,4
Texas,US,4359,Postosuchus,227.0,208.5,-1.4701,-41.4649,4
Texas,US,4360,Postosuchus,227.0,208.5,-1.4701,-41.4649,4
Texas,US,4358,Desmatosuchus,227.0,208.5,-1.4701,-41.4649,4
Texas,US,4357,Trilophosaurus,227.0,208.5,-1.4701,-41.4649,4
Baden-Wurttemberg,DE,4356,Efraasia,227.0,208.5,32.5932,9.3339,3
Switzerland,CH,4355,Neusticosaurus,247.2,237.0,20.9379,22.0121,3
Switzerland,CH,4354,Mixosaurus,247.2,237.0,20.9379,22.0121,3
Switzerland,CH,4352,Plateosaurus,227.0,208.5,30.9826,11.6474,3
Switzerland,CH,4351,Aetosaurus,227.0,208.5,30.9826,11.6474,3
Switzerland,CH,4350,Saltoposuchus,227.0,208.5,30.9826,11.6474,3
Switzerland,CH,4349,Liliensternus,227.0,208.5,30.9826,11.6474,3
Baden-Wurttemberg,DE,4347,Plateosaurus,227.0,208.5,30.9826,11.6474,3
Baden-Wurttemberg,DE,4348,Plateosaurus,227.0,208.5,30.9826,11.6474,3
Baden-Wurttemberg,DE,4344,Proganochelys,227.0,208.5,30.9826,11.6474,3
Baden-Wurttemberg,DE,4345,Proganochelys,227.0,208.5,30.9826,11.6474,3
Baden-Wurttemberg,DE,4346,Proganochelys,227.0,208.5,30.9826,11.6474,3
Baden-Wurttemberg,DE,4343,Liliensternus,227.0,208.5,30.9826,11.6474,3
Sachsen-Anhalt,DE,4342,Proganochelys,208.5,201.4,42.7067,10.1418,3
Sachsen-Anhalt,DE,4341,Liliensternus,208.5,201.4,42.7067,10.1418,3
Sachsen-Anhalt,DE,4340,Elachistosuchus,208.5,201.4,42.7067,10.1418,3
Texas,US,4338,Captorhinus,283.5,273.01,1.0593,-36.5887,4
Texas,US,4339,Captorhinus,283.5,273.01,1.0593,-36.5887,4
San Juan,AR,4336,Eoraptor,237.0,227.0,-52.0012,-29.5316,4
San Juan,AR,4337,Eoraptor,237.0,227.0,-52.0012,-29.5316,4
San Juan,AR,4335,Herrerasaurus,237.0,227.0,-52.0012,-29.5316,4
San Juan,AR,4334,Saurosuchus,237.0,227.0,-52.0012,-29.5316,4
San Juan,AR,4333,Aetosauroides,237.0,227.0,-52.0012,-29.5316,4
San Juan,AR,4332,Herrerasaurus,237.0,227.0,-52.0012,-29.5316,4
England,UK,4331,Terrestrisuchus,237.0,227.0,24.9561,4.3648,3
England,UK,4330,Agnosphitys,237.0,227.0,24.9561,4.3648,3
La Rioja,AR,4329,Luperosuchus,242.0,237.0,-49.9808,-33.9335,4
La Rioja,AR,4328,Lagerpeton,242.0,237.0,-49.9808,-33.9335,4
La Rioja,AR,4327,Chanaresuchus,242.0,237.0,-49.9808,-33.9335,4
La Rioja,AR,4326,Gualosuchus,242.0,237.0,-49.9808,-33.9335,4
La Rioja,AR,4325,Gracilisuchus,242.0,237.0,-49.9808,-33.9335,4
La Rioja,AR,4324,Marasuchus,242.0,237.0,-49.9808,-33.9335,4
La Rioja,AR,4323,Lewisuchus,242.0,237.0,-49.9808,-33.9335,4
La Rioja,AR,4322,Tropidosuchus,242.0,237.0,-49.9808,-33.9335,4
La Rioja,AR,4321,Tarjadia,242.0,237.0,-49.9808,-33.9335,4
La Rioja,AR,4320,Pisanosaurus,237.0,227.0,-52.0012,-29.5316,4
Western Cape,ZA,4319,Bradysaurus,264.28,259.51,-62.7516,-22.8072,1
East Greenland,GL,4318,Arcticodactylus,227.0,208.5,40.0893,-9.3354,4
Wales,UK,4312,Pantydraco,237.0,227.0,24.9561,4.3648,3
Nei Mongol,CN,4311,Eumetabolodon,251.2,242.0,42.9789,121.7034,2
Shaanxi,CN,4310,Eumetabolodon,251.2,242.0,42.9789,121.7034,2
Nei Mongol,CN,4309,Youngetta,251.902,247.2,41.6012,117.8804,2
Bashkortostan,RU,4308,Belebey,266.9,264.28,41.9725,35.9164,3
Oklahoma,US,4307,Rothianiscus,273.01,264.28,2.6894,-35.9903,4
Oklahoma,US,4304,Rothianiscus,273.01,264.28,2.6894,-35.9903,4
Oklahoma,US,4305,Rothianiscus,273.01,264.28,2.6894,-35.9903,4
Oklahoma,US,4306,Rothianiscus,273.01,264.28,2.6894,-35.9903,4
Oklahoma,US,4303,Rothianiscus,273.01,264.28,2.6894,-35.9903,4
Oklahoma,US,4302,Rothianiscus,273.01,264.28,2.6894,-35.9903,4
Oklahoma,US,4301,Rothianiscus,273.01,264.28,2.6894,-35.9903,4
Oklahoma,US,4300,Rothianiscus,273.01,264.28,2.6894,-35.9903,4
Oklahoma,US,4299,Rothianiscus,273.01,264.28,2.6894,-35.9903,4
Oklahoma,US,4298,Rothianiscus,273.01,264.28,2.6894,-35.9903,4
Oklahoma,US,4297,Rothianiscus,273.01,264.28,2.6894,-35.9903,4
Texas,US,4296,Captorhinoides,283.5,273.01,0.2573,-40.5036,4
Texas,US,4289,Bolosaurus,290.1,283.5,-0.73,-37.6741,4
Texas,US,4290,Bolosaurus,290.1,283.5,-0.73,-37.6741,4
Texas,US,4291,Bolosaurus,290.1,283.5,-0.73,-37.6741,4
Texas,US,4292,Bolosaurus,290.1,283.5,-0.73,-37.6741,4
Texas,US,4293,Bolosaurus,290.1,283.5,-0.73,-37.6741,4
Texas,US,4294,Bolosaurus,290.1,283.5,-0.73,-37.6741,4
Texas,US,4295,Bolosaurus,290.1,283.5,-0.73,-37.6741,4
Texas,US,4288,Bolosaurus,290.1,283.5,-0.73,-37.6741,4
Texas,US,4287,Bolosaurus,290.1,283.5,-2.9808,-38.7628,4
Texas,US,4286,Labidosaurus,283.5,273.01,1.0593,-36.5887,4
Texas,US,4285,Captorhinus,283.5,273.01,1.0593,-36.5887,4
Texas,US,4284,Captorhinus,283.5,273.01,1.0593,-36.5887,4
Texas,US,4283,Captorhinus,283.5,273.01,1.0593,-36.5887,4
Texas,US,4281,Captorhinus,283.5,273.01,1.0593,-36.5887,4
Texas,US,4282,Captorhinus,283.5,273.01,1.0593,-36.5887,4
Texas,US,4280,Labidosaurus,283.5,273.01,1.0593,-36.5887,4
Texas,US,4279,Labidosaurus,283.5,273.01,1.0593,-36.5887,4
Texas,US,4278,Captorhinus,283.5,273.01,1.0593,-36.5887,4
Texas,US,4277,Captorhinus,283.5,273.01,1.0593,-36.5887,4
