index,occurrence_no_x,locality,county_original,state,cc,notes,id,genus,age_max,age_min
0,146084,New Jersey,Hudson,New Jersey,US,,4411,Icarosaurus,227,208.5
1,146085,New Jersey,Hudson,New Jersey,US,,4410,Rutiodon,227,208.5
2,146086,England,Somerset,England,UK,,4409,Kuehneosuchus,208.5,201.4
3,146087,England,Somerset,England,UK,,4408,Kuehneosaurus,208.5,201.4
4,147521,Eastern Cape,Chris Hani,Eastern Cape,ZA,,4407,Procolophon,251.902,247.2
5,147523,Texas,Archer,Texas,US,,4405,Araeoscelis,290.1,283.5
6,147523,Texas,Archer,Texas,US,,4406,Araeoscelis,290.1,283.5
7,149237,England,Gloucestershire,England,UK,,4404,Clevosaurus,237,227
8,149239,England,Gloucestershire,England,UK,,4403,Diphydontosaurus,237,227
9,149241,England,Gloucestershire,England,UK,,4402,Diphydontosaurus,237,227
10,149242,England,Gloucestershire,England,UK,,4401,Terrestrisuchus,237,227
11,149243,England,Gloucestershire,England,UK,,4400,Planocephalosaurus,237,227
12,149244,England,Gloucestershire,England,UK,,4399,Sigmala,237,227
13,149246,England,Gloucestershire,England,UK,,4398,Kuehneosaurus,237,227
14,149247,England,Gloucestershire,England,UK,,4397,Clevosaurus,237,227
15,149249,England,Gloucestershire,England,UK,,4396,Planocephalosaurus,237,227
16,149250,England,Gloucestershire,England,UK,,4395,Terrestrisuchus,237,227
17,149251,England,Gloucestershire,England,UK,,4394,Diphydontosaurus,237,227
18,149253,England,Gloucestershire,England,UK,,4393,Sigmala,237,227
19,149254,England,Gloucestershire,England,UK,,4392,Planocephalosaurus,237,227
20,149255,England,Gloucestershire,England,UK,,4391,Clevosaurus,237,227
21,149257,England,Gloucestershire,England,UK,,4390,Terrestrisuchus,237,227
22,149258,England,Gloucestershire,England,UK,,4389,Diphydontosaurus,237,227
23,149260,England,Gloucestershire,England,UK,,4388,Sigmala,237,227
24,149261,England,Gloucestershire,England,UK,,4387,Kuehneosaurus,237,227
25,149262,England,Gloucestershire,England,UK,,4386,Sigmala,237,227
26,149263,England,Gloucestershire,England,UK,,4385,Pelecymala,237,227
