,occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
0,146084,New Jersey,Hudson,New Jersey,US,,Icarosaurus,227.0,208.5
1,146085,New Jersey,Hudson,New Jersey,US,,Rutiodon,227.0,208.5
2,146086,England,Somerset,England,UK,,Kuehneosuchus,208.5,201.4
3,146087,England,Somerset,England,UK,,Kuehneosaurus,208.5,201.4
4,147521,Eastern Cape,Chris Hani,Eastern Cape,ZA,,Procolophon,251.902,247.2
5,147523,Texas,Archer,Texas,US,,Araeoscelis,290.1,283.5
6,147523,Texas,Archer,Texas,US,,Araeoscelis,290.1,283.5
7,149237,England,Gloucestershire,England,UK,,Clevosaurus,237.0,227.0
8,149239,England,Gloucestershire,England,UK,,Diphydontosaurus,237.0,227.0
9,149241,England,Gloucestershire,England,UK,,Diphydontosaurus,237.0,227.0
10,149242,England,Gloucestershire,England,UK,,Terrestrisuchus,237.0,227.0
11,149243,England,Gloucestershire,England,UK,,Planocephalosaurus,237.0,227.0
12,149244,England,Gloucestershire,England,UK,,Sigmala,237.0,227.0
13,149246,England,Gloucestershire,England,UK,,Kuehneosaurus,237.0,227.0
14,149247,England,Gloucestershire,England,UK,,Clevosaurus,237.0,227.0
15,149249,England,Gloucestershire,England,UK,,Planocephalosaurus,237.0,227.0
16,149250,England,Gloucestershire,England,UK,,Terrestrisuchus,237.0,227.0
17,149251,England,Gloucestershire,England,UK,,Diphydontosaurus,237.0,227.0
18,149253,England,Gloucestershire,England,UK,,Sigmala,237.0,227.0
19,149254,England,Gloucestershire,England,UK,,Planocephalosaurus,237.0,227.0
20,149255,England,Gloucestershire,England,UK,,Clevosaurus,237.0,227.0
21,149257,England,Gloucestershire,England,UK,,Terrestrisuchus,237.0,227.0
22,149258,England,Gloucestershire,England,UK,,Diphydontosaurus,237.0,227.0
23,149260,England,Gloucestershire,England,UK,,Sigmala,237.0,227.0
24,149261,England,Gloucestershire,England,UK,,Kuehneosaurus,237.0,227.0
25,149262,England,Gloucestershire,England,UK,,Sigmala,237.0,227.0
26,149263,England,Gloucestershire,England,UK,,Pelecymala,237.0,227.0
27,149264,England,Gloucestershire,England,UK,,Planocephalosaurus,237.0,227.0
28,149267,England,Gloucestershire,England,UK,,Planocephalosaurus,237.0,227.0
29,149268,England,Gloucestershire,England,UK,,Clevosaurus,237.0,227.0
30,149271,England,Gloucestershire,England,UK,,Sigmala,237.0,227.0
31,149272,England,Gloucestershire,England,UK,,Kuehneosaurus,237.0,227.0
32,149273,England,Gloucestershire,England,UK,,Planocephalosaurus,237.0,227.0
33,149274,England,Gloucestershire,England,UK,,Clevosaurus,237.0,227.0
34,149276,England,Gloucestershire,England,UK,,Sigmala,237.0,227.0
35,149277,England,Gloucestershire,England,UK,,Kuehneosaurus,237.0,227.0
36,149278,England,Gloucestershire,England,UK,,Planocephalosaurus,237.0,227.0
37,149279,England,Gloucestershire,England,UK,,Clevosaurus,237.0,227.0
38,149283,England,Gloucestershire,England,UK,,Sigmala,237.0,227.0
39,149284,England,Gloucestershire,England,UK,,Kuehneosaurus,237.0,227.0
40,149285,England,Gloucestershire,England,UK,,Planocephalosaurus,237.0,227.0
41,149286,England,Gloucestershire,England,UK,,Clevosaurus,237.0,227.0
42,149289,England,Gloucestershire,England,UK,,Sigmala,237.0,227.0
43,149290,England,Gloucestershire,England,UK,,Planocephalosaurus,237.0,227.0
44,149293,England,Gloucestershire,England,UK,,Planocephalosaurus,237.0,227.0
45,149294,England,Gloucestershire,England,UK,,Clevosaurus,237.0,227.0
46,149295,England,Gloucestershire,England,UK,,Terrestrisuchus,237.0,227.0
47,149296,England,Gloucestershire,England,UK,,Diphydontosaurus,237.0,227.0
48,149845,Texas,Crosby,Texas,US,,Trilophosaurus,227.0,208.5
49,149866,La Rioja,,La Rioja,AR,,Lewisuchus,242.0,237.0
50,149867,La Rioja,,La Rioja,AR,,Lagerpeton,242.0,237.0
51,149917,Texas,Garza,Texas,US,,Postosuchus,227.0,208.5
52,149917,Texas,Garza,Texas,US,,Postosuchus,227.0,208.5
53,149918,Texas,Garza,Texas,US,,Desmatosuchus,227.0,208.5
54,149919,Texas,Garza,Texas,US,,Trilophosaurus,227.0,208.5
55,149988,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,,Efraasia,227.0,208.5
56,150315,Switzerland,,,CH,,Neusticosaurus,247.2,237.0
57,150316,Switzerland,,,CH,,Mixosaurus,247.2,237.0
59,220070,Switzerland,,Aargau,CH,,Plateosaurus,227.0,208.5
60,220071,Switzerland,,Aargau,CH,,Aetosaurus,227.0,208.5
61,220072,Switzerland,,Aargau,CH,,Saltoposuchus,227.0,208.5
62,220073,Switzerland,,Aargau,CH,,Liliensternus,227.0,208.5
63,220082,Baden-Wurttemberg,Freiburg,Baden-Wurttemberg,DE,,Plateosaurus,227.0,208.5
64,220082,Baden-Wurttemberg,Freiburg,Baden-Wurttemberg,DE,,Plateosaurus,227.0,208.5
65,220083,Baden-Wurttemberg,Freiburg,Baden-Wurttemberg,DE,,Proganochelys,227.0,208.5
66,220083,Baden-Wurttemberg,Freiburg,Baden-Wurttemberg,DE,,Proganochelys,227.0,208.5
67,220083,Baden-Wurttemberg,Freiburg,Baden-Wurttemberg,DE,,Proganochelys,227.0,208.5
68,220084,Baden-Wurttemberg,Freiburg,Baden-Wurttemberg,DE,,Liliensternus,227.0,208.5
69,220086,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Proganochelys,208.5,201.4
70,220087,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Liliensternus,208.5,201.4
71,220088,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Elachistosuchus,208.5,201.4
72,221283,Texas,Baylor,Texas,US,,Captorhinus,283.5,273.01
73,221283,Texas,Baylor,Texas,US,,Captorhinus,283.5,273.01
74,256434,San Juan,,San Juan,AR,,Eoraptor,237.0,227.0
75,256434,San Juan,,San Juan,AR,,Eoraptor,237.0,227.0
76,256435,San Juan,,San Juan,AR,,Herrerasaurus,237.0,227.0
77,256436,San Juan,,San Juan,AR,,Saurosuchus,237.0,227.0
78,256437,San Juan,,San Juan,AR,,Aetosauroides,237.0,227.0
79,256441,San Juan,,San Juan,AR,,Herrerasaurus,237.0,227.0
80,261808,England,Gloucestershire,England,UK,,Terrestrisuchus,237.0,227.0
81,261810,England,Gloucestershire,England,UK,,Agnosphitys,237.0,227.0
82,272321,La Rioja,,La Rioja,AR,,Luperosuchus,242.0,237.0
83,272322,La Rioja,,La Rioja,AR,,Lagerpeton,242.0,237.0
84,272323,La Rioja,,La Rioja,AR,,Chanaresuchus,242.0,237.0
85,272324,La Rioja,,La Rioja,AR,,Gualosuchus,242.0,237.0
86,272325,La Rioja,,La Rioja,AR,,Gracilisuchus,242.0,237.0
87,272327,La Rioja,,La Rioja,AR,,Marasuchus,242.0,237.0
88,272328,La Rioja,,La Rioja,AR,,Lewisuchus,242.0,237.0
89,272329,La Rioja,,La Rioja,AR,,Tropidosuchus,242.0,237.0
90,272330,La Rioja,,La Rioja,AR,,Tarjadia,242.0,237.0
91,277109,La Rioja,General Lavalle,La Rioja,AR,,Pisanosaurus,237.0,227.0
92,279623,Western Cape,Beaufort West,Western Cape,ZA,,Bradysaurus,264.28,259.51
93,283819,East Greenland,,East Greenland,GL,,Arcticodactylus,227.0,208.5
99,284027,Wales,Swansea,Wales,UK,,Pantydraco,237.0,227.0
100,285740,Nei Mongol,Zhuengeerqi,Nei Mongol,CN,,Eumetabolodon,251.2,242.0
101,285752,Shaanxi,Fugu,Shaanxi,CN,,Eumetabolodon,251.2,242.0
102,285753,Nei Mongol,,Nei Mongol,CN,,Youngetta,251.902,247.2
103,286782,Bashkortostan,Belebei,Bashkortostan,RU,,Belebey,266.9,264.28
104,287287,Oklahoma,Blaine,Oklahoma,US,,Rothianiscus,273.01,264.28
105,287715,Oklahoma,Blaine,Oklahoma,US,,Rothianiscus,273.01,264.28
106,287715,Oklahoma,Blaine,Oklahoma,US,,Rothianiscus,273.01,264.28
107,287715,Oklahoma,Blaine,Oklahoma,US,,Rothianiscus,273.01,264.28
108,287747,Oklahoma,Blaine,Oklahoma,US,,Rothianiscus,273.01,264.28
109,287764,Oklahoma,Blaine,Oklahoma,US,,Rothianiscus,273.01,264.28
110,287827,Oklahoma,Kingfisher,Oklahoma,US,,Rothianiscus,273.01,264.28
111,287904,Oklahoma,Kingfisher,Oklahoma,US,,Rothianiscus,273.01,264.28
112,287929,Oklahoma,Canadian,Oklahoma,US,,Rothianiscus,273.01,264.28
113,289331,Oklahoma,Kingfisher,Oklahoma,US,,Rothianiscus,273.01,264.28
114,289337,Oklahoma,Kingfisher,Oklahoma,US,,Rothianiscus,273.01,264.28
115,290383,Texas,Knox,Texas,US,,Captorhinoides,283.5,273.01
116,295924,Texas,Wichita,Texas,US,,Bolosaurus,290.1,283.5
117,295924,Texas,Wichita,Texas,US,,Bolosaurus,290.1,283.5
118,295924,Texas,Wichita,Texas,US,,Bolosaurus,290.1,283.5
119,295924,Texas,Wichita,Texas,US,,Bolosaurus,290.1,283.5
120,295924,Texas,Wichita,Texas,US,,Bolosaurus,290.1,283.5
121,295924,Texas,Wichita,Texas,US,,Bolosaurus,290.1,283.5
122,295924,Texas,Wichita,Texas,US,,Bolosaurus,290.1,283.5
123,295925,Texas,Wichita,Texas,US,,Bolosaurus,290.1,283.5
124,295928,Texas,Archer,Texas,US,,Bolosaurus,290.1,283.5
125,296008,Texas,Baylor/Wilbarger,Texas,US,,Labidosaurus,283.5,273.01
126,296038,Texas,Baylor/Willbarger,Texas,US,,Captorhinus,283.5,273.01
127,296039,Texas,Baylor/Willbarger,Texas,US,,Captorhinus,283.5,273.01
128,296040,Texas,Baylor/Willbarger,Texas,US,,Captorhinus,283.5,273.01
129,296041,Texas,Baylor/Willbarger,Texas,US,,Captorhinus,283.5,273.01
130,296041,Texas,Baylor/Willbarger,Texas,US,,Captorhinus,283.5,273.01
131,296042,Texas,Baylor/Willbarger,Texas,US,,Labidosaurus,283.5,273.01
132,296043,Texas,Baylor/Willbarger,Texas,US,,Labidosaurus,283.5,273.01
133,296060,Texas,Baylor,Texas,US,,Captorhinus,283.5,273.01
134,296063,Texas,Baylor,Texas,US,,Captorhinus,283.5,273.01
135,296064,Texas,Baylor,Texas,US,,Labidosaurus,283.5,273.01
136,296073,Texas,Baylor,Texas,US,,Captorhinus,283.5,273.01
137,296074,Texas,Baylor,Texas,US,,Labidosaurus,283.5,273.01
138,296099,Texas,Baylor,Texas,US,,Bolosaurus,283.5,273.01
139,296100,Texas,Baylor,Texas,US,,Araeoscelis,283.5,273.01
140,296100,Texas,Baylor,Texas,US,,Araeoscelis,283.5,273.01
141,296100,Texas,Baylor,Texas,US,,Araeoscelis,283.5,273.01
142,296100,Texas,Baylor,Texas,US,,Araeoscelis,283.5,273.01
143,296100,Texas,Baylor,Texas,US,,Araeoscelis,283.5,273.01
144,296107,Texas,Baylor,Texas,US,,Captorhinus,283.5,273.01
145,296108,Texas,Baylor,Texas,US,,Labidosaurus,283.5,273.01
146,296109,Texas,Baylor,Texas,US,,Labidosaurus,283.5,273.01
147,296117,Texas,Baylor,Texas,US,,Captorhinus,283.5,273.01
148,297328,Namibia,,Erongo,Namibia,,Mesosaurus,290.1,283.5
149,297329,Namibia,,Erongo,Namibia,,Mesosaurus,290.1,283.5
150,297330,Namibia,,Erongo,Namibia,,Mesosaurus,290.1,283.5
151,297331,Namibia,,Erongo,Namibia,,Mesosaurus,290.1,283.5
152,297867,Queensland,,Queensland,AU,,Grallator,227.0,208.5
153,299715,Kirov,Kotelnich,Kirov,RU,,Deltavjatia,264.28,259.51
154,299716,Tatarstan,Tetyushi,Tatarstan,RU,,Scutosaurus,264.28,254.14
155,337694,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,,Neusticosaurus,247.2,237.0
156,337705,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,,Cymatosaurus,247.2,237.0
157,337723,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,,Termatosaurus,208.5,201.4
158,337737,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,,Ichthyosaurus,208.5,201.4
159,337745,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,,Termatosaurus,208.5,201.4
160,337746,Provence-Alpes-Cote d'Azur Region,Var Departement,Provence-Alpes-Cote d'Azur Region,FR,,Ichthyosaurus,208.5,201.4
161,346294,Texas,Archer,Texas,US,,Bolosaurus,298.9,290.1
162,360364,La Rioja,,La Rioja,AR,,Zupaysaurus,227.0,208.5
163,361674,Nevada,Pershing,Nevada,US,,Omphalosaurus,247.2,237.0
164,361674,Nevada,Pershing,Nevada,US,,Omphalosaurus,247.2,237.0
165,363117,Svalbard,,Svalbard,NO,,Grippia,251.2,247.2
166,363120,Franken,,Franken,DE,,Coelurosaurichnus,237.0,227.0
167,367506,Pennsylvania,Montgomery,Pennsylvania,US,,Rutiodon,227.0,208.5
168,367508,Texas,Baylor,Texas,US,,Captorhinus,283.5,273.01
169,368043,Northern Cape,,Northern Cape,ZA,,Pareiasuchus,259.51,254.14
170,368798,Arizona,Navajo,Arizona,US,,Arizonasaurus,247.2,244.7
171,368799,Arizona,Navajo,Arizona,US,,Anisodontosaurus,247.2,244.7
172,382568,Friuli-Venezia Giulia,Udine,Friuli-Venezia Giulia,IT,,Placochelys,237.0,227.0
173,382582,Lombardia,,Lombardia,IT,,Psephoderma,216.7,213.2
174,382582,Lombardia,,Lombardia,IT,,Psephoderma,216.7,213.2
175,382582,Lombardia,,Lombardia,IT,,Psephoderma,216.7,213.2
176,384378,Nizhegorod,Vetluga,Nizhegorod,RU,,Vonhuenia,251.902,251.2
177,385301,Eastern Cape,Herschel,Eastern Cape,ZA,,Melanorosaurus,227.0,208.5
178,385607,Eastern Cape,Herschel,Eastern Cape,ZA,,Plateosauravus,227.0,208.5
179,385607,Eastern Cape,Herschel,Eastern Cape,ZA,,Plateosauravus,227.0,208.5
180,385607,Eastern Cape,Herschel,Eastern Cape,ZA,,Plateosauravus,227.0,208.5
181,385607,Eastern Cape,Herschel,Eastern Cape,ZA,,Plateosauravus,227.0,208.5
182,387512,Komi,Luza/Pre-Luza,Komi,RU,,Chasmatosuchus,251.2,247.2
183,387513,Orenburg,Belyaevka,Orenburg,RU,,Chasmatosuchus,251.902,251.2
184,387517,Orenburg,Belyaevka,Orenburg,RU,,Chasmatosuchus,251.902,247.2
185,387518,Orenburg,Sorochinsk,Orenburg,RU,,Chasmatosuchus,251.902,247.2
186,388713,Anhui,Chao,Anhui,CN,,Chaohusaurus,248.9,247.2
187,388714,Anhui,,Anhui,CN,,Chaohusaurus,248.9,247.2
188,389769,Lombardia,,Lombardia,IT,,Placochelys,237.0,227.0
189,389770,Lombardia,,Lombardia,IT,,Psephoderma,208.5,201.4
190,389771,Lombardia,,Lombardia,IT,,Psephoderma,208.5,201.4
191,389772,Lombardia,,Lombardia,IT,,Paraplacodus,247.2,242.0
192,391980,Guizhou,,Guizhou,CN,,Barracudasaurus,247.2,237.0
193,393085,England,Warwickshire,England,UK,,Sarcosaurus,201.4,199.5
194,401595,Malopolskie,Krakowski,Malopolskie,PL,,Czatkowiella,251.2,247.2
195,401596,Malopolskie,Krakowski,Malopolskie,PL,,Sophineta,251.2,247.2
196,401597,Malopolskie,Krakowski,Malopolskie,PL,,Osmolskina,251.2,247.2
197,401599,Malopolskie,Krakowski,Malopolskie,PL,,Pamelina,251.2,247.2
198,401600,Malopolskie,Krakowski,Malopolskie,PL,,Procolina,251.2,247.2
199,404182,Austria,,Niederosterreich,AT,,Placochelys,227.0,208.5
200,406854,Virginia,Chesterfield,Virginia,US,,Euscolosuchus,237.0,227.0
201,406855,Virginia,Chesterfield,Virginia,US,,Uatchitodon,237.0,227.0
202,406858,Virginia,Chesterfield,Virginia,US,,Gomphiosauridion,237.0,227.0
203,406859,Virginia,Chesterfield,Virginia,US,,Xenodiphyodon,237.0,227.0
204,406864,Arizona,Apache,Arizona,US,,Desmatosuchus,227.0,208.5
205,406867,Arizona,Apache,Arizona,US,,Smilosuchus,227.0,208.5
206,406869,Arizona,Apache,Arizona,US,,Postosuchus,227.0,208.5
207,406872,Arizona,Apache,Arizona,US,,Camposaurus,227.0,208.5
208,406876,Arizona,Apache,Arizona,US,,Calyptosuchus,227.0,208.5
209,407766,Arizona,Apache,Arizona,US,,Tanytrachelos,227.0,208.5
210,407767,Arizona,Apache,Arizona,US,,Smilosuchus,227.0,208.5
211,407768,Arizona,Apache,Arizona,US,,Parasuchus,227.0,208.5
212,407776,Arizona,Apache,Arizona,US,,Acaenasuchus,227.0,208.5
213,411325,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,Cyamodus,247.2,237.0
214,411697,Komi,,Komi,RU,,Timanophon,251.2,247.2
215,423245,Arizona,Apache,Arizona,US,,Poposaurus,227.0,208.5
216,423280,Arizona,Apache,Arizona,US,,Shuvosaurus,227.0,208.5
217,423281,Arizona,Apache,Arizona,US,,Poposaurus,227.0,208.5
218,423285,Arizona,Apache,Arizona,US,,Trilophosaurus,227.0,208.5
219,423286,Arizona,Apache,Arizona,US,,Trilophosaurus,227.0,208.5
220,423288,Arizona,Apache,Arizona,US,,Tanytrachelos,227.0,208.5
221,451787,Hessen,,Hessen,DE,,Nothosaurus,247.2,242.0
222,460787,Texas,Randall,Texas,US,,Parasuchus,237.0,227.0
223,461293,Rio Grande do Sul,,Rio Grande do Sul,BR,,Unaysaurus,227.0,208.5
224,465571,Wales,Swansea,Wales,UK,,Terrestrisuchus,237.0,227.0
225,465572,Wales,Swansea,Wales,UK,,Kuehneosaurus,237.0,227.0
226,465573,Wales,Swansea,Wales,UK,,Clevosaurus,237.0,227.0
227,465575,Wales,Glamorgan,Wales,UK,,Tricuspisaurus,208.5,201.4
228,465579,Wales,Glamorgan,Wales,UK,,Planocephalosaurus,208.5,201.4
229,465580,Wales,Glamorgan,Wales,UK,,Haligonia,208.5,201.4
230,465685,England,Somerset,England,UK,,Variodens,208.5,201.4
