accepted_name;accepted_rank;early_interval;late_interval;max_ma;min_ma;time_bins;age;Rotated Longitude;Rotated latitude;group;niche_adequability
Abajudon kaayai;species;Wordian;Capitanian;268.8;259.9;Wordian;265;-56.95375;-1.203179;Dicynodontia;0.209760844707489
Abajudon kaayai;species;Wordian;Capitanian;268.8;259.9;Wordian;265;-56.95375;-1.203179;Dicynodontia;0.209760844707489
Abajudon kaayai;species;Wordian;Capitanian;268.8;259.9;Wordian;265;-56.95375;-1.203179;Dicynodontia;0.209760844707489
Abajudon kaayai;species;Wordian;Capitanian;268.8;259.9;Wordian;265;-56.95375;-1.203179;Dicynodontia;0.209760844707489
Abajudon kaayai;species;Wordian;Capitanian;268.8;259.9;Wordian;265;-56.95375;-1.203179;Dicynodontia;0.209760844707489
Brachyprosopus broomi;species;Wordian;Capitanian;268.8;259.9;Wordian;265;-65.24442;-28.45468;Dicynodontia;0.264549165964127
Rastodon procurvidens;species;Wordian;Capitanian;268.8;259.9;Wordian;265;-51.32705;-26.46713;Dicynodontia;0.291805684566498
Dicynodon;genus;Wordian;Capitanian;268;252.3;Wordian;265;45.43791;42.55595;Dicynodontia;0.60832154750824
Dicynodon;genus;Wordian;Capitanian;268;252.3;Wordian;265;45.43791;42.55595;Dicynodontia;0.60832154750824
Titanophoneus;genus;Wordian;;268;265;Wordian;265;42.6534;40.33982;Dicynodontia;0.383995682001114
Syodon;genus;Wordian;;268;265;Wordian;265;43.17901;32.94259;Dicynodontia;0.458923816680908
Tapinocephalidae;family;Wordian;Capitanian;268.8;259.9;Wordian;265;-53.72403;16.33741;Dicynodontia;0.223411932587624
Tapinocephalidae;family;Wordian;;272.3;259.9;Wordian;265;-56.95375;-1.203179;Dicynodontia;0.209760844707489
Anteosauridae;family;Wordian;;272.3;259.9;Wordian;265;-56.95375;-1.203179;Dicynodontia;0.209760844707489
Titanosuchus ferox;species;Wordian;;272.3;259.9;Wordian;265;-65.24442;-28.45468;Dicynodontia;0.264549165964127
Mormosaurus seeleyi;species;Wordian;;272.3;259.9;Wordian;265;-65.24442;-28.45468;Dicynodontia;0.264549165964127
Titanophoneus potens;species;Wordian;;268;265;Wordian;265;42.6534;40.33982;Dicynodontia;0.383995682001114
Titanosuchidae;family;Wordian;Capitanian;268.8;259.9;Wordian;265;-51.32705;-26.46713;Dicynodontia;0.291805684566498
Anteosauridae;family;Wordian;Capitanian;268.8;259.9;Wordian;265;-51.32705;-26.46713;Dicynodontia;0.291805684566498
Anteosauridae;family;Wordian;Capitanian;268.8;259.9;Wordian;265;-51.32705;-26.46713;Dicynodontia;0.291805684566498
Tapinocephalia;clade;Wordian;Capitanian;268.8;259.9;Wordian;265;-51.32705;-26.46713;Dicynodontia;0.291805684566498
Pampaphoneus biccai;species;Wordian;Capitanian;268.8;259.9;Wordian;265;-51.32705;-26.46713;Dicynodontia;0.291805684566498
Tapinocephalidae;family;Wordian;Capitanian;268.8;259.9;Wordian;265;-51.32705;-26.46713;Dicynodontia;0.291805684566498
Archaeosyodon praeventor;species;Wordian;;268;265;Wordian;265;44.97893;34.20255;Dicynodontia;0.332716733217239
Syodon biarmicum;species;Wordian;;268;265;Wordian;265;42.6534;40.33982;Dicynodontia;0.383995682001114
Anteosauria;clade;Wordian;;268;265;Wordian;265;42.6534;40.33982;Dicynodontia;0.383995682001114
Deuterosaurus jubilaei;species;Wordian;;268;265;Wordian;265;42.6534;40.33982;Dicynodontia;0.383995682001114
Tapinocephalia;clade;Wordian;;268;265;Wordian;265;42.6534;40.33982;Dicynodontia;0.383995682001114
Tapinocephalia;clade;Wordian;;268;265;Wordian;265;42.6534;40.33982;Dicynodontia;0.383995682001114
Chthomaloporus lenocinator;species;Wordian;;268;265;Wordian;265;44.97893;34.20255;Dicynodontia;0.332716733217239
Davletkulia gigantea;species;Wordian;;268;265;Wordian;265;42.6534;40.33982;Dicynodontia;0.383995682001114
Dinocephalia;clade;Wordian;;268;265;Wordian;265;42.6534;40.33982;Dicynodontia;0.383995682001114
Titanophoneus;genus;Wordian;;268;265;Wordian;265;42.6534;40.33982;Dicynodontia;0.383995682001114
Syodon;genus;Wordian;;268;265;Wordian;265;42.6534;40.33982;Dicynodontia;0.383995682001114
Dinocephalia;clade;Wordian;;268.8;265.1;Wordian;265;40.12712;34.4515;Dicynodontia;0.338366091251373
Dinocephalia;clade;Wordian;;268.8;265.1;Wordian;265;40.12712;34.4515;Dicynodontia;0.338366091251373
Australosyodon nyaphuli;species;Wordian;;268.8;265.1;Wordian;265;-65.24442;-28.45468;Dicynodontia;0.264549165964127
Tapinocaninus pamelae;species;Wordian;;268.8;265.1;Wordian;265;-65.24442;-28.45468;Dicynodontia;0.264549165964127
Ulemosaurus svijagensis;species;Wordian;Early Severodvinian;268;252.3;Wordian;265;43.04599;36.28562;Dicynodontia;0.364332407712936
