occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787280,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787280,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787280,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787280,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787280,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787280,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
787281,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Oudenodon,259.51,254.14
787282,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Dicynodontoides,259.51,254.14
787283,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Sauroscaptor,259.51,254.14
787284,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Sauroscaptor,259.51,254.14
