,id,Rotated Lat,Rotated Lon,genus,taxon_environment,age_max,age_min
0,3422,-0.4818,-24.8936,Edaphosaurus,terrestrial,303.7,298.9
1,3421,-2.9808,-38.7628,Ophiacodon,terrestrial,290.1,283.5
2,3420,-49.4771,-10.0175,Therioherpeton,terrestrial,237.0,208.5
3,3419,5.8574,-44.6091,Ophiacodon,terrestrial,298.9,290.1
4,3418,-1.4701,-41.4649,Adelobasileus,terrestrial,227.0,208.5
5,3417,-49.9808,-33.9335,Massetognathus,terrestrial,242.0,237.0
6,3416,-0.5219,-37.7808,Ophiacodon,terrestrial,303.7,298.9
7,3415,-2.7466,-38.9219,Edaphosaurus,terrestrial,298.9,286.1
8,3414,-0.73,-37.6741,Ophiacodon,terrestrial,290.1,283.5
9,3413,-0.73,-37.6741,Dimetrodon,terrestrial,290.1,283.5
10,3401,-60.8508,-19.3342,Diictodon,terrestrial,259.51,254.14
11,3402,-60.8508,-19.3342,Diictodon,terrestrial,259.51,254.14
12,3403,-60.8508,-19.3342,Diictodon,terrestrial,259.51,254.14
13,3404,-60.8508,-19.3342,Diictodon,terrestrial,259.51,254.14
14,3405,-60.8508,-19.3342,Diictodon,terrestrial,259.51,254.14
15,3406,-60.8508,-19.3342,Diictodon,terrestrial,259.51,254.14
16,3407,-60.8508,-19.3342,Diictodon,terrestrial,259.51,254.14
17,3408,-60.8508,-19.3342,Diictodon,terrestrial,259.51,254.14
18,3409,-60.8508,-19.3342,Diictodon,terrestrial,259.51,254.14
19,3410,-60.8508,-19.3342,Diictodon,terrestrial,259.51,254.14
20,3411,-60.8508,-19.3342,Diictodon,terrestrial,259.51,254.14
21,3412,-60.8508,-19.3342,Diictodon,terrestrial,259.51,254.14
22,3400,-62.7516,-22.8072,Diictodon,terrestrial,264.28,254.14
23,3399,-52.0012,-29.5316,Ischigualastia,terrestrial,237.0,227.0
24,3398,-52.0012,-29.5316,Exaeretodon,terrestrial,237.0,227.0
25,3397,-49.9808,-33.9335,Dinodontosaurus,terrestrial,242.0,237.0
26,3396,-49.9808,-33.9335,Jachaleria,terrestrial,242.0,237.0
27,3395,-49.9808,-33.9335,Dinodontosaurus,terrestrial,242.0,237.0
28,3394,-49.9808,-33.9335,Chiniquodon,terrestrial,242.0,237.0
29,3393,-49.9808,-33.9335,Massetognathus,terrestrial,242.0,237.0
30,3392,-49.9808,-33.9335,Probainognathus,terrestrial,242.0,237.0
31,3391,46.8713,-9.9743,Kuehneotherium,terrestrial,208.5,201.4
32,3390,46.8713,-9.9743,Brachyzostrodon,terrestrial,208.5,201.4
33,3389,-77.5844,65.8787,Lystrosaurus,terrestrial,251.902,247.2
34,3388,-77.5844,65.8787,Lystrosaurus,terrestrial,251.902,247.2
35,3387,2.6894,-35.9903,Cotylorhynchus,terrestrial,273.01,264.28
36,3386,2.6894,-35.9903,Cotylorhynchus,terrestrial,273.01,264.28
37,3385,2.6894,-35.9903,Angelosaurus,terrestrial,273.01,264.28
38,3384,2.6894,-35.9903,Cotylorhynchus,terrestrial,273.01,264.28
39,3383,2.6894,-35.9903,Varanodon,terrestrial,273.01,264.28
40,3382,2.6894,-35.9903,Cotylorhynchus,terrestrial,273.01,264.28
41,3381,2.6894,-35.9903,Angelosaurus,terrestrial,273.01,264.28
42,3380,40.1271,34.4515,Ulemosaurus,terrestrial,266.9,259.51
43,3379,40.1271,34.4515,Ulemica,terrestrial,266.9,259.51
44,3377,44.0349,28.9755,Elph,terrestrial,264.28,256.8
45,3378,44.0349,28.9755,Elph,terrestrial,264.28,256.8
46,3376,44.0349,28.9755,Elph,terrestrial,264.28,256.8
47,3375,-2.9673,-38.9083,Dimetrodon,terrestrial,293.52,290.1
48,3374,-2.9673,-38.9083,Ophiacodon,terrestrial,293.52,290.1
49,3373,-2.9673,-38.9083,Dimetrodon,terrestrial,293.52,290.1
50,3372,-2.9673,-38.9083,Ophiacodon,terrestrial,293.52,290.1
51,3371,-2.9673,-38.9083,Dimetrodon,terrestrial,293.52,290.1
52,3370,-2.9673,-38.9083,Dimetrodon,terrestrial,293.52,290.1
53,3369,-2.9673,-38.9083,Edaphosaurus,terrestrial,293.52,290.1
54,3368,-2.9808,-38.7628,Ophiacodon,terrestrial,290.1,283.5
55,3367,-2.9808,-38.7628,Dimetrodon,terrestrial,290.1,283.5
56,3366,-2.9808,-38.7628,Edaphosaurus,terrestrial,290.1,283.5
57,3365,-0.73,-37.6741,Ophiacodon,terrestrial,290.1,283.5
58,3364,-0.73,-37.6741,Dimetrodon,terrestrial,290.1,283.5
59,3363,-0.73,-37.6741,Ophiacodon,terrestrial,290.1,283.5
60,3362,-0.73,-37.6741,Dimetrodon,terrestrial,290.1,283.5
61,3361,-0.73,-37.6741,Dimetrodon,terrestrial,290.1,283.5
62,3360,-2.9808,-38.7628,Edaphosaurus,terrestrial,290.1,283.5
63,3359,-2.9808,-38.7628,Ophiacodon,terrestrial,290.1,283.5
64,3358,-2.9808,-38.7628,Dimetrodon,terrestrial,290.1,283.5
65,3357,-2.9808,-38.7628,Dimetrodon,terrestrial,290.1,283.5
66,3356,-2.9808,-38.7628,Dimetrodon,terrestrial,290.1,283.5
67,3355,-2.9808,-38.7628,Dimetrodon,terrestrial,290.1,283.5
68,3354,-2.9808,-38.7628,Dimetrodon,terrestrial,290.1,283.5
69,3353,-2.9808,-38.7628,Edaphosaurus,terrestrial,290.1,283.5
70,3352,-2.9808,-38.7628,Ophiacodon,terrestrial,290.1,283.5
71,3351,-2.9808,-38.7628,Dimetrodon,terrestrial,290.1,283.5
72,3350,-2.9808,-38.7628,Secodontosaurus,terrestrial,290.1,283.5
73,3349,-0.73,-37.6741,Dimetrodon,terrestrial,290.1,283.5
74,3348,-0.73,-37.6741,Edaphosaurus,terrestrial,290.1,283.5
75,3347,-2.9808,-38.7628,Varanosaurus,terrestrial,290.1,283.5
76,3346,-2.9808,-38.7628,Ophiacodon,terrestrial,290.1,283.5
77,3345,-2.9808,-38.7628,Dimetrodon,terrestrial,290.1,283.5
78,3344,-0.73,-37.6741,Ophiacodon,terrestrial,290.1,283.5
79,3343,-0.73,-37.6741,Secodontosaurus,terrestrial,290.1,283.5
80,3342,-0.73,-37.6741,Edaphosaurus,terrestrial,290.1,283.5
81,3341,-2.9808,-38.7628,Dimetrodon,terrestrial,290.1,283.5
82,3340,-2.9808,-38.7628,Ophiacodon,terrestrial,290.1,273.01
83,3339,-2.9808,-38.7628,Dimetrodon,terrestrial,290.1,273.01
84,3338,-0.73,-37.6741,Ophiacodon,terrestrial,290.1,273.01
85,3337,-0.73,-37.6741,Dimetrodon,terrestrial,290.1,273.01
86,3336,-2.9808,-38.7628,Dimetrodon,terrestrial,290.1,273.01
87,3335,-2.9808,-38.7628,Varanosaurus,terrestrial,290.1,273.01
88,3334,-2.9808,-38.7628,Ophiacodon,terrestrial,290.1,273.01
89,3333,-2.9808,-38.7628,Dimetrodon,terrestrial,290.1,273.01
90,3332,-2.9808,-38.7628,Glaucosaurus,terrestrial,290.1,273.01
91,3331,1.0593,-36.5887,Dimetrodon,terrestrial,283.5,273.01
92,3330,-0.73,-37.6741,Ophiacodon,terrestrial,290.1,273.01
93,3329,-0.73,-37.6741,Dimetrodon,terrestrial,290.1,273.01
94,3328,-0.73,-37.6741,Ophiacodon,terrestrial,290.1,273.01
95,3327,-0.73,-37.6741,Secodontosaurus,terrestrial,290.1,273.01
96,3326,-0.73,-37.6741,Dimetrodon,terrestrial,290.1,273.01
97,3325,1.0593,-36.5887,Varanosaurus,terrestrial,283.5,273.01
98,3324,1.0593,-36.5887,Tetraceratops,terrestrial,283.5,273.01
99,3323,1.0593,-36.5887,Dimetrodon,terrestrial,283.5,273.01
100,3322,1.0593,-36.5887,Dimetrodon,terrestrial,283.5,273.01
101,3321,1.0593,-36.5887,Edaphosaurus,terrestrial,283.5,273.01
102,3320,1.0593,-36.5887,Edaphosaurus,terrestrial,283.5,273.01
103,3319,1.0593,-36.5887,Varanops,terrestrial,283.5,273.01
104,3318,1.0593,-36.5887,Ophiacodon,terrestrial,283.5,273.01
105,3317,1.0593,-36.5887,Dimetrodon,terrestrial,283.5,273.01
106,3316,1.0593,-36.5887,Edaphosaurus,terrestrial,283.5,273.01
107,3315,1.0593,-36.5887,Casea,terrestrial,283.5,273.01
108,3314,1.0593,-36.5887,Ophiacodon,terrestrial,283.5,273.01
109,3313,1.0593,-36.5887,Dimetrodon,terrestrial,283.5,273.01
110,3312,-1.1855,-37.6892,Edaphosaurus,terrestrial,283.5,273.01
111,3311,-1.1855,-37.6892,Ophiacodon,terrestrial,283.5,273.01
112,3310,-1.1855,-37.6892,Dimetrodon,terrestrial,283.5,273.01
113,3309,-1.1855,-37.6892,Trichasaurus,terrestrial,283.5,273.01
114,3308,-1.1855,-37.6892,Dimetrodon,terrestrial,283.5,273.01
115,3307,-1.1855,-37.6892,Ophiacodon,terrestrial,283.5,273.01
116,3306,-1.1855,-37.6892,Ophiacodon,terrestrial,283.5,273.01
117,3305,-1.1855,-37.6892,Ophiacodon,terrestrial,283.5,273.01
118,3304,1.0593,-36.5887,Dimetrodon,terrestrial,283.5,273.01
119,3303,1.0593,-36.5887,Dimetrodon,terrestrial,283.5,273.01
120,3302,-1.1855,-37.6892,Ophiacodon,terrestrial,283.5,273.01
121,3301,-1.1855,-37.6892,Ophiacodon,terrestrial,283.5,273.01
122,3300,-2.9673,-38.9083,Dimetrodon,terrestrial,293.52,283.5
123,3299,48.8243,42.2106,Rhadiodromus,terrestrial,247.2,242.0
124,3298,43.046,36.2856,Inostrancevia,terrestrial,264.28,254.14
125,3297,43.046,36.2856,Vivaxosaurus,terrestrial,264.28,254.14
126,3296,-62.7516,-22.8072,Gorgonops,terrestrial,264.28,259.51
127,3295,-0.5164,-22.3104,Plinthogomphodon,terrestrial,237.0,208.5
128,3294,-2.7466,-38.9219,Edaphosaurus,terrestrial,298.9,290.1
129,3293,-2.7466,-38.9219,Dimetrodon,terrestrial,298.9,290.1
130,3291,5.2142,-4.8883,Moghreberia,terrestrial,237.0,201.4
131,3292,5.2142,-4.8883,Moghreberia,terrestrial,237.0,201.4
132,3286,-52.0012,-29.5316,Ischigualastia,terrestrial,237.0,227.0
133,3287,-52.0012,-29.5316,Ischigualastia,terrestrial,237.0,227.0
134,3288,-52.0012,-29.5316,Ischigualastia,terrestrial,237.0,227.0
135,3289,-52.0012,-29.5316,Ischigualastia,terrestrial,237.0,227.0
136,3290,-52.0012,-29.5316,Ischigualastia,terrestrial,237.0,227.0
137,3285,-1.1855,-37.6892,Dimetrodon,terrestrial,283.5,273.01
138,3284,4.6147,-41.8361,Elcabrosaurus,terrestrial,303.7,298.9
139,3275,4.6147,-41.8361,Ophiacodon,terrestrial,303.7,298.9
140,3276,4.6147,-41.8361,Ophiacodon,terrestrial,303.7,298.9
141,3277,4.6147,-41.8361,Ophiacodon,terrestrial,303.7,298.9
142,3278,4.6147,-41.8361,Ophiacodon,terrestrial,303.7,298.9
143,3279,4.6147,-41.8361,Ophiacodon,terrestrial,303.7,298.9
144,3280,4.6147,-41.8361,Ophiacodon,terrestrial,303.7,298.9
145,3281,4.6147,-41.8361,Ophiacodon,terrestrial,303.7,298.9
146,3282,4.6147,-41.8361,Ophiacodon,terrestrial,303.7,298.9
147,3283,4.6147,-41.8361,Ophiacodon,terrestrial,303.7,298.9
148,3274,-60.8807,-1.1886,Olivierosuchus,terrestrial,251.902,247.2
149,3273,-60.8807,-1.1886,Thrinaxodon,terrestrial,251.902,247.2
150,3272,-60.8807,-1.1886,Tetracynodon,terrestrial,251.902,247.2
151,3271,37.6253,13.0683,Brachyzostrodon,terrestrial,208.5,201.4
152,3270,-49.0435,-14.582,Stahleckeria,terrestrial,242.0,237.0
153,3269,-49.0435,-14.582,Dinodontosaurus,terrestrial,242.0,237.0
154,3268,-62.7516,-22.8072,Pristerognathus,terrestrial,264.28,259.51
155,3267,-62.7516,-22.8072,Diictodon,terrestrial,264.28,259.51
156,3266,-47.7841,17.7482,Dicynodon,terrestrial,259.51,254.14
157,3265,-47.7841,17.7482,Platypodosaurus,terrestrial,259.51,254.14
158,3264,1.9826,-22.3794,Boreogomphodon,terrestrial,237.0,227.0
159,3263,1.9826,-22.3794,Microconodon,terrestrial,237.0,227.0
160,3262,1.3531,-47.1801,Placerias,terrestrial,227.0,208.5
161,3261,42.7067,10.1418,Thomasia,terrestrial,208.5,201.4
162,3260,-0.5164,-22.3104,Placerias,terrestrial,237.0,227.0
