genus	rotated_lat_scaled
Abajudon	-0.6
Abdalodon	-0.69
Acratophorus	-0.5733333333333334
Adelobasileus	0.88
Aelurognathus_Temperate_S	-0.6193333333333333
Aelurosaurus	-0.7378571428571429
Aelurosuchus	-0.71
Aerosaurus	1.004
Akidnognathus	-0.72
Alemoatherium	-0.39
Aleodon	-0.37222222222222223
Alepognathus	-0.74
Alierasaurus	1.07
Alopecideops	-0.74
Alopecodon	-0.74
Alopecognathus	-0.74
Alopecorhinus	-0.74
Aloposaurus	-0.6533333333333333
Alrausuchus	2.05
Ameghinichnus	0.95
Andescynodon	-0.43333333333333335
Angelosaurus	0.9400000000000001
Angonisaurus	-0.31
Annatherapsidus	2.09
Anningia	-0.74
Anomocephalus	-0.81
Antecosuchus	2.21
Anteosaurus_Temperate_N	1.98
Anteosaurus_Temperate_S	-0.74
Apsisaurus	0.84
Archaeosyodon	2.11
Archaeothyris	1.0466666666666666
Archaeovenator	0.96
Arctognathus	-0.5439999999999999
Arctops	-0.714
Arctotraversodon	1.2
Arisierpeton	0.9
Aulacephalodon	-0.7122580645161289
Aulacocephalus	-0.75
Australobarbarus	2.09
Australosyodon	-0.81
Avenantia	-0.74
Baldwinonus	0.97
Basilodon	-0.738
Bauria	-0.7263636363636364
Beishanodon	2.19
Biarmosuchoides	1.99
Biarmosuchus	2.0862499999999997
Biseridens	1.97
Blattoidealestes	-0.74
Bohemiclavulus	1.34
Bolodon	1.91
Bolotridon	-0.76
Bonacynodon	-0.38000000000000006
Boreogomphodon	0.94
Botucaraitherium	-0.3
Brachyprosopus	-0.75
Brachyzostrodon	1.91
Brasilitherium	-0.3
Brasilodon	-0.3141176470588235
Brontopus	1.35
Bulbasaurus	-0.69
Bullacephalus	-0.81
Burnetia	-0.69
Cabarzia	1.3
Callibrachion	1.2
Candelariodon	-0.38
Caodeyao	1.93
Casea	0.9280000000000002
Caseoides	0.92
Caseopsis	0.92
Cerdodon	-0.84
Cerdorhinus	-0.75
Cerdosuchus	-0.75
Chalepotherium	1.91
Chaliminia	-0.42
Charassognathus	-0.69
Charruodon	-0.39
Chiniquodon	-0.3895
Choerosaurus	-0.8099999999999999
Chthomaloporus	2.11
Chthonosaurus	2.07
Cistecephaloides	-0.75
Cistecephalus	-0.6913235294117647
Cistecynodon	-0.71
Clelandina	-0.7233333333333333
Clepsydrops	0.9275
Colobodectes	-0.6749999999999999
Compsodon	-0.5820000000000001
Cotylorhynchus	0.9334146341463415
Counillonia	0.85
Cricodon	-0.572
Criocephalosaurus	-0.7399999999999999
