,genus,county,state,occurrence_no,age_max,age_min
10,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14
11,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14
12,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14
13,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14
14,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14
15,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14
16,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14
17,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14
18,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14
19,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14
20,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14
21,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14
44,Elph,Kotlas,Arkhangelsk,293591,264.28,256.8
45,Elph,Kotlas,Arkhangelsk,293591,264.28,256.8
130,Moghreberia,,Marrakech,366211,237.0,201.4
131,Moghreberia,,Marrakech,366211,237.0,201.4
132,Ischigualastia,,San Juan,366442,237.0,227.0
133,Ischigualastia,,San Juan,366442,237.0,227.0
134,Ischigualastia,,San Juan,366442,237.0,227.0
135,Ischigualastia,,San Juan,366442,237.0,227.0
136,Ischigualastia,,San Juan,366442,237.0,227.0
139,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9
140,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9
141,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9
142,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9
143,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9
144,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9
145,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9
146,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9
147,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9
