,id,occurrence_no,genus,Locality,county_original,state,cc
0,3422,147591,Edaphosaurus,Ohio,Ohio,West Virginia,US
1,3421,148250,Ophiacodon,Archer,Archer,Texas,US
2,3420,149619,Therioherpeton,Santa Maria,Santa Maria,Rio Grande do Sul,BR
3,3419,149745,Ophiacodon,San Juan,San Juan,Utah,US
4,3418,149837,Adelobasileus,Crosby,Crosby,Texas,US
5,3417,149868,Massetognathus,La Rioja,,La Rioja,AR
6,3416,157309,Ophiacodon,Seminole,Seminole,Oklahoma,US
7,3415,219912,Edaphosaurus,Texas,,Texas,US
8,3414,220196,Ophiacodon,Wichita,Wichita,Texas,US
9,3413,220197,Dimetrodon,Wichita,Wichita,Texas,US
10,3401,229267,Diictodon,Beaufort West,Beaufort West,Western Cape,ZA
11,3402,229267,Diictodon,Beaufort West,Beaufort West,Western Cape,ZA
12,3403,229267,Diictodon,Beaufort West,Beaufort West,Western Cape,ZA
13,3404,229267,Diictodon,Beaufort West,Beaufort West,Western Cape,ZA
14,3405,229267,Diictodon,Beaufort West,Beaufort West,Western Cape,ZA
15,3406,229267,Diictodon,Beaufort West,Beaufort West,Western Cape,ZA
16,3407,229267,Diictodon,Beaufort West,Beaufort West,Western Cape,ZA
17,3408,229267,Diictodon,Beaufort West,Beaufort West,Western Cape,ZA
18,3409,229267,Diictodon,Beaufort West,Beaufort West,Western Cape,ZA
19,3410,229267,Diictodon,Beaufort West,Beaufort West,Western Cape,ZA
20,3411,229267,Diictodon,Beaufort West,Beaufort West,Western Cape,ZA
21,3412,229267,Diictodon,Beaufort West,Beaufort West,Western Cape,ZA
22,3400,229268,Diictodon,,,,ZA
23,3399,256438,Ischigualastia,San Juan,,San Juan,AR
24,3398,256439,Exaeretodon,San Juan,,San Juan,AR
25,3397,272315,Dinodontosaurus,La Rioja,,La Rioja,AR
26,3396,272316,Jachaleria,La Rioja,,La Rioja,AR
27,3395,272317,Dinodontosaurus,La Rioja,,La Rioja,AR
28,3394,272318,Chiniquodon,La Rioja,,La Rioja,AR
29,3393,272319,Massetognathus,La Rioja,,La Rioja,AR
30,3392,272320,Probainognathus,La Rioja,,La Rioja,AR
31,3391,283943,Kuehneotherium,,,,GL
32,3390,283944,Brachyzostrodon,,,,GL
33,3389,286245,Lystrosaurus,,,,AA
34,3388,286246,Lystrosaurus,,,,AA
35,3387,287317,Cotylorhynchus,Blaine,Blaine,Oklahoma,US
36,3386,287346,Cotylorhynchus,Blaine,Blaine,Oklahoma,US
37,3385,287347,Angelosaurus,Blaine,Blaine,Oklahoma,US
38,3384,287716,Cotylorhynchus,Blaine,Blaine,Oklahoma,US
39,3383,287746,Varanodon,Blaine,Blaine,Oklahoma,US
40,3382,289332,Cotylorhynchus,Kingfisher,Kingfisher,Oklahoma,US
41,3381,289333,Angelosaurus,Kingfisher,Kingfisher,Oklahoma,US
42,3380,293508,Ulemosaurus,Apastovo,Apastovo,Tatarstan,RU
43,3379,293509,Ulemica,Apastovo,Apastovo,Tatarstan,RU
44,3377,293591,Elph,Kotlas,Kotlas,Arkhangelsk,RU
45,3378,293591,Elph,Kotlas,Kotlas,Arkhangelsk,RU
46,3376,294213,Elph,Kotlas,Kotlas,Arkhangelsk,RU
47,3375,295888,Dimetrodon,Archer,Archer,Texas,US
48,3374,295889,Ophiacodon,Archer,Archer,Texas,US
49,3373,295895,Dimetrodon,Archer,Archer,Texas,US
50,3372,295899,Ophiacodon,Archer,Archer,Texas,US
51,3371,295900,Dimetrodon,Archer,Archer,Texas,US
52,3370,295903,Dimetrodon,Archer,Archer,Texas,US
53,3369,295904,Edaphosaurus,Archer,Archer,Texas,US
54,3368,295908,Ophiacodon,Archer,Archer,Texas,US
55,3367,295909,Dimetrodon,Archer,Archer,Texas,US
56,3366,295910,Edaphosaurus,Archer,Archer,Texas,US
57,3365,295912,Ophiacodon,Archer,Archer,Texas,US
58,3364,295913,Dimetrodon,Archer,Archer,Texas,US
59,3363,295921,Ophiacodon,Wichita,Wichita,Texas,US
60,3362,295922,Dimetrodon,Wichita,Wichita,Texas,US
61,3361,295923,Dimetrodon,Wichita,Wichita,Texas,US
62,3360,295927,Edaphosaurus,Archer,Archer,Texas,US
63,3359,295935,Ophiacodon,Archer,Archer,Texas,US
64,3358,295936,Dimetrodon,Archer,Archer,Texas,US
65,3357,295941,Dimetrodon,Archer,Archer,Texas,US
66,3356,295946,Dimetrodon,Baylor,Baylor,Texas,US
67,3355,295948,Dimetrodon,Baylor,Baylor,Texas,US
68,3354,295954,Dimetrodon,Baylor,Baylor,Texas,US
69,3353,295955,Edaphosaurus,Baylor,Baylor,Texas,US
70,3352,295956,Ophiacodon,Baylor,Baylor,Texas,US
71,3351,295963,Dimetrodon,Archer,Archer,Texas,US
72,3350,295968,Secodontosaurus,Archer,Archer,Texas,US
73,3349,295972,Dimetrodon,Archer,Archer,Texas,US
74,3348,295973,Edaphosaurus,Archer,Archer,Texas,US
75,3347,295976,Varanosaurus,Baylor,Baylor,Texas,US
76,3346,295977,Ophiacodon,Baylor,Baylor,Texas,US
77,3345,295978,Dimetrodon,Baylor,Baylor,Texas,US
78,3344,295981,Ophiacodon,Wichita,Wichita,Texas,US
79,3343,295982,Secodontosaurus,Wichita,Wichita,Texas,US
80,3342,295983,Edaphosaurus,Wichita,Wichita,Texas,US
81,3341,295984,Dimetrodon,Archer,Archer,Texas,US
82,3340,295985,Ophiacodon,Texas,,Texas,US
83,3339,295986,Dimetrodon,Texas,,Texas,US
84,3338,295991,Ophiacodon,Baylor,Baylor,Texas,US
85,3337,295992,Dimetrodon,Baylor,Baylor,Texas,US
86,3336,295994,Dimetrodon,Baylor,Baylor,Texas,US
87,3335,296001,Varanosaurus,Baylor,Baylor,Texas,US
88,3334,296002,Ophiacodon,Baylor,Baylor,Texas,US
89,3333,296003,Dimetrodon,Baylor,Baylor,Texas,US
90,3332,296004,Glaucosaurus,Baylor,Baylor,Texas,US
91,3331,296009,Dimetrodon,Baylor/Wilbarger,Baylor/Wilbarger,Texas,US
92,3330,296013,Ophiacodon,Baylor,Baylor,Texas,US
93,3329,296014,Dimetrodon,Baylor,Baylor,Texas,US
94,3328,296020,Ophiacodon,Baylor,Baylor,Texas,US
95,3327,296022,Secodontosaurus,Baylor,Baylor,Texas,US
96,3326,296023,Dimetrodon,Baylor,Baylor,Texas,US
97,3325,296046,Varanosaurus,Baylor/Willbarger,Baylor/Willbarger,Texas,US
98,3324,296047,Tetraceratops,Baylor/Willbarger,Baylor/Willbarger,Texas,US
99,3323,296048,Dimetrodon,Baylor/Willbarger,Baylor/Willbarger,Texas,US
100,3322,296049,Dimetrodon,Baylor/Willbarger,Baylor/Willbarger,Texas,US
101,3321,296050,Edaphosaurus,Baylor/Willbarger,Baylor/Willbarger,Texas,US
102,3320,296051,Edaphosaurus,Baylor/Willbarger,Baylor/Willbarger,Texas,US
103,3319,296066,Varanops,Baylor,Baylor,Texas,US
104,3318,296067,Ophiacodon,Baylor,Baylor,Texas,US
105,3317,296068,Dimetrodon,Baylor,Baylor,Texas,US
106,3316,296069,Edaphosaurus,Baylor,Baylor,Texas,US
107,3315,296070,Casea,Baylor,Baylor,Texas,US
108,3314,296075,Ophiacodon,Baylor,Baylor,Texas,US
109,3313,296076,Dimetrodon,Baylor,Baylor,Texas,US
110,3312,296094,Edaphosaurus,Baylor,Baylor,Texas,US
111,3311,296095,Ophiacodon,Baylor,Baylor,Texas,US
112,3310,296096,Dimetrodon,Baylor,Baylor,Texas,US
113,3309,296098,Trichasaurus,Baylor,Baylor,Texas,US
114,3308,296110,Dimetrodon,Baylor,Baylor,Texas,US
115,3307,296118,Ophiacodon,Baylor,Baylor,Texas,US
116,3306,296119,Ophiacodon,Baylor,Baylor,Texas,US
117,3305,296123,Ophiacodon,Baylor,Baylor,Texas,US
118,3304,296130,Dimetrodon,Wilbarger,Wilbarger,Texas,US
119,3303,296131,Dimetrodon,Wilbarger,Wilbarger,Texas,US
120,3302,296134,Ophiacodon,Baylor,Baylor,Texas,US
121,3301,296137,Ophiacodon,Baylor,Baylor,Texas,US
122,3300,296145,Dimetrodon,Archer,Archer,Texas,US
123,3299,299696,Rhadiodromus,Sol'-Iletsk,Sol'-Iletsk,Orenburg,RU
124,3298,299717,Inostrancevia,Tetyushi,Tetyushi,Tatarstan,RU
125,3297,299718,Vivaxosaurus,Tetyushi,Tetyushi,Tatarstan,RU
126,3296,338260,Gorgonops,Beaufort West,Beaufort West,Western Cape,ZA
127,3295,343884,Plinthogomphodon,Durham,Durham,North Carolina,US
128,3294,346292,Edaphosaurus,Archer,Archer,Texas,US
129,3293,346293,Dimetrodon,Archer,Archer,Texas,US
130,3291,366211,Moghreberia,Marrakech,,Marrakech,MA
131,3292,366211,Moghreberia,Marrakech,,Marrakech,MA
132,3286,366442,Ischigualastia,San Juan,,San Juan,AR
133,3287,366442,Ischigualastia,San Juan,,San Juan,AR
134,3288,366442,Ischigualastia,San Juan,,San Juan,AR
135,3289,366442,Ischigualastia,San Juan,,San Juan,AR
136,3290,366442,Ischigualastia,San Juan,,San Juan,AR
137,3285,367509,Dimetrodon,Baylor,Baylor,Texas,US
138,3284,367510,Elcabrosaurus,Rio Arriba,Rio Arriba,New Mexico,US
139,3275,367591,Ophiacodon,Rio Arriba,Rio Arriba,New Mexico,US
140,3276,367591,Ophiacodon,Rio Arriba,Rio Arriba,New Mexico,US
141,3277,367591,Ophiacodon,Rio Arriba,Rio Arriba,New Mexico,US
142,3278,367591,Ophiacodon,Rio Arriba,Rio Arriba,New Mexico,US
143,3279,367591,Ophiacodon,Rio Arriba,Rio Arriba,New Mexico,US
144,3280,367591,Ophiacodon,Rio Arriba,Rio Arriba,New Mexico,US
145,3281,367591,Ophiacodon,Rio Arriba,Rio Arriba,New Mexico,US
146,3282,367591,Ophiacodon,Rio Arriba,Rio Arriba,New Mexico,US
147,3283,367591,Ophiacodon,Rio Arriba,Rio Arriba,New Mexico,US
148,3274,368038,Olivierosuchus,Bergville,Bergville,KwaZulu-Natal,ZA
149,3273,368040,Thrinaxodon,Bergville,Bergville,KwaZulu-Natal,ZA
150,3272,368042,Tetracynodon,Bergville,Bergville,KwaZulu-Natal,ZA
151,3271,380706,Brachyzostrodon,Meuthe-et-Moselle,Meuthe-et-Moselle,Lorraine,FR
152,3270,382160,Stahleckeria,Rio Grande do Sul,,Rio Grande do Sul,BR
153,3269,382161,Dinodontosaurus,Rio Grande do Sul,,Rio Grande do Sul,BR
154,3268,387718,Pristerognathus,Beaufort West,Beaufort West,Western Cape,ZA
155,3267,387719,Diictodon,Beaufort West,Beaufort West,Western Cape,ZA
156,3266,395922,Dicynodon,Songea,Songea,Ruvuma,TZ
157,3265,395948,Platypodosaurus,Songea,Songea,Ruvuma,TZ
158,3264,406850,Boreogomphodon,Chesterfield,Chesterfield,Virginia,US
159,3263,406853,Microconodon,Chesterfield,Chesterfield,Virginia,US
160,3262,406862,Placerias,Apache,Apache,Arizona,US
161,3261,463420,Thomasia,Sachsen-Anhalt,,Sachsen-Anhalt,DE
162,3260,468649,Placerias,Chatham,Chatham,North Carolina,US
163,3259,474118,Chiniquodon,San Juan,,San Juan,AR
164,3258,483886,Rewaconodon,Crosby,Crosby,Texas,US
165,3257,486190,Stahleckeria,Rio Grande do Sul,,Rio Grande do Sul,BR
166,3256,486191,Exaeretodon,Rio Grande do Sul,,Rio Grande do Sul,BR
167,3255,487397,Dimetrodon,Prince Edward Island,,Prince Edward Island,CA
168,3254,490771,Theroteinus,Meuthe-et-Moselle,Meuthe-et-Moselle,Lorraine,FR
