,occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
0,147591,West Virginia,Ohio,West Virginia,US,,Edaphosaurus,303.7,298.9
1,148250,Texas,Archer,Texas,US,,Ophiacodon,290.1,283.5
2,149619,Rio Grande do Sul,Santa Maria,Rio Grande do Sul,BR,,Therioherpeton,237.0,208.5
3,149745,Utah,San Juan,Utah,US,,Ophiacodon,298.9,290.1
4,149837,Texas,Crosby,Texas,US,,Adelobasileus,227.0,208.5
5,149868,La Rioja,,La Rioja,AR,,Massetognathus,242.0,237.0
6,157309,Oklahoma,Seminole,Oklahoma,US,,Ophiacodon,303.7,298.9
7,219912,Texas,,Texas,US,,Edaphosaurus,298.9,286.1
8,220196,Texas,Wichita,Texas,US,,Ophiacodon,290.1,283.5
9,220197,Texas,Wichita,Texas,US,,Dimetrodon,290.1,283.5
10,229267,Western Cape,Beaufort West,Western Cape,ZA,,Diictodon,259.51,254.14
11,229267,Western Cape,Beaufort West,Western Cape,ZA,,Diictodon,259.51,254.14
12,229267,Western Cape,Beaufort West,Western Cape,ZA,,Diictodon,259.51,254.14
13,229267,Western Cape,Beaufort West,Western Cape,ZA,,Diictodon,259.51,254.14
14,229267,Western Cape,Beaufort West,Western Cape,ZA,,Diictodon,259.51,254.14
15,229267,Western Cape,Beaufort West,Western Cape,ZA,,Diictodon,259.51,254.14
16,229267,Western Cape,Beaufort West,Western Cape,ZA,,Diictodon,259.51,254.14
17,229267,Western Cape,Beaufort West,Western Cape,ZA,,Diictodon,259.51,254.14
18,229267,Western Cape,Beaufort West,Western Cape,ZA,,Diictodon,259.51,254.14
19,229267,Western Cape,Beaufort West,Western Cape,ZA,,Diictodon,259.51,254.14
20,229267,Western Cape,Beaufort West,Western Cape,ZA,,Diictodon,259.51,254.14
21,229267,Western Cape,Beaufort West,Western Cape,ZA,,Diictodon,259.51,254.14
22,229268,,,,ZA,,Diictodon,264.28,254.14
23,256438,San Juan,,San Juan,AR,,Ischigualastia,237.0,227.0
24,256439,San Juan,,San Juan,AR,,Exaeretodon,237.0,227.0
25,272315,La Rioja,,La Rioja,AR,,Dinodontosaurus,242.0,237.0
26,272316,La Rioja,,La Rioja,AR,,Jachaleria,242.0,237.0
27,272317,La Rioja,,La Rioja,AR,,Dinodontosaurus,242.0,237.0
28,272318,La Rioja,,La Rioja,AR,,Chiniquodon,242.0,237.0
29,272319,La Rioja,,La Rioja,AR,,Massetognathus,242.0,237.0
30,272320,La Rioja,,La Rioja,AR,,Probainognathus,242.0,237.0
35,287317,Oklahoma,Blaine,Oklahoma,US,,Cotylorhynchus,273.01,264.28
36,287346,Oklahoma,Blaine,Oklahoma,US,,Cotylorhynchus,273.01,264.28
37,287347,Oklahoma,Blaine,Oklahoma,US,,Angelosaurus,273.01,264.28
38,287716,Oklahoma,Blaine,Oklahoma,US,,Cotylorhynchus,273.01,264.28
39,287746,Oklahoma,Blaine,Oklahoma,US,,Varanodon,273.01,264.28
40,289332,Oklahoma,Kingfisher,Oklahoma,US,,Cotylorhynchus,273.01,264.28
41,289333,Oklahoma,Kingfisher,Oklahoma,US,,Angelosaurus,273.01,264.28
42,293508,Tatarstan,Apastovo,Tatarstan,RU,,Ulemosaurus,266.9,259.51
43,293509,Tatarstan,Apastovo,Tatarstan,RU,,Ulemica,266.9,259.51
44,293591,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Elph,264.28,256.8
45,293591,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Elph,264.28,256.8
46,294213,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Elph,264.28,256.8
47,295888,Texas,Archer,Texas,US,,Dimetrodon,293.52,290.1
48,295889,Texas,Archer,Texas,US,,Ophiacodon,293.52,290.1
49,295895,Texas,Archer,Texas,US,,Dimetrodon,293.52,290.1
50,295899,Texas,Archer,Texas,US,,Ophiacodon,293.52,290.1
51,295900,Texas,Archer,Texas,US,,Dimetrodon,293.52,290.1
52,295903,Texas,Archer,Texas,US,,Dimetrodon,293.52,290.1
53,295904,Texas,Archer,Texas,US,,Edaphosaurus,293.52,290.1
54,295908,Texas,Archer,Texas,US,,Ophiacodon,290.1,283.5
55,295909,Texas,Archer,Texas,US,,Dimetrodon,290.1,283.5
56,295910,Texas,Archer,Texas,US,,Edaphosaurus,290.1,283.5
57,295912,Texas,Archer,Texas,US,,Ophiacodon,290.1,283.5
58,295913,Texas,Archer,Texas,US,,Dimetrodon,290.1,283.5
59,295921,Texas,Wichita,Texas,US,,Ophiacodon,290.1,283.5
60,295922,Texas,Wichita,Texas,US,,Dimetrodon,290.1,283.5
61,295923,Texas,Wichita,Texas,US,,Dimetrodon,290.1,283.5
62,295927,Texas,Archer,Texas,US,,Edaphosaurus,290.1,283.5
63,295935,Texas,Archer,Texas,US,,Ophiacodon,290.1,283.5
64,295936,Texas,Archer,Texas,US,,Dimetrodon,290.1,283.5
65,295941,Texas,Archer,Texas,US,,Dimetrodon,290.1,283.5
66,295946,Texas,Baylor,Texas,US,,Dimetrodon,290.1,283.5
67,295948,Texas,Baylor,Texas,US,,Dimetrodon,290.1,283.5
68,295954,Texas,Baylor,Texas,US,,Dimetrodon,290.1,283.5
69,295955,Texas,Baylor,Texas,US,,Edaphosaurus,290.1,283.5
70,295956,Texas,Baylor,Texas,US,,Ophiacodon,290.1,283.5
71,295963,Texas,Archer,Texas,US,,Dimetrodon,290.1,283.5
72,295968,Texas,Archer,Texas,US,,Secodontosaurus,290.1,283.5
73,295972,Texas,Archer,Texas,US,,Dimetrodon,290.1,283.5
74,295973,Texas,Archer,Texas,US,,Edaphosaurus,290.1,283.5
75,295976,Texas,Baylor,Texas,US,,Varanosaurus,290.1,283.5
76,295977,Texas,Baylor,Texas,US,,Ophiacodon,290.1,283.5
77,295978,Texas,Baylor,Texas,US,,Dimetrodon,290.1,283.5
78,295981,Texas,Wichita,Texas,US,,Ophiacodon,290.1,283.5
79,295982,Texas,Wichita,Texas,US,,Secodontosaurus,290.1,283.5
80,295983,Texas,Wichita,Texas,US,,Edaphosaurus,290.1,283.5
81,295984,Texas,Archer,Texas,US,,Dimetrodon,290.1,283.5
82,295985,Texas,,Texas,US,,Ophiacodon,290.1,273.01
83,295986,Texas,,Texas,US,,Dimetrodon,290.1,273.01
84,295991,Texas,Baylor,Texas,US,,Ophiacodon,290.1,273.01
85,295992,Texas,Baylor,Texas,US,,Dimetrodon,290.1,273.01
86,295994,Texas,Baylor,Texas,US,,Dimetrodon,290.1,273.01
87,296001,Texas,Baylor,Texas,US,,Varanosaurus,290.1,273.01
88,296002,Texas,Baylor,Texas,US,,Ophiacodon,290.1,273.01
89,296003,Texas,Baylor,Texas,US,,Dimetrodon,290.1,273.01
90,296004,Texas,Baylor,Texas,US,,Glaucosaurus,290.1,273.01
91,296009,Texas,Baylor/Wilbarger,Texas,US,,Dimetrodon,283.5,273.01
92,296013,Texas,Baylor,Texas,US,,Ophiacodon,290.1,273.01
93,296014,Texas,Baylor,Texas,US,,Dimetrodon,290.1,273.01
94,296020,Texas,Baylor,Texas,US,,Ophiacodon,290.1,273.01
95,296022,Texas,Baylor,Texas,US,,Secodontosaurus,290.1,273.01
96,296023,Texas,Baylor,Texas,US,,Dimetrodon,290.1,273.01
97,296046,Texas,Baylor/Willbarger,Texas,US,,Varanosaurus,283.5,273.01
98,296047,Texas,Baylor/Willbarger,Texas,US,,Tetraceratops,283.5,273.01
99,296048,Texas,Baylor/Willbarger,Texas,US,,Dimetrodon,283.5,273.01
100,296049,Texas,Baylor/Willbarger,Texas,US,,Dimetrodon,283.5,273.01
101,296050,Texas,Baylor/Willbarger,Texas,US,,Edaphosaurus,283.5,273.01
102,296051,Texas,Baylor/Willbarger,Texas,US,,Edaphosaurus,283.5,273.01
103,296066,Texas,Baylor,Texas,US,,Varanops,283.5,273.01
