age_max,age_min,genus
303.7,298.9,Edaphosaurus
290.1,283.5,Ophiacodon
237.0,208.5,Therioherpeton
298.9,290.1,Ophiacodon
227.0,208.5,Adelobasileus
242.0,237.0,Massetognathus
303.7,298.9,Ophiacodon
298.9,286.1,Edaphosaurus
290.1,283.5,Ophiacodon
290.1,283.5,Dimetrodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
237.0,227.0,Ischigualastia
237.0,227.0,Exaeretodon
242.0,237.0,Dinodontosaurus
242.0,237.0,Jachaleria
242.0,237.0,Dinodontosaurus
242.0,237.0,Chiniquodon
242.0,237.0,Massetognathus
242.0,237.0,Probainognathus
273.01,264.28,Cotylorhynchus
273.01,264.28,Cotylorhynchus
273.01,264.28,Angelosaurus
273.01,264.28,Cotylorhynchus
273.01,264.28,Varanodon
273.01,264.28,Cotylorhynchus
273.01,264.28,Angelosaurus
266.9,259.51,Ulemosaurus
266.9,259.51,Ulemica
264.28,256.8,Elph
264.28,256.8,Elph
264.28,256.8,Elph
293.52,290.1,Dimetrodon
293.52,290.1,Ophiacodon
293.52,290.1,Dimetrodon
293.52,290.1,Ophiacodon
293.52,290.1,Dimetrodon
293.52,290.1,Dimetrodon
293.52,290.1,Edaphosaurus
290.1,283.5,Ophiacodon
290.1,283.5,Dimetrodon
290.1,283.5,Edaphosaurus
290.1,283.5,Ophiacodon
290.1,283.5,Dimetrodon
290.1,283.5,Ophiacodon
290.1,283.5,Dimetrodon
290.1,283.5,Dimetrodon
290.1,283.5,Edaphosaurus
290.1,283.5,Ophiacodon
290.1,283.5,Dimetrodon
290.1,283.5,Dimetrodon
290.1,283.5,Dimetrodon
290.1,283.5,Dimetrodon
290.1,283.5,Dimetrodon
290.1,283.5,Edaphosaurus
290.1,283.5,Ophiacodon
290.1,283.5,Dimetrodon
290.1,283.5,Secodontosaurus
290.1,283.5,Dimetrodon
290.1,283.5,Edaphosaurus
290.1,283.5,Varanosaurus
290.1,283.5,Ophiacodon
290.1,283.5,Dimetrodon
290.1,283.5,Ophiacodon
290.1,283.5,Secodontosaurus
290.1,283.5,Edaphosaurus
290.1,283.5,Dimetrodon
290.1,273.01,Ophiacodon
290.1,273.01,Dimetrodon
290.1,273.01,Ophiacodon
290.1,273.01,Dimetrodon
290.1,273.01,Dimetrodon
290.1,273.01,Varanosaurus
290.1,273.01,Ophiacodon
290.1,273.01,Dimetrodon
290.1,273.01,Glaucosaurus
283.5,273.01,Dimetrodon
290.1,273.01,Ophiacodon
290.1,273.01,Dimetrodon
290.1,273.01,Ophiacodon
290.1,273.01,Secodontosaurus
290.1,273.01,Dimetrodon
283.5,273.01,Varanosaurus
283.5,273.01,Tetraceratops
283.5,273.01,Dimetrodon
283.5,273.01,Dimetrodon
283.5,273.01,Edaphosaurus
283.5,273.01,Edaphosaurus
283.5,273.01,Varanops
283.5,273.01,Ophiacodon
283.5,273.01,Dimetrodon
283.5,273.01,Edaphosaurus
283.5,273.01,Casea
283.5,273.01,Ophiacodon
283.5,273.01,Dimetrodon
283.5,273.01,Edaphosaurus
283.5,273.01,Ophiacodon
283.5,273.01,Dimetrodon
283.5,273.01,Trichasaurus
283.5,273.01,Dimetrodon
283.5,273.01,Ophiacodon
283.5,273.01,Ophiacodon
283.5,273.01,Ophiacodon
283.5,273.01,Dimetrodon
283.5,273.01,Dimetrodon
283.5,273.01,Ophiacodon
283.5,273.01,Ophiacodon
293.52,283.5,Dimetrodon
247.2,242.0,Rhadiodromus
264.28,254.14,Inostrancevia
264.28,254.14,Vivaxosaurus
264.28,259.51,Gorgonops
237.0,208.5,Plinthogomphodon
298.9,290.1,Edaphosaurus
298.9,290.1,Dimetrodon
237.0,201.4,Moghreberia
237.0,201.4,Moghreberia
237.0,227.0,Ischigualastia
237.0,227.0,Ischigualastia
237.0,227.0,Ischigualastia
237.0,227.0,Ischigualastia
237.0,227.0,Ischigualastia
283.5,273.01,Dimetrodon
303.7,298.9,Elcabrosaurus
303.7,298.9,Ophiacodon
303.7,298.9,Ophiacodon
303.7,298.9,Ophiacodon
303.7,298.9,Ophiacodon
303.7,298.9,Ophiacodon
303.7,298.9,Ophiacodon
303.7,298.9,Ophiacodon
303.7,298.9,Ophiacodon
303.7,298.9,Ophiacodon
251.902,247.2,Olivierosuchus
251.902,247.2,Thrinaxodon
251.902,247.2,Tetracynodon
208.5,201.4,Brachyzostrodon
242.0,237.0,Stahleckeria
242.0,237.0,Dinodontosaurus
264.28,259.51,Pristerognathus
264.28,259.51,Diictodon
259.51,254.14,Dicynodon
259.51,254.14,Platypodosaurus
237.0,227.0,Boreogomphodon
237.0,227.0,Microconodon
227.0,208.5,Placerias
208.5,201.4,Thomasia
237.0,227.0,Placerias
237.0,227.0,Chiniquodon
227.0,208.5,Rewaconodon
242.0,237.0,Stahleckeria
242.0,237.0,Exaeretodon
290.1,283.5,Dimetrodon
208.5,201.4,Theroteinus
208.5,201.4,Tricuspes
208.5,201.4,Thomasia
208.5,201.4,Thomasia
208.5,201.4,Thomasia
208.5,201.4,Thomasia
208.5,201.4,Thomasia
208.5,201.4,Morganucodon
208.5,201.4,Morganucodon
208.5,201.4,Helvetiodon
208.5,201.4,Hallautherium
227.0,208.5,Placerias
237.0,227.0,Exaeretodon
237.0,227.0,Exaeretodon
237.0,227.0,Exaeretodon
227.0,208.5,Pentasauropus
227.0,208.5,Riograndia
216.7,213.2,Pseudotriconodon
216.7,213.2,Tricuspes
216.7,213.2,Gaumia
237.0,208.5,Gomphodontosuchus
237.0,227.0,Moghreberia
237.0,227.0,Moghreberia
237.0,227.0,Moghreberia
242.0,237.0,Chiniquodon
242.0,237.0,Probainognathus
242.0,237.0,Massetognathus
242.0,237.0,Massetognathus
242.0,237.0,Massetognathus
242.0,237.0,Massetognathus
208.5,201.4,Thomasia
283.5,273.01,Dimetrodon
290.1,283.5,Oromycter
290.1,283.5,Mycterosaurus
290.1,283.5,Varanops
290.1,283.5,Varanops
290.1,283.5,Varanops
208.5,201.4,Tricuspes
208.5,201.4,Tricuspes
208.5,201.4,Pseudotriconodon
208.5,201.4,Thomasia
208.5,201.4,Kuehneotherium
283.5,273.01,Dimetrodon
283.5,273.01,Edaphosaurus
286.1,273.01,Varanops
208.5,201.4,Habayia
247.2,242.0,Lumkuia
290.1,273.01,Mycterosaurus
242.0,237.0,Chiniquodon
237.0,208.5,Gomphodontosuchus
242.0,237.0,Stahleckeria
242.0,237.0,Traversodon
208.5,201.4,Meurthodon
264.28,259.51,Pachydectes
266.9,264.28,Patranomodon
273.01,259.51,Eodicynodon
227.0,208.5,Brasilitherium
283.5,273.01,Dimetrodon
290.1,283.5,Eothyris
286.1,273.01,Casea
290.1,273.01,Euromycter
283.5,273.01,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Angelosaurus
283.5,266.9,Angelosaurus
273.01,264.28,Ennatosaurus
273.01,264.28,Ennatosaurus
273.01,264.28,Ennatosaurus
273.01,264.28,Ennatosaurus
273.01,264.28,Ennatosaurus
276.5,266.9,Phreatophasma
286.1,273.01,Ophiacodon
305.9,303.7,Clepsydrops
307.4,300.3,Stereorhachis
298.9,290.1,Baldwinonus
298.9,286.1,Stereophallodon
293.52,283.5,Ophiacodon
298.9,286.1,Edaphosaurus
300.3,297.7,Datheosaurus
290.1,283.5,Haptodus
298.9,293.52,Hypselohaptodus
305.9,303.7,Haptodus
298.9,286.1,Sphenacodon
293.52,290.1,Ctenospondylus
283.5,266.9,Cotylorhynchus
307.4,298.9,Milosaurus
227.0,208.5,Ameghinichnus
227.0,208.5,Pseudotriconodon
227.0,208.5,Redondagnathus
237.0,208.5,Pentasauropus
227.0,201.4,Pentasauropus
227.0,208.5,Placerias
259.51,254.14,Procynosuchus
283.5,273.01,Dimetrodon
303.7,286.1,Oedaleops
303.7,286.1,Oedaleops
303.7,286.1,Oedaleops
303.7,286.1,Oedaleops
303.7,286.1,Aerosaurus
303.7,286.1,Aerosaurus
303.7,286.1,Aerosaurus
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Endothiodon
259.51,254.14,Oudenodon
259.51,254.14,Dicynodontoides
259.51,254.14,Sauroscaptor
259.51,254.14,Sauroscaptor
259.51,254.14,Sauroscaptor
259.51,254.14,Sauroscaptor
259.51,254.14,Sauroscaptor
259.51,254.14,Pristerodon
259.51,254.14,Pristerodon
259.51,254.14,Pristerodon
259.51,254.14,Pristerodon
259.51,254.14,Pristerodon
290.1,283.5,Dimetrodon
290.1,283.5,Edaphosaurus
286.1,273.01,Ophiacodon
286.1,273.01,Dimetrodon
286.1,273.01,Dimetrodon
286.1,273.01,Edaphosaurus
290.1,273.01,Mycterosaurus
290.1,273.01,Mycterosaurus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Gorgodon
283.5,266.9,Gorgodon
283.5,266.9,Knoxosaurus
283.5,266.9,Knoxosaurus
283.5,266.9,Cotylorhynchus
283.5,266.9,Caseopsis
283.5,266.9,Angelosaurus
283.5,266.9,Angelosaurus
283.5,266.9,Tappenosaurus
283.5,266.9,Caseoides
283.5,266.9,Caseoides
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Dimetrodon
283.5,266.9,Caseopsis
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
303.7,298.9,Baldwinonus
303.7,298.9,Ruthiromia
303.7,298.9,Aerosaurus
303.7,298.9,Nitosaurus
283.5,266.9,Angelosaurus
298.9,286.1,Dimetrodon
283.5,266.9,Mastersonia
283.5,266.9,Dimetrodon
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
290.1,283.5,Dimetrodon
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Tappenosaurus
283.5,266.9,Dimacrodon
283.5,266.9,Dimacrodon
283.5,266.9,Dimacrodon
283.5,266.9,Dimacrodon
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Cotylorhynchus
283.5,266.9,Steppesaurus
290.1,273.01,Ophiacodon
290.1,273.01,Dimetrodon
290.1,273.01,Ophiacodon
290.1,273.01,Dimetrodon
290.1,273.01,Dimetrodon
290.1,273.01,Edaphosaurus
298.9,286.1,Ophiacodon
298.9,286.1,Ophiacodon
298.9,286.1,Ophiacodon
283.5,273.01,Ophiacodon
273.01,266.9,Sinophoneus
273.01,266.9,Sinophoneus
273.01,266.9,Sinophoneus
273.01,266.9,Sinophoneus
273.01,266.9,Sinophoneus
273.01,266.9,Biseridens
273.01,266.9,Biseridens
273.01,266.9,Biseridens
283.5,273.01,Varanosaurus
283.5,273.01,Varanosaurus
283.5,273.01,Secodontosaurus
242.0,237.0,Elephantosaurus
305.9,303.7,Clepsydrops
305.9,303.7,Clepsydrops
305.9,303.7,Clepsydrops
283.5,273.01,Dimetrodon
273.01,264.28,Ennatosaurus
305.9,303.7,Ianthasaurus
305.9,303.7,Ianthasaurus
305.9,303.7,Ianthasaurus
305.9,303.7,Ianthasaurus
305.9,303.7,Ianthasaurus
305.9,303.7,Xyrospondylus
298.9,286.1,Ophiacodon
298.9,286.1,Ophiacodon
293.52,290.1,Haptodus
298.9,293.52,Haptodus
298.9,293.52,Haptodus
298.9,293.52,Haptodus
298.9,293.52,Haptodus
298.9,293.52,Haptodus
298.9,293.52,Haptodus
298.9,286.1,Cutleria
298.9,286.1,Ophiacodon
298.9,286.1,Vaughnictis
298.9,286.1,Vaughnictis
298.9,286.1,Cutleria
264.28,259.51,Heleosaurus
303.7,298.9,Archaeovenator
266.9,264.28,Titanophoneus
266.9,264.28,Ulemica
298.9,286.1,Apsisaurus
283.5,273.01,Dimetrodon
283.5,273.01,Dimetrodon
283.5,273.01,Dimetrodon
283.5,273.01,Edaphosaurus
283.5,273.01,Dimetrodon
259.51,247.2,Dicynodontipus
259.51,247.2,Dicynodontipus
259.51,247.2,Dicynodontipus
259.51,247.2,Dicynodontipus
259.51,247.2,Dicynodontipus
286.1,273.01,Ophiacodon
286.1,273.01,Dimetrodon
298.9,290.1,Ophiacodon
290.1,283.5,Secodontosaurus
298.9,286.1,Sphenacodon
305.9,303.7,Clepsydrops
305.9,303.7,Clepsydrops
283.5,273.01,Varanosaurus
298.9,286.1,Sphenacodon
298.9,286.1,Dimetrodon
298.9,286.1,Ophiacodon
286.1,273.01,Ophiacodon
290.1,283.5,Ophiacodon
290.1,283.5,Ophiacodon
290.1,283.5,Ophiacodon
298.9,286.1,Ophiacodon
290.1,283.5,Ophiacodon
290.1,283.5,Ctenospondylus
290.1,283.5,Varanosaurus
290.1,283.5,Ophiacodon
266.9,259.51,Ulemosaurus
264.28,259.51,Idelesaurus
309.8,307.4,Archaeothyris
309.8,307.4,Archaeothyris
309.8,307.4,Archaeothyris
290.1,283.5,Ophiacodon
290.1,283.5,Ophiacodon
290.1,283.5,Ophiacodon
298.9,286.1,Ophiacodon
293.52,290.1,Ophiacodon
290.1,283.5,Ophiacodon
290.1,283.5,Ophiacodon
290.1,283.5,Ophiacodon
298.9,290.1,Ophiacodon
298.9,293.52,Ophiacodon
290.1,283.5,Ophiacodon
290.1,283.5,Ophiacodon
293.52,290.1,Ophiacodon
290.1,273.01,Ophiacodon
266.9,259.51,Titanophoneus
266.9,259.51,Ulemosaurus
283.5,273.01,Casea
283.5,273.01,Casea
259.51,251.902,Burnetia
259.51,254.14,Lobalopex
259.51,254.14,Lophorhinus
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Tropidostoma
259.51,254.14,Ictidosuchops
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Emydops
259.51,254.14,Pristerodon
259.51,254.14,Oudenodon
259.51,254.14,Lycaenops
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Emydops
259.51,254.14,Pristerodon
259.51,254.14,Diictodon
259.51,254.14,Oudenodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Diictodon
259.51,254.14,Oudenodon
