id	Species	min_age	max_age	Status
3422	Edaphosaurus	298.9	303.7	extant
3421	Ophiacodon	283.5	290.1	extant
3420	Therioherpeton	208.5	237.0	extant
3419	Ophiacodon	290.1	298.9	extant
3418	Adelobasileus	208.5	227.0	extant
3417	Massetognathus	237.0	242.0	extant
3416	Ophiacodon	298.9	303.7	extant
3415	Edaphosaurus	286.1	298.9	extant
3414	Ophiacodon	283.5	290.1	extant
3413	Dimetrodon	283.5	290.1	extant
3401	Diictodon_Temperate_S	254.14	259.51	extant
3402	Diictodon_Temperate_S	254.14	259.51	extant
3403	Diictodon_Temperate_S	254.14	259.51	extant
3404	Diictodon_Temperate_S	254.14	259.51	extant
3405	Diictodon_Temperate_S	254.14	259.51	extant
3406	Diictodon_Temperate_S	254.14	259.51	extant
3407	Diictodon_Temperate_S	254.14	259.51	extant
3408	Diictodon_Temperate_S	254.14	259.51	extant
3409	Diictodon_Temperate_S	254.14	259.51	extant
3410	Diictodon_Temperate_S	254.14	259.51	extant
3411	Diictodon_Temperate_S	254.14	259.51	extant
3412	Diictodon_Temperate_S	254.14	259.51	extant
3399	Ischigualastia	227.0	237.0	extant
3398	Exaeretodon_Temperate_S	227.0	237.0	extant
3397	Dinodontosaurus	237.0	242.0	extant
3396	Jachaleria	237.0	242.0	extant
3395	Dinodontosaurus	237.0	242.0	extant
3394	Chiniquodon	237.0	242.0	extant
3393	Massetognathus	237.0	242.0	extant
3392	Probainognathus	237.0	242.0	extant
3387	Cotylorhynchus	264.28	273.01	extant
3386	Cotylorhynchus	264.28	273.01	extant
3385	Angelosaurus	264.28	273.01	extant
3384	Cotylorhynchus	264.28	273.01	extant
3383	Varanodon	264.28	273.01	extant
3382	Cotylorhynchus	264.28	273.01	extant
3381	Angelosaurus	264.28	273.01	extant
3380	Ulemosaurus	259.51	266.9	extant
3379	Ulemica	259.51	266.9	extant
3377	Elph	256.8	264.28	extant
3378	Elph	256.8	264.28	extant
3376	Elph	256.8	264.28	extant
3375	Dimetrodon	290.1	293.52	extant
3374	Ophiacodon	290.1	293.52	extant
3373	Dimetrodon	290.1	293.52	extant
3372	Ophiacodon	290.1	293.52	extant
3371	Dimetrodon	290.1	293.52	extant
3370	Dimetrodon	290.1	293.52	extant
3369	Edaphosaurus	290.1	293.52	extant
