occurrence_no,locality,county_original,state,cc,notes
1081097,,,,AA,delete
1081098,,,,AA,delete
1286789,,,,AA,delete
1561169,,,,AA,delete
1395196,Mendoza,,Mendoza,AR,
1395197,Mendoza,Las Heras,Mendoza,AR,
1395198,Mendoza,,Mendoza,AR,
1423653,San Juan,Valle Fertil,San Juan,AR,
1423607,Austria,Baden,Lower Austria,AT,
882295,Austria,Bludenz,Vorarlberg,AT,
1370351,Austria,,,AT,
399460,New South Wales,,New South Wales,AU,
1087030,New South Wales,,New South Wales,AU,
1087247,New South Wales,,New South Wales,AU,
1087277,New South Wales,,New South Wales,AU,
1087300,New South Wales,,New South Wales,AU,
1087301,New South Wales,,New South Wales,AU,
1087308,New South Wales,,New South Wales,AU,
1087312,New South Wales,,New South Wales,AU,
1639800,New South Wales,,New South Wales,AU,
821549,Queensland,,Queensland,AU,
850612,Queensland,,Queensland,AU,
1087050,Queensland,,Queensland,AU,
1087055,Queensland,,Queensland,AU,
1087056,Queensland,,Queensland,AU,
1087060,Queensland,,Queensland,AU,
1087061,Queensland,,Queensland,AU,
1087061,Queensland,,Queensland,AU,
1087070,Queensland,,Queensland,AU,
1087071,Queensland,,Queensland,AU,
1087079,Queensland,,Queensland,AU,
1087080,Queensland,,Queensland,AU,
1087082,Queensland,,Queensland,AU,
1087087,Queensland,,Queensland,AU,
1547083,Queensland,,Queensland,AU,
1547084,Queensland,,Queensland,AU,
1547197,Queensland,,Queensland,AU,
1087081,Tasmania,Hobart,Tasmania,AU,
1087659,Tasmania,Hobart,Tasmania,AU,
1087660,Tasmania,Hobart,Tasmania,AU,
1087661,Tasmania,,Tasmania,AU,
1087662,Tasmania,,Tasmania,AU,
1087663,Tasmania,,Tasmania,AU,
1087669,Tasmania,,Tasmania,AU,
1087670,Tasmania,,Tasmania,AU,
1087671,Tasmania,,Tasmania,AU,
1087672,Tasmania,,Tasmania,AU,
1087673,Tasmania,,Tasmania,AU,
1087674,Tasmania,,Tasmania,AU,
1087675,Tasmania,,Tasmania,AU,
1087678,Tasmania,,Tasmania,AU,
1087679,Tasmania,,Tasmania,AU,
1087681,Tasmania,,Tasmania,AU,
1087682,Tasmania,,Tasmania,AU,
1087683,Tasmania,,Tasmania,AU,
1087684,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087685,Tasmania,,Tasmania,AU,
1087518,Western Australia,,Western Australia,AU,
1087519,Western Australia,,Western Australia,AU,
1087520,Western Australia,,Western Australia,AU,
1087521,Western Australia,,Western Australia,AU,
1087522,Western Australia,,Western Australia,AU,
1087523,Western Australia,,Western Australia,AU,
1087524,Western Australia,,Western Australia,AU,
1087566,Western Australia,,Western Australia,AU,
1087567,Western Australia,,Western Australia,AU,
1129698,Western Australia,,Western Australia,AU,
1338643,Maranhao,Timon,Maranhao,BR,
1395191,Maranhao,,Maranhao,BR,
1364550,Parana,Ortigueira,Parana,BR,
1364551,Parana,Ortigueira,Parana,BR,
1368853,Parana,,Parana,BR,
N1,Parana,Sao Jeronimo da Serra,Parana,BR,
N12,Parana,Serra do Cadeado,Parana,BR,
