,id,genus,county,state,occurrence_no,age_max,age_min,cc
21,2195,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
22,2196,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
23,2197,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
24,2198,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
25,2199,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
26,2200,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
27,2201,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
28,2202,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
29,2203,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
30,2204,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
31,2205,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
32,2206,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
33,2207,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
34,2208,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
35,2209,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
36,2210,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
37,2211,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
38,2212,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
39,2213,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
40,2214,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
41,2215,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
42,2216,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
43,2217,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
44,2218,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
45,2219,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
46,2220,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
47,2221,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
48,2222,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
49,2223,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
50,2224,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
51,2225,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
52,2226,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US
64,2182,Fayella,Blaine,Oklahoma,287732,273.01,264.28,US
65,2183,Fayella,Blaine,Oklahoma,287732,273.01,264.28,US
149,1849,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
150,1850,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
151,1851,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
152,1852,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
153,1853,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
154,1854,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
155,1855,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
156,1856,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
