Locality,id,Taxon,MaxAge,MinAge,Rotated Lat,Rotated Lon,Area
New Mexico,2247,Anconastes,305.9,298.9,4.6147,-41.8361,1
Texas,2246,Broiliellus,283.5,273.01,1.0593,-36.5887,1
Texas,2245,Broiliellus,298.9,286.1,-0.5219,-37.7808,1
Texas,2244,Eryops,290.1,283.5,-2.9808,-38.7628,1
Texas,2243,Aspidosaurus,290.1,283.5,-2.9808,-38.7628,1
Texas,2242,Zatrachys,290.1,283.5,-2.9808,-38.7628,1
Texas,2241,Trimerorhachis,290.1,283.5,-2.9808,-38.7628,1
Utah,2240,Eryops,298.9,290.1,5.8574,-44.6091,1
Utah,2239,Platyhystrix,298.9,290.1,5.8574,-44.6091,1
Texas,2238,Rileymillerus,227.0,208.5,-1.4701,-41.4649,1
Texas,2237,Apachesaurus,227.0,208.5,-1.4701,-41.4649,1
Oklahoma,2236,Eryops,303.7,298.9,-0.5219,-37.7808,1
Texas,2235,Eryops,298.9,286.1,-2.7466,-38.9219,1
Texas,2230,Metoposaurus,237.0,208.5,-1.3878,-41.1268,1
Texas,2229,Trimerorhachis,290.1,283.5,-0.73,-37.6741,1
Texas,2228,Eryops,290.1,283.5,-0.73,-37.6741,1
New Mexico,2227,Anaschisma,237.0,227.0,1.7225,-43.6358,1
Texas,2195,Trimerorhachis,283.5,273.01,0.2573,-40.5036,1
Texas,2196,Trimerorhachis,283.5,273.01,0.2573,-40.5036,1
Texas,2197,Trimerorhachis,283.5,273.01,0.2573,-40.5036,1
Texas,2198,Trimerorhachis,283.5,273.01,0.2573,-40.5036,1
Texas,2199,Trimerorhachis,283.5,273.01,0.2573,-40.5036,1
Texas,2200,Trimerorhachis,283.5,273.01,0.2573,-40.5036,1
Texas,2201,Trimerorhachis,283.5,273.01,0.2573,-40.5036,1
Texas,2202,Trimerorhachis,283.5,273.01,0.2573,-40.5036,1
Texas,2203,Trimerorhachis,283.5,273.01,0.2573,-40.5036,1
Texas,2204,Trimerorhachis,283.5,273.01,0.2573,-40.5036,1
Texas,2205,Trimerorhachis,283.5,273.01,0.2573,-40.5036,1
