,occurrence_no_x,locality,county_original,state,cc,notes,id,genus,age_max,age_min
0,146665,New Mexico,Rio Arriba,New Mexico,US,,2247,Anconastes,305.9,298.9
1,147563,Texas,Baylor,Texas,US,,2246,Broiliellus,283.5,273.01
2,147564,Texas,Clay,Texas,US,,2245,Broiliellus,298.9,286.1
3,148243,Texas,Archer,Texas,US,,2244,Eryops,290.1,283.5
4,148244,Texas,Archer,Texas,US,,2243,Aspidosaurus,290.1,283.5
5,148245,Texas,Archer,Texas,US,,2242,Zatrachys,290.1,283.5
6,148246,Texas,Archer,Texas,US,,2241,Trimerorhachis,290.1,283.5
7,149740,Utah,San Juan,Utah,US,,2240,Eryops,298.9,290.1
8,149741,Utah,San Juan,Utah,US,,2239,Platyhystrix,298.9,290.1
9,149920,Texas,Garza,Texas,US,,2238,Rileymillerus,227.0,208.5
10,149923,Texas,Garza,Texas,US,,2237,Apachesaurus,227.0,208.5
11,157307,Oklahoma,Seminole,Oklahoma,US,,2236,Eryops,303.7,298.9
12,219910,Texas,,Texas,US,,2235,Eryops,298.9,286.1
17,220039,Texas,Scurry,Texas,US,,2230,Metoposaurus,237.0,208.5
18,220192,Texas,Wichita,Texas,US,,2229,Trimerorhachis,290.1,283.5
19,220193,Texas,Wichita,Texas,US,,2228,Eryops,290.1,283.5
20,220202,New Mexico,Santa Fe,New Mexico,US,,2227,Anaschisma,237.0,227.0
21,221286,Texas,Jones,Texas,US,,2195,Trimerorhachis,283.5,273.01
22,221286,Texas,Jones,Texas,US,,2196,Trimerorhachis,283.5,273.01
23,221286,Texas,Jones,Texas,US,,2197,Trimerorhachis,283.5,273.01
24,221286,Texas,Jones,Texas,US,,2198,Trimerorhachis,283.5,273.01
25,221286,Texas,Jones,Texas,US,,2199,Trimerorhachis,283.5,273.01
26,221286,Texas,Jones,Texas,US,,2200,Trimerorhachis,283.5,273.01
27,221286,Texas,Jones,Texas,US,,2201,Trimerorhachis,283.5,273.01
28,221286,Texas,Jones,Texas,US,,2202,Trimerorhachis,283.5,273.01
29,221286,Texas,Jones,Texas,US,,2203,Trimerorhachis,283.5,273.01
30,221286,Texas,Jones,Texas,US,,2204,Trimerorhachis,283.5,273.01
31,221286,Texas,Jones,Texas,US,,2205,Trimerorhachis,283.5,273.01
32,221286,Texas,Jones,Texas,US,,2206,Trimerorhachis,283.5,273.01
33,221286,Texas,Jones,Texas,US,,2207,Trimerorhachis,283.5,273.01
34,221286,Texas,Jones,Texas,US,,2208,Trimerorhachis,283.5,273.01
