Species	Status	min_age	max_age
Anconastes	extinct	298.9	305.9
Broiliellus	extinct	273.01	283.5
Broiliellus	extinct	286.1	298.9
Eryops	extinct	283.5	290.1
Aspidosaurus_Tropical_S	extinct	283.5	290.1
Zatrachys	extinct	283.5	290.1
Trimerorhachis	extinct	283.5	290.1
Eryops	extinct	290.1	298.9
Platyhystrix	extinct	290.1	298.9
Rileymillerus	extinct	208.5	227.0
Apachesaurus	extinct	208.5	227.0
Eryops	extinct	298.9	303.7
Eryops	extinct	286.1	298.9
Metoposaurus_Tropical_S	extinct	208.5	237.0
Trimerorhachis	extinct	283.5	290.1
Eryops	extinct	283.5	290.1
Anaschisma	extinct	227.0	237.0
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Parioxys	extinct	290.1	298.9
Acheloma	extinct	283.5	290.1
Parioxys	extinct	283.5	290.1
Dissorophus	extinct	273.01	283.5
Anaschisma	extinct	208.5	227.0
Anaschisma	extinct	208.5	237.0
Gerrothorax_Temperate_N	extinct	208.5	227.0
Cyclotosaurus_Temperate_N	extinct	208.5	227.0
Nannospondylus	extinct	264.28	273.01
Fayella	extinct	264.28	273.01
Fayella	extinct	264.28	273.01
Eryops	extinct	286.1	298.9
Eryops	extinct	290.1	293.52
Eryops	extinct	290.1	293.52
Eryops	extinct	290.1	293.52
Eryops	extinct	290.1	293.52
Zatrachys	extinct	290.1	293.52
Eryops	extinct	290.1	293.52
Eryops	extinct	290.1	293.52
Eryops	extinct	283.5	290.1
Trimerorhachis	extinct	283.5	290.1
Eryops	extinct	283.5	290.1
Eryops	extinct	283.5	290.1
Trimerorhachis	extinct	283.5	290.1
Parioxys	extinct	283.5	290.1
Eryops	extinct	283.5	290.1
Trimerorhachis	extinct	283.5	290.1
Eryops	extinct	283.5	290.1
Trimerorhachis	extinct	283.5	290.1
Eryops	extinct	283.5	290.1
Aspidosaurus_Tropical_S	extinct	283.5	290.1
Trimerorhachis	extinct	283.5	290.1
Eryops	extinct	283.5	290.1
Eryops	extinct	283.5	290.1
Trimerorhachis	extinct	283.5	290.1
Tersomius	extinct	283.5	290.1
Eryops	extinct	283.5	290.1
Zatrachys	extinct	283.5	290.1
Trimerorhachis	extinct	283.5	290.1
Eryops	extinct	283.5	290.1
Aspidosaurus_Tropical_S	extinct	283.5	290.1
Trimerorhachis	extinct	283.5	290.1
Eryops	extinct	283.5	290.1
Trimerorhachis	extinct	283.5	290.1
Eryops	extinct	283.5	290.1
Eryops	extinct	283.5	290.1
Eryops	extinct	273.01	290.1
Trimerorhachis	extinct	273.01	290.1
Broiliellus	extinct	273.01	290.1
Eryops	extinct	273.01	290.1
Broiliellus	extinct	273.01	290.1
Trimerorhachis	extinct	273.01	290.1
Eryops	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Eryops	extinct	273.01	290.1
Eryops	extinct	273.01	290.1
Eryops	extinct	273.01	290.1
Eryops	extinct	273.01	283.5
Dissorophus	extinct	273.01	283.5
Aspidosaurus_Tropical_S	extinct	273.01	283.5
Dasyceps	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Eryops	extinct	273.01	283.5
Cacops	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Isodectes	extinct	273.01	283.5
Eryops	extinct	273.01	283.5
Dissorophus	extinct	273.01	283.5
Dissorophus	extinct	273.01	283.5
Eryops	extinct	273.01	283.5
Zatrachys	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Eryops	extinct	273.01	283.5
Acheloma	extinct	273.01	283.5
Eryops	extinct	273.01	283.5
Dissorophus	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Eryops	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Trimerorhachis	extinct	273.01	283.5
Zatrachys	extinct	273.01	283.5
Eryops	extinct	273.01	283.5
Eryops	extinct	283.5	293.52
Trimerorhachis	extinct	283.5	293.52
Anisodexis	extinct	273.01	283.5
Acheloma	extinct	273.01	283.5
Isodectes	extinct	273.01	283.5
Zatrachys	extinct	286.1	298.9
Apateon	extinct	251.902	298.9
Apateon	extinct	251.902	298.9
Apateon	extinct	251.902	298.9
Eryops	extinct	290.1	293.52
Volgosuchus	extinct	247.2	251.902
Thoosuchus	extinct	247.2	251.902
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
Benthosuchus	extinct	247.2	251.2
