Species	Status
Acanthostomatops	extinct
Acerastea	extinct
Acheloma	extinct
Acroplous	extinct
Actinodon	extinct
Actiobates	extinct
Adamanterpeton	extinct
Almasaurus	extinct
Amphibamus	extinct
Anakamacops	extinct
Anaschisma	extinct
Anconastes	extinct
Angusaurus	extinct
Anisodexis	extinct
Anthichnium	extinct
Anthracobamus	extinct
Apachesaurus	extinct
Apateon	extinct
Aphaneramma_Temperate_N	extinct
Arachana	extinct
Archegosaurus	extinct
Arenaerpeton	extinct
Aspidosaurus_Tropical_S	extinct
Astreptorhachis	extinct
Australerpeton	extinct
Bageherpeton	extinct
Banksiops	extinct
Bashkirosaurus	extinct
Bathignathus	extinct
Batrachosuchoides_Temperate_N	extinct
Batrachosuchus_Temperate_S	extinct
Benthosphenus	extinct
Benthosuchus	extinct
Bermanerpeton	extinct
Boreopelta	extinct
Bothriceps	extinct
Brachyops	extinct
Branchierpeton	extinct
Branchiosaurus	extinct
Brevidorsum	extinct
Broiliellus	extinct
Broomistega	extinct
Bukobaja	extinct
Bulgosuchus	extinct
Cacops	extinct
Calamops	extinct
Callistomordax	extinct
Calmasuchus	extinct
Capetus	extinct
Capitosauroides	extinct
Capulomala	extinct
Cheliderpeton	extinct
Chelydosaurus	extinct
Chenoprosopus	extinct
Cherninia	extinct
Chinlestegophis	extinct
Chomatobatrachus	extinct
Clamorosaurus	extinct
Cochleosaurus	extinct
Collidosuchus	extinct
Compsocerops_Temperate_S	extinct
Conjunctio	extinct
Cosgriffius	extinct
Cyclotosaurus_Temperate_N	extinct
Czatkobatrachus	extinct
Dasyceps	extinct
Dawsonerpeton	extinct
Deltacephalus	extinct
Deltasaurus_Temperate_S	extinct
Derwentia	extinct
Dissorophus	extinct
Doleserpeton	extinct
Dutuitosaurus	extinct
Dvinosaurus	extinct
Ecolsonia	extinct
Edingerella	extinct
Edops	extinct
Eimerisaurus	extinct
Eocyclotosaurus	extinct
Eodiscoglossus	extinct
Eolydekkerina	extinct
Eoscopus	extinct
Erpetosaurus	extinct
Eryops	extinct
Eryosuchus_Temperate_N	extinct
Erythrobatrachus	extinct
Eumicrerpeton	extinct
Eurycervix	extinct
Fayella	extinct
Fedexia	extinct
Funcusvermis	extinct
Georgenthalia	extinct
Gerobatrachus	extinct
Gerrothorax_Temperate_N	extinct
Glanochthon	extinct
Glaukerpeton	extinct
Hadrokkosaurus	extinct
Hemiprichisaurus	extinct
Heptasaurus	extinct
Hyperokynodon	extinct
Indobrachyops	extinct
Inflectosaurus	extinct
Intasuchus	extinct
Iratusaurus	extinct
Isodectes	extinct
Jammerbergia	extinct
Kamacops	extinct
Keratobrachyops	extinct
Kestrosaurus	extinct
Koinia	extinct
Komatosuchus	extinct
Konzhukovia_Temperate_N	extinct
Korkonterpeton	extinct
Kuttycephalus	extinct
Kwatisuchus	extinct
Laccosaurus	extinct
Lafonius	extinct
Laidleria	extinct
Lapillopsis	extinct
Leptorophus	extinct
Limnerpeton	extinct
Limnogyrinus	extinct
Luzocephalus	extinct
Lydekkerina	extinct
Lyrocephaliscus	extinct
Macrerpeton	extinct
Macromerium	extinct
Mahavisaurus	extinct
Manubrantlia	extinct
Mastodonsaurus_Temperate_N	extinct
Megalophthalma	extinct
Melanerpeton	extinct
Melanopelta	extinct
Melosaurus	extinct
Mentosaurus	extinct
Metoposaurus_Tropical_S	extinct
Meyerosuchus	extinct
Micromelerpeton	extinct
Micropholis	extinct
Microposaurus	extinct
Milnererpeton	extinct
Miobatrachus	extinct
Mordex	extinct
Nannospondylus	extinct
Nanobamus	extinct
Nanolania	extinct
Neldasaurus	extinct
Nigerpeton	extinct
Nooxobeia	extinct
Notobrachyops	extinct
Nyranerpeton	extinct
Odenwaldia_Tropical_S	extinct
Onchiodon	extinct
Palatinerpeton	extinct
Panthasaurus	extinct
Paracyclotosaurus_Temperate_S	extinct
Parapytanga	extinct
Parioxys	extinct
Parotosuchus_Temperate_N	extinct
Pasawioops	extinct
Pelorocephalus	extinct
Peltobatrachus	extinct
Peltostega	extinct
Perryella	extinct
Phonerpeton	extinct
Plagiobatrachus	extinct
Plagiorophus	extinct
Plagiosaurus	extinct
Plagioscutum	extinct
Plagiosternum	extinct
Plagiosuchus	extinct
Platycepsion	extinct
Platyhystrix	extinct
Platyoposaurus	extinct
Platyrhinops	extinct
Platystega	extinct
Plemmyradytes	extinct
Pleuronoura	extinct
Pneumatostega	extinct
Porierpeton	extinct
Potamochoston	extinct
Prionosuchus	extinct
Procuhy	extinct
Promastodonsaurus	extinct
Prothoosuchus	extinct
Qantas	extinct
Quasicyclotosaurus	extinct
Rastosuchus	extinct
Reiszerpeton	extinct
Rewana	extinct
Rhadalognathus	extinct
Rhineceps	extinct
Rhinesuchoides	extinct
Rhinesuchus_Temperate_S	extinct
Rhytidosteus_Temperate_N	extinct
Rileymillerus	extinct
Rotaryus	extinct
Rotaurisaurus	extinct
Rubeostratilia	extinct
Saharastega	extinct
Samarabatrachus	extinct
Sangaia	extinct
Scapanops	extinct
Schoenfelderpeton	extinct
Sclerocephalus	extinct
Sclerothorax	extinct
Selenocara	extinct
Slaugenhopia	extinct
Sparagmites	extinct
Stanocephalosaurus_Tropical_N	extinct
Stegops	extinct
Stenokranio	extinct
Stenotosaurus	extinct
Stoschiosaurus	extinct
Subcyclotosaurus	extinct
Syndyodosuchus	extinct
Syrtosuchus	extinct
Tambachia	extinct
Tatrasuchus	extinct
Tersomius	extinct
Tertrema	extinct
Tertremoides	extinct
