id,Rotated Lat,Rotated Lon,genus,locality
2247,4.6147,-41.8361,Anconastes,New Mexico
2246,1.0593,-36.5887,Broiliellus,Texas
2245,-0.5219,-37.7808,Broiliellus,Texas
2244,-2.9808,-38.7628,Eryops,Texas
2243,-2.9808,-38.7628,Aspidosaurus,Texas
2242,-2.9808,-38.7628,Zatrachys,Texas
2241,-2.9808,-38.7628,Trimerorhachis,Texas
2240,5.8574,-44.6091,Eryops,Utah
2239,5.8574,-44.6091,Platyhystrix,Utah
2238,-1.4701,-41.4649,Rileymillerus,Texas
2237,-1.4701,-41.4649,Apachesaurus,Texas
2236,-0.5219,-37.7808,Eryops,Oklahoma
2235,-2.7466,-38.9219,Eryops,Texas
2230,-1.3878,-41.1268,Metoposaurus,Texas
2229,-0.73,-37.6741,Trimerorhachis,Texas
2228,-0.73,-37.6741,Eryops,Texas
2227,1.7225,-43.6358,Anaschisma,New Mexico
2195,0.2573,-40.5036,Trimerorhachis,Texas
2196,0.2573,-40.5036,Trimerorhachis,Texas
2197,0.2573,-40.5036,Trimerorhachis,Texas
2198,0.2573,-40.5036,Trimerorhachis,Texas
2199,0.2573,-40.5036,Trimerorhachis,Texas
2200,0.2573,-40.5036,Trimerorhachis,Texas
2201,0.2573,-40.5036,Trimerorhachis,Texas
2202,0.2573,-40.5036,Trimerorhachis,Texas
2203,0.2573,-40.5036,Trimerorhachis,Texas
2204,0.2573,-40.5036,Trimerorhachis,Texas
2205,0.2573,-40.5036,Trimerorhachis,Texas
2206,0.2573,-40.5036,Trimerorhachis,Texas
2207,0.2573,-40.5036,Trimerorhachis,Texas
2208,0.2573,-40.5036,Trimerorhachis,Texas
2209,0.2573,-40.5036,Trimerorhachis,Texas
2210,0.2573,-40.5036,Trimerorhachis,Texas
2211,0.2573,-40.5036,Trimerorhachis,Texas
2212,0.2573,-40.5036,Trimerorhachis,Texas
2213,0.2573,-40.5036,Trimerorhachis,Texas
2214,0.2573,-40.5036,Trimerorhachis,Texas
2215,0.2573,-40.5036,Trimerorhachis,Texas
2216,0.2573,-40.5036,Trimerorhachis,Texas
2217,0.2573,-40.5036,Trimerorhachis,Texas
2218,0.2573,-40.5036,Trimerorhachis,Texas
2219,0.2573,-40.5036,Trimerorhachis,Texas
2220,0.2573,-40.5036,Trimerorhachis,Texas
2221,0.2573,-40.5036,Trimerorhachis,Texas
2222,0.2573,-40.5036,Trimerorhachis,Texas
2223,0.2573,-40.5036,Trimerorhachis,Texas
2224,0.2573,-40.5036,Trimerorhachis,Texas
2225,0.2573,-40.5036,Trimerorhachis,Texas
