age,mean,X0.05,X0.95,Mod_R_deltaTMyr
300,30.43138526,29.25251941,31.61684891,0.496400303
299,29.39218156,28.29294084,30.4900159,1.039203696
298,27.01921736,26.10963734,27.93570465,2.372964209
297,28.1110858,27.1117565,29.11082896,1.091868443
296,29.66053624,28.53747386,30.77729053,1.549450442
295,30.80313317,29.59740082,32.01367531,1.142596929
294,25.43801434,24.64638804,26.22901624,5.36511883
293,26.11240453,25.26262128,26.95176924,0.674390195
292,28.24880116,27.23864373,29.25553825,2.136396628
291,26.03080323,25.19005342,26.87018317,2.21799793
290,27.44355093,26.5064107,28.39209237,1.412747701
288,28.18762246,27.1963431,29.19850775,0.744071528
287,31.35171079,30.11194194,32.58899833,3.16408833
285,27.2665116,26.33748217,28.20129563,4.085199188
283,24.80090236,24.05505408,25.54247205,2.465609247
281,28.18140961,27.19553945,29.18356356,3.380507255
280,28.81493651,27.75711887,29.86242856,0.6335269
279,27.72695462,26.76405781,28.69674549,1.087981894
277,25.72397046,24.90874978,26.54069582,2.002984152
276,25.01628272,24.26660923,25.76770182,0.707687746
275,27.08014169,26.16219511,27.99768026,2.063858972
274,28.13960459,27.14835513,29.13242576,1.059462897
273,28.67338783,27.62222968,29.71628541,0.533783247
272,27.80370983,26.82474136,28.76925981,0.869677999
271,26.14361496,25.30341612,26.98556598,1.660094871
270,27.12634043,26.19648167,28.05313338,0.982725464
269,30.0695354,28.92232045,31.22803681,2.943194968
268,26.70054562,25.80277757,27.58048756,3.368989775
267,27.54566131,26.5897101,28.49956024,0.84511569
266,24.54567563,23.82593109,25.266556,2.999985678
265,25.95371619,25.12566208,26.7841137,1.408040558
264,26.70337749,25.82574459,27.58662282,0.749661302
263,29.02047091,27.94577546,30.0929276,2.317093418
262,25.0987555,24.33431286,25.86130787,3.921715408
261,30.40840657,29.23340889,31.58752903,5.309651064
260,27.8901899,26.90993413,28.87175015,2.518216665
259,29.98683773,28.84319842,31.13097255,2.096647825
258,30.45408498,29.2830797,31.63068228,0.46724725
257,29.94903468,28.80507147,31.09153438,0.505050293
256,28.2297656,27.22215377,29.22746208,1.719269086
255,26.70323929,25.81742208,27.59176435,1.52652631
254,27.38109894,26.43811478,28.32248539,0.677859655
253,25.59292189,24.79272619,26.39418955,1.788177051
252,32.25482869,30.93519859,33.57501981,6.661906805
251,36.56556906,34.90509362,38.22763865,4.310740363
250,36.83704738,35.16396178,38.5202058,0.271478326
249,36.06131901,34.43882964,37.68360877,0.775728372
248,35.82846927,34.2243795,37.43105649,0.232849739
247,33.79515094,32.36190999,35.23624441,2.033318336
246,33.18265953,31.77838571,34.57333268,0.612491402
245,32.58778493,31.24758712,33.93377041,0.594874608
244,36.20793591,34.57612391,37.81753426,3.62015098
243,36.56185255,34.90720302,38.19843951,0.35391664
242,32.66801903,31.31424898,34.0247345,3.893833511
241,37.21588266,35.48323936,38.92857744,4.547863626
240,34.85169993,33.34199768,36.36533114,2.36418273
239,32.36512377,31.03357775,33.68863476,2.48657616
238,31.65151616,30.38374259,32.92578856,0.71360761
237,31.36886123,30.10560494,32.62039761,0.28265493
236,31.12980737,29.8914676,32.35947965,0.239053863
235,30.84304851,29.62872892,32.04706888,0.286758855
234,31.66438879,30.3885052,32.93740091,0.821340278
233,31.55900018,30.2805395,32.82653444,0.105388613
232,34.97972794,33.44811006,36.51104624,3.420727763
231,34.8243555,33.29992663,36.35364538,0.155372445
229,31.4144916,30.16280246,32.65383859,3.409863898
227,30.87885754,29.6806919,32.09213556,0.535634057
226,27.70972242,26.73198061,28.67309053,3.16913512
222,27.29586229,26.34855632,28.22786825,0.41386013
217,30.12752124,28.98199535,31.27545322,2.83165895
216,29.48470151,28.38431847,30.57585485,0.64281973
215,34.29491855,32.8171868,35.78208389,4.81021704
214,35.27161116,33.72613842,36.82981836,0.976692605
213,32.25695381,30.93151705,33.57692577,3.014657343
212,31.49666571,30.22164911,32.7594226,0.7602881
211,30.66998126,29.47976951,31.86067144,0.82668445
210,29.99906648,28.85847138,31.13711835,0.67091478
209,30.14013707,28.98765133,31.30248078,0.141070588
208,31.05846583,29.85567815,32.29694565,0.91832876
207,31.42876613,30.17896523,32.67684994,0.3703003
206,30.44048737,29.25603372,31.62495961,0.98827876
205,29.28428219,28.2033194,30.37747095,1.15620518
204,30.11472073,28.95699591,31.25746803,0.83043854
203,30.39598622,29.22480289,31.5796255,0.281265485
202,28.43698798,27.40759745,29.44893253,1.958998235
