cc,cont,area
DZ,AF,1
EG,AF,1
KE,AF,1
KG,AF,1
LS,AF,1
MA,AF,1
MG,AF,1
MW,AF,1
MZ,AF,1
Namibia,AF,1
NE,AF,1
TZ,AF,1
ZA,AF,1
ZM,AF,1
ZW,AF,1
BA,ARABIA,1
IL,ARABIA,1
JO,ARABIA,1
CN,ASIA_E,2
JP,ASIA_E,2
LA,ASIA_E,2
TH,ASIA_E,2
KZ,ASIA_W,3
PK,ASIA_W,3
RU,ASIA_W,3
AT,EU,3
BE,EU,3
BG,EU,3
CH,EU,3
CZ,EU,3
DE,EU,3
ES,EU,3
FR,EU,3
HU,EU,3
IT,EU,3
LU,EU,3
NL,EU,3
NO,EU,3
PL,EU,3
PT,EU,3
RO,EU,3
SE,EU,3
SI,EU,3
SJ,EU,3
SK,EU,3
UK,EU,3
IN,INDIA,4
CA,NA,4
GL,NA,4
MX,NA,4
US,NA,4
AU,OC,4
AR,SA,4
BR,SA,4
PY,SA,4
UY,SA,4
VE,SA,4
