cc,cont,area,area_NEW,note
AR,SA,4,1,Gondwana (South America)
AT,EU,3,3,Central Laurasia (Europe + West Asia)
AU,OC,4,1,Gondwana (Oceania)
BA,ARABIA,1,1,Gondwana (Arabian Peninsula)
BE,EU,3,3,Central Laurasia (Europe + West Asia)
BG,EU,3,3,Central Laurasia (Europe + West Asia)
BR,SA,4,1,Gondwana (South America)
CA,NA,4,4,Western Laurasia (North America)
CH,EU,3,3,Central Laurasia (Europe + West Asia)
CN,ASIA_E,2,2,Eastern Laurasia (East Asia)
CZ,EU,3,3,Central Laurasia (Europe + West Asia)
DE,EU,3,3,Central Laurasia (Europe + West Asia)
DZ,AF,1,1,Gondwana (Africa)
EG,AF,1,1,Gondwana (Africa)
ES,EU,3,3,Central Laurasia (Europe + West Asia)
FR,EU,3,3,Central Laurasia (Europe + West Asia)
GL,NA,4,4,Western Laurasia (North America)
HU,EU,3,3,Central Laurasia (Europe + West Asia)
IL,ARABIA,1,1,Gondwana (Arabian Peninsula)
IN,INDIA,4,1,Gondwana (India)
IT,EU,3,3,Central Laurasia (Europe + West Asia)
JO,ARABIA,1,1,Gondwana (Arabian Peninsula)
JP,ASIA_E,2,2,Eastern Laurasia (East Asia)
KE,AF,1,1,Gondwana (Africa)
KG,AF,1,1,Gondwana (Africa)
KZ,ASIA_W,3,3,Central Laurasia (Europe + West Asia)
LA,ASIA_E,2,2,Eastern Laurasia (East Asia)
LS,AF,1,1,Gondwana (Africa)
LU,EU,3,3,Central Laurasia (Europe + West Asia)
MA,AF,1,1,Gondwana (Africa)
MG,AF,1,1,Gondwana (Africa)
MW,AF,1,1,Gondwana (Africa)
MX,NA,4,4,Western Laurasia (North America)
MZ,AF,1,1,Gondwana (Africa)
Namibia,AF,1,1,Gondwana (Africa)
NE,AF,1,1,Gondwana (Africa)
NL,EU,3,3,Central Laurasia (Europe + West Asia)
NO,EU,3,3,Central Laurasia (Europe + West Asia)
PK,ASIA_W,3,3,Central Laurasia (Europe + West Asia)
PL,EU,3,3,Central Laurasia (Europe + West Asia)
PT,EU,3,3,Central Laurasia (Europe + West Asia)
PY,SA,4,1,Gondwana (South America)
RO,EU,3,3,Central Laurasia (Europe + West Asia)
RU,ASIA_W,3,3,Central Laurasia (Europe + West Asia)
SE,EU,3,3,Central Laurasia (Europe + West Asia)
SI,EU,3,3,Central Laurasia (Europe + West Asia)
SJ,EU,3,3,Central Laurasia (Europe + West Asia)
SK,EU,3,3,Central Laurasia (Europe + West Asia)
TH,ASIA_E,2,2,Eastern Laurasia (East Asia)
TZ,AF,1,1,Gondwana (Africa)
UK,EU,3,3,Central Laurasia (Europe + West Asia)
US,NA,4,4,Western Laurasia (North America)
UY,SA,4,1,Gondwana (South America)
VE,SA,4,1,Gondwana (South America)
ZA,AF,1,1,Gondwana (Africa)
ZM,AF,1,1,Gondwana (Africa)
ZW,AF,1,1,Gondwana (Africa)
AA,,,1,Gondwana
SA,,,1,Gondwana
