,id,Rotated Lat,Rotated Lon,genus,taxon_environment,age_max,age_min
0,4411,6.739,-20.6269,Icarosaurus,terrestrial,227.0,208.5
1,4410,6.739,-20.6269,Rutiodon,terrestrial,227.0,208.5
2,4409,35.9688,2.1884,Kuehneosuchus,terrestrial,208.5,201.4
3,4408,35.9688,2.1884,Kuehneosaurus,terrestrial,208.5,201.4
4,4407,-62.6208,-11.8191,Procolophon,terrestrial,251.902,247.2
5,4405,-2.9808,-38.7628,Araeoscelis,terrestrial,290.1,283.5
6,4406,-2.9808,-38.7628,Araeoscelis,terrestrial,290.1,283.5
7,4404,24.9561,4.3648,Clevosaurus,terrestrial,237.0,227.0
8,4403,24.9561,4.3648,Diphydontosaurus,terrestrial,237.0,227.0
9,4402,24.9561,4.3648,Diphydontosaurus,terrestrial,237.0,227.0
10,4401,24.9561,4.3648,Terrestrisuchus,terrestrial,237.0,227.0
11,4400,24.9561,4.3648,Planocephalosaurus,terrestrial,237.0,227.0
12,4399,24.9561,4.3648,Sigmala,terrestrial,237.0,227.0
13,4398,24.9561,4.3648,Kuehneosaurus,terrestrial,237.0,227.0
14,4397,24.9561,4.3648,Clevosaurus,terrestrial,237.0,227.0
15,4396,24.9561,4.3648,Planocephalosaurus,terrestrial,237.0,227.0
16,4395,24.9561,4.3648,Terrestrisuchus,terrestrial,237.0,227.0
17,4394,24.9561,4.3648,Diphydontosaurus,terrestrial,237.0,227.0
18,4393,24.9561,4.3648,Sigmala,terrestrial,237.0,227.0
19,4392,24.9561,4.3648,Planocephalosaurus,terrestrial,237.0,227.0
20,4391,24.9561,4.3648,Clevosaurus,terrestrial,237.0,227.0
21,4390,24.9561,4.3648,Terrestrisuchus,terrestrial,237.0,227.0
22,4389,24.9561,4.3648,Diphydontosaurus,terrestrial,237.0,227.0
23,4388,24.9561,4.3648,Sigmala,terrestrial,237.0,227.0
24,4387,24.9561,4.3648,Kuehneosaurus,terrestrial,237.0,227.0
25,4386,24.9561,4.3648,Sigmala,terrestrial,237.0,227.0
26,4385,24.9561,4.3648,Pelecymala,terrestrial,237.0,227.0
27,4384,24.9561,4.3648,Planocephalosaurus,terrestrial,237.0,227.0
28,4383,24.9561,4.3648,Planocephalosaurus,terrestrial,237.0,227.0
29,4382,24.9561,4.3648,Clevosaurus,terrestrial,237.0,227.0
30,4381,24.9561,4.3648,Sigmala,terrestrial,237.0,227.0
31,4380,24.9561,4.3648,Kuehneosaurus,terrestrial,237.0,227.0
32,4379,24.9561,4.3648,Planocephalosaurus,terrestrial,237.0,227.0
33,4378,24.9561,4.3648,Clevosaurus,terrestrial,237.0,227.0
34,4377,24.9561,4.3648,Sigmala,terrestrial,237.0,227.0
35,4376,24.9561,4.3648,Kuehneosaurus,terrestrial,237.0,227.0
36,4375,24.9561,4.3648,Planocephalosaurus,terrestrial,237.0,227.0
37,4374,24.9561,4.3648,Clevosaurus,terrestrial,237.0,227.0
38,4373,24.9561,4.3648,Sigmala,terrestrial,237.0,227.0
39,4372,24.9561,4.3648,Kuehneosaurus,terrestrial,237.0,227.0
40,4371,24.9561,4.3648,Planocephalosaurus,terrestrial,237.0,227.0
41,4370,24.9561,4.3648,Clevosaurus,terrestrial,237.0,227.0
42,4369,24.9561,4.3648,Sigmala,terrestrial,237.0,227.0
43,4368,24.9561,4.3648,Planocephalosaurus,terrestrial,237.0,227.0
44,4367,24.9561,4.3648,Planocephalosaurus,terrestrial,237.0,227.0
45,4366,24.9561,4.3648,Clevosaurus,terrestrial,237.0,227.0
46,4365,24.9561,4.3648,Terrestrisuchus,terrestrial,237.0,227.0
47,4364,24.9561,4.3648,Diphydontosaurus,terrestrial,237.0,227.0
48,4363,-1.4701,-41.4649,Trilophosaurus,terrestrial,227.0,208.5
49,4362,-49.9808,-33.9335,Lewisuchus,terrestrial,242.0,237.0
50,4361,-49.9808,-33.9335,Lagerpeton,terrestrial,242.0,237.0
51,4359,-1.4701,-41.4649,Postosuchus,terrestrial,227.0,208.5
52,4360,-1.4701,-41.4649,Postosuchus,terrestrial,227.0,208.5
53,4358,-1.4701,-41.4649,Desmatosuchus,terrestrial,227.0,208.5
54,4357,-1.4701,-41.4649,Trilophosaurus,terrestrial,227.0,208.5
55,4356,32.5932,9.3339,Efraasia,terrestrial,227.0,208.5
56,4355,20.9379,22.0121,Neusticosaurus,marine,247.2,237.0
57,4354,20.9379,22.0121,Mixosaurus,marine,247.2,237.0
58,4353,41.9725,35.9164,Rhipaeosaurus,terrestrial,266.9,264.28
59,4352,30.9826,11.6474,Plateosaurus,terrestrial,227.0,208.5
60,4351,30.9826,11.6474,Aetosaurus,terrestrial,227.0,208.5
61,4350,30.9826,11.6474,Saltoposuchus,terrestrial,227.0,208.5
62,4349,30.9826,11.6474,Liliensternus,terrestrial,227.0,208.5
63,4347,30.9826,11.6474,Plateosaurus,terrestrial,227.0,208.5
64,4348,30.9826,11.6474,Plateosaurus,terrestrial,227.0,208.5
65,4344,30.9826,11.6474,Proganochelys,terrestrial,227.0,208.5
66,4345,30.9826,11.6474,Proganochelys,terrestrial,227.0,208.5
67,4346,30.9826,11.6474,Proganochelys,terrestrial,227.0,208.5
68,4343,30.9826,11.6474,Liliensternus,terrestrial,227.0,208.5
69,4342,42.7067,10.1418,Proganochelys,terrestrial,208.5,201.4
70,4341,42.7067,10.1418,Liliensternus,terrestrial,208.5,201.4
71,4340,42.7067,10.1418,Elachistosuchus,terrestrial,208.5,201.4
72,4338,1.0593,-36.5887,Captorhinus,terrestrial,283.5,273.01
73,4339,1.0593,-36.5887,Captorhinus,terrestrial,283.5,273.01
74,4336,-52.0012,-29.5316,Eoraptor,terrestrial,237.0,227.0
75,4337,-52.0012,-29.5316,Eoraptor,terrestrial,237.0,227.0
76,4335,-52.0012,-29.5316,Herrerasaurus,terrestrial,237.0,227.0
77,4334,-52.0012,-29.5316,Saurosuchus,terrestrial,237.0,227.0
78,4333,-52.0012,-29.5316,Aetosauroides,terrestrial,237.0,227.0
79,4332,-52.0012,-29.5316,Herrerasaurus,terrestrial,237.0,227.0
80,4331,24.9561,4.3648,Terrestrisuchus,terrestrial,237.0,227.0
81,4330,24.9561,4.3648,Agnosphitys,terrestrial,237.0,227.0
82,4329,-49.9808,-33.9335,Luperosuchus,terrestrial,242.0,237.0
83,4328,-49.9808,-33.9335,Lagerpeton,terrestrial,242.0,237.0
84,4327,-49.9808,-33.9335,Chanaresuchus,terrestrial,242.0,237.0
85,4326,-49.9808,-33.9335,Gualosuchus,terrestrial,242.0,237.0
86,4325,-49.9808,-33.9335,Gracilisuchus,terrestrial,242.0,237.0
87,4324,-49.9808,-33.9335,Marasuchus,terrestrial,242.0,237.0
88,4323,-49.9808,-33.9335,Lewisuchus,terrestrial,242.0,237.0
89,4322,-49.9808,-33.9335,Tropidosuchus,terrestrial,242.0,237.0
90,4321,-49.9808,-33.9335,Tarjadia,terrestrial,242.0,237.0
91,4320,-52.0012,-29.5316,Pisanosaurus,terrestrial,237.0,227.0
92,4319,-62.7516,-22.8072,Bradysaurus,terrestrial,264.28,259.51
93,4318,40.0893,-9.3354,Arcticodactylus,marine,227.0,208.5
94,4317,40.0893,-9.3354,Proganochelys,terrestrial,216.7,213.2
95,4315,40.0893,-9.3354,Aetosaurus,terrestrial,227.0,208.5
96,4316,40.0893,-9.3354,Aetosaurus,terrestrial,227.0,208.5
97,4314,40.0893,-9.3354,Plateosaurus,terrestrial,227.0,208.5
98,4313,40.0893,-9.3354,Issi,terrestrial,227.0,208.5
99,4312,24.9561,4.3648,Pantydraco,terrestrial,237.0,227.0
100,4311,42.9789,121.7034,Eumetabolodon,terrestrial,251.2,242.0
101,4310,42.9789,121.7034,Eumetabolodon,terrestrial,251.2,242.0
102,4309,41.6012,117.8804,Youngetta,terrestrial,251.902,247.2
103,4308,41.9725,35.9164,Belebey,terrestrial,266.9,264.28
104,4307,2.6894,-35.9903,Rothianiscus,terrestrial,273.01,264.28
105,4304,2.6894,-35.9903,Rothianiscus,terrestrial,273.01,264.28
106,4305,2.6894,-35.9903,Rothianiscus,terrestrial,273.01,264.28
107,4306,2.6894,-35.9903,Rothianiscus,terrestrial,273.01,264.28
108,4303,2.6894,-35.9903,Rothianiscus,terrestrial,273.01,264.28
109,4302,2.6894,-35.9903,Rothianiscus,terrestrial,273.01,264.28
110,4301,2.6894,-35.9903,Rothianiscus,terrestrial,273.01,264.28
111,4300,2.6894,-35.9903,Rothianiscus,terrestrial,273.01,264.28
112,4299,2.6894,-35.9903,Rothianiscus,terrestrial,273.01,264.28
113,4298,2.6894,-35.9903,Rothianiscus,terrestrial,273.01,264.28
114,4297,2.6894,-35.9903,Rothianiscus,terrestrial,273.01,264.28
115,4296,0.2573,-40.5036,Captorhinoides,terrestrial,283.5,273.01
116,4289,-0.73,-37.6741,Bolosaurus,terrestrial,290.1,283.5
117,4290,-0.73,-37.6741,Bolosaurus,terrestrial,290.1,283.5
118,4291,-0.73,-37.6741,Bolosaurus,terrestrial,290.1,283.5
119,4292,-0.73,-37.6741,Bolosaurus,terrestrial,290.1,283.5
120,4293,-0.73,-37.6741,Bolosaurus,terrestrial,290.1,283.5
121,4294,-0.73,-37.6741,Bolosaurus,terrestrial,290.1,283.5
122,4295,-0.73,-37.6741,Bolosaurus,terrestrial,290.1,283.5
123,4288,-0.73,-37.6741,Bolosaurus,terrestrial,290.1,283.5
124,4287,-2.9808,-38.7628,Bolosaurus,terrestrial,290.1,283.5
125,4286,1.0593,-36.5887,Labidosaurus,terrestrial,283.5,273.01
126,4285,1.0593,-36.5887,Captorhinus,terrestrial,283.5,273.01
127,4284,1.0593,-36.5887,Captorhinus,terrestrial,283.5,273.01
128,4283,1.0593,-36.5887,Captorhinus,terrestrial,283.5,273.01
129,4281,1.0593,-36.5887,Captorhinus,terrestrial,283.5,273.01
130,4282,1.0593,-36.5887,Captorhinus,terrestrial,283.5,273.01
131,4280,1.0593,-36.5887,Labidosaurus,terrestrial,283.5,273.01
132,4279,1.0593,-36.5887,Labidosaurus,terrestrial,283.5,273.01
133,4278,1.0593,-36.5887,Captorhinus,terrestrial,283.5,273.01
134,4277,1.0593,-36.5887,Captorhinus,terrestrial,283.5,273.01
135,4276,1.0593,-36.5887,Labidosaurus,terrestrial,283.5,273.01
136,4275,1.0593,-36.5887,Captorhinus,terrestrial,283.5,273.01
137,4274,1.0593,-36.5887,Labidosaurus,terrestrial,283.5,273.01
138,4273,-1.1855,-37.6892,Bolosaurus,terrestrial,283.5,273.01
139,4268,-1.1855,-37.6892,Araeoscelis,terrestrial,283.5,273.01
140,4269,-1.1855,-37.6892,Araeoscelis,terrestrial,283.5,273.01
141,4270,-1.1855,-37.6892,Araeoscelis,terrestrial,283.5,273.01
142,4271,-1.1855,-37.6892,Araeoscelis,terrestrial,283.5,273.01
143,4272,-1.1855,-37.6892,Araeoscelis,terrestrial,283.5,273.01
144,4267,-1.1855,-37.6892,Captorhinus,terrestrial,283.5,273.01
145,4266,-1.1855,-37.6892,Labidosaurus,terrestrial,283.5,273.01
146,4265,-1.1855,-37.6892,Labidosaurus,terrestrial,283.5,273.01
147,4264,-1.1855,-37.6892,Captorhinus,terrestrial,283.5,273.01
148,4263,-57.634,-24.1868,Mesosaurus,marine,290.1,283.5
149,4262,-57.634,-24.1868,Mesosaurus,marine,290.1,283.5
150,4261,-57.634,-24.1868,Mesosaurus,marine,290.1,283.5
151,4260,-57.634,-24.1868,Mesosaurus,marine,290.1,283.5
152,4259,-48.4091,123.5564,Grallator,terrestrial,227.0,208.5
153,4258,44.3876,33.3665,Deltavjatia,terrestrial,264.28,259.51
154,4257,45.0092,37.7433,Scutosaurus,terrestrial,264.28,254.14
155,4256,-9999.0,-9999.0,Neusticosaurus,marine,247.2,237.0
156,4255,-9999.0,-9999.0,Cymatosaurus,marine,247.2,237.0
157,4254,-9999.0,-9999.0,Termatosaurus,terrestrial,208.5,201.4
158,4253,-9999.0,-9999.0,Ichthyosaurus,marine,208.5,201.4
159,4252,-9999.0,-9999.0,Termatosaurus,terrestrial,208.5,201.4
160,4251,-9999.0,-9999.0,Ichthyosaurus,marine,208.5,201.4
161,4250,-2.7466,-38.9219,Bolosaurus,terrestrial,298.9,290.1
162,4249,-50.4972,-22.4201,Zupaysaurus,terrestrial,227.0,208.5
163,4247,17.3463,-49.8163,Omphalosaurus,marine,247.2,237.0
164,4248,17.3463,-49.8163,Omphalosaurus,marine,247.2,237.0
165,4246,48.4578,0.5752,Grippia,marine,251.2,247.2
166,4245,29.6148,13.9762,Coelurosaurichnus,terrestrial,237.0,227.0
167,4244,6.739,-20.6269,Rutiodon,terrestrial,227.0,208.5
168,4243,-1.1855,-37.6892,Captorhinus,terrestrial,283.5,273.01
169,4242,-60.8508,-19.3342,Pareiasuchus,terrestrial,259.51,254.14
170,4241,8.5619,-43.658,Arizonasaurus,terrestrial,247.2,244.7
171,4240,8.5619,-43.658,Anisodontosaurus,terrestrial,247.2,244.7
172,4239,27.932,16.0856,Placochelys,marine,237.0,227.0
173,4236,20.3475,11.0572,Psephoderma,marine,216.7,213.2
174,4237,20.3475,11.0572,Psephoderma,marine,216.7,213.2
175,4238,20.3475,11.0572,Psephoderma,marine,216.7,213.2
176,4235,45.2164,33.3228,Vonhuenia,terrestrial,251.902,251.2
177,4234,-56.0316,14.4488,Melanorosaurus,terrestrial,227.0,208.5
178,4230,-56.0316,14.4488,Plateosauravus,terrestrial,227.0,208.5
179,4231,-56.0316,14.4488,Plateosauravus,terrestrial,227.0,208.5
180,4232,-56.0316,14.4488,Plateosauravus,terrestrial,227.0,208.5
181,4233,-56.0316,14.4488,Plateosauravus,terrestrial,227.0,208.5
182,4229,48.6263,31.1073,Chasmatosuchus,terrestrial,251.2,247.2
183,4228,47.7835,44.5676,Chasmatosuchus,terrestrial,251.902,251.2
184,4227,46.4143,42.1659,Chasmatosuchus,terrestrial,251.902,247.2
185,4226,46.4143,42.1659,Chasmatosuchus,terrestrial,251.902,247.2
186,4225,32.104,120.1211,Chaohusaurus,marine,248.9,247.2
187,4224,32.104,120.1211,Chaohusaurus,marine,248.9,247.2
188,4223,15.4479,12.7418,Placochelys,marine,237.0,227.0
189,4222,35.91,15.3389,Psephoderma,marine,208.5,201.4
190,4221,26.4928,14.9159,Psephoderma,marine,208.5,201.4
191,4220,24.4854,22.6839,Paraplacodus,marine,247.2,242.0
192,4219,15.0674,119.7846,Barracudasaurus,marine,247.2,237.0
193,4218,39.8221,10.4256,Sarcosaurus,terrestrial,201.4,199.5
194,4217,29.45,26.3383,Czatkowiella,terrestrial,251.2,247.2
195,4216,29.45,26.3383,Sophineta,terrestrial,251.2,247.2
196,4215,29.45,26.3383,Osmolskina,terrestrial,251.2,247.2
197,4214,29.45,26.3383,Pamelina,terrestrial,251.2,247.2
198,4213,29.45,26.3383,Procolina,terrestrial,251.2,247.2
199,4212,34.9254,15.4382,Placochelys,marine,227.0,208.5
200,4211,1.9826,-22.3794,Euscolosuchus,terrestrial,237.0,227.0
201,4210,1.9826,-22.3794,Uatchitodon,terrestrial,237.0,227.0
202,4209,1.9826,-22.3794,Gomphiosauridion,terrestrial,237.0,227.0
203,4208,1.9826,-22.3794,Xenodiphyodon,terrestrial,237.0,227.0
204,4207,1.3531,-47.1801,Desmatosuchus,terrestrial,227.0,208.5
205,4206,1.3531,-47.1801,Smilosuchus,terrestrial,227.0,208.5
206,4205,1.3531,-47.1801,Postosuchus,terrestrial,227.0,208.5
207,4204,1.3531,-47.1801,Camposaurus,terrestrial,227.0,208.5
208,4203,1.3531,-47.1801,Calyptosuchus,terrestrial,227.0,208.5
209,4202,1.3531,-47.1801,Tanytrachelos,terrestrial,227.0,208.5
210,4201,1.3531,-47.1801,Smilosuchus,terrestrial,227.0,208.5
211,4200,1.3531,-47.1801,Parasuchus,terrestrial,227.0,208.5
212,4199,1.3531,-47.1801,Acaenasuchus,terrestrial,227.0,208.5
213,4198,26.4626,20.9891,Cyamodus,marine,247.2,237.0
214,4197,52.3465,25.1911,Timanophon,terrestrial,251.2,247.2
215,4196,1.3531,-47.1801,Poposaurus,terrestrial,227.0,208.5
216,4195,1.3531,-47.1801,Shuvosaurus,terrestrial,227.0,208.5
217,4194,1.3531,-47.1801,Poposaurus,terrestrial,227.0,208.5
218,4193,1.3531,-47.1801,Trilophosaurus,terrestrial,227.0,208.5
219,4192,1.3531,-47.1801,Trilophosaurus,terrestrial,227.0,208.5
220,4191,1.3531,-47.1801,Tanytrachelos,terrestrial,227.0,208.5
221,4190,25.024,18.7935,Nothosaurus,marine,247.2,242.0
222,4189,1.0633,-40.6348,Parasuchus,terrestrial,237.0,227.0
223,4188,-46.1164,-4.6554,Unaysaurus,terrestrial,227.0,208.5
224,4187,24.9561,4.3648,Terrestrisuchus,terrestrial,237.0,227.0
225,4186,24.9561,4.3648,Kuehneosaurus,terrestrial,237.0,227.0
226,4185,24.9561,4.3648,Clevosaurus,terrestrial,237.0,227.0
227,4184,35.9688,2.1884,Tricuspisaurus,terrestrial,208.5,201.4
228,4183,35.9688,2.1884,Planocephalosaurus,terrestrial,208.5,201.4
229,4182,35.9688,2.1884,Haligonia,terrestrial,208.5,201.4
230,4181,35.9688,2.1884,Variodens,terrestrial,208.5,201.4
231,4180,17.3463,-49.8163,Cymbospondylus,marine,247.2,237.0
232,4179,17.3463,-49.8163,Cymbospondylus,marine,247.2,237.0
233,4178,17.3463,-49.8163,Cymbospondylus,marine,247.2,237.0
234,4177,17.3463,-49.8163,Phalarodon,marine,247.2,237.0
235,4176,6.0887,-50.239,Protosuchus,terrestrial,208.5,199.5
236,4175,-0.5164,-22.3104,Lucasuchus,terrestrial,237.0,227.0
237,4174,24.9561,4.3648,Diphydontosaurus,terrestrial,237.0,227.0
238,4173,52.1412,136.1873,Jingshanosaurus,terrestrial,201.4,199.5
239,4172,-52.0012,-29.5316,Herrerasaurus,terrestrial,237.0,227.0
240,4171,-52.0012,-29.5316,Hyperodapedon,terrestrial,237.0,227.0
241,4170,-52.0012,-29.5316,Hyperodapedon,terrestrial,237.0,227.0
242,4169,3.8366,-43.9682,Machaeroprosopus,terrestrial,227.0,208.5
243,4168,3.8366,-43.9682,Machaeroprosopus,terrestrial,227.0,208.5
244,4167,3.8366,-43.9682,Typothorax,terrestrial,227.0,208.5
245,4166,20.0114,-14.2092,Coelophysis,terrestrial,201.4,199.5
246,4165,32.5932,9.3339,Teratosaurus,terrestrial,227.0,208.5
247,4164,32.5932,9.3339,Efraasia,terrestrial,216.7,213.2
248,4162,30.9826,11.6474,Gresslyosaurus,terrestrial,213.2,208.5
249,4163,30.9826,11.6474,Gresslyosaurus,terrestrial,213.2,208.5
250,4161,30.9826,11.6474,Plateosaurus,terrestrial,227.0,208.5
251,4160,1.3531,-47.1801,Typothorax,terrestrial,227.0,208.5
252,4159,8.8311,-44.1355,Coelophysis,terrestrial,208.5,201.4
253,4158,8.8311,-44.1355,Machaeroprosopus,terrestrial,208.5,201.4
254,4157,-1.4701,-41.4649,Trilophosaurus,terrestrial,227.0,208.5
255,4156,-47.0393,20.0808,Hyperodapedon,terrestrial,237.0,227.0
256,4155,-47.0393,20.0808,Saturnalia,terrestrial,237.0,227.0
257,4154,1.3572,-44.289,Revueltosaurus,terrestrial,227.0,208.5
258,4152,1.3531,-47.1801,Chindesaurus,terrestrial,227.0,208.5
259,4153,1.3531,-47.1801,Chindesaurus,terrestrial,227.0,208.5
260,4151,1.3531,-47.1801,Shuvosaurus,terrestrial,227.0,208.5
261,4150,30.9826,11.6474,Plateosaurus,terrestrial,227.0,208.5
