,id,genus,county,state,occurrence_no,age_max,age_min,cc,Rotated Lat,Rotated Lon
10,3401,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14,ZA,-60.8508,-19.3342
11,3402,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14,ZA,-60.8508,-19.3342
12,3403,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14,ZA,-60.8508,-19.3342
13,3404,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14,ZA,-60.8508,-19.3342
14,3405,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14,ZA,-60.8508,-19.3342
15,3406,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14,ZA,-60.8508,-19.3342
16,3407,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14,ZA,-60.8508,-19.3342
17,3408,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14,ZA,-60.8508,-19.3342
18,3409,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14,ZA,-60.8508,-19.3342
19,3410,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14,ZA,-60.8508,-19.3342
20,3411,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14,ZA,-60.8508,-19.3342
21,3412,Diictodon,Beaufort West,Western Cape,229267,259.51,254.14,ZA,-60.8508,-19.3342
44,3377,Elph,Kotlas,Arkhangelsk,293591,264.28,256.8,RU,44.0349,28.9755
45,3378,Elph,Kotlas,Arkhangelsk,293591,264.28,256.8,RU,44.0349,28.9755
130,3291,Moghreberia,,Marrakech,366211,237.0,201.4,MA,5.2142,-4.8883
131,3292,Moghreberia,,Marrakech,366211,237.0,201.4,MA,5.2142,-4.8883
132,3286,Ischigualastia,,San Juan,366442,237.0,227.0,AR,-52.0012,-29.5316
133,3287,Ischigualastia,,San Juan,366442,237.0,227.0,AR,-52.0012,-29.5316
134,3288,Ischigualastia,,San Juan,366442,237.0,227.0,AR,-52.0012,-29.5316
135,3289,Ischigualastia,,San Juan,366442,237.0,227.0,AR,-52.0012,-29.5316
136,3290,Ischigualastia,,San Juan,366442,237.0,227.0,AR,-52.0012,-29.5316
139,3275,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9,US,4.6147,-41.8361
140,3276,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9,US,4.6147,-41.8361
141,3277,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9,US,4.6147,-41.8361
142,3278,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9,US,4.6147,-41.8361
143,3279,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9,US,4.6147,-41.8361
144,3280,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9,US,4.6147,-41.8361
145,3281,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9,US,4.6147,-41.8361
146,3282,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9,US,4.6147,-41.8361
147,3283,Ophiacodon,Rio Arriba,New Mexico,367591,303.7,298.9,US,4.6147,-41.8361
180,3240,Exaeretodon,Valle FertÃ­l,San Juan,518728,237.0,227.0,AR,-52.0012,-29.5316
181,3241,Exaeretodon,Valle FertÃ­l,San Juan,518728,237.0,227.0,AR,-52.0012,-29.5316
182,3242,Exaeretodon,Valle FertÃ­l,San Juan,518728,237.0,227.0,AR,-52.0012,-29.5316
202,3218,Varanops,Comanche,Oklahoma,629486,290.1,283.5,US,-0.73,-37.6741
203,3219,Varanops,Comanche,Oklahoma,629486,290.1,283.5,US,-0.73,-37.6741
204,3220,Varanops,Comanche,Oklahoma,629486,290.1,283.5,US,-0.73,-37.6741
231,3190,Angelosaurus,Knox,Texas,753220,283.5,266.9,US,0.2573,-40.5036
232,3191,Angelosaurus,Knox,Texas,753220,283.5,266.9,US,0.2573,-40.5036
233,3185,Ennatosaurus,,Arkhangelsk,753583,273.01,264.28,RU,41.276,19.3882
234,3186,Ennatosaurus,,Arkhangelsk,753583,273.01,264.28,RU,41.276,19.3882
235,3187,Ennatosaurus,,Arkhangelsk,753583,273.01,264.28,RU,41.276,19.3882
236,3188,Ennatosaurus,,Arkhangelsk,753583,273.01,264.28,RU,41.276,19.3882
237,3189,Ennatosaurus,,Arkhangelsk,753583,273.01,264.28,RU,41.276,19.3882
262,3157,Oedaleops,Rio Arriba,New Mexico,787182,303.7,286.1,US,2.4804,-43.1405
263,3158,Oedaleops,Rio Arriba,New Mexico,787182,303.7,286.1,US,2.4804,-43.1405
264,3159,Oedaleops,Rio Arriba,New Mexico,787182,303.7,286.1,US,2.4804,-43.1405
265,3160,Oedaleops,Rio Arriba,New Mexico,787182,303.7,286.1,US,2.4804,-43.1405
266,3154,Aerosaurus,Rio Arriba,New Mexico,787183,303.7,286.1,US,2.4804,-43.1405
267,3155,Aerosaurus,Rio Arriba,New Mexico,787183,303.7,286.1,US,2.4804,-43.1405
268,3156,Aerosaurus,Rio Arriba,New Mexico,787183,303.7,286.1,US,2.4804,-43.1405
269,3124,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
270,3125,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
271,3126,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
272,3127,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
273,3128,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
274,3129,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
275,3130,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
276,3131,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
277,3132,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
278,3133,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
279,3134,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
280,3135,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
281,3136,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
282,3137,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
283,3138,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
284,3139,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
285,3140,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
