Species	Status
Abajudon	extinct
Abdalodon	extinct
Acratophorus	extinct
Adelobasileus	extinct
Aelurognathus_Temperate_S	extinct
Aelurosaurus	extinct
Aelurosuchus	extinct
Aerosaurus	extinct
Akidnognathus	extinct
Alemoatherium	extinct
Aleodon	extinct
Alepognathus	extinct
Alierasaurus	extinct
Alopecideops	extinct
Alopecodon	extinct
Alopecognathus	extinct
Alopecorhinus	extinct
Aloposaurus	extinct
Alrausuchus	extinct
Ameghinichnus	extinct
Andescynodon	extinct
Angelosaurus	extinct
Angonisaurus	extinct
Annatherapsidus	extinct
Anningia	extinct
Anomocephalus	extinct
Antecosuchus	extinct
Anteosaurus_Temperate_N	extinct
Anteosaurus_Temperate_S	extinct
Apsisaurus	extinct
Archaeosyodon	extinct
Archaeothyris	extinct
Archaeovenator	extinct
Arctognathus	extinct
Arctops	extinct
Arctotraversodon	extinct
Arisierpeton	extinct
Aulacephalodon	extinct
Aulacocephalus	extinct
Australobarbarus	extinct
Australosyodon	extinct
Avenantia	extinct
Baldwinonus	extinct
Basilodon	extinct
Bauria	extinct
Beishanodon	extinct
Biarmosuchoides	extinct
Biarmosuchus	extinct
Biseridens	extinct
Blattoidealestes	extinct
Bohemiclavulus	extinct
Bolodon	extinct
Bolotridon	extinct
Bonacynodon	extinct
Boreogomphodon	extinct
Botucaraitherium	extinct
Brachyprosopus	extinct
Brachyzostrodon	extinct
Brasilitherium	extinct
Brasilodon	extinct
Brontopus	extinct
Bulbasaurus	extinct
Bullacephalus	extinct
Burnetia	extinct
Cabarzia	extinct
Callibrachion	extinct
Candelariodon	extinct
Caodeyao	extinct
Casea	extinct
Caseoides	extinct
Caseopsis	extinct
Cerdodon	extinct
Cerdorhinus	extinct
Cerdosuchus	extinct
Chalepotherium	extinct
Chaliminia	extinct
Charassognathus	extinct
Charruodon	extinct
Chiniquodon	extinct
Choerosaurus	extinct
Chthomaloporus	extinct
Chthonosaurus	extinct
Cistecephaloides	extinct
Cistecephalus	extinct
Cistecynodon	extinct
Clelandina	extinct
Clepsydrops	extinct
Colobodectes	extinct
Compsodon	extinct
Cotylorhynchus	extinct
Counillonia	extinct
Cricodon	extinct
Criocephalosaurus	extinct
Cromptodon	extinct
Cryptocynodon	extinct
Cryptovenator	extinct
Ctenorhachis	extinct
Ctenospondylus	extinct
Cutleria	extinct
Cynariognathus	extinct
Cyniscops	extinct
Cynognathus	extinct
Cynosaurus	extinct
Cyonosaurus	extinct
Dadadon	extinct
Dalongkoua	extinct
Daptocephalus	extinct
Daqingshanodon	extinct
Datheosaurus	extinct
Davletkulia	extinct
Deccanodon	extinct
Delectosaurus	extinct
Delphinognathus	extinct
Deuterosaurus	extinct
Diademodon	extinct
Dicynodon_Temperate_N	extinct
Dicynodon_Temperate_S	extinct
Dicynodontipus_Temperate_N	extinct
Dicynodontipus_Temperate_S	extinct
Dicynodontoides_Temperate_S	extinct
Diegocanis	extinct
Digalodon	extinct
Diictodon_Temperate_N	extinct
Diictodon_Temperate_S	extinct
Diictodontoides	extinct
Dimacrodon	extinct
Dimetrodon	extinct
Dinanomodon	extinct
Dinodontosaurus	extinct
Dinogorgon	extinct
Dinosaurus	extinct
Dolichuranus	extinct
Dolomitipes	extinct
Driveria	extinct
Dromatherium	extinct
Dvinia	extinct
Ecteninion	extinct
Edaphosaurus	extinct
Elcabrosaurus	extinct
Elephantosaurus	extinct
Elliotsmithia	extinct
Elph	extinct
Emydochampsa	extinct
Emydops	extinct
Emydorhinus	extinct
Emydorhynchus	extinct
Emyduranus	extinct
Endothiodon_Temperate_S	extinct
Endothiodon_Tropical_S	extinct
Ennatosaurus_Temperate_N	extinct
Ennatosaurus_Tropical_N	extinct
Eocasea	extinct
Eodicynodon	extinct
Eoraetia	extinct
Eosimops	extinct
Eothyris	extinct
Eozostrodon	extinct
Ericiolacerta	extinct
Eriphostoma	extinct
Estemmenosuchus	extinct
Eubrachiosaurus	extinct
Euchambersia	extinct
Euptychognathus	extinct
Euromycter	extinct
Exaeretodon_Temperate_S	extinct
Exaeretodon_Tropical_N	extinct
Fluctuodon	extinct
Galechirus	extinct
Galeops	extinct
Galesaurus	extinct
Gaumia	extinct
Geikia_Temperate_N	extinct
Geikia_Temperate_S	extinct
Glanosuchus	extinct
Glaucosaurus	extinct
Gomphodontosuchus	extinct
Gondwanadon	extinct
Gordonia	extinct
Gorgodon	extinct
Gorgonops	extinct
Gorochovetzia	extinct
Gorynychus	extinct
Habayia	extinct
Hahnia	extinct
Hallautherium	extinct
Haptodus	extinct
Haramiyavia	extinct
Hazhenia	extinct
Heleosaurus	extinct
Helvetiodon	extinct
Herpetoskylax	extinct
Hipposaurus	extinct
Hofmeyria	extinct
Homodontosaurus	extinct
Hwanghocynodon	extinct
Hyaenasuchus	extinct
Hypselohaptodus	extinct
Hypsiprymnopsis	extinct
Ianthasaurus	extinct
Ianthodon	extinct
Ichibengops	extinct
Icticephalus	extinct
Ictidochampsa	extinct
Ictidognathus	extinct
Ictidorhinus	extinct
Ictidosaurus	extinct
Ictidosuchops	extinct
Ictidosuchus	extinct
Idelesaurus	extinct
Impidens	extinct
Inostrancevia_Temperate_N	extinct
Inostrancevia_Temperate_S	extinct
Interpresosaurus	extinct
Irajatherium	extinct
Ischigualastia	extinct
Isengops	extinct
Jachaleria	extinct
Jimusaria_Temperate_N	extinct
Jiufengia	extinct
Jonkeria	extinct
Julognathus	extinct
Kamagorgon	extinct
Kannemeyeria	extinct
Karenites	extinct
Kataigidodon	extinct
Katumbia	extinct
Kawingasaurus	extinct
Kembawacela	extinct
Kenomagnathus	extinct
Keratocephalus	extinct
Keyseria	extinct
Kitchinganomodon	extinct
Knoxosaurus	extinct
Kombuisia	extinct
Kotelcephalon	extinct
Kuehneotherium	extinct
Kunpania	extinct
Kwazulusaurus	extinct
Lalieudorhynchus	extinct
Langbergia	extinct
Lanthanostegus	extinct
Lemurosaurus	extinct
Lende	extinct
Leogorgon	extinct
Leontosaurus	extinct
Lepagia	extinct
Leucocephalus	extinct
Lisowicia	extinct
Lobalopex	extinct
Lophorhinus	extinct
Luangwa	extinct
Lumkuia	extinct
Lupeosaurus	extinct
Lycaenodon	extinct
Lycaenops	extinct
Lycedops	extinct
Lycideops	extinct
Lycosaurus	extinct
Lycosuchus	extinct
