,id,genus,county,state,occurrence_no,age_max,age_min,cc,Rotated Lat,Rotated Lon
21,2195,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
22,2196,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
23,2197,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
24,2198,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
25,2199,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
26,2200,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
27,2201,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
28,2202,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
29,2203,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
30,2204,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
31,2205,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
32,2206,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
33,2207,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
34,2208,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
35,2209,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
36,2210,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
37,2211,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
38,2212,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
39,2213,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
40,2214,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
41,2215,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
42,2216,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
43,2217,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
44,2218,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
45,2219,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
46,2220,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
47,2221,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
48,2222,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
49,2223,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
50,2224,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
51,2225,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
52,2226,Trimerorhachis,Jones,Texas,221286,283.5,273.01,US,0.2573,-40.5036
64,2182,Fayella,Blaine,Oklahoma,287732,273.01,264.28,US,2.6894,-35.9903
65,2183,Fayella,Blaine,Oklahoma,287732,273.01,264.28,US,2.6894,-35.9903
149,1849,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
150,1850,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
151,1851,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
152,1852,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
153,1853,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
154,1854,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
155,1855,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
156,1856,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
157,1857,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
158,1858,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
159,1859,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
160,1860,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
161,1861,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
162,1862,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
163,1863,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
164,1864,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
165,1865,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
166,1866,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
167,1867,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
168,1868,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
169,1869,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
170,1870,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
171,1871,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
172,1872,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
173,1873,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
174,1874,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
175,1875,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
176,1876,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
177,1877,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
178,1878,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
179,1879,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
180,1880,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
181,1881,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
182,1882,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
183,1883,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
184,1884,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
185,1885,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
186,1886,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
187,1887,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
188,1888,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
189,1889,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
190,1890,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
191,1891,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
192,1892,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
193,1893,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
194,1894,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
195,1895,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
196,1896,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
197,1897,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
198,1898,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
199,1899,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
200,1900,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
201,1901,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
202,1902,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
203,1903,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
204,1904,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
205,1905,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
206,1906,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
207,1907,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
208,1908,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
209,1909,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
210,1910,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
211,1911,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
212,1912,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
213,1913,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
214,1914,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
215,1915,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
216,1916,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
217,1917,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
218,1918,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
219,1919,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
220,1920,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
221,1921,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
222,1922,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
223,1923,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
224,1924,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
225,1925,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
226,1926,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
227,1927,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
228,1928,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
229,1929,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
230,1930,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
231,1931,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
232,1932,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
233,1933,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
234,1934,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
235,1935,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
236,1936,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
237,1937,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
238,1938,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
239,1939,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
240,1940,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
241,1941,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
242,1942,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
243,1943,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
244,1944,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
245,1945,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
246,1946,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
247,1947,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
248,1948,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
249,1949,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
250,1950,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
251,1951,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
