,occurrence_no_x,locality,county_original,state,cc,notes,id,genus,age_max,age_min,Rotated Lat,Rotated Lon
0,146665,New Mexico,Rio Arriba,New Mexico,US,,2247,Anconastes,305.9,298.9,4.6147,-41.8361
1,147563,Texas,Baylor,Texas,US,,2246,Broiliellus,283.5,273.01,1.0593,-36.5887
2,147564,Texas,Clay,Texas,US,,2245,Broiliellus,298.9,286.1,-0.5219,-37.7808
3,148243,Texas,Archer,Texas,US,,2244,Eryops,290.1,283.5,-2.9808,-38.7628
4,148244,Texas,Archer,Texas,US,,2243,Aspidosaurus,290.1,283.5,-2.9808,-38.7628
5,148245,Texas,Archer,Texas,US,,2242,Zatrachys,290.1,283.5,-2.9808,-38.7628
6,148246,Texas,Archer,Texas,US,,2241,Trimerorhachis,290.1,283.5,-2.9808,-38.7628
7,149740,Utah,San Juan,Utah,US,,2240,Eryops,298.9,290.1,5.8574,-44.6091
8,149741,Utah,San Juan,Utah,US,,2239,Platyhystrix,298.9,290.1,5.8574,-44.6091
9,149920,Texas,Garza,Texas,US,,2238,Rileymillerus,227.0,208.5,-1.4701,-41.4649
10,149923,Texas,Garza,Texas,US,,2237,Apachesaurus,227.0,208.5,-1.4701,-41.4649
11,157307,Oklahoma,Seminole,Oklahoma,US,,2236,Eryops,303.7,298.9,-0.5219,-37.7808
12,219910,Texas,,Texas,US,,2235,Eryops,298.9,286.1,-2.7466,-38.9219
17,220039,Texas,Scurry,Texas,US,,2230,Metoposaurus,237.0,208.5,-1.3878,-41.1268
18,220192,Texas,Wichita,Texas,US,,2229,Trimerorhachis,290.1,283.5,-0.73,-37.6741
19,220193,Texas,Wichita,Texas,US,,2228,Eryops,290.1,283.5,-0.73,-37.6741
20,220202,New Mexico,Santa Fe,New Mexico,US,,2227,Anaschisma,237.0,227.0,1.7225,-43.6358
21,221286,Texas,Jones,Texas,US,,2195,Trimerorhachis,283.5,273.01,0.2573,-40.5036
