clade	species	ts	te
0.0	Abyssomedon	286.3420492144805	285.7474230272861
0.0	Acadiella	232.13655449156101	230.58629934989398
0.0	Acaenasuchus	227.09826794233345	208.6415867919245
0.0	Acallosuchus	221.86935946137535	220.04724365252952
0.0	Acerosodontosaurus	255.06867983857705	254.95408893595013
0.0	Acleistorhinus	279.2727977089843	277.97655441002723
0.0	Acrodenta	256.9410712832258	256.8126490848228
0.0	Actiosaurus	205.05911911494357	204.14479047186998
0.0	Adamanasuchus	217.6316485673822	215.83506828811616
0.0	Adelosaurus	256.1685063189077	256.06131660103
0.0	Aenigmasaurus	249.8083417750249	249.41556802111913
0.0	Aenigmaspina	231.93556861355867	230.4496019156749
0.0	Aenigmastropheus	256.2585611224088	256.1506601180811
0.0	Aetosauroides	234.6788587159086	209.66475209215827
0.0	Aetosaurus	226.72360847797205	208.32821304392604
0.0	Agkistrognathus	250.1525210453542	249.7269792954516
0.0	Agnosphitys	232.95399204068028	231.35056116603195
0.0	Alexeyisaurus	217.7981996065478	216.07200281124767
0.0	Alwalkeria	233.7053730719912	232.2884127418531
0.0	Amanasaurus	233.0161689108496	210.08539753780235
0.0	Ammorhynchus	247.21248722910806	244.81478062264685
0.0	Ammosaurus	201.47721794179253	199.40689379874067
0.0	Amotosaurus	247.19341220273077	243.68881591366255
0.0	Anarosaurus	246.77369744607697	242.7179584440213
0.0	Anchisauripus_Temperate_N	224.04630329817803	198.63587222856708
0.0	Anchisauripus_Tropical_N	226.5284711007487	198.65255531882116
0.0	Ancistronychus	223.2003957336738	221.19618473105552
0.0	Angistorhinus	237.00378567959925	211.15564946546502
0.0	Anisodontosaurus	246.9720016763535	238.0276224371186
0.0	Anomoepus_Temperate_N	201.3672403814861	199.36226453353962
0.0	Anomoepus_Tropical_N	222.60114025442502	199.0353826852902
0.0	Anomoiodon	247.22740983301594	243.49649825234783
0.0	Anshunsaurus	239.72184352737267	228.40621918505215
0.0	Anthodon	259.31513292456833	254.02297429250876
0.0	Anticheiropus	200.76577025559357	199.905143608214
0.0	Apachesuchus	220.33317669427015	218.49236846193796
0.0	Apatopus_Temperate_N	232.78178583952916	231.2469012506167
0.0	Apatopus_Tropical_N	227.78877990933486	201.83756516776302
0.0	Apatopus_Tropical_S	232.78919390580776	231.2630455467824
0.0	Apatosuchus	215.88715537508114	214.2736577366599
0.0	Aphelosaurus	296.07276076587186	295.0810087896958
0.0	Araeoscelis	290.44666883530965	272.19116233872853
0.0	Archeopelta	240.02136048467997	239.26559205017958
0.0	Archosaurus	260.1693662018869	256.63410201047304
0.0	Arcticodactylus	219.37999156502357	217.5923941096854
0.0	Arganaceras	257.21144254515946	257.06900197161036
0.0	Arganasuchus	233.73280119751593	227.2127399473969
0.0	Argoides	201.576086971632	199.44306789449084
0.0	Arizonasaurus	247.09862360382135	244.9337346749903
0.0	Asilisaurus	247.170124591336	241.9435351962392
0.0	Askeptosaurus	244.08304585902536	236.2613493427965
0.0	Asperoris	245.7712657045484	245.0823585193664
0.0	Asylosaurus	208.3738674392608	201.49547760048904
0.0	Atopodentatus	244.95928159696192	243.788568404055
0.0	Atreipus_Temperate_N	233.58620105201888	232.08878757432814
0.0	Atreipus_Tropical_N	231.65206103475137	214.8510305481239
0.0	Augustaburiania	250.27600303388581	247.37132875780063
0.0	Augustasaurus	243.26532389587567	242.56015665999476
0.0	Australothyris	261.91165431319513	261.49163653630933
0.0	Austriadactylus	214.87239719890079	209.30780390461763
0.0	Austriadraco	211.81300732468512	210.1375074326611
0.0	Avalonnectes	200.7606591509283	199.89552389185093
0.0	Avicranium	204.44585889105034	203.58665895271994
0.0	Azendohsaurus	232.14784001110056	230.59619657817976
0.0	Baeotherates	286.7937791733025	286.41740885240404
0.0	Baisesaurus	248.47388829454277	248.0452938133466
0.0	Barasaurus	260.42719055578397	249.4446991476609
0.0	Barberenasuchus	239.8525900335613	239.14725615731163
0.0	Barracudasauroides	246.66956972897822	242.01298915581853
0.0	Barracudasaurus	246.89902336008566	241.93415681066344
0.0	Barrancapus	223.20142871026098	221.35420924100922
0.0	Bashkyroleter	272.4825951864587	264.4166054536504
0.0	Batrachopus_Temperate_N	246.4902700337127	201.6059482614359
0.0	Batrachopus_Tropical_N	215.0295786355001	199.12639218282337
0.0	Batrachotomus	239.84598185662355	236.35707627201717
0.0	Belebey	270.2309364551868	264.21924272343875
0.0	Benggwigwishingasuchus	245.62523054091832	244.91179609449517
0.0	Bentonyx	245.78839619000735	245.05935040401175
0.0	Bergamodactylus	215.50323022616524	213.89779007255376
0.0	Besanosaurus	241.42956917674297	240.69955811364525
0.0	Blezingeria	244.05545302860605	243.37329121017441
0.0	Blomosaurus	251.74638568011855	251.44667820437527
0.0	Bobosaurus	236.07857861593885	234.74008777067556
0.0	Bolosaurus	295.5212079492362	275.95355900597224
0.0	Boreopricea	250.27547929726921	248.2256371931666
0.0	Brachychirotherium_Temperate_N	233.9949401495651	232.63235458960486
0.0	Brachychirotherium_Tropical_N	231.77168548136933	203.38921538196217
0.0	Brachychirotherium_Tropical_S	233.56997821348506	228.08301820560868
0.0	Bradysaurus	264.6076684563985	258.9117943655169
0.0	Brasinorhynchus	240.99633267791145	237.15945926478992
0.0	Brazilosaurus	291.0245958433375	282.12737899435234
0.0	Bromsgroveia	246.9603184451681	242.07968235223092
0.0	Broomia	263.43599495774004	259.57853020448346
0.0	Bunostegos	252.76901403349638	252.63591284264513
0.0	Buriolestes	235.0466999832518	209.88341942335651
0.0	Bystrowisuchus	249.92270720677718	249.4952463060977
0.0	Callawayia	222.53249809304538	211.3573738284935
0.0	Calyptosuchus	234.0277330717099	208.17453256567276
0.0	Camelotia	207.84745730492926	203.13379976031072
0.0	Camposaurus	218.4972663912234	216.7533358363483
0.0	Candelaria	242.01755105664952	236.2102805874627
0.0	Captorhinikos	283.31503463694986	273.134668574155
0.0	Captorhinoides	281.56083822590557	273.931646086186
0.0	Captorhinus_Temperate_S	256.31813437990655	256.208028344506
0.0	Captorhinus_Tropical_N	287.01678747113425	272.6478334410135
0.0	Captorhinus_Tropical_S	290.55133492385426	274.2581789964513
0.0	Cargninia	218.07832899175574	216.35888278616866
0.0	Carnufex	231.80679587730992	230.40360823432295
0.0	Cartorhynchus	248.2713030190418	247.83652600395985
0.0	Caseosaurus	215.73668139178602	214.05396929317956
0.0	Caviramus	207.26827415817718	206.11317816854202
0.0	Ceresiosaurus	242.23103076723507	237.2051211234474
0.0	Chalishevia	242.0591257267062	236.46580486530056
0.0	Chanaresuchus	241.90761865415243	236.70196552029685
0.0	Chaohusaurus	250.19396269085127	241.70464143917428
0.0	Chasmatosuchus	251.78883375940194	247.2184852747436
0.0	Chelyoposuchus	205.03154900497685	204.13068197520232
0.0	Chinchenia	240.7227641362141	239.89575556506688
0.0	Chindesaurus	226.60526860219846	211.00312483189074
0.0	Chinshakiangosaurus	200.67533446079108	199.81031430276542
0.0	Chirotherium_Temperate_N	235.51138778738044	202.98464441338123
0.0	Chirotherium_Temperate_S	241.1784224912364	237.4738223588956
0.0	Chirotherium_Tropical_N	252.01501827915786	210.9479557528022
0.0	Chromogisaurus	233.9590518453715	232.51959080194314
0.0	Clarazia	243.5926969924698	242.88144786307177
0.0	Claudiosaurus	260.2174944721729	251.6992422443199
0.0	Clevosaurus_Temperate_N	237.00780003949023	199.1512440902973
0.0	Clevosaurus_Temperate_S	233.5211517446445	208.44220093794087
0.0	Coahomasuchus	233.58056268901203	216.82279038938418
0.0	Coartaredens	246.67565306145326	242.3969856682607
0.0	Coburgosuchus	221.9355282545116	220.0384864248713
0.0	Coelodontognathus	250.1175452354914	247.27753296148356
0.0	Coelophysis_Tropical_N	228.05636878290125	199.9871779178171
0.0	Coelophysis_Tropical_S	217.28211227043755	215.54383682544253
0.0	Coelurosauravus_Temperate_N	256.97854838696065	256.87050989855885
0.0	Coelurosauravus_Temperate_S	258.2010459876011	252.7873874685593
0.0	Coelurosaurichnus_Temperate_N	246.39779253353962	202.84247161602548
0.0	Coelurosaurichnus_Tropical_N	246.23591678876534	211.4249203932358
0.0	Coelurosaurichnus_Tropical_S	233.54486780237588	229.0674010210975
0.0	Coletta	249.25974841840133	248.82734865094992
0.0	Collilongus	249.34520786564678	248.92611615406588
0.0	Colobomycter	290.45335212002857	282.95538702070803
0.0	Colobops	217.61544127837885	215.89215225715154
0.0	Coloradisaurus	223.6893132602891	211.62286600177436
0.0	Coloradisuchus	217.99334908207467	216.3108078593932
0.0	Concavispina	231.56090091130395	229.98306705864027
0.0	Contectopalatus	243.19099391840135	242.47665932191543
0.0	Corosaurus	248.71658753884105	247.23221783697582
0.0	Cosesaurus	238.55277132935908	237.76431736967155
0.0	Crosbysaurus	227.95828473345742	208.65665966639978
0.0	Ctenosauriscus	248.4887845884364	248.0633326589345
0.0	Cyamodus	246.55731631289223	227.98723006162632
0.0	Cymatosaurus	246.95318271233822	242.3467478560826
0.0	Cymbospondylus_Temperate_N	245.28040476593674	236.26348574157183
0.0	Cymbospondylus_Tropical_N	249.2125558793872	237.59399971908942
0.0	Czatkowiella	249.24945682479336	248.8228922408361
0.0	Dactylosaurus	246.98828283063574	242.43100971396115
0.0	Daemonosaurus	205.66958338756655	204.73727167042455
0.0	Dagasuchus	234.0274163531181	232.58869793778936
0.0	Dawazisaurus	244.17990197753926	243.45867520783744
0.0	Decuriasuchus	243.99011413785865	236.42976015698704
0.0	Delatorrichnus	200.73194770063185	199.8699429912148
0.0	Delorhynchus	289.6610359400615	281.99922496440473
0.0	Deltadectes	221.23384038957897	203.95080233366514
0.0	Deltavjatia	264.79601697353615	259.61397671837545
0.0	Desmatosuchus	233.49034061985546	208.83660629651186
0.0	Diandongosaurus	244.58885444471372	243.85916358001907
0.0	Diandongosuchus	239.61239109914743	238.83294962035313
0.0	Dianmeisaurus	245.28218597745268	242.8622397644004
0.0	Dianopachysaurus	244.62162732842864	243.89043444633663
0.0	Dimetropus	290.8145954277275	282.27438917263163
0.0	Dimorphodon	200.90615555576235	200.04852395137834
0.0	Dinocephalosaurus	244.9287796667893	243.63346803243607
0.0	Diphydontosaurus_Temperate_N	236.8375736264119	201.67684357597264
0.0	Diphydontosaurus_Tropical_N	215.5488946190332	213.93601945473233
0.0	Diphydontosaurus_Tropical_S	220.38891937432376	218.59587900556107
0.0	Dolabrosaurus	216.0861501819795	214.42363889234863
0.0	Dolerosaurus	230.08927872001988	228.607498135262
0.0	Dolichobrachium	233.81094653501103	232.33899283591555
0.0	Doliovertebra	245.4436611958714	244.69911745566276
0.0	Dongusuchus	245.9565316559051	242.1158304991345
0.0	Dorosuchus	246.00129983249667	243.00278510345353
0.0	Doswellia	237.47214430131558	210.41263472525642
0.0	Dracoraptor	200.88229729434806	200.01959788918944
0.0	Drepanosaurus_Temperate_N	216.2131703126758	214.57582691638902
0.0	Drepanosaurus_Tropical_N	224.40618338925438	203.26631224419003
0.0	Dromomeron_Temperate_S	219.396086587982	217.56114358834984
0.0	Dromomeron_Tropical_N	225.65149165854507	203.25561101828453
0.0	Dromomeron_Tropical_S	225.82140967628857	209.9253166482451
0.0	Dyoplax	232.0820772917947	230.56223995548967
0.0	Ebrachosuchus	233.27296769636902	231.85770095484048
0.0	Effigia	208.31058438066387	201.9273954559441
0.0	Efraasia	219.50067839628682	211.48214962993896
0.0	Eifelosaurus	246.09688580036354	245.32742345743713
0.0	Elachistosuchus	205.44324241775223	204.52521127115162
0.0	Elessaurus	249.17825829281173	248.76324663318474
0.0	Elginia	257.30338682819064	251.8043563073744
0.0	Embrithosaurus	264.70035075682694	259.57005997461806
