feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.14442645698785783,0.12122654169797897,0.1649845838546753,NA,NA,NA
Abyssomedon__rotated_lat_scaled,0.047869472833845066,-0.011691268873698833,0.03114299948390967,0.22293408285899205,0.060644518584012985,0.3619655966758728
Abyssomedon__map_scaled,0.03745456251548603,-0.015119578747441237,0.02371447847787015,NA,NA,NA
Abyssomedon__mat_scaled,0.1314681156910956,-0.004412244041189505,0.04674646141109088,NA,NA,NA
Abyssomedon__wmmcmm_boxcox_scaled,-0.14487038369989022,-0.06827768425530072,0.03590213814606475,NA,NA,NA
Abyssomedon__time,0.006585858530597761,-0.021725765780348676,0.027478506335739842,NA,NA,NA
Acadiella__rotated_lat_scaled,0.015203952753799967,-0.010918440176984245,0.026350466059239148,0.17471120530812187,0.09449223801493645,0.31264088302850723
Acadiella__map_scaled,-0.014142792971688323,-0.04249307546229149,0.04232841899820457,NA,NA,NA
Acadiella__mat_scaled,-0.08546931414792197,-0.06240934458966683,0.03521121125823386,NA,NA,NA
Acadiella__wmmcmm_boxcox_scaled,0.08151466984301806,-0.006378850660084893,0.04919926336194983,NA,NA,NA
Acadiella__time,0.03317823284305632,0.0009731691910484703,0.011895224177047886,NA,NA,NA
Acaenasuchus__rotated_lat_scaled,0.043934175489703194,-0.01102763482357216,0.03034027834382587,0.16791535919488523,0.02706751599907875,0.30224099196493626
Acaenasuchus__map_scaled,-0.015479973292676731,-0.04440703942131656,0.05086321746080891,NA,NA,NA
Acaenasuchus__mat_scaled,-0.12442224785452709,-0.06293730007093148,0.021645001620614307,NA,NA,NA
Acaenasuchus__wmmcmm_boxcox_scaled,0.0867012783534301,-0.002217195708770588,0.047714757984859864,NA,NA,NA
Acaenasuchus__time,0.03275566951109795,-0.0006373716733881773,0.014421328444566362,NA,NA,NA
Acallosuchus__rotated_lat_scaled,0.029264036375097932,-0.009873792714860618,0.032984564906167746,0.09261383685850888,0.025708893314003944,0.2607211507856846
Acallosuchus__map_scaled,-0.0001664466760121286,-0.02507089236367215,0.06176564539044258,NA,NA,NA
Acallosuchus__mat_scaled,-0.1492633288539946,-0.07350428145756249,0.012568376961918044,NA,NA,NA
Acallosuchus__wmmcmm_boxcox_scaled,0.03921241624440881,-0.007957693226436954,0.03792874046132391,NA,NA,NA
Acallosuchus__time,0.029140702781151048,-0.004819881935446759,0.019737256134823,NA,NA,NA
Acerosodontosaurus__rotated_lat_scaled,-0.09413191529813048,-0.03830804665585652,0.009078060885184475,0.19444805963335965,0.10210824944078922,0.2960820011794567
Acerosodontosaurus__map_scaled,0.0498382729376317,-0.029930067374846478,0.05436994053030505,NA,NA,NA
Acerosodontosaurus__mat_scaled,0.007325662989169359,-0.04553846280593225,0.059122653575635245,NA,NA,NA
Acerosodontosaurus__wmmcmm_boxcox_scaled,0.04027748522930778,-0.006618796382881781,0.019409121780151695,NA,NA,NA
Acerosodontosaurus__time,0.04671209678752348,-0.0008311684784619362,0.023004807083398818,NA,NA,NA
Acleistorhinus__rotated_lat_scaled,0.019085544631816446,-0.014714103595688754,0.034007877219650644,0.08897075735323597,0.004870660603046417,0.26762810349464417
Acleistorhinus__map_scaled,-0.015418730502715335,-0.026309510696628447,0.018641874310913784,NA,NA,NA
Acleistorhinus__mat_scaled,0.09120540689909831,-0.010792375081601418,0.04378238602599869,NA,NA,NA
Acleistorhinus__wmmcmm_boxcox_scaled,-0.1793620319548063,-0.05582389711804891,0.034571370623711684,NA,NA,NA
