clade	species	ts	te
0.0	Abyssomedon	286.3349961154235	285.8184581900687
0.0	Acadiella	232.15213997059968	230.53707831458127
0.0	Acaenasuchus	226.25440204488936	209.01856561876244
0.0	Acallosuchus	221.53591738374868	220.28576224974725
0.0	Acerosodontosaurus	255.08631637993756	254.9645622114468
0.0	Acleistorhinus	279.24413026130287	278.09804599792216
0.0	Acrodenta	256.94644584044266	256.81404015753515
0.0	Actiosaurus	205.10782197435526	204.0858392196802
0.0	Adamanasuchus	217.30642611901237	216.07516657427308
0.0	Adelosaurus	256.16956723312484	256.05936220778005
0.0	Aenigmasaurus	249.96120881738685	249.257215071323
0.0	Aenigmaspina	231.96390103666704	230.3894546558184
0.0	Aenigmastropheus	256.27361436185953	256.1626797792975
0.0	Aetosauroides	234.67270017951307	210.23255867980757
0.0	Aetosaurus	226.53653050513893	208.51685487594304
0.0	Agkistrognathus	250.29543946114956	249.5525798503317
0.0	Agnosphitys	232.94279527589197	231.37712680173115
0.0	Alexeyisaurus	217.5500373942266	216.32876634373716
0.0	Alwalkeria	233.71570345714952	232.2446431095679
0.0	Amanasaurus	233.1756235066501	211.1307608461316
0.0	Ammorhynchus	247.4198514895388	244.73153019623552
0.0	Ammosaurus	201.57319742554915	199.29552233182594
0.0	Amotosaurus	247.35752708268978	243.64276221983576
0.0	Anarosaurus	246.88418214899053	242.60796069893
0.0	Anchisauripus_Temperate_N	222.23658493663265	198.0300074698719
0.0	Anchisauripus_Tropical_N	224.8751644173491	198.12691310876787
0.0	Ancistronychus	222.83934966616297	221.52687501244458
0.0	Angistorhinus	237.0780740903121	211.72900634887057
0.0	Anisodontosaurus	247.3388404050045	237.62424714693495
0.0	Anomoepus_Temperate_N	201.40183832891475	199.32759580104224
0.0	Anomoepus_Tropical_N	222.24051200198886	198.990681041456
0.0	Anomoiodon	247.49730452780585	243.3707966161402
0.0	Anshunsaurus	239.81777191603237	228.40792615266835
0.0	Anthodon	259.5720550280336	253.783748019078
0.0	Anticheiropus	200.8418020494228	199.83837028604762
0.0	Apachesuchus	220.1148114671719	218.82852670451894
0.0	Apatopus_Temperate_N	232.75345533621484	231.18818631702578
0.0	Apatopus_Tropical_N	226.92371931477012	201.6115679274881
0.0	Apatopus_Tropical_S	232.79916690164336	231.264301219858
0.0	Apatosuchus	215.66736375199727	214.44999090299893
0.0	Aphelosaurus	296.3647230488561	294.7994887241858
0.0	Araeoscelis	290.74508212570146	272.01429470673
