feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.18777772448956967,0.1431928277015686,0.23324187099933624,NA,NA,NA
Abajudon__rotated_lat_scaled,-0.1410446992702782,-0.06921798963780794,-0.016228068547249817,0.13074415706621947,0.012109678238630295,0.31968897581100464
Abajudon__mean_scaled,0.042185321809374725,-0.024886144016020045,0.09977674695193497,NA,NA,NA
Abajudon__Mod_R_deltaTMyr_scaled,0.04424698116723448,-0.034486778010187756,0.10135425237316398,NA,NA,NA
Abajudon__time,-0.00242117112968117,-0.01460191603755287,0.048338940221487124,NA,NA,NA
Abdalodon__rotated_lat_scaled,-0.0406239911436569,-0.05905989868916682,0.017830421130323258,0.24280516782135236,0.049050578847527504,0.4779338873922825
Abdalodon__mean_scaled,0.038575128563970794,-0.019444510267466686,0.09493301552885289,NA,NA,NA
Abdalodon__Mod_R_deltaTMyr_scaled,0.036271373861236494,-0.03925243868156395,0.07804411521872119,NA,NA,NA
Abdalodon__time,0.02080493205023231,-0.02543598006337114,0.04243431912143892,NA,NA,NA
Acratophorus__rotated_lat_scaled,-0.07827999931236264,-0.06998778648165782,0.011190855394070373,0.34592429663578517,0.06444942206144333,0.737363813968841
Acratophorus__mean_scaled,0.06548947342671455,-0.03298967366475759,0.07376435609133379,NA,NA,NA
Acratophorus__Mod_R_deltaTMyr_scaled,0.008270383093040436,-0.04088152352142664,0.05593787079939964,NA,NA,NA
Acratophorus__time,0.16266671493882312,0.0006661559662734419,0.09234878871453245,NA,NA,NA
Adelobasileus__rotated_lat_scaled,-0.0385389962446061,-0.05607611918999688,0.043879353574810195,0.2743576598734944,0.0626190232578665,0.5574596002697945
Adelobasileus__mean_scaled,0.019171976023353635,-0.03228457611878779,0.057672358670616375,NA,NA,NA
Adelobasileus__Mod_R_deltaTMyr_scaled,-0.028246740978211164,-0.054012332118197476,0.03449114286057126,NA,NA,NA
Adelobasileus__time,0.13419369658338837,-0.0008198002745864664,0.09719901589333842,NA,NA,NA
Aelurognathus_Temperate_S__rotated_lat_scaled,-0.18726657337574618,-0.12065082759163032,-0.009176456636807573,0.5103321306655562,0.10221941396594048,1.032965548336506
Aelurognathus_Temperate_S__mean_scaled,0.12295924041260425,-0.007290491018236839,0.09162592925767916,NA,NA,NA
Aelurognathus_Temperate_S__Mod_R_deltaTMyr_scaled,0.23303763220944987,-0.0023698596582323143,0.1340205981321567,NA,NA,NA
Aelurognathus_Temperate_S__time,0.019047425243261723,-0.012881649433469132,0.01677180024630796,NA,NA,NA
Aelurosaurus__rotated_lat_scaled,0.04085349448732992,-0.022266985833396674,0.055616347420468,0.4161134963841323,0.14969250187277794,0.7266313433647156
Aelurosaurus__mean_scaled,0.026703608165683637,-0.0864330423197908,0.05781887097912155,NA,NA,NA
Aelurosaurus__Mod_R_deltaTMyr_scaled,0.06807255556441141,-0.013128365991582002,0.07532431098914064,NA,NA,NA
Aelurosaurus__time,0.052148066272144696,-0.021364433556799133,0.04448234161060607,NA,NA,NA
Aelurosuchus__rotated_lat_scaled,0.025270074257277883,-0.037448506091086305,0.047808740195288385,0.366151096917456,0.09875698387622833,0.7159547675400972
Aelurosuchus__mean_scaled,0.04997176717821276,-0.04675579948124697,0.08935287123413876,NA,NA,NA
Aelurosuchus__Mod_R_deltaTMyr_scaled,-0.0009574865543982014,-0.06655133598281605,0.03300171903697588,NA,NA,NA
Aelurosuchus__time,0.10408901754679391,0.007562813853580725,0.06307854053293323,NA,NA,NA
Aerosaurus__rotated_lat_scaled,0.030267939699697308,-0.023451039509476048,0.08696397590475194,0.14251783869898646,0.02824916411191225,0.3633429268375039
Aerosaurus__mean_scaled,-0.04504500088019995,-0.05549556886338455,0.032261722580743585,NA,NA,NA
Aerosaurus__Mod_R_deltaTMyr_scaled,0.004653850281611085,-0.02952784430032738,0.07946541299026291,NA,NA,NA
Aerosaurus__time,-0.03513667489169166,-0.03471837502838062,0.03455075952357783,NA,NA,NA
Akidnognathus__rotated_lat_scaled,-0.007424027224449831,-0.08649753848457005,0.028720651222925234,0.41341565488182824,0.055986642837524414,0.8116222023963928
Akidnognathus__mean_scaled,0.04185263863463193,-0.02601396697308637,0.05727674570963467,NA,NA,NA
Akidnognathus__Mod_R_deltaTMyr_scaled,0.11086490516734693,-0.028274529252022958,0.11851583749410081,NA,NA,NA
Akidnognathus__time,0.04248420791204064,-0.0024067929918892284,0.02872863657267554,NA,NA,NA
Alemoatherium__rotated_lat_scaled,-0.1375798061065143,-0.07864363855998752,0.02204291115789418,0.16452082314150174,0.014199303463101387,0.3595094345510006
Alemoatherium__mean_scaled,0.03535097995918477,-0.013865170257948886,0.07885554606388445,NA,NA,NA
Alemoatherium__Mod_R_deltaTMyr_scaled,-0.015263447138713672,-0.04436906648825277,0.03122716530245739,NA,NA,NA
Alemoatherium__time,0.09423537193797529,-0.006314952395379445,0.1011162484751002,NA,NA,NA
Aleodon__rotated_lat_scaled,-0.15909713169559836,-0.08595040615589206,0.006665256204003819,0.1463235611988648,0.021467506885528564,0.3917210903018713
Aleodon__mean_scaled,0.04026370237849278,-0.019520233948359885,0.07166645050047228,NA,NA,NA
Aleodon__Mod_R_deltaTMyr_scaled,0.006163062687846832,-0.030736276483072887,0.053264015284783486,NA,NA,NA
Aleodon__time,0.0712162033385539,-0.006985911114243769,0.10164614901007664,NA,NA,NA
Alepognathus__rotated_lat_scaled,0.04626498691854067,-0.02791930849498044,0.04591768080036666,0.3029870154481614,0.040019521256908774,0.813624881207943
Alepognathus__mean_scaled,0.006117121824063361,-0.056270396020238894,0.06923302468984711,NA,NA,NA
Alepognathus__Mod_R_deltaTMyr_scaled,0.08256375319848303,-0.026373198131802625,0.08273343214488016,NA,NA,NA
Alepognathus__time,-0.019736570982495323,-0.032629925054546656,0.03535773336424232,NA,NA,NA
Alierasaurus__rotated_lat_scaled,0.04138829244482622,-0.029387556945534625,0.10022353761331709,0.18159088477324986,0.05251296516507864,0.37999701499938965
Alierasaurus__mean_scaled,-0.03466249875258654,-0.053380814034125375,0.04120276886878003,NA,NA,NA
Alierasaurus__Mod_R_deltaTMyr_scaled,0.0008458052389323711,-0.02924734793960911,0.05621638277791275,NA,NA,NA
Alierasaurus__time,-0.013758438647491857,-0.03117710878229951,0.035599181739326365,NA,NA,NA
Alopecideops__rotated_lat_scaled,0.06704166950416442,-0.014907967360407094,0.06960854023194994,0.3865861522604246,0.05306935869157314,0.7291986979544163
Alopecideops__mean_scaled,0.05987607091489079,-0.061338763093452944,0.07329742055795385,NA,NA,NA
Alopecideops__Mod_R_deltaTMyr_scaled,0.0778870470993364,-0.019764059588941788,0.06868576770729891,NA,NA,NA
Alopecideops__time,-0.017027063028821923,-0.04718203765876678,0.021650142502133526,NA,NA,NA
Alopecodon__rotated_lat_scaled,0.06112000868202287,-0.024099899625850314,0.06527398771831287,0.4149895245092921,0.07225113175809383,0.813624881207943
Alopecodon__mean_scaled,0.062071942297144085,-0.03755551860894248,0.07814500123795443,NA,NA,NA
Alopecodon__Mod_R_deltaTMyr_scaled,0.0769192345641589,-0.01330442322724093,0.07519614856940046,NA,NA,NA
Alopecodon__time,-0.012333461053756193,-0.06823298623953487,0.014626733473668477,NA,NA,NA
Alopecognathus__rotated_lat_scaled,0.057449160724153674,-0.02847651600818684,0.06902692113034282,0.4448900125018554,0.20275751315057278,0.8375482958508655
Alopecognathus__mean_scaled,0.07614274628547198,0.006588106854553758,0.07492498586501141,NA,NA,NA
Alopecognathus__Mod_R_deltaTMyr_scaled,0.054719497631839496,-0.05919326370807415,0.06334208264361521,NA,NA,NA
Alopecognathus__time,-0.0005336801518955118,-0.06211115483986138,0.02594788136036679,NA,NA,NA
Alopecorhinus__rotated_lat_scaled,0.04796103993547149,-0.02878262102053695,0.05776647053352636,0.3331528911308851,0.08862973656505346,0.5772760733962059
Alopecorhinus__mean_scaled,0.03664815116673708,-0.03307211864772383,0.0764467284600908,NA,NA,NA
Alopecorhinus__Mod_R_deltaTMyr_scaled,0.0421024146839045,-0.0498209871195777,0.056131333814435,NA,NA,NA
Alopecorhinus__time,0.018663560855202377,-0.031517100913730126,0.04289733819128407,NA,NA,NA
Aloposaurus__rotated_lat_scaled,-0.15454651157138868,-0.1214061904150036,0.004632047785257041,0.3522117703271215,0.0551668144762516,0.8575946688652039
Aloposaurus__mean_scaled,0.09234330829465762,-0.014159696464111669,0.07294681302734028,NA,NA,NA
Aloposaurus__Mod_R_deltaTMyr_scaled,0.19467130045290104,0.0003411684908153084,0.13932234445662228,NA,NA,NA
Aloposaurus__time,0.031965948661381846,-0.007968109313268645,0.016340665730116645,NA,NA,NA
Alrausuchus__rotated_lat_scaled,0.1463228165730834,0.00469923686143073,0.08840681865595974,0.3077924739291484,0.10574941290542483,0.5850243959575891
Alrausuchus__mean_scaled,-0.03208481472058338,-0.06132385593875365,0.049706234529518986,NA,NA,NA
Alrausuchus__Mod_R_deltaTMyr_scaled,0.026288349657552317,-0.04209380293470393,0.06479546539336667,NA,NA,NA
Alrausuchus__time,-0.0205116020704736,-0.044474405689541745,0.030333352420490838,NA,NA,NA
Ameghinichnus__rotated_lat_scaled,-0.013674874505959451,-0.05573949597561106,0.05365894921201475,0.27962816250219474,0.07174811884760857,0.4718571859411895
Ameghinichnus__mean_scaled,0.018461569420760496,-0.0363223906234222,0.04244665141612561,NA,NA,NA
Ameghinichnus__Mod_R_deltaTMyr_scaled,-0.04917661606450565,-0.05795555622678415,0.03081173619952175,NA,NA,NA
Ameghinichnus__time,0.13624035916232968,0.006824615124248806,0.10632453417167412,NA,NA,NA
Andescynodon__rotated_lat_scaled,-0.1199526775884442,-0.08644193897465495,0.005398259621641225,0.26584844264783897,0.024401066824793816,0.5316778495907784
Andescynodon__mean_scaled,0.04751911602274049,-0.019301547182989955,0.06657036123757629,NA,NA,NA
Andescynodon__Mod_R_deltaTMyr_scaled,0.0022023892315337435,-0.040086470661191594,0.04137012830120266,NA,NA,NA
Andescynodon__time,0.14830189049243928,0.0026371291172679083,0.11990312183891608,NA,NA,NA
Angelosaurus__rotated_lat_scaled,0.024237127741580478,-0.029439133168740122,0.05674315490772814,0.21049712582171196,0.032389439875259995,0.5269227586686611
