feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.19259245485067367,0.1670781373977661,0.21695420145988464,NA,NA,NA
Abajudon__rotated_lat_scaled,-0.003361035599373281,-0.056095380564012635,0.04470996779662141,0.33034172041225246,0.06459541991353035,0.6653491631150246
Abajudon__mean_scaled,-0.015040764907607808,-0.07531480547255104,0.036742521967572765,NA,NA,NA
Abajudon__Mod_R_deltaTMyr_scaled,0.02493426059372723,-0.048095464432050435,0.045538612625529176,NA,NA,NA
Abajudon__time,0.13121680547483267,0.012427513070847999,0.0899630990701613,NA,NA,NA
Abdalodon__rotated_lat_scaled,-5.125857482198626e-05,-0.054035279108983494,0.0477605420138184,0.2705183380037488,0.056366486474871635,0.6601723954081535
Abdalodon__mean_scaled,0.009028969947685254,-0.0379750474535644,0.059308868803826235,NA,NA,NA
Abdalodon__Mod_R_deltaTMyr_scaled,0.035098645174875855,-0.07211765645816919,0.07911707483486442,NA,NA,NA
Abdalodon__time,0.033849526605335994,-0.0029501543770490287,0.03076771580737559,NA,NA,NA
Acratophorus__rotated_lat_scaled,-0.0834363346779719,-0.06695607476830136,-0.0066326073674343655,0.1057039006328705,0.035864993929862976,0.22033698623999953
Acratophorus__mean_scaled,0.04131368400179781,-0.01531759269887707,0.1357185645136032,NA,NA,NA
Acratophorus__Mod_R_deltaTMyr_scaled,-0.008524186839858885,-0.03508294993810855,0.055716001225084154,NA,NA,NA
Acratophorus__time,-0.036241716701770205,-0.049721519992479146,0.032152243088631655,NA,NA,NA
Adelobasileus__rotated_lat_scaled,0.0208048460788541,-0.03378340930550455,0.0675688214784839,0.20070775968851196,0.03286974970251322,0.4553327620960772
Adelobasileus__mean_scaled,0.007793891489855014,-0.053210865023822086,0.08550018888116194,NA,NA,NA
Adelobasileus__Mod_R_deltaTMyr_scaled,-0.009409991622087546,-0.04701804584397508,0.03677143348005364,NA,NA,NA
Adelobasileus__time,-0.0110734411087833,-0.03306581722446439,0.027113757620185166,NA,NA,NA
Aelurognathus_Temperate_S__rotated_lat_scaled,0.026694625540554302,-0.09342951327562332,0.04157070963736096,0.46442193006951127,0.1231539212167263,0.8428096510469913
Aelurognathus_Temperate_S__mean_scaled,0.05207421214117562,-0.023397577926516533,0.05621023181965782,NA,NA,NA
Aelurognathus_Temperate_S__Mod_R_deltaTMyr_scaled,0.07781349859080407,-0.059911780059337616,0.09032549103839525,NA,NA,NA
Aelurognathus_Temperate_S__time,0.03601011857813969,0.014768845401704311,0.028847768964470607,NA,NA,NA
Aelurosaurus__rotated_lat_scaled,0.019505720444140024,-0.04201588785709796,0.04387202168948866,0.31329917076815034,0.07676451839506626,0.6624401658773422
Aelurosaurus__mean_scaled,-0.009782413077773526,-0.06898498532086539,0.04945019239384387,NA,NA,NA
Aelurosaurus__Mod_R_deltaTMyr_scaled,0.017858691908331822,-0.08386769747742108,0.06273430261976932,NA,NA,NA
Aelurosaurus__time,0.09312471664277837,0.027790433257618312,0.06089768475678279,NA,NA,NA
Aelurosuchus__rotated_lat_scaled,-0.0609950961638242,-0.08132779800316806,0.015387258010407663,0.2317403813925921,0.02053387789055705,0.4879578799009323
Aelurosuchus__mean_scaled,0.07733527327334741,-0.020498211843209872,0.10671811626898307,NA,NA,NA
Aelurosuchus__Mod_R_deltaTMyr_scaled,0.03322322572930716,-0.03070133545638562,0.07081149322425717,NA,NA,NA
Aelurosuchus__time,-0.010415476296911948,-0.03455079209500257,0.024037333956236737,NA,NA,NA
Aerosaurus__rotated_lat_scaled,-0.01716789164776613,-0.14757013452461135,0.037887042204586774,0.42860959143688887,0.22873625345528126,0.5833654329180717
Aerosaurus__mean_scaled,0.036020761683436334,-0.04019044510090906,0.045090129127783096,NA,NA,NA
Aerosaurus__Mod_R_deltaTMyr_scaled,0.06037492866407136,-0.006884088203896906,0.05587817607246692,NA,NA,NA
Aerosaurus__time,0.11336465615093211,0.027566530431651217,0.07809885405504784,NA,NA,NA
Akidnognathus__rotated_lat_scaled,0.012895135147700784,-0.05108370686356893,0.04253896928814384,0.33214811414160067,0.08243763819336891,0.7887840643525124
Akidnognathus__mean_scaled,0.03561388074333081,-0.0580943198457896,0.0497473546008783,NA,NA,NA
Akidnognathus__Mod_R_deltaTMyr_scaled,0.051183154524478594,-0.05345248575840248,0.09614562456437306,NA,NA,NA
Akidnognathus__time,0.039863488875416804,-0.004447624930005091,0.02852225300648946,NA,NA,NA
Alemoatherium__rotated_lat_scaled,-0.044996430217288434,-0.044833188497444665,0.02840625597437278,0.12630419358058134,0.0257473262026906,0.2891897317022085
Alemoatherium__mean_scaled,0.052770522991049805,-0.014693194806274413,0.10769455690212361,NA,NA,NA
Alemoatherium__Mod_R_deltaTMyr_scaled,0.011753576224873542,-0.03333400595540937,0.0714024288654255,NA,NA,NA
Alemoatherium__time,-0.08581593026872725,-0.07421774813863767,0.009450959717962754,NA,NA,NA
Aleodon__rotated_lat_scaled,-0.023429238651879132,-0.07129174846386994,0.0289764563474305,0.343973314728355,0.07683833688497543,0.9961015991866589
Aleodon__mean_scaled,0.15605446585977917,0.0001664266251527818,0.11241115072988737,NA,NA,NA
Aleodon__Mod_R_deltaTMyr_scaled,0.04737962253857404,-0.047421935305904335,0.0687715735386033,NA,NA,NA
Aleodon__time,-0.028623989868792707,-0.0485308802531446,0.0067950208439634665,NA,NA,NA
Alepognathus__rotated_lat_scaled,0.019329132427228616,-0.03590444469046937,0.053619613855923606,0.282843641872023,0.06982398219406605,0.5325414128601551
Alepognathus__mean_scaled,0.01477933771078824,-0.060002779101420906,0.04714462132969229,NA,NA,NA
Alepognathus__Mod_R_deltaTMyr_scaled,0.0045284830895252525,-0.08657816602966363,0.07033795650076718,NA,NA,NA
Alepognathus__time,0.05161423379380722,0.0154072524237878,0.04585200977350157,NA,NA,NA
Alierasaurus__rotated_lat_scaled,-0.06083830446383218,-0.0718160814520464,0.043661478249771346,0.14957374865116435,0.03885074704885483,0.26697418093681335
Alierasaurus__mean_scaled,-0.049264148502843455,-0.06945965176689842,0.029826129686094143,NA,NA,NA
Alierasaurus__Mod_R_deltaTMyr_scaled,-0.00015121894466574304,-0.034599095277605435,0.048898228518722976,NA,NA,NA
Alierasaurus__time,0.06723496571183205,0.00879669109878413,0.09456836500529617,NA,NA,NA
Alopecideops__rotated_lat_scaled,-0.00128690252895467,-0.03881242405709556,0.055685906370375626,0.24318924045874155,0.04993715137243271,0.478161059319973
Alopecideops__mean_scaled,0.015945010623399865,-0.056604775773744266,0.05311033827024243,NA,NA,NA
Alopecideops__Mod_R_deltaTMyr_scaled,-0.01427166344365105,-0.08253676516126918,0.06038069222459847,NA,NA,NA
Alopecideops__time,0.05021034095727373,0.010875827594342895,0.04777726459466813,NA,NA,NA
Alopecodon__rotated_lat_scaled,0.03694758942292538,-0.04079090995457698,0.04489379783919736,0.35011457686458014,0.13607292715460062,0.6412071101367474
Alopecodon__mean_scaled,0.008609493793919683,-0.08885964795524542,0.059055751641661346,NA,NA,NA
Alopecodon__Mod_R_deltaTMyr_scaled,0.04664916726032971,-0.057833166183313155,0.07033431454358753,NA,NA,NA
Alopecodon__time,0.06531587153673173,0.020405586695369432,0.04267033743543843,NA,NA,NA
Alopecognathus__rotated_lat_scaled,0.02878649719932582,-0.036198889943335984,0.04241262436173566,0.316021460290649,0.08618004992604256,0.5609830021858215
Alopecognathus__mean_scaled,-0.011067604194395245,-0.09191699217565728,0.0409426079778865,NA,NA,NA
Alopecognathus__Mod_R_deltaTMyr_scaled,0.042167804330820215,-0.055445366821350754,0.07667090289774141,NA,NA,NA
Alopecognathus__time,0.06354230810422451,0.016483111542577922,0.056928066222521084,NA,NA,NA
Alopecorhinus__rotated_lat_scaled,0.0035688366810791195,-0.04758567884439653,0.053687973222895154,0.25920719077286775,0.060767749324440956,0.5558607615530491
Alopecorhinus__mean_scaled,0.00993085824768059,-0.04865782850797333,0.049002796260860335,NA,NA,NA
Alopecorhinus__Mod_R_deltaTMyr_scaled,0.012042856888729147,-0.07145065622721058,0.06179593845204557,NA,NA,NA
Alopecorhinus__time,0.04107218410470523,0.000616026181814325,0.05246749352408357,NA,NA,NA
Aloposaurus__rotated_lat_scaled,0.020631405610566547,-0.06534207725292526,0.042875523975715445,0.410320997198869,0.12856607139110565,0.7902320809662342
Aloposaurus__mean_scaled,0.05036327095197755,-0.054319848593788696,0.05015210975001765,NA,NA,NA
Aloposaurus__Mod_R_deltaTMyr_scaled,0.07661025602052503,-0.04931137580284142,0.09631291149427092,NA,NA,NA
Aloposaurus__time,0.044987522267604545,0.0018951642517892574,0.027613656239880616,NA,NA,NA
Alrausuchus__rotated_lat_scaled,0.11453654399104701,0.038123734295368195,0.0969732781558202,0.45235225036676124,0.20834823581390083,0.687838077545166
Alrausuchus__mean_scaled,-0.02715876206379386,-0.15444804728031158,0.014563550772577968,NA,NA,NA
Alrausuchus__Mod_R_deltaTMyr_scaled,0.0458521308933908,-0.04878692328929901,0.054776385374074976,NA,NA,NA
Alrausuchus__time,0.05936254203002973,0.024416984990239143,0.05064098715741149,NA,NA,NA
Ameghinichnus__rotated_lat_scaled,0.031915342766151295,-0.03205117432378503,0.06866701993686998,0.21306486815905373,0.03528309427201748,0.39498555287718773
Ameghinichnus__mean_scaled,0.04185916976595763,-0.042935793802617715,0.08918681711530399,NA,NA,NA
Ameghinichnus__Mod_R_deltaTMyr_scaled,-0.0383219411468599,-0.056038388204462754,0.03374917244431208,NA,NA,NA
Ameghinichnus__time,-0.014980158076868975,-0.03605278106690061,0.025351191963398596,NA,NA,NA
Andescynodon__rotated_lat_scaled,-0.07834452199036605,-0.07763095372180961,0.01686907129789827,0.27396355735938416,0.06300577195361257,0.5956626636907458
Andescynodon__mean_scaled,0.14175675563514234,-0.011653931742528587,0.1209990711178645,NA,NA,NA
