clade	species	ts	te
0.0	Acanthostomatops	290.4354229021419	290.15606724883975
0.0	Acerastea	251.38222630532186	251.27959976215732
0.0	Acheloma	291.54847960544515	265.64196634047715
0.0	Acroplous	296.6448336316468	290.7357205341671
0.0	Actinodon	296.7674178553115	283.6885275199089
0.0	Actiobates	305.45923752210035	305.29154518697044
0.0	Adamanterpeton	308.5516474811346	308.3811864112338
0.0	Almasaurus	234.33480729078263	233.16464954262648
0.0	Amphibamus	310.1649916974666	307.1009919928719
0.0	Anakamacops	268.3583868831324	266.0941154938853
0.0	Anaschisma	236.87605196186402	204.79220803008656
0.0	Anconastes	305.84183530256087	305.6756901325854
0.0	Angusaurus	254.10657479948821	244.5944640718832
0.0	Anisodexis	273.5123668753664	271.79135198266135
0.0	Anthichnium	262.5715086083741	260.3132535866925
0.0	Anthracobamus	300.5993564696395	300.43057226817797
0.0	Apachesaurus	236.78899260074027	206.7343353771475
0.0	Apateon	302.3760970485238	259.3810635593049
0.0	Aphaneramma_Temperate_N	254.32342264993903	245.22059067489744
0.0	Aphaneramma_Temperate_S	253.87860734506876	249.16888657117056
0.0	Arachana	224.7132312708202	223.8814355671096
0.0	Archegosaurus	298.87425166166383	282.96946268315844
0.0	Arenaerpeton	247.34894592688903	247.2220190091704
0.0	Aspidosaurus_Temperate_N	269.86721364107365	267.47805729152407
0.0	Aspidosaurus_Tropical_N	303.4502660710508	270.3111915390614
0.0	Aspidosaurus_Tropical_S	300.0348502044358	273.7069286986179
0.0	Astreptorhachis	299.1742416058758	299.0042050942494
0.0	Australerpeton	267.63086760037334	263.3830509663964
0.0	Bageherpeton	272.8428066238916	271.86752890154713
0.0	Banksiops	252.40734816378767	251.05887106580903
0.0	Bashkirosaurus	267.980128233935	265.4798868657477
0.0	Bathignathus	250.62654562959602	243.7690466738985
0.0	Batrachosuchoides_Temperate_N	254.16964269115988	244.31731643521312
0.0	Batrachosuchus_Temperate_S	252.69427130327435	241.71331692799632
0.0	Benthosphenus	250.38000829155828	250.27811190641793
0.0	Benthosuchus	251.67038976070765	247.18891347516126
0.0	Bermanerpeton	303.18346218461335	303.0174772995799
0.0	Boreopelta	248.56012156259877	248.45629908902833
0.0	Bothriceps	259.9512017150077	252.674202704787
0.0	Brachyops	249.8555098699378	249.75464009091706
0.0	Branchierpeton	304.4918118608841	290.72243135327005
0.0	Branchiosaurus	309.3932227393351	294.977802548809
0.0	Brevidorsum	291.5793228152955	291.41054773725364
0.0	Broiliellus	296.2480827768532	276.8891207724625
0.0	Broomistega	253.53713231993316	247.7995699025372
0.0	Bukobaja	243.68871205813525	238.26058684422
0.0	Bulgosuchus	248.52620415662022	248.42565523445776
0.0	Cacops	289.7844758146912	274.7087785325231
0.0	Calamops	225.5181371329762	224.5105735478152
0.0	Callistomordax	240.2165437616102	235.04310728932438
0.0	Calmasuchus	245.79696012678502	245.22644704593938
0.0	Capetus	309.8658035069981	309.6942492339445
0.0	Capitosauroides	246.28395556812927	245.76220291480809
0.0	Capulomala	253.7057224253989	249.1514766301727
0.0	Cheliderpeton	298.69175802509346	269.8971326712688
0.0	Chelydosaurus	281.10463458076504	280.37487295877736
0.0	Chenoprosopus	301.30183205990335	285.5270647690481
0.0	Cherninia	245.91032910250613	244.58301699956638
0.0	Chinlestegophis	229.19899807947328	212.92177423880338
0.0	Chomatobatrachus	252.69930079335555	251.27746300369154
0.0	Clamorosaurus	277.39461935167435	270.24753930138957
0.0	Cochleosaurus	310.46797122145017	306.5929735391716
0.0	Collidosuchus	266.2400336388426	263.75598028881467
0.0	Compsocerops_Temperate_S	230.9667929673522	209.5991009652287
0.0	Conjunctio	297.3031197998749	288.294451979371
