feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.13510565929114818,0.09322475641965866,0.17190954089164734,NA,NA,NA
Acanthostomatops__rotated_lat_scaled,0.05254914581833873,-0.010285638805584712,0.07726490430344383,0.05440179855155293,0.0062924399971961975,0.11755210161209106
Acanthostomatops__mean_scaled,-0.17548429299145937,-0.05577362644584588,-0.024025011648568847,NA,NA,NA
Acanthostomatops__Mod_R_deltaTMyr_scaled,-0.047854544296860695,-0.023382481092210246,0.03889967918512075,NA,NA,NA
Acanthostomatops__time,0.09008583073038608,-0.0037830100760178195,0.0797699690516516,NA,NA,NA
Acerastea__rotated_lat_scaled,0.020685066786941052,-0.02541687371702403,0.0343550304955638,2.127431164482841,1.2292776256799698,3.2425407245755196
Acerastea__mean_scaled,0.03183980408019522,0.015047714713174955,0.040050571156797575,NA,NA,NA
Acerastea__Mod_R_deltaTMyr_scaled,0.06709334542502676,0.09350096618931787,0.07754805485990526,NA,NA,NA
Acerastea__time,0.01548744299898515,0.010092949234189871,0.019955884379380697,NA,NA,NA
Acheloma__rotated_lat_scaled,0.0789483058953192,-0.0207961719868268,0.060245795547561896,0.18131517068832181,0.01695352792739868,0.520331509411335
Acheloma__mean_scaled,-0.10464094669325277,-0.045309713521421234,0.017822601604503635,NA,NA,NA
Acheloma__Mod_R_deltaTMyr_scaled,-0.02983461899450049,-0.025591757195411846,0.03355925933826215,NA,NA,NA
Acheloma__time,0.10173677118960768,-0.0015271137159987892,0.060281884401319666,NA,NA,NA
Acroplous__rotated_lat_scaled,0.09433078101065709,-0.01300397014891052,0.0642101010634149,0.3117780543357367,0.01663811318576336,0.5418037846684456
Acroplous__mean_scaled,-0.08294125777646097,-0.057088246825631836,0.016573173425783863,NA,NA,NA
Acroplous__Mod_R_deltaTMyr_scaled,0.025848822478971818,-0.022414444374335325,0.034873764402751396,NA,NA,NA
Acroplous__time,0.09786731357798023,-0.000718095070780976,0.05625250199969718,NA,NA,NA
Actinodon__rotated_lat_scaled,0.09175873280270025,-0.010403253233598427,0.056875229674606814,0.19763056982075797,0.021030299365520477,0.41231592558324337
Actinodon__mean_scaled,-0.14726529525010845,-0.05475225700444975,0.004954326261049502,NA,NA,NA
Actinodon__Mod_R_deltaTMyr_scaled,0.006780509983655065,-0.02734876644854677,0.04295293598313495,NA,NA,NA
Actinodon__time,0.11125096299336291,-0.0007204797330637012,0.06712704897285607,NA,NA,NA
Actiobates__rotated_lat_scaled,0.060467372296466294,-0.0023104624441787213,0.05982089150613206,0.525772046779457,0.3254430219531059,0.7319430261850357
Actiobates__mean_scaled,-0.01348343631376455,-0.08909195131217568,0.025497876768702337,NA,NA,NA
Actiobates__Mod_R_deltaTMyr_scaled,0.030867546035463402,-0.008753784345967441,0.03629051074172023,NA,NA,NA
Actiobates__time,0.05725417727298302,0.0069314416826631725,0.05030026187509272,NA,NA,NA
Adamanterpeton__rotated_lat_scaled,0.057389630371202247,-0.0015821924023623195,0.06080924179727782,0.5500118889542136,0.324918657541275,0.7633024118840694
Adamanterpeton__mean_scaled,-0.010330799338582518,-0.0902784684525791,0.02029962501387036,NA,NA,NA
Adamanterpeton__Mod_R_deltaTMyr_scaled,0.031141383028224445,-0.006508599015726575,0.03654806859230995,NA,NA,NA
Adamanterpeton__time,0.05690544523030401,0.005144503451009331,0.0542526054881892,NA,NA,NA
Almasaurus__rotated_lat_scaled,0.094629492819651,-0.0032198434481167373,0.05136643014671298,0.40504353913507657,0.051727394573390484,1.18795607984066
Almasaurus__mean_scaled,0.08481293335049114,-0.016164695651096586,0.06920756653760435,NA,NA,NA
Almasaurus__Mod_R_deltaTMyr_scaled,-0.06054035430473149,-0.043790049839797354,0.015904482692065583,NA,NA,NA
Almasaurus__time,0.016203587425737537,-0.03005016748064798,0.03543106151526443,NA,NA,NA
Amphibamus__rotated_lat_scaled,0.05804928152410169,0.0009331535475816756,0.06500990943318596,0.5215747421543346,0.3319742679595947,0.6751493588089943
Amphibamus__mean_scaled,-0.01753716824661754,-0.09824618215794445,0.016515465844148446,NA,NA,NA
Amphibamus__Mod_R_deltaTMyr_scaled,0.03406575881754989,-0.004100193086937357,0.036942438604203306,NA,NA,NA
Amphibamus__time,0.06052778719611414,0.008188465277641466,0.05344172701010962,NA,NA,NA
Anakamacops__rotated_lat_scaled,0.07218718676129356,-0.010166264469252216,0.05907277474750056,0.2191831349086715,0.010980265215039253,0.5635411031544209
Anakamacops__mean_scaled,-0.06358663445105776,-0.0464016990898742,0.025884942799324007,NA,NA,NA
Anakamacops__Mod_R_deltaTMyr_scaled,-0.01347842112008948,-0.0396810497564234,0.039972464643287894,NA,NA,NA
Anakamacops__time,0.08895534442737699,0.0030242568958911546,0.04697935870153487,NA,NA,NA
Anaschisma__rotated_lat_scaled,0.17204672175459565,-0.0013473339321713063,0.07033585886264156,0.2444401282197214,0.03851614147424698,0.47340108413482085
Anaschisma__mean_scaled,0.02818793230020674,-0.027347811453728013,0.03924426097341435,NA,NA,NA
Anaschisma__Mod_R_deltaTMyr_scaled,-0.10989306420553475,-0.05384236985162301,0.030416620497203395,NA,NA,NA
Anaschisma__time,0.018992879079305566,-0.010687241182136322,0.03191280055838803,NA,NA,NA
Anconastes__rotated_lat_scaled,0.06831166870127976,-0.01216007181961804,0.05903731566101439,0.4454992505075643,0.22906369343400002,0.6227585077285767
Anconastes__mean_scaled,-0.034380104763318764,-0.08140879586961967,0.02046096248104054,NA,NA,NA
Anconastes__Mod_R_deltaTMyr_scaled,0.03579699171650678,-0.005579705342729661,0.04001875796516076,NA,NA,NA
Anconastes__time,0.06537710363668041,0.005923816612308716,0.052392504784431665,NA,NA,NA
Angusaurus__rotated_lat_scaled,-0.00954389120213712,-0.062320090441231615,0.01583881450126735,1.3637969088112003,0.030148569494485855,2.2851074263453484
Angusaurus__mean_scaled,0.04290348351108137,-0.004441403053912532,0.0493831734202706,NA,NA,NA
Angusaurus__Mod_R_deltaTMyr_scaled,0.08084557329690521,-0.028312654297803396,0.08070452968969724,NA,NA,NA
Angusaurus__time,0.020900493685298692,0.0018493913732888804,0.02598302328041216,NA,NA,NA
Anisodexis__rotated_lat_scaled,0.07493326443945988,-0.008661485705720812,0.08728196169866193,0.04596663280419307,0.007077313959598541,0.10118255205452442
Anisodexis__mean_scaled,-0.15890297821257263,-0.050363035089804165,-0.002138770055943864,NA,NA,NA
Anisodexis__Mod_R_deltaTMyr_scaled,-0.08277008189092157,-0.035552782704106105,0.03204793826901943,NA,NA,NA
Anisodexis__time,0.0776007691770792,0.0013525470799724173,0.05471841097990984,NA,NA,NA
Anthichnium__rotated_lat_scaled,0.08186304734112802,-0.012095742900320807,0.06016443212701335,0.2707241918357613,0.003518965095281601,0.697455957531929
Anthichnium__mean_scaled,-0.014572328682177125,-0.03253202365084307,0.03407229965184547,NA,NA,NA
