feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.14651266312130984,0.128820269731517,0.16438438962682814,NA,NA,NA
Abyssomedon__rotated_lat_scaled,0.025087520877636268,-0.014048175709474283,0.024108523476249758,0.11305189334269039,0.048191666323269405,0.1818219531708378
Abyssomedon__map_scaled,-0.07787631402335354,-0.03434670438893837,0.018356784706175903,NA,NA,NA
Abyssomedon__mat_scaled,0.08783270979924403,-0.01398823992775021,0.04695312609957569,NA,NA,NA
Abyssomedon__wmmcmm_boxcox_scaled,0.030633997199514876,-0.023586041187628217,0.05759434324358709,NA,NA,NA
Abyssomedon__time,-0.09913868363166108,-0.04285110851772592,0.017371612101239706,NA,NA,NA
Acadiella__rotated_lat_scaled,-0.028474945721441505,-0.02772011875414409,0.018203707648598643,0.1088988951525743,0.04284144510938763,0.20160691691761884
Acadiella__map_scaled,0.03359894661926306,-0.017888908653207778,0.06901533518543537,NA,NA,NA
Acadiella__mat_scaled,-0.02027184852801748,-0.03050145896883436,0.02759731426649781,NA,NA,NA
Acadiella__wmmcmm_boxcox_scaled,-0.009194804283101883,-0.0289646924741009,0.03412556726716339,NA,NA,NA
Acadiella__time,-0.013271116055437857,-0.02374509088122987,0.015442465259132928,NA,NA,NA
Acaenasuchus__rotated_lat_scaled,-0.011384723286941687,-0.021200977132892367,0.015197406635687498,0.2767197435094838,0.06384741284691177,0.5788367706150701
Acaenasuchus__map_scaled,0.051480857331935664,-0.019733629575872377,0.04116590068801816,NA,NA,NA
Acaenasuchus__mat_scaled,-0.027131920947779654,-0.02101941930217594,0.009265445991484433,NA,NA,NA
Acaenasuchus__wmmcmm_boxcox_scaled,-0.07748324305992478,-0.060746174053020956,0.015358021514558876,NA,NA,NA
Acaenasuchus__time,0.19472611035088427,-0.006120069667555367,0.08339761479707918,NA,NA,NA
Acallosuchus__rotated_lat_scaled,-0.005187890151408458,-0.01511495459273975,0.024340309285695503,0.06975094801506262,0.01648746011381247,0.1395007995107831
Acallosuchus__map_scaled,-0.024465623300533545,-0.029431594878069057,0.04972034501230514,NA,NA,NA
Acallosuchus__mat_scaled,-0.011416841376727306,-0.013741482700067144,0.017332566369194315,NA,NA,NA
Acallosuchus__wmmcmm_boxcox_scaled,-0.054172927332720326,-0.04777586297102645,0.023774836017322384,NA,NA,NA
Acallosuchus__time,0.018481567055142263,-0.022756374589614586,0.04921633294231077,NA,NA,NA
Acerosodontosaurus__rotated_lat_scaled,-0.013887577944566167,-0.024583027223295723,0.024975948027571065,0.18101532948218446,0.07802890686893346,0.2702401125734587
Acerosodontosaurus__map_scaled,-0.00287687642715755,-0.026339356724170995,0.022530394700487434,NA,NA,NA
Acerosodontosaurus__mat_scaled,0.10670141465122426,-0.0014870688177671572,0.04932336877044318,NA,NA,NA
Acerosodontosaurus__wmmcmm_boxcox_scaled,0.016854382821700074,-0.03576079128425505,0.06174986305972899,NA,NA,NA
Acerosodontosaurus__time,-0.07228867674032607,-0.04065002568202806,0.005804815068597471,NA,NA,NA
