feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.14593195459203878,0.12682062069251276,0.1637834581812634,NA,NA,NA
Abyssomedon__rotated_lat_scaled,0.037013939270470086,-0.01753013703339188,0.024076328350371712,0.1730187803460608,0.02733640933443196,0.5201163438503488
Abyssomedon__map_scaled,-0.06424597612772452,-0.029649068265453146,0.02161864039079308,NA,NA,NA
Abyssomedon__mat_scaled,0.16668098706330098,-0.005517397718727957,0.053007818579689794,NA,NA,NA
Abyssomedon__wmmcmm_boxcox_scaled,-0.0029230125124605306,-0.02950871826040607,0.050921879640114236,NA,NA,NA
Abyssomedon__time,-0.10943911193956395,-0.04461529941453372,0.014158791220294597,NA,NA,NA
Acadiella__rotated_lat_scaled,0.03700678365906969,-0.013603679150621996,0.03705139906820009,0.1961686337376883,0.0786042705910993,0.3329871627610973
Acadiella__map_scaled,0.07799450084114577,-0.016753368451587675,0.06099513906397324,NA,NA,NA
Acadiella__mat_scaled,-0.11226468853114056,-0.06692366489418296,0.0057329395114707835,NA,NA,NA
Acadiella__wmmcmm_boxcox_scaled,0.0014750793207302622,-0.030810746798776024,0.037460216336718914,NA,NA,NA
Acadiella__time,0.046025003855844245,0.001270838602655884,0.02254376420090037,NA,NA,NA
Acaenasuchus__rotated_lat_scaled,0.0606998673127863,-0.014169446306555599,0.048836128250926356,0.17229951583707534,0.0422397623769168,0.3024577563415303
Acaenasuchus__map_scaled,0.0225722750102873,-0.030321853579353426,0.05679282986135515,NA,NA,NA
Acaenasuchus__mat_scaled,-0.10741269487908342,-0.05513761255133005,0.0032784079908253195,NA,NA,NA
Acaenasuchus__wmmcmm_boxcox_scaled,-0.004744470193857964,-0.029728762645426586,0.025126270292725735,NA,NA,NA
Acaenasuchus__time,0.05525258399490436,0.0025370543901528835,0.02974982178543084,NA,NA,NA
Acallosuchus__rotated_lat_scaled,0.03581918569074447,-0.01398628590021603,0.041338569750410385,0.08743207284367983,0.015498144878466916,0.24650233299016852
Acallosuchus__map_scaled,-0.033502830530397064,-0.038827897301064604,0.04930000128743582,NA,NA,NA
Acallosuchus__mat_scaled,-0.10458450546789579,-0.04479914109362996,0.0010590298856804705,NA,NA,NA
Acallosuchus__wmmcmm_boxcox_scaled,-0.024458866531879973,-0.031216276050996066,0.03488472203006812,NA,NA,NA
Acallosuchus__time,0.06822713509106938,0.0020089796533938925,0.037201135227668616,NA,NA,NA
Acerosodontosaurus__rotated_lat_scaled,-0.04695739378148225,-0.036263554732194,0.018064858279768097,0.1695340145735474,0.07817418112316328,0.2687663924195555
Acerosodontosaurus__map_scaled,-0.0525498226288523,-0.03754757538076616,0.020502433813674992,NA,NA,NA
Acerosodontosaurus__mat_scaled,0.07191451652682436,-0.014961517758647808,0.05193701756616305,NA,NA,NA
Acerosodontosaurus__wmmcmm_boxcox_scaled,0.031621301076975264,-0.029288034856151196,0.053264626710323636,NA,NA,NA
Acerosodontosaurus__time,0.019573458788043396,-0.008759937964753592,0.020014521811333636,NA,NA,NA
Acleistorhinus__rotated_lat_scaled,0.019512276762076036,-0.013235072372739395,0.031436270298712245,0.11319442550974144,0.031474118902759,0.21036537753462026
Acleistorhinus__map_scaled,-0.07861454298928877,-0.03950368758417508,0.022855996400848264,NA,NA,NA
Acleistorhinus__mat_scaled,0.14930516756848047,-0.0040131484960659,0.061488418312619704,NA,NA,NA
Acleistorhinus__wmmcmm_boxcox_scaled,-0.050096016128163945,-0.035107107532026324,0.03230000169767083,NA,NA,NA
Acleistorhinus__time,-0.0728444142954014,-0.03496160470750607,0.015702771471412368,NA,NA,NA
Acrodenta__rotated_lat_scaled,0.03793851772689796,-0.015164380468471428,0.03762062234047676,0.795255625423072,0.04078348420245012,1.9196938349172146
Acrodenta__map_scaled,0.010997372239664847,-0.0437508000542761,0.02473524455509959,NA,NA,NA
Acrodenta__mat_scaled,0.06214340396752012,-0.005169698043164463,0.04934840065070118,NA,NA,NA
Acrodenta__wmmcmm_boxcox_scaled,0.035964208868794506,-0.0395806835377908,0.042837536757827435,NA,NA,NA
Acrodenta__time,-0.0011115482108386644,-0.023155058588809948,0.009241653877158449,NA,NA,NA
Actiosaurus__rotated_lat_scaled,0.02263448561255546,-0.009695961906717253,0.024423442702588203,0.19096895214124948,0.12095363602690036,0.2657010643662694
Actiosaurus__map_scaled,-0.014505132317271564,-0.03130098201848193,0.024777878088356364,NA,NA,NA
Actiosaurus__mat_scaled,-0.06827737934004795,-0.04694713571200302,0.012189580376908869,NA,NA,NA
Actiosaurus__wmmcmm_boxcox_scaled,-0.02561567521050439,-0.03550345553951784,0.024421432786831093,NA,NA,NA
Actiosaurus__time,0.13080069880447895,-0.0033730855157927354,0.0779711242265789,NA,NA,NA
Adamanasuchus__rotated_lat_scaled,0.02098345565725507,-0.016671032894907446,0.03760786336047743,0.07348008131709755,0.015498144878466916,0.22937058380876021
Adamanasuchus__map_scaled,-0.0424153087446306,-0.04034157969271145,0.046073465842652726,NA,NA,NA
Adamanasuchus__mat_scaled,-0.09100891356323715,-0.038453718837061716,0.0049660334435591156,NA,NA,NA
Adamanasuchus__wmmcmm_boxcox_scaled,-0.027971495623562107,-0.031644223941294326,0.03223440458415031,NA,NA,NA
Adamanasuchus__time,0.06796038899923339,0.0002899346734621925,0.042901690950423836,NA,NA,NA
Adelosaurus__rotated_lat_scaled,0.019397885319685945,-0.010643418912771985,0.01952199747815825,0.2645219754131799,0.10810103666138168,0.45609805285318594
Adelosaurus__map_scaled,0.0012970924463812118,-0.029444240792706206,0.03169814163546882,NA,NA,NA
Adelosaurus__mat_scaled,0.16322457896784012,-0.011448899468990002,0.06330282221150581,NA,NA,NA
Adelosaurus__wmmcmm_boxcox_scaled,-0.0613475769395694,-0.05562990264242343,0.03563495487206736,NA,NA,NA
Adelosaurus__time,-0.003981958973196756,-0.019654158875621153,0.013625541984063145,NA,NA,NA
Aenigmasaurus__rotated_lat_scaled,-0.06193880966499189,-0.0823554380849023,0.004034678921508173,0.49916707434478175,0.28053003549030614,0.7925248402107984
Aenigmasaurus__map_scaled,0.030875640848597983,-0.034500811941863524,0.032003531847327925,NA,NA,NA
Aenigmasaurus__mat_scaled,0.13771474626660807,0.02703632941537369,0.080480359503027,NA,NA,NA
Aenigmasaurus__wmmcmm_boxcox_scaled,0.02710399312663071,-0.02573878893053873,0.03484864306119788,NA,NA,NA
Aenigmasaurus__time,0.012176384015193921,-0.0112619111505819,0.012416244848202465,NA,NA,NA
Aenigmaspina__rotated_lat_scaled,-0.02470012345986572,-0.021358794644262196,0.011655840658598295,0.0987453534465782,0.04547335730098859,0.15454968624945523
Aenigmaspina__map_scaled,0.04648929700449343,-0.017756745083356073,0.08249673273814496,NA,NA,NA
Aenigmaspina__mat_scaled,-0.11652954889895653,-0.06951891035105517,0.004927997934342301,NA,NA,NA
Aenigmaspina__wmmcmm_boxcox_scaled,-0.0013255732369963078,-0.02237844274165238,0.02994123291043391,NA,NA,NA
Aenigmaspina__time,0.048879347445864293,0.004192272127813057,0.03476165393974394,NA,NA,NA
Aenigmastropheus__rotated_lat_scaled,-0.03300294138840244,-0.03613622856206301,0.021315287366044926,0.17887144208831052,0.07227575552228067,0.2890425714310959
Aenigmastropheus__map_scaled,-0.05486894688013976,-0.039789191983991334,0.02063579210307565,NA,NA,NA
Aenigmastropheus__mat_scaled,0.06785244981542515,-0.014476489301113983,0.049218842651809556,NA,NA,NA
Aenigmastropheus__wmmcmm_boxcox_scaled,0.03256500803211388,-0.02750942063625787,0.052811552345042104,NA,NA,NA
Aenigmastropheus__time,0.02039391791727485,-0.008909290209086582,0.01980198371529119,NA,NA,NA
Aetosauroides__rotated_lat_scaled,0.04219768542420085,-0.01805804053735871,0.041402189322104065,0.2456447076806473,0.16406666565876196,0.3355201911029584
Aetosauroides__map_scaled,0.06802624473932503,-0.017394724811305648,0.06165077642630891,NA,NA,NA
Aetosauroides__mat_scaled,-0.06663320783812435,-0.06968989612494164,0.005592796189912708,NA,NA,NA
Aetosauroides__wmmcmm_boxcox_scaled,0.013410579320368432,-0.02958115727132829,0.029805717572215663,NA,NA,NA
Aetosauroides__time,0.04271145144283844,0.00790319805242151,0.025331978670722042,NA,NA,NA
Aetosaurus__rotated_lat_scaled,-0.01249047471132939,-0.0151639354192947,0.01679321589319864,0.10159748022922158,0.020396329911386846,0.19016881477302983
Aetosaurus__map_scaled,0.038361964883369556,-0.028079377703623926,0.06746170211819004,NA,NA,NA
Aetosaurus__mat_scaled,-0.11828006385639753,-0.06248247425572795,0.0020540933580240296,NA,NA,NA
Aetosaurus__wmmcmm_boxcox_scaled,-0.010099432522559364,-0.024763669222846358,0.035019545431812474,NA,NA,NA
Aetosaurus__time,0.05817353184409951,0.0036688359089801703,0.042454901380038226,NA,NA,NA
Agkistrognathus__rotated_lat_scaled,0.008210598699992515,-0.08338486427036293,0.017079729215503835,0.9180932492930846,0.6380922123168362,1.1996353752271731
Agkistrognathus__map_scaled,0.011298937633998616,-0.16760429622094603,0.02584434771483375,NA,NA,NA
Agkistrognathus__mat_scaled,0.08387480155571833,0.1340545349229456,0.07445407886240542,NA,NA,NA
Agkistrognathus__wmmcmm_boxcox_scaled,0.04171489325511413,0.05891107996056732,0.03727672799176793,NA,NA,NA
Agkistrognathus__time,0.0008327234472151981,-0.0687970750847167,0.009128574396752503,NA,NA,NA
Agnosphitys__rotated_lat_scaled,-0.024552287395451632,-0.02189776584687615,0.0115024541099372,0.09968669439200802,0.04467150450209245,0.1594674577839757
