feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.14966873914003373,0.13341301679611206,0.16527128219604492,NA,NA,NA
Abyssomedon__rotated_lat_scaled,0.016996633341477718,-0.00620313756837667,0.01229831998916751,0.17568647333719128,0.027072984725236893,0.30176631244830787
Abyssomedon__mean_scaled,-0.09211072685546241,-0.05122595217933031,0.014207029978944486,NA,NA,NA
Abyssomedon__Mod_R_deltaTMyr_scaled,0.01731047734938329,-0.02978846972115501,0.06178323084143162,NA,NA,NA
Abyssomedon__time,0.08382135036175896,-0.04619545732725007,0.0769827013865013,NA,NA,NA
Acadiella__rotated_lat_scaled,0.03670061391196214,-0.004521977136784186,0.04297934853564541,0.2290525087246715,0.06644502328708768,0.3978223262820393
Acadiella__mean_scaled,0.06691783278482034,-0.011761042064543297,0.06809032526471685,NA,NA,NA
Acadiella__Mod_R_deltaTMyr_scaled,-0.03235721501696389,-0.08881599553620949,0.02590848135655925,NA,NA,NA
Acadiella__time,0.008122537904819182,-0.02831400205857509,0.028293127039123418,NA,NA,NA
Acaenasuchus__rotated_lat_scaled,0.02910043496580329,-0.011960887722672134,0.05232413393121528,0.1378963279191157,0.03265397623181343,0.2796714003197849
Acaenasuchus__mean_scaled,0.009706300306352205,-0.02989935602112665,0.05516932030332043,NA,NA,NA
Acaenasuchus__Mod_R_deltaTMyr_scaled,-0.05341596811398631,-0.0704911276420924,0.02897001766207701,NA,NA,NA
Acaenasuchus__time,0.002836821620912815,-0.021061645410220882,0.028807810299432187,NA,NA,NA
Acallosuchus__rotated_lat_scaled,0.02756192813219968,-0.0036732457997280337,0.04076142511251452,0.09578882050001994,0.02675933949649334,0.19865946657955647
Acallosuchus__mean_scaled,-0.02798701145511586,-0.04120936819495587,0.042378350058023456,NA,NA,NA
Acallosuchus__Mod_R_deltaTMyr_scaled,-0.059141235637362115,-0.07277317320324365,0.038254221243126246,NA,NA,NA
Acallosuchus__time,0.0056864003202645105,-0.015757229598184506,0.04387728578238069,NA,NA,NA
Acerosodontosaurus__rotated_lat_scaled,0.012457240209332667,-0.012852483548079278,0.014669146117762443,0.22512202503741718,0.07447735406458378,0.4445703960955143
Acerosodontosaurus__mean_scaled,-0.0684770518867299,-0.034548760305403055,0.019416497856450998,NA,NA,NA
Acerosodontosaurus__Mod_R_deltaTMyr_scaled,0.10095480738847983,-0.02066847209012056,0.09979690286118902,NA,NA,NA
Acerosodontosaurus__time,0.030518290186300874,-0.06534330085250915,0.031388735360642454,NA,NA,NA
Acleistorhinus__rotated_lat_scaled,0.031283865660079756,0.00025264286754928195,0.017800108347790326,0.21714955628965982,0.10964814200997353,0.3990521691739559
Acleistorhinus__mean_scaled,-0.08604155784007161,-0.09084093719771665,0.02911454233233149,NA,NA,NA
Acleistorhinus__Mod_R_deltaTMyr_scaled,-0.018854281436069868,-0.03356951413991609,0.024985007711673675,NA,NA,NA
Acleistorhinus__time,0.14109279076568781,-0.0092552083260286,0.09337162380424942,NA,NA,NA
Acrodenta__rotated_lat_scaled,0.03435091330422438,-0.0007442387239379448,0.030286890842026258,0.19359143182853586,0.06547873374074697,0.333786703646183
Acrodenta__mean_scaled,-0.09360685228952206,-0.10814160373771574,0.019404954122005217,NA,NA,NA
Acrodenta__Mod_R_deltaTMyr_scaled,-0.008657135394169018,-0.0487678582666795,0.03531625976665765,NA,NA,NA
Acrodenta__time,0.11183576706796884,0.024240683932221126,0.08026317746535579,NA,NA,NA
Actiosaurus__rotated_lat_scaled,0.07141392678022385,0.006673703697228579,0.04731073680438814,0.08514299006137663,0.04358302615582943,0.15194420143961906
Actiosaurus__mean_scaled,-0.0119044588930592,-0.024319280764978024,0.026171339450420432,NA,NA,NA
Actiosaurus__Mod_R_deltaTMyr_scaled,-0.14837108691921458,-0.0917479400407383,0.009078347533429695,NA,NA,NA
Actiosaurus__time,0.02433586995339283,-0.02401949968762431,0.08271085840780665,NA,NA,NA
Adamanasuchus__rotated_lat_scaled,0.02726494389033178,-0.004564894832651902,0.04424079322652954,0.08653778334286472,0.033533737529069185,0.1938076165970415
Adamanasuchus__mean_scaled,-0.0021710888489178616,-0.0326832047396752,0.0529797487293536,NA,NA,NA
Adamanasuchus__Mod_R_deltaTMyr_scaled,-0.08342153268982656,-0.06795592026931042,0.012709529497345896,NA,NA,NA
Adamanasuchus__time,-0.0048032781487563625,-0.028208996954474517,0.05534121074281589,NA,NA,NA
Adelosaurus__rotated_lat_scaled,0.034465160048566756,-0.0014126461189890502,0.028538810607382642,0.2231893015501555,0.10643095895648003,0.5299974456429482
Adelosaurus__mean_scaled,-0.06092437910148874,-0.08888504064017488,0.014547506779521139,NA,NA,NA
Adelosaurus__Mod_R_deltaTMyr_scaled,-0.008875191629631445,-0.06886059784260305,0.03448593316152331,NA,NA,NA
Adelosaurus__time,0.10885497309267521,0.025745267805654937,0.08769903164761782,NA,NA,NA
Aenigmasaurus__rotated_lat_scaled,-0.007635555401755644,-0.05267054425845013,0.012065056495322907,0.7609286953648552,0.2733364440500736,1.6056238412857056
Aenigmasaurus__mean_scaled,0.05007524459811811,-0.021630058921804036,0.038663222278428125,NA,NA,NA
Aenigmasaurus__Mod_R_deltaTMyr_scaled,0.09466119870465935,-0.017157950797064097,0.0988334087370069,NA,NA,NA
Aenigmasaurus__time,0.012567851239011925,-0.04195446281879381,0.015709594685286984,NA,NA,NA
Aenigmaspina__rotated_lat_scaled,0.030133278863504528,-0.004013299744738868,0.03485075101314802,0.1764444999240095,0.05727274902164936,0.2833663602359593
Aenigmaspina__mean_scaled,0.030059580067218122,-0.02800851076962257,0.06684395107797474,NA,NA,NA
Aenigmaspina__Mod_R_deltaTMyr_scaled,-0.04528141655959189,-0.0766615671173418,0.026961289407871566,NA,NA,NA
Aenigmaspina__time,0.011864318412845022,-0.02472963916440883,0.03661529069705061,NA,NA,NA
Aenigmastropheus__rotated_lat_scaled,0.03470073707809206,-0.009404065144734141,0.029588531169745854,0.18757303601421882,0.07880749367177486,0.3632477317005396
