clade	species	ts	te
0.0	Abyssomedon	nan	nan
0.0	Acadiella	nan	nan
0.0	Acaenasuchus	nan	nan
0.0	Acallosuchus	nan	nan
0.0	Acerosodontosaurus	nan	nan
0.0	Acleistorhinus	nan	nan
0.0	Acrodenta	nan	nan
0.0	Actiosaurus	nan	nan
0.0	Adamanasuchus	nan	nan
0.0	Adelosaurus	nan	nan
0.0	Aenigmasaurus	nan	nan
0.0	Aenigmaspina	nan	nan
0.0	Aenigmastropheus	nan	nan
0.0	Aetosauroides	nan	nan
0.0	Aetosaurus	nan	nan
0.0	Agkistrognathus	nan	nan
0.0	Agnosphitys	nan	nan
0.0	Alexeyisaurus	nan	nan
0.0	Alwalkeria	nan	nan
0.0	Amanasaurus	nan	nan
0.0	Ammorhynchus	nan	nan
0.0	Ammosaurus	nan	nan
0.0	Amotosaurus	nan	nan
0.0	Anarosaurus	nan	nan
0.0	Anchisauripus_Temperate_N	nan	nan
0.0	Anchisauripus_Tropical_N	nan	nan
0.0	Ancistronychus	nan	nan
0.0	Angistorhinus	nan	nan
0.0	Anisodontosaurus	nan	nan
0.0	Anomoepus_Temperate_N	nan	nan
0.0	Anomoepus_Tropical_N	nan	nan
0.0	Anomoiodon	nan	nan
0.0	Anshunsaurus	nan	nan
0.0	Anthodon	nan	nan
0.0	Anticheiropus	nan	nan
0.0	Apachesuchus	nan	nan
0.0	Apatopus_Temperate_N	nan	nan
0.0	Apatopus_Tropical_N	nan	nan
0.0	Apatopus_Tropical_S	nan	nan
0.0	Apatosuchus	nan	nan
0.0	Aphelosaurus	nan	nan
0.0	Araeoscelis	nan	nan
0.0	Archeopelta	nan	nan
0.0	Archosaurus	nan	nan
0.0	Arcticodactylus	nan	nan
0.0	Arganaceras	nan	nan
0.0	Arganasuchus	nan	nan
0.0	Argoides	nan	nan
0.0	Arizonasaurus	nan	nan
0.0	Asilisaurus	nan	nan
0.0	Askeptosaurus	nan	nan
0.0	Asperoris	nan	nan
0.0	Asylosaurus	nan	nan
0.0	Atopodentatus	nan	nan
0.0	Atreipus_Temperate_N	nan	nan
0.0	Atreipus_Tropical_N	nan	nan
0.0	Augustaburiania	nan	nan
0.0	Augustasaurus	nan	nan
0.0	Australothyris	nan	nan
0.0	Austriadactylus	nan	nan
0.0	Austriadraco	nan	nan
0.0	Avalonnectes	nan	nan
0.0	Avicranium	nan	nan
0.0	Azendohsaurus	nan	nan
0.0	Baeotherates	nan	nan
0.0	Baisesaurus	nan	nan
0.0	Barasaurus	nan	nan
0.0	Barberenasuchus	nan	nan
0.0	Barracudasauroides	nan	nan
0.0	Barracudasaurus	nan	nan
0.0	Barrancapus	nan	nan
0.0	Bashkyroleter	nan	nan
0.0	Batrachopus_Temperate_N	nan	nan
0.0	Batrachopus_Tropical_N	nan	nan
0.0	Batrachotomus	nan	nan
0.0	Belebey	nan	nan
0.0	Benggwigwishingasuchus	nan	nan
0.0	Bentonyx	nan	nan
0.0	Bergamodactylus	nan	nan
0.0	Besanosaurus	nan	nan
0.0	Blezingeria	nan	nan
0.0	Blomosaurus	nan	nan
0.0	Bobosaurus	nan	nan
0.0	Bolosaurus	nan	nan
0.0	Boreopricea	nan	nan
0.0	Brachychirotherium_Temperate_N	nan	nan
0.0	Brachychirotherium_Tropical_N	nan	nan
0.0	Brachychirotherium_Tropical_S	nan	nan
0.0	Bradysaurus	nan	nan
0.0	Brasinorhynchus	nan	nan
0.0	Brazilosaurus	nan	nan
0.0	Bromsgroveia	nan	nan
0.0	Broomia	nan	nan
0.0	Bunostegos	nan	nan
0.0	Buriolestes	nan	nan
0.0	Bystrowisuchus	nan	nan
0.0	Callawayia	nan	nan
