clade	species	ts	te
0.0	Abyssomedon	286.3166460440441	285.8132931051052
0.0	Acadiella	232.1802963053053	230.57082442042042
0.0	Acaenasuchus	226.23641342042043	209.1188446336336
0.0	Acallosuchus	221.56668872972972	220.27388316616617
0.0	Acerosodontosaurus	255.0862763873874	254.96272924024024
0.0	Acleistorhinus	279.24286133833834	278.10320248748747
0.0	Acrodenta	256.948914008008	256.8140974194194
0.0	Actiosaurus	205.12619585585583	204.11536146846845
0.0	Adamanasuchus	217.31765382382383	216.07859321821823
0.0	Adelosaurus	256.1698158488488	256.064821001001
0.0	Aenigmasaurus	249.95767472172173	249.24646966466463
0.0	Aenigmaspina	231.95472273273273	230.39031697997996
0.0	Aenigmastropheus	256.2760488038038	256.1625376646647
0.0	Aetosauroides	234.6373330910911	210.2156577067067
0.0	Aetosaurus	226.5651222142142	208.51155511411412
0.0	Agkistrognathus	250.2836205905906	249.54028015215215
0.0	Agnosphitys	232.9038806816817	231.39478995595596
0.0	Alexeyisaurus	217.55671890990993	216.36868044744745
0.0	Alwalkeria	233.70594613013012	232.2281690950951
0.0	Amanasaurus	233.07105045645648	210.88150256556557
0.0	Ammorhynchus	247.36349016316316	244.77182860160158
0.0	Ammosaurus	201.59489688188188	199.3052332122122
0.0	Amotosaurus	247.35715875975978	243.63302752052053
0.0	Anarosaurus	246.87101182882884	242.6356957617618
0.0	Anchisauripus_Temperate_N	222.24286374074075	198.15170080680682
0.0	Anchisauripus_Tropical_N	224.88363383483485	198.2997414994995
0.0	Ancistronychus	222.87190873173174	221.49000213413413
0.0	Angistorhinus	237.02997642442443	211.80551682982983
0.0	Anisodontosaurus	247.3137509129129	237.62613871471473
0.0	Anomoepus_Temperate_N	201.4005953843844	199.3414134394394
0.0	Anomoepus_Tropical_N	222.2680166136136	198.9868734224224
0.0	Anomoiodon	247.53269158958958	243.3584106946947
0.0	Anshunsaurus	239.79242156356355	228.40528272872874
0.0	Anthodon	259.5173229089089	253.85303415615616
0.0	Anticheiropus	200.8721621681682	199.81552333033034
0.0	Apachesuchus	220.05838528528528	218.86898311411412
0.0	Apatopus_Temperate_N	232.7562801951952	231.2155704934935
0.0	Apatopus_Tropical_N	226.87334345345346	201.60039370070072
0.0	Apatopus_Tropical_S	232.80745991391387	231.2458285235235
0.0	Apatosuchus	215.6395985195195	214.42458391691693
0.0	Aphelosaurus	296.3997055305306	294.8197152722723
0.0	Araeoscelis	290.71144886086086	272.12893638638633
0.0	Archeopelta	240.02311093993993	239.14213815415414
0.0	Archosaurus	260.4866438688689	256.5317468028028
0.0	Arcticodactylus	219.08937795695698	217.85440525425426
0.0	Arganaceras	257.23766441341337	257.08970741841847
0.0	Arganasuchus	233.7973302792793	227.36531705805805
0.0	Argoides	201.63921941341343	199.38600385585585
0.0	Arizonasaurus	247.1647208918919	244.91484414214216
0.0	Asilisaurus	247.21298129629628	241.93884386886884
0.0	Askeptosaurus	244.470393	235.90671916616617
0.0	Asperoris	245.86771408808806	245.03531423823824
0.0	Asylosaurus	208.35733102002	201.38270433833833
0.0	Atopodentatus	245.00975234034033	243.63495575675674
0.0	Atreipus_Temperate_N	233.6064711971972	232.0970596086086
0.0	Atreipus_Tropical_N	231.56139333833835	215.66444846746748
0.0	Augustaburiania	250.6201781391391	246.74562629229231
0.0	Augustasaurus	243.3137835255255	242.51618192892892
0.0	Australothyris	261.9402128148148	261.49216994394396
0.0	Austriadactylus	213.81562648648648	209.94242176776777
0.0	Austriadraco	211.62426213513513	210.4336787657658
0.0	Avalonnectes	200.80188856156158	199.82186826926926
0.0	Avicranium	204.51879326526526	203.56379925425426
0.0	Azendohsaurus	232.19379364264265	230.59383816016017
0.0	Baeotherates	286.8012623073073	286.45833958858856
0.0	Baisesaurus	248.6359106886887	247.85197005205205
0.0	Barasaurus	260.7574222062062	247.95306019219217
0.0	Barberenasuchus	239.89363836136138	239.03169351051054
0.0	Barracudasauroides	246.73863363063063	242.02574198698701
0.0	Barracudasaurus	247.20449563063065	241.54855752752752
0.0	Barrancapus	222.85708350550547	221.63509150450452
0.0	Bashkyroleter	272.718834013013	264.4480006786786
0.0	Batrachopus_Temperate_N	247.14660798798798	200.83615860860863
0.0	Batrachopus_Tropical_N	214.95869765165165	199.06293201601602
0.0	Batrachotomus	239.959434014014	235.99453956456458
0.0	Belebey	270.28618394694695	264.2259124684685
0.0	Benggwigwishingasuchus	245.6562692272272	244.86111569069072
0.0	Bentonyx	245.7712477317317	245.04142419019018
0.0	Bergamodactylus	215.2920515105105	214.06358406906907
0.0	Besanosaurus	241.45064882882883	240.57871746646646
0.0	Blezingeria	244.11309634834836	243.33500375975976
0.0	Blomosaurus	251.78636636136133	251.32017723423425
0.0	Bobosaurus	236.12378763863865	234.76293208408407
0.0	Bolosaurus	296.24608640840836	276.25171828528534
0.0	Boreopricea	250.5249128138138	247.70862057357357
0.0	Brachychirotherium_Temperate_N	233.98004918018017	232.56071151551552
0.0	Brachychirotherium_Tropical_N	231.83826378978978	203.3534158758759
0.0	Brachychirotherium_Tropical_S	233.55287276076075	228.18643451251248
0.0	Bradysaurus	264.639702970971	258.921981996997
0.0	Brasinorhynchus	241.32952364164163	236.8139824124124
0.0	Brazilosaurus	291.54894575475475	282.5364411021021
0.0	Bromsgroveia	247.25243134834835	241.9479888108108
0.0	Broomia	263.69462699499496	259.6041296936937
0.0	Bunostegos	252.77750758958962	252.61813963263265
0.0	Buriolestes	235.10355453053052	210.55574941541542
0.0	Bystrowisuchus	250.09939909709712	249.32394565065064
0.0	Callawayia	221.23956196896896	212.55890562462463
0.0	Calyptosuchus	233.97396887687688	208.37558142142143
0.0	Camelotia	207.67489062862862	202.79467157657658
0.0	Camposaurus	218.25454133233234	217.06493217217218
0.0	Candelaria	242.0599083893894	235.9836407777778
0.0	Captorhinikos	283.2938044954955	273.1296723393393
0.0	Captorhinoides	281.1897768538538	274.05700345045045
0.0	Captorhinus_Temperate_S	256.34552565065064	256.23114887987987
0.0	Captorhinus_Tropical_N	287.11258240740744	272.6361312652653
0.0	Captorhinus_Tropical_S	290.7196101901902	274.2927048598599
0.0	Cargninia	217.7892755865866	216.58150288488488
0.0	Carnufex	231.85712625625624	230.3917855485485
0.0	Cartorhynchus	248.43521751751754	247.62519833333334
0.0	Caseosaurus	215.51272764264263	214.31835438838837
0.0	Caviramus	207.19710353253257	206.1534920610611
0.0	Ceresiosaurus	242.28730643343343	237.10297518418417
0.0	Chalishevia	242.1984505925926	236.05888071671674
0.0	Chanaresuchus	242.02310073473473	236.1637038188188
0.0	Chaohusaurus	250.39478744244244	241.60447514214215
0.0	Chasmatosuchus	251.81017783683686	247.13755466166168
0.0	Chelyoposuchus	205.11502580980982	204.08346864164162
0.0	Chinchenia	240.78038488188187	239.8347384084084
0.0	Chindesaurus	225.49113440640642	211.96137032932936
0.0	Chinshakiangosaurus	200.73320281681683	199.75316636736738
0.0	Chirotherium_Temperate_N	235.67140487087087	202.148553006006
0.0	Chirotherium_Temperate_S	241.325885985986	237.25389237537536
0.0	Chirotherium_Tropical_N	252.3354701251251	212.59312610910908
0.0	Chromogisaurus	234.02171861061058	232.4797798918919
0.0	Clarazia	243.61423604504506	242.8699708268268
0.0	Claudiosaurus	260.5464777857858	250.33835475975977
0.0	Clevosaurus_Temperate_N	237.02671203803806	199.05648973773773
0.0	Clevosaurus_Temperate_S	233.5661906156156	208.72561135035033
0.0	Coahomasuchus	233.48012327327328	218.5367699349349
0.0	Coartaredens	247.0573927747748	242.09030774874873
0.0	Coburgosuchus	221.58023006506505	220.27511634934933
0.0	Coelodontognathus	250.40053671371373	246.6545827897898
0.0	Coelophysis_Tropical_N	227.8084132222222	199.91070040240237
0.0	Coelophysis_Tropical_S	217.0930782852853	215.84883904604604
0.0	Coelurosauravus_Temperate_N	256.9774738048048	256.8718869049049
0.0	Coelurosauravus_Temperate_S	258.31731658158157	252.01071966966967
0.0	Coelurosaurichnus_Temperate_N	247.00764128528527	202.18150380880886
0.0	Coelurosaurichnus_Tropical_N	246.84312034434433	212.91795959559556
0.0	Coelurosaurichnus_Tropical_S	233.66095633433432	228.95268453753755
0.0	Coletta	249.4030118088088	248.67246793393392
0.0	Collilongus	249.49926311411411	248.76668392192192
0.0	Colobomycter	290.99945483583576	283.61911013913914
0.0	Colobops	217.4055762042042	216.16524670070072
0.0	Coloradisaurus	222.41370096796797	212.34111088588588
0.0	Coloradisuchus	217.72232348448452	216.52272305705705
0.0	Concavispina	231.58308884584585	229.964825993994
0.0	Contectopalatus	243.20926676176177	242.41804312712713
0.0	Corosaurus	248.90102900800798	247.00752068668672
0.0	Cosesaurus	238.59199028928927	237.5311368668669
0.0	Crosbysaurus	227.39112616916915	209.19012902302302
0.0	Ctenosauriscus	248.65730878078077	247.88376717617618
0.0	Cyamodus	246.80282176176175	227.9895174894895
0.0	Cymatosaurus	247.0967424024024	242.27588316916916
0.0	Cymbospondylus_Temperate_N	245.51067614114115	235.74633004504506
0.0	Cymbospondylus_Tropical_N	249.5458043913914	237.34761796096097
0.0	Czatkowiella	249.39669216716715	248.6700236836837
0.0	Dactylosaurus	247.32015144344345	242.30660048248248
0.0	Daemonosaurus	205.75466677277277	204.7231192952953
0.0	Dagasuchus	234.029501996997	232.513003978979
0.0	Dawazisaurus	244.21990748448448	243.42345215715716
0.0	Decuriasuchus	243.99584892992996	236.26215259159162
