clade	species	ts	te
0.0	Abyssomedon	290.2676613324413	289.53797872945705
0.0	Acadiella	235.35895190670198	233.86656104106842
0.0	Acaenasuchus	227.74666409769782	207.8049429558472
0.0	Acallosuchus	223.7387589923376	222.57211439861982
0.0	Acerosodontosaurus	252.3285108506768	252.12176073821837
0.0	Acleistorhinus	283.0383861588023	282.1192821259037
0.0	Acrodenta	254.3946758189005	254.28518905946308
0.0	Actiosaurus	203.9070845308716	203.01129402455842
0.0	Adamanasuchus	216.3124011748017	215.14838886761115
0.0	Adelosaurus	257.9126454165985	257.80286687800157
0.0	Aenigmasaurus	248.9542495262877	248.12617581072962
0.0	Aenigmaspina	228.42843731166906	227.013506294852
0.0	Aenigmastropheus	256.4857126045627	256.3731368920284
0.0	Aetosauroides	231.17245753274736	208.20159528097767
0.0	Aetosaurus	224.94938352008887	209.02308840992458
0.0	Agkistrognathus	250.2113369093154	249.40826073325974
0.0	Agnosphitys	233.36545882048406	231.62981524044113
0.0	Alexeyisaurus	220.42856527338748	219.3017060376418
0.0	Alwalkeria	230.02149406732568	228.4676991989674
0.0	Amanasaurus	233.42488919602505	213.47238177047794
0.0	Ammorhynchus	247.44050560230966	244.66138207407656
0.0	Ammosaurus	201.61895317327145	199.88918191875044
0.0	Amotosaurus	247.03719637611505	243.39233289131082
0.0	Anarosaurus	245.60668237391513	242.69103525284783
0.0	Anchisauripus_Temperate_N	222.2261234036897	198.57107119406078
0.0	Anchisauripus_Tropical_N	226.49765009317167	198.30954345694246
0.0	Ancistronychus	225.54017597738377	224.284233956773
0.0	Angistorhinus	236.86239131804558	209.19875425144727
0.0	Anisodontosaurus	246.91987110415567	234.76319765966932
0.0	Anomoepus_Temperate_N	201.04855856514223	199.35034066482297
0.0	Anomoepus_Tropical_N	228.04794078434946	198.90908685508
0.0	Anomoiodon	246.90776720809652	241.82389977046097
0.0	Anshunsaurus	240.57547907839088	229.06387440789828
0.0	Anthodon	260.61843951635706	253.47026978170268
0.0	Anticheiropus	201.73329579353495	200.83279463213557
0.0	Apachesuchus	216.82433898603506	215.65978971580998
0.0	Apatopus_Temperate_N	231.2678381096232	229.68985522965295
0.0	Apatopus_Tropical_N	226.2779234947868	204.63608692637519
0.0	Apatopus_Tropical_S	236.97202901960966	235.8282414847847
0.0	Apatosuchus	215.47851930252142	214.27665314894787
0.0	Aphelosaurus	298.4371381711832	296.8562240157884
0.0	Araeoscelis	291.7058986428618	271.50286365454133
0.0	Archeopelta	238.234548723327	237.23711312186745
0.0	Archosaurus	260.6789991802217	256.6282616990513
0.0	Arcticodactylus	218.82622173031365	217.65114793060968
0.0	Arganaceras	259.46658177935143	259.3093986848156
0.0	Arganasuchus	233.9737680751352	232.4399544987734
0.0	Argoides	201.30779744221172	199.19570461312313
0.0	Arizonasaurus	247.40081766475978	244.94198788622685
0.0	Asilisaurus	246.88603535523345	242.1212083807811
0.0	Askeptosaurus	248.230819006337	235.72296778717578
0.0	Asperoris	247.44094018670765	246.59149074851342
0.0	Asylosaurus	209.70915577502277	201.29319319930556
0.0	Atopodentatus	244.93412732441442	243.4518100834984
0.0	Atreipus_Temperate_N	231.08751905242983	229.43464782132045
0.0	Atreipus_Tropical_N	234.69116971421957	210.6657415538052
0.0	Augustaburiania	249.53774146519328	246.5633932754562
0.0	Augustasaurus	242.61838103126408	241.85508073175833
0.0	Australothyris	262.0810370554437	261.8162738894018
0.0	Austriadactylus	213.23389495407082	208.0115509689365
0.0	Austriadraco	213.40151930113325	212.1968321366867
0.0	Avalonnectes	201.38015054314837	200.4927766676198
0.0	Avicranium	208.07319630904314	207.04238051786763
0.0	Azendohsaurus	235.01492714555604	233.4581637844385
0.0	Baeotherates	288.41809183866957	288.1281490682578
0.0	Baisesaurus	248.26928840415778	247.44412073838765
0.0	Barasaurus	260.908081978553	249.5695187013823
0.0	Barberenasuchus	238.46092484947303	237.43349272534653
0.0	Barracudasauroides	245.64207512601968	242.69217638978827
0.0	Barracudasaurus	247.36929399857158	240.99098697652022
0.0	Barrancapus	223.52866929160305	222.30786297256776
0.0	Bashkyroleter	271.89064047434914	264.1477203116453
0.0	Batrachopus_Temperate_N	248.28073672506596	199.8507769241208
0.0	Batrachopus_Tropical_N	217.42385065075288	199.01104574391022
0.0	Batrachotomus	239.75095218004543	237.11897281949908
0.0	Belebey	272.83518976513756	264.3596739191481
0.0	Benggwigwishingasuchus	246.81041889277176	246.01270320712027
0.0	Bentonyx	246.55729196433708	245.78870975502088
