feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.1592928722629497,0.14543044391665202,0.17339768015233414,NA,NA,NA
Abyssomedon__terrestrial,-0.013307495776222044,-0.02477415873840555,0.002775123919113597,0.22127818820440345,0.0957113282144558,0.33955572225618835
Abyssomedon__paleolat_normalized,-0.027625041092602998,-0.08924972603024364,0.03478860057813015,NA,NA,NA
Abyssomedon__time,0.10291785281027882,0.0022895345591794902,0.1358339556550904,NA,NA,NA
Acadiella__terrestrial,-0.004594314944394999,-0.00899560958138039,0.0008593397739310657,0.11159413894886765,0.06398270240000493,0.1466076431701705
Acadiella__paleolat_normalized,-0.08250818678228879,-0.10088447544358015,-0.06828686154412089,NA,NA,NA
Acadiella__time,0.039403768412601736,-0.018153199895446254,0.07174837278648206,NA,NA,NA
Acaenasuchus__terrestrial,0.002907404925692349,-0.009049939786617382,0.011693005520624758,0.12136795816567339,0.05189670544576669,0.1722232998398893
Acaenasuchus__paleolat_normalized,-0.028379494488710976,-0.05039835094563437,-0.002624456298161798,NA,NA,NA
Acaenasuchus__time,-0.01245282453425762,-0.07916327018799203,0.021668356788772963,NA,NA,NA
Acallosuchus__terrestrial,0.0011279720416725685,-0.007260319550190592,0.012887825726622636,0.04108298238882338,0.025634381689717683,0.05605342110077578
Acallosuchus__paleolat_normalized,-0.03265009229274106,-0.04287452214022396,-0.019582568417657847,NA,NA,NA
Acallosuchus__time,-0.08668776962305773,-0.09529560222623747,-0.07298698545711067,NA,NA,NA
Acerosodontosaurus__terrestrial,-0.0030063231820685746,-0.045952776582302346,0.013146785207530546,0.4363380734957953,0.2725185018516586,0.6454573679143907
Acerosodontosaurus__paleolat_normalized,0.1384100444337755,0.10268815944724038,0.11566667099590394,NA,NA,NA
Acerosodontosaurus__time,0.023889151011242803,-0.01577959124715253,0.04458422394889968,NA,NA,NA
Acleistorhinus__terrestrial,-0.01233671063225342,-0.02313302891392227,4.518182117532545e-05,0.1827850553490039,0.11352378847241013,0.2660442169747733
Acleistorhinus__paleolat_normalized,-0.04171377371115896,-0.09477629539543472,9.436088742288363e-05,NA,NA,NA
Acleistorhinus__time,0.07754266742946662,-0.004556261347775675,0.17325813744373592,NA,NA,NA
Acrodenta__terrestrial,-0.009563699040480779,-0.01786256568713905,0.000669796396869829,0.19089352524023276,0.13146430475437712,0.27217061865776715
Acrodenta__paleolat_normalized,-0.07097197140651437,-0.0958201815543046,-0.04593093830126782,NA,NA,NA
Acrodenta__time,0.11213632342427828,0.051969404966886346,0.17926294164087467,NA,NA,NA
Actiosaurus__terrestrial,0.0001342213717446748,-0.010624188665002778,0.015502615663346972,0.19481395118850908,0.05801260436114858,0.31527173306009515
Actiosaurus__paleolat_normalized,0.0460164021134382,0.002955624076996538,0.09238014494733339,NA,NA,NA
Actiosaurus__time,-0.010629544559623458,-0.10864739161277735,0.06551491954165378,NA,NA,NA
Adamanasuchus__terrestrial,0.0009514261201771651,-0.008678728283942205,0.009237220951420544,0.04887216668655193,0.027032830241117328,0.0776056437432512
Adamanasuchus__paleolat_normalized,-0.031941149830453444,-0.04380011068296667,-0.012912832749326184,NA,NA,NA
Adamanasuchus__time,-0.07943098186612142,-0.09295160494974315,-0.05044701065585179,NA,NA,NA
Adelosaurus__terrestrial,-0.012365582521822743,-0.024605774118838138,-0.001040296535872072,0.23561392863671718,0.18355091582537192,0.3142252116326413
Adelosaurus__paleolat_normalized,-0.04791803822996469,-0.08283286040531677,-0.020009141655212004,NA,NA,NA
Adelosaurus__time,0.13660467712555485,0.09167033022244085,0.1848337460590571,NA,NA,NA
Aenigmasaurus__terrestrial,-0.011973036189648468,-0.043571731017373966,0.009199252957020503,0.3691367152115142,0.28977277881625124,0.4908319229579213
Aenigmasaurus__paleolat_normalized,0.1656954470533316,0.10916513228459068,0.1376916277981765,NA,NA,NA
Aenigmasaurus__time,0.0055704613992665665,-0.028785042378161457,0.026506799397137133,NA,NA,NA
