clade	species	ts	te
0.0	Abajudon	281.9630240883232	259.13248897899985
0.0	Abdalodon	256.6342715644952	256.2919666396737
0.0	Acratophorus	236.72559257087303	228.55200698332203
0.0	Adelobasileus	217.98804094086603	216.68998678110864
0.0	Aelurognathus_Temperate_S	259.80416567132966	252.07000179329768
0.0	Aelurosaurus	271.86381335362614	253.97188565171837
0.0	Aelurosuchus	245.44803410038998	245.0921112358915
0.0	Aerosaurus	303.30428106077846	291.2659711668129
0.0	Akidnognathus	258.2986115656174	253.76549397947753
0.0	Alemoatherium	223.4911901891799	221.98440942348248
0.0	Aleodon	245.425067030267	226.05293434355937
0.0	Alepognathus	262.1949677492639	261.4951394529495
0.0	Alierasaurus	276.63660950016106	275.4839517652641
0.0	Alopecideops	261.4594598926877	260.81188528801437
0.0	Alopecodon	264.13865990561004	260.279165223158
0.0	Alopecognathus	264.1209789450771	259.7820905955066
0.0	Alopecorhinus	258.82459943849386	258.3548164576051
0.0	Aloposaurus	260.1213970825565	253.2590485283615
0.0	Alrausuchus	273.1660130396561	265.62674183446484
0.0	Ameghinichnus	216.98337218242426	215.70395281944243
0.0	Andescynodon	246.64036414246823	219.5821383093701
0.0	Angelosaurus	281.82553757911757	266.24595642536025
0.0	Angonisaurus	244.91879901333346	244.55562025829175
0.0	Annatherapsidus	264.053839485361	257.0208405223058
0.0	Anningia	263.2492835828954	262.49963688794327
0.0	Anomocephalus	266.68492125084725	265.6480839920777
0.0	Antecosuchus	246.4468214636607	242.41680583483148
0.0	Anteosaurus_Temperate_N	263.8873881943466	263.03280786247626
0.0	Anteosaurus_Temperate_S	264.3403169113657	259.6137453752931
0.0	Apsisaurus	293.9322978789653	292.95569862488475
0.0	Archaeosyodon	266.415186131446	265.39471014155714
0.0	Archaeothyris	310.0796736747076	307.207633518428
0.0	Archaeovenator	302.27274542058245	301.24781345030505
0.0	Arctognathus	259.97366297638865	253.7912209026767
0.0	Arctops	260.25804373880817	253.4511947455416
0.0	Arctotraversodon	236.04837020722454	228.42893312467916
0.0	Arisierpeton	286.73483876286406	285.98599629741443
0.0	Aulacephalodon	259.8773735014723	252.10703198135536
0.0	Aulacocephalus	257.4370967940866	257.0942097557306
0.0	Australobarbarus	263.8640065284836	259.6098322388471
0.0	Australosyodon	266.4411836079734	265.39962232029245
0.0	Avenantia	261.8233974046823	261.1298046272625
0.0	Baldwinonus	302.96663124572495	294.0154714750831
0.0	Basilodon	259.94443111774575	253.2304476429849
0.0	Bauria	247.43266285602067	242.00543472300802
0.0	Beishanodon	249.14899781036456	248.8937533328259
0.0	Biarmosuchoides	266.2305431279015	265.2134106541406
0.0	Biarmosuchus	273.1079257713086	263.9059616169624
0.0	Biseridens	272.714646094401	267.9622670886899
0.0	Blattoidealestes	259.4400126400071	258.95003251582796
0.0	Bohemiclavulus	301.5847770871343	300.5742303243592
0.0	Bolodon	206.7708258304648	205.90495569700778
0.0	Bolotridon	245.97009615633505	245.61342105006722
0.0	Bonacynodon	242.22996508738987	231.72734790365448
0.0	Boreogomphodon	234.78940250657226	216.61199428510318
0.0	Botucaraitherium	220.0439641210569	218.68793384200936
0.0	Brachyprosopus	264.6221050100001	259.68974118239083
0.0	Brachyzostrodon	208.34540091471015	202.6304821064345
0.0	Brasilitherium	226.77039241647128	208.6915570937566
0.0	Brasilodon	227.245928027667	208.549000493761
0.0	Brontopus	259.67023374236385	252.87999333652596
0.0	Bulbasaurus	259.875280608129	254.50442696316622
0.0	Bullacephalus	264.237151187291	263.3620347741864
0.0	Burnetia	256.058803074812	255.77722950977233
0.0	Cabarzia	296.340787583962	295.325228430927
0.0	Callibrachion	286.4485485028944	285.7184337033078
0.0	Candelariodon	239.92974445894953	239.6026972554362
0.0	Caodeyao	255.68634377699755	255.4020295106168
0.0	Casea	284.0264356512295	272.73157039168217
0.0	Caseoides	281.8752957871088	268.12572134009264
