clade	species	ts	te
0.0	Abajudon	281.99457104704703	259.07179144544546
0.0	Abdalodon	256.65277146146144	256.2959672892893
0.0	Acratophorus	236.5788546436436	229.03153534134134
0.0	Adelobasileus	217.7973050890891	216.8602053993994
0.0	Aelurognathus_Temperate_S	259.8161690650651	252.07383219019022
0.0	Aelurosaurus	272.0025755875876	253.94310961461463
0.0	Aelurosuchus	245.47919587987985	245.0704224894895
0.0	Aerosaurus	303.14741606206206	291.34193065165164
0.0	Akidnognathus	258.6701212692693	253.5874061651652
0.0	Alemoatherium	223.24224301001004	222.13382718518514
0.0	Aleodon	245.7249731861862	227.23059319019018
0.0	Alepognathus	262.28186947147145	261.4372138978979
0.0	Alierasaurus	276.5291677967968	275.60394810310316
0.0	Alopecideops	261.51646818518515	260.7911891771772
0.0	Alopecodon	264.3265045175175	260.24221366566564
0.0	Alopecognathus	264.3521350850851	259.75442842542543
0.0	Alopecorhinus	258.8523458008008	258.3463894364364
0.0	Aloposaurus	260.2898756396396	253.00806267267265
0.0	Alrausuchus	272.9586466776776	265.7081637917918
0.0	Ameghinichnus	216.85210096596597	215.9270430780781
0.0	Andescynodon	247.05755947547544	220.97012787487486
0.0	Angelosaurus	281.43142963063065	266.3077288968969
0.0	Angonisaurus	244.9387038808809	244.53226395495494
0.0	Annatherapsidus	263.95949927427426	257.0722628968969
0.0	Anningia	263.3711241341341	262.4275936346346
0.0	Anomocephalus	266.72359902702703	265.63798474074076
0.0	Antecosuchus	246.4843115875876	242.42451879779782
0.0	Anteosaurus_Temperate_N	263.84050728728727	263.06523030430435
0.0	Anteosaurus_Temperate_S	264.38121605305304	259.6151484574574
0.0	Apsisaurus	293.8572325855856	292.99252823323326
0.0	Archaeosyodon	266.3493041631632	265.4677975145145
0.0	Archaeothyris	310.0209339499499	307.26228963163163
0.0	Archaeovenator	302.23796512812817	301.29087769569566
0.0	Arctognathus	260.0688158578579	253.75534560360362
0.0	Arctops	260.87608572872875	253.25574792992992
0.0	Arctotraversodon	235.8751065155155	229.25739317817818
0.0	Arisierpeton	286.68129206606613	286.02886234234234
0.0	Aulacephalodon	259.8912422672673	252.097362992993
0.0	Aulacocephalus	257.4283414184184	257.09077860460457
0.0	Australobarbarus	263.7617507197197	259.65073476076077
0.0	Australosyodon	266.49070901201196	265.4070105385386
0.0	Avenantia	261.90593250650653	261.0830867227227
0.0	Baldwinonus	302.76450114014017	294.1573735505505
0.0	Basilodon	260.2403035045045	252.87785315415417
0.0	Bauria	247.48658478078076	241.96429911811813
0.0	Beishanodon	249.15475323623625	248.88939504604605
0.0	Biarmosuchoides	266.19327083883877	265.2756768588588
0.0	Biarmosuchus	272.9163013683684	263.9924442052052
0.0	Biseridens	272.49703886986987	268.113715031031
0.0	Blattoidealestes	259.4744476146146	258.93659351951953
0.0	Bohemiclavulus	301.5557136616617	300.638105005005
0.0	Bolodon	206.723860992993	205.9634133863864
0.0	Bolotridon	245.98430042842844	245.58814326426426
0.0	Bonacynodon	242.18942173473474	232.9816493963964
0.0	Boreogomphodon	234.2075907897898	218.10536850550548
0.0	Botucaraitherium	219.84905204204205	218.81546889889887
0.0	Brachyprosopus	264.7237161131131	259.67371286586587
0.0	Brachyzostrodon	208.2143935985986	202.6068296346346
0.0	Brasilitherium	226.02094066066067	209.12579711711714
0.0	Brasilodon	226.83781762662662	208.93001253253252
0.0	Brontopus	259.6091905815816	252.83379339139137
0.0	Bulbasaurus	260.2122090630631	254.39712723923927
0.0	Bullacephalus	264.3105180790791	263.34250015715713
0.0	Burnetia	256.06379306006005	255.7819668288288
0.0	Cabarzia	296.3464525465465	295.3570162672673
0.0	Callibrachion	286.403634966967	285.7067514314314
0.0	Candelariodon	239.91718553353354	239.62566873173176
0.0	Caodeyao	255.67625258258258	255.4051334084084
0.0	Casea	283.77279263463464	273.1930632282282
0.0	Caseoides	280.96953239739736	268.4133327867867
0.0	Caseopsis	280.1084133363364	271.03592525225224
0.0	Cerdodon	267.0107616496496	265.9568632422422
0.0	Cerdorhinus	256.77815297998	256.4798677607607
0.0	Cerdosuchus	256.3119991881882	255.99464705505505
0.0	Chalepotherium	204.04333800100102	203.25544144344343
0.0	Chaliminia	223.15010663663662	213.5011215605606
0.0	Charassognathus	257.035866015015	256.7052690960961
0.0	Charruodon	220.77670562862863	219.80838465165164
0.0	Chiniquodon	242.38314046946945	218.57651975475477
0.0	Choerosaurus	271.2301672702703	256.0004049109109
0.0	Chthomaloporus	265.86009318418417	264.9862678568569
0.0	Chthonosaurus	262.1381725965966	258.15729564064065
0.0	Cistecephaloides	256.9902652142142	256.6818623293293
0.0	Cistecephalus	259.75242019219223	254.08010719719718
0.0	Cistecynodon	245.48209646446446	245.07559053753755
0.0	Clelandina	260.39420542242243	252.44358414914916
0.0	Clepsydrops	306.9219319469469	278.9623405435436
0.0	Colobodectes	264.09152283483485	252.1203499339339
0.0	Compsodon	260.65318904904905	252.73464432032034
0.0	Cotylorhynchus	283.5716306786787	265.94574129129126
0.0	Counillonia	249.83348441041042	249.55918736836838
0.0	Cricodon	247.41336294294294	236.67292576376377
0.0	Criocephalosaurus	264.85853156656657	259.96731958758755
0.0	Cromptodon	244.4794407067067	244.09370508908907
0.0	Cryptocynodon	260.3837353783784	254.7626875145145
0.0	Cryptovenator	299.3233742132132	298.3576383413413
0.0	Ctenorhachis	286.0898020820821	285.39443567967965
0.0	Ctenospondylus	293.6150582902903	284.9890468838839
0.0	Cutleria	296.6400794554554	288.8908377007007
0.0	Cynariognathus	264.12257470270265	260.15007213113114
