feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.14145452417433263,0.09949687123298645,0.20244018733501434,NA,NA,NA
Acanthostomatops__rotated_lat_scaled,0.008864148435823154,-0.0198286065262709,0.04418408543179118,0.1812136708010803,0.12119064852595329,0.24028140166774392
Acanthostomatops__map_scaled,0.06786951042478905,-0.00186609346961676,0.034624373232274394,NA,NA,NA
Acanthostomatops__mat_scaled,0.08595073929289355,-0.0030415722895120326,0.04364697106841118,NA,NA,NA
Acanthostomatops__wmmcmm_boxcox_scaled,-0.17045172734651715,-0.0611161313163267,0.03508833145987369,NA,NA,NA
Acanthostomatops__time,0.04752647581975907,-0.01364446763126006,0.04489642614266392,NA,NA,NA
Acerastea__rotated_lat_scaled,0.03375299238421345,-0.019701220692204327,0.053069222145317035,0.671824276497573,0.4154409635812044,0.935550794005394
Acerastea__map_scaled,0.03077737267444917,-0.010366978813902288,0.03263324212693626,NA,NA,NA
Acerastea__mat_scaled,0.018667435051589604,-0.024241324219257825,0.040848952553709926,NA,NA,NA
Acerastea__wmmcmm_boxcox_scaled,0.043248736798761664,-0.041156249697657694,0.05500283188368311,NA,NA,NA
Acerastea__time,0.015007987265318759,-0.0040310978099643135,0.02088593862536801,NA,NA,NA
Acheloma__rotated_lat_scaled,-0.0007451415032846854,-0.025377773609479386,0.05320439811848482,0.2047617223978159,0.14851021394133568,0.28281597420573235
Acheloma__map_scaled,0.06760519950010348,-0.00033482370938735885,0.021904452685331907,NA,NA,NA
Acheloma__mat_scaled,0.09541095044463872,-0.0012526127379122586,0.03988088927611104,NA,NA,NA
Acheloma__wmmcmm_boxcox_scaled,-0.1263443004002329,-0.06140238981321298,0.05274733261017847,NA,NA,NA
Acheloma__time,0.027380490182258653,-0.01112927136299447,0.03470311464490812,NA,NA,NA
Acroplous__rotated_lat_scaled,-0.006400867421762086,-0.024079957689983188,0.05121332840543207,0.18539102770097088,0.13335981220006943,0.22585979476571083
Acroplous__map_scaled,0.06738783682696521,0.0002693817454004645,0.026195548431999217,NA,NA,NA
Acroplous__mat_scaled,0.0918927619792521,-0.0016889840661936631,0.044785615437180515,NA,NA,NA
Acroplous__wmmcmm_boxcox_scaled,-0.14188938494073228,-0.06045073544254252,0.04474491376111163,NA,NA,NA
Acroplous__time,0.0329461570829153,-0.013546575779667539,0.03550078129929091,NA,NA,NA
Actinodon__rotated_lat_scaled,9.905863786116242e-05,-0.02126088519861873,0.05407119454818417,0.17503984751878307,0.1343289315700531,0.2326868544332683
Actinodon__map_scaled,0.06758463479345664,-0.000532338966311713,0.02941363337400055,NA,NA,NA
Actinodon__mat_scaled,0.08688825130229816,-0.001997966800606658,0.03953679160317183,NA,NA,NA
Actinodon__wmmcmm_boxcox_scaled,-0.15972483550198377,-0.05269394075391584,0.04949410455157947,NA,NA,NA
Actinodon__time,0.03873821411281824,-0.023011739513533507,0.029924463258078324,NA,NA,NA
Actiobates__rotated_lat_scaled,-0.0029926988598890604,-0.024647660360317104,0.055078178327221824,0.19902755033632274,0.15085993334650993,0.2709629684686661
Actiobates__map_scaled,0.06745456635137088,6.87548309108184e-05,0.021359558751457536,NA,NA,NA
Actiobates__mat_scaled,0.09463721869280561,-0.0012464825040451259,0.03867379447433059,NA,NA,NA
Actiobates__wmmcmm_boxcox_scaled,-0.1303249082923867,-0.06317380809873686,0.0513431085051262,NA,NA,NA
Actiobates__time,0.028798848270089366,-0.010497675100798165,0.0359855472768782,NA,NA,NA
Adamanterpeton__rotated_lat_scaled,-0.0011998243950074538,-0.025268006569757973,0.05356173998654276,0.20365391495579388,0.14894239977002144,0.27987873181700706
Adamanterpeton__map_scaled,0.06757134384242817,-0.00026172354332961015,0.021802234061994694,NA,NA,NA
Adamanterpeton__mat_scaled,0.09527157311327755,-0.0012505945153131008,0.03962589782851949,NA,NA,NA
Adamanterpeton__wmmcmm_boxcox_scaled,-0.12708476574538508,-0.06179202294298608,0.05248350382684612,NA,NA,NA
Adamanterpeton__time,0.027641063966148068,-0.010924523661599692,0.03496681163111127,NA,NA,NA
Almasaurus__rotated_lat_scaled,0.09890149631086388,-0.006343035685885848,0.04428979944186759,0.2816071484448912,0.019914829172194004,1.518134668469429
Almasaurus__map_scaled,0.11548060310771689,-0.01740978865406161,0.057917832782032594,NA,NA,NA
Almasaurus__mat_scaled,-0.3510965990932891,-0.06621267748462524,0.011894002459511867,NA,NA,NA
Almasaurus__wmmcmm_boxcox_scaled,0.24482947224052623,-0.004846570000157584,0.07135348175280863,NA,NA,NA
Almasaurus__time,0.03203765170474071,-0.0046847994082561675,0.016985070898793645,NA,NA,NA
Amphibamus__rotated_lat_scaled,-0.006228842330165208,-0.024858269856846808,0.051740051518767406,0.18719636132882442,0.13913967501139268,0.2307814247906208
Amphibamus__map_scaled,0.06737100459111389,0.0003739763307088858,0.02577534315042108,NA,NA,NA
Amphibamus__mat_scaled,0.09237606438342481,-0.001784478335815195,0.04481676320590353,NA,NA,NA
Amphibamus__wmmcmm_boxcox_scaled,-0.1400933163659647,-0.06035459372280614,0.045147192586340014,NA,NA,NA
Amphibamus__time,0.032316926876083014,-0.012873505648227186,0.03496083687358232,NA,NA,NA
Anakamacops__rotated_lat_scaled,-0.013717863538331584,-0.023942013123008227,0.043664989819940735,0.22575798251389642,0.056038979440927505,0.45773234963417053
Anakamacops__map_scaled,0.02154720983817242,-0.014290107686148329,0.03983165732994552,NA,NA,NA
Anakamacops__mat_scaled,0.011908712919102981,-0.022924353291183634,0.03247882997869159,NA,NA,NA
Anakamacops__wmmcmm_boxcox_scaled,0.009546770276501774,-0.03294627865051724,0.055046226753765866,NA,NA,NA
Anakamacops__time,0.05501862884411821,-0.005394118482129027,0.03141848345267065,NA,NA,NA
Anaschisma__rotated_lat_scaled,0.04498310628709966,-0.004329216895065637,0.04066096254407208,0.7422450784555985,0.023809179663658142,2.33553908392787
Anaschisma__map_scaled,0.0453916366669301,-0.02265473760858287,0.046855575678612496,NA,NA,NA
Anaschisma__mat_scaled,-0.0486538316620661,-0.06217799386593736,0.01613287556523444,NA,NA,NA
Anaschisma__wmmcmm_boxcox_scaled,0.0940654940723236,-0.0034308889940599034,0.08477207363570928,NA,NA,NA
Anaschisma__time,0.00566811881004537,-0.006904033869340677,0.01401869991138604,NA,NA,NA
Anconastes__rotated_lat_scaled,-0.006370692098280415,-0.02272654945796152,0.05078481873458323,0.18298659727894118,0.13338626455515623,0.22879073023796082
