feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.13669929943978787,0.10772499442100525,0.15687346458435059,NA,NA,NA
Acanthostomatops__rotated_lat_scaled,0.03317442674800986,-0.015187447152524161,0.05589405525503261,0.1153510534056113,0.06240488588809967,0.17409735545516014
Acanthostomatops__map_scaled,0.06608921623323112,0.0014192755956884103,0.03823395548369943,NA,NA,NA
Acanthostomatops__mat_scaled,0.045943211376434194,-0.008935787025305286,0.03681413775598089,NA,NA,NA
Acanthostomatops__wmmcmm_scaled,-0.21884771523531527,-0.07779815980791177,-0.009711055746051363,NA,NA,NA
Acanthostomatops__time,0.05229261484346352,-0.007222876030952429,0.035642371835689024,NA,NA,NA
Acerastea__rotated_lat_scaled,0.03350611596864852,-0.02339540794491768,0.041194572139752486,0.7530536129465326,0.5382882449775934,1.003638006746769
Acerastea__map_scaled,0.028710485954427295,-0.0023305886425077915,0.03372855154722613,NA,NA,NA
Acerastea__mat_scaled,0.03026098721593239,-0.00048703799257054925,0.03453383312553937,NA,NA,NA
Acerastea__wmmcmm_scaled,0.03559627768093893,0.06319844722747803,0.036084471023647084,NA,NA,NA
Acerastea__time,0.008625432619840724,-0.002415416296571493,0.011332036748185503,NA,NA,NA
Acheloma__rotated_lat_scaled,0.06545890359556768,-0.008098504730682268,0.03024559763327352,0.3583513047048473,0.0343878660351038,0.7476666048169136
Acheloma__map_scaled,0.030639840136792895,-0.02525031617239667,0.05038302019543722,NA,NA,NA
Acheloma__mat_scaled,0.01763134529893803,-0.0388568009842772,0.03852101748270896,NA,NA,NA
Acheloma__wmmcmm_scaled,-0.0027932271747637353,-0.035025702178335776,0.02681271601510641,NA,NA,NA
Acheloma__time,0.025762437583253004,-0.0004936703553133293,0.010911113257824475,NA,NA,NA
Acroplous__rotated_lat_scaled,0.03646929097827524,-0.012669843997069531,0.054610729175468456,0.09461711165779889,0.032183422707021236,0.15449669398367405
Acroplous__map_scaled,0.01171668312273141,-0.02992392482692301,0.0312961112341757,NA,NA,NA
Acroplous__mat_scaled,0.05191066998057067,-0.004293656792134603,0.03768459145454571,NA,NA,NA
Acroplous__wmmcmm_scaled,-0.1858976703864755,-0.055953575415255107,0.004417047869865301,NA,NA,NA
Acroplous__time,0.04371883852290921,-0.004883993389623004,0.028864984850295403,NA,NA,NA
Actinodon__rotated_lat_scaled,0.018523973371484318,-0.011545501256902672,0.03753054464527208,0.09372233229805715,0.03836481645703316,0.1613030806183815
Actinodon__map_scaled,-0.03200137678300962,-0.03894677073967015,0.0281822534062652,NA,NA,NA
Actinodon__mat_scaled,0.052572556792292745,-0.005562067724078535,0.037973045805608986,NA,NA,NA
Actinodon__wmmcmm_scaled,-0.12607815320632654,-0.049034194081618444,0.03232570528863783,NA,NA,NA
Actinodon__time,0.04400603268382838,-0.0026364606187354437,0.020861915438566497,NA,NA,NA
Actiobates__rotated_lat_scaled,0.05797323646955192,-0.008816438401098851,0.05592722120488841,0.1078802308410377,0.0632571280002594,0.14055512100458145
Actiobates__map_scaled,0.06795164888259024,0.0009463925579701762,0.03340938743194937,NA,NA,NA
Actiobates__mat_scaled,0.044677577732873036,-0.007411875119955586,0.032533533765881285,NA,NA,NA
Actiobates__wmmcmm_scaled,-0.2421783429197967,-0.08357381498703344,-0.0040714502463526335,NA,NA,NA
Actiobates__time,0.04275681123603135,-0.008869258470887553,0.039074772427984156,NA,NA,NA
Adamanterpeton__rotated_lat_scaled,0.058562568154593465,-0.009579900853662037,0.0548929808543332,0.10840388316049938,0.06623413736815564,0.14847640320658684
Adamanterpeton__map_scaled,0.06762993365991861,0.0011508271286113129,0.03433106817045014,NA,NA,NA
Adamanterpeton__mat_scaled,0.0442044089268893,-0.006637991231531701,0.03381433428243678,NA,NA,NA
Adamanterpeton__wmmcmm_scaled,-0.24105929963290693,-0.08309947038994461,-0.006082651391611357,NA,NA,NA
Adamanterpeton__time,0.04236697261221707,-0.009558459074478215,0.03991773266874181,NA,NA,NA
Almasaurus__rotated_lat_scaled,0.029326860694854986,-0.007973434540910394,0.04506978299289564,0.048217142970243,0.01654446590691805,0.09073067456483841
Almasaurus__map_scaled,-0.17644787174125667,-0.06627494028147363,0.00040349111088686085,NA,NA,NA
Almasaurus__mat_scaled,-0.08875324670108967,-0.03610482113870942,0.02483955108421719,NA,NA,NA
Almasaurus__wmmcmm_scaled,0.11139476463198662,0.0034954070905106496,0.06392091786646684,NA,NA,NA
Almasaurus__time,0.035997336645959874,-0.0008672055504224568,0.022639721529884055,NA,NA,NA
Amphibamus__rotated_lat_scaled,0.05579814938362688,-0.009284586351784974,0.05873274130704102,0.10678205675561912,0.0692926300689578,0.14391141617670655
Amphibamus__map_scaled,0.06879856640007347,0.0009694064023829878,0.035900377087509656,NA,NA,NA
Amphibamus__mat_scaled,0.04599204099853523,-0.007110894817255609,0.036061480793690204,NA,NA,NA
Amphibamus__wmmcmm_scaled,-0.24430808166973292,-0.08464087713442453,-0.009115713224896443,NA,NA,NA
Amphibamus__time,0.04380208220332861,-0.007658042519923119,0.035294578621006135,NA,NA,NA
Anakamacops__rotated_lat_scaled,-0.03641869134095032,-0.030296793855250734,0.009330912484730041,0.13645102387235966,0.023746032267808914,0.2900235392153263
Anakamacops__map_scaled,0.0654837292234879,0.0004069471876489759,0.05176660983623731,NA,NA,NA
Anakamacops__mat_scaled,0.04871731277904473,-0.01214156446630809,0.04061622542149772,NA,NA,NA
Anakamacops__wmmcmm_scaled,-0.12071118367370218,-0.06635146586904854,0.03540037664557258,NA,NA,NA
Anakamacops__time,0.04268055744469166,0.0006578825819531389,0.01975934019631295,NA,NA,NA
Anaschisma__rotated_lat_scaled,0.05735259556255423,-0.01398441836980805,0.03930574581877798,0.29412986028473825,0.03320405958220363,0.594890370965004
Anaschisma__map_scaled,0.08841110406292203,0.0006067310020429572,0.03133782576169545,NA,NA,NA
Anaschisma__mat_scaled,-0.1081658948796277,-0.06137250816111401,0.020761658185631686,NA,NA,NA
Anaschisma__wmmcmm_scaled,0.09250193501187481,0.00019518249527071055,0.0359399803319287,NA,NA,NA
Anaschisma__time,0.006599559682064485,-0.03316998138739685,0.029528254486316775,NA,NA,NA
Anconastes__rotated_lat_scaled,0.054519773561041804,-0.015228104826222102,0.05517444205106675,0.10657136145768163,0.07285154797136784,0.14647704921662807
Anconastes__map_scaled,0.06897205417975784,0.0008193105115287577,0.035926007510821,NA,NA,NA
Anconastes__mat_scaled,0.04642635753640206,-0.0050686883986573,0.041884729437626396,NA,NA,NA
Anconastes__wmmcmm_scaled,-0.2442816132493317,-0.08078684115891867,-0.010788364488162918,NA,NA,NA
Anconastes__time,0.04423548999002378,-0.007460670548735938,0.03467665007299935,NA,NA,NA
