feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.13395344726741315,0.10419405251741409,0.16466417908668518,NA,NA,NA
Acanthostomatops__rotated_lat_scaled,0.037786749352235346,-0.005119145471688563,0.059524738888646817,0.0706246561813532,0.005754582583904266,0.14626862853765488
Acanthostomatops__mean_scaled,-0.07753086312266533,-0.051441540565595176,0.03658049512810754,NA,NA,NA
Acanthostomatops__Mod_R_deltaTMyr_scaled,-0.03450271252484526,-0.030870008330893275,0.026639131039758592,NA,NA,NA
Acanthostomatops__time,0.010918035209215304,-0.016763358149237077,0.04191981403017221,NA,NA,NA
Acerastea__rotated_lat_scaled,0.029492593627760025,0.0030498743742255136,0.040394232425766986,1.67245578836184,0.9377665631473064,2.4787404015660286
Acerastea__mean_scaled,0.02534643388332117,0.014952768844878698,0.03418240571762409,NA,NA,NA
Acerastea__Mod_R_deltaTMyr_scaled,0.06986186697693046,0.07638474209273968,0.07858064406611491,NA,NA,NA
Acerastea__time,0.009252552779401499,0.009806667205570194,0.011506896877179195,NA,NA,NA
Acheloma__rotated_lat_scaled,0.03811047924442082,-0.014303537725390648,0.02929188376572827,0.5085347871656996,0.006887152791023254,1.621268056333065
Acheloma__mean_scaled,0.0039805054795414825,-0.052087596812670084,0.04315291589296313,NA,NA,NA
Acheloma__Mod_R_deltaTMyr_scaled,0.06830566488175291,-0.03600472924712717,0.07496307064518495,NA,NA,NA
Acheloma__time,0.023556797661697958,-0.0017981887322261827,0.017256308782808833,NA,NA,NA
Acroplous__rotated_lat_scaled,0.04729575192233824,-0.007798598822820613,0.054798646033252754,0.08756777550630432,0.016760457307100296,0.19402183685451746
Acroplous__mean_scaled,-0.080394400329169,-0.04504274327597405,0.03136681932163949,NA,NA,NA
Acroplous__Mod_R_deltaTMyr_scaled,-0.027953374153075857,-0.036524737319177845,0.035304785707428864,NA,NA,NA
Acroplous__time,0.014666350798797793,-0.014827973099441586,0.043193928024364066,NA,NA,NA
Actinodon__rotated_lat_scaled,0.049705652927441404,-0.003660401997019086,0.05261842495286656,0.10271272527985274,0.004417736083269119,0.2207109648734331
Actinodon__mean_scaled,-0.05337610077986028,-0.04709024192176994,0.029766463610081777,NA,NA,NA
Actinodon__Mod_R_deltaTMyr_scaled,-0.030901188602947514,-0.03225017094793039,0.04693797889322292,NA,NA,NA
Actinodon__time,0.0033309144678059966,-0.021193237650694672,0.03534131163051393,NA,NA,NA
Actiobates__rotated_lat_scaled,0.07100473476573825,-0.001669776047009041,0.058439415385425623,0.24831751591089415,0.11017693392932415,0.4044955112040043
Actiobates__mean_scaled,-0.03570007720263675,-0.06951016568590615,0.01763703067449939,NA,NA,NA
Actiobates__Mod_R_deltaTMyr_scaled,0.025002174325054513,-0.019788735000148803,0.03851204128912137,NA,NA,NA
Actiobates__time,0.05405723675532499,-0.013225375784350105,0.05007569173763881,NA,NA,NA
Adamanterpeton__rotated_lat_scaled,0.07260164553299546,-0.0013944202640447374,0.058217800668096335,0.25281489019136644,0.09454565332271159,0.39492615312337875
Adamanterpeton__mean_scaled,-0.03445334703661501,-0.06987250975930039,0.01722510651658796,NA,NA,NA
Adamanterpeton__Mod_R_deltaTMyr_scaled,0.028228063508868216,-0.01805271775352297,0.039326389480225314,NA,NA,NA
Adamanterpeton__time,0.05248508091870462,-0.014874404740546009,0.04989488242177556,NA,NA,NA
Almasaurus__rotated_lat_scaled,0.05350750794052146,-0.010837736529239785,0.03966626727447679,0.2553025916834304,0.03152089845389128,0.7416908666491508
Almasaurus__mean_scaled,0.05569793455986655,-0.026005294022513486,0.05722682262442569,NA,NA,NA
Almasaurus__Mod_R_deltaTMyr_scaled,-0.07409775550011545,-0.06177016001159495,0.025199297410792045,NA,NA,NA
Almasaurus__time,0.08624145741574467,-0.0055808619540658674,0.04257179177699065,NA,NA,NA
Amphibamus__rotated_lat_scaled,0.06605635779385921,-0.0007346564760631496,0.05555559266145951,0.24478437598823802,0.11128474865108728,0.38344264402985573
Amphibamus__mean_scaled,-0.036718962457962336,-0.07095444993110646,0.020664893638999243,NA,NA,NA
Amphibamus__Mod_R_deltaTMyr_scaled,0.027205244906945154,-0.018289954441529525,0.03870143322744234,NA,NA,NA
Amphibamus__time,0.05428828847798286,-0.014214991668714953,0.04974225955878409,NA,NA,NA
Anakamacops__rotated_lat_scaled,0.015158141283463919,-0.012111050960597773,0.03995884454457876,0.17227269319599145,0.027023236267268658,0.36794165149331093
Anakamacops__mean_scaled,-0.0071591416152659805,-0.04359565850334231,0.04536945019919953,NA,NA,NA
Anakamacops__Mod_R_deltaTMyr_scaled,-0.007616789188468829,-0.04493189604263494,0.036469585920509,NA,NA,NA
Anakamacops__time,0.0379370354488492,-0.00355544701083907,0.04286629842239789,NA,NA,NA
Anaschisma__rotated_lat_scaled,0.044421656579943375,-0.007032057140919073,0.04404558482497578,0.14274801703519188,0.01580164209008217,0.2591690404806286
Anaschisma__mean_scaled,-0.0688404129142873,-0.04603416933460499,0.019733518729026192,NA,NA,NA
Anaschisma__Mod_R_deltaTMyr_scaled,-0.08852667594794184,-0.052142009423743904,0.02209169614604015,NA,NA,NA
Anaschisma__time,0.12174000205006451,0.0010141833818538746,0.07879337938664306,NA,NA,NA
Anconastes__rotated_lat_scaled,0.0629808879038319,-0.0019346796192650619,0.05405764039382,0.2244183257689656,0.09242989588528872,0.3315119734033942
Anconastes__mean_scaled,-0.04968863958260045,-0.06804822639625235,0.024068808607674932,NA,NA,NA
Anconastes__Mod_R_deltaTMyr_scaled,0.025460602774583094,-0.022465580498920782,0.039226486451220406,NA,NA,NA
Anconastes__time,0.0517120274057379,-0.011745566002975893,0.047311243633969845,NA,NA,NA
Angusaurus__rotated_lat_scaled,-0.005702516251137229,-0.04813915993866767,0.023461307908482835,0.45531346043202575,0.037540070712566376,0.9132701009511948
Angusaurus__mean_scaled,0.07347269012264396,0.007004787570852723,0.0647966346978948,NA,NA,NA
Angusaurus__Mod_R_deltaTMyr_scaled,0.03286697809557974,-0.06757027285675357,0.05149490413683533,NA,NA,NA
Angusaurus__time,0.0333162953003267,0.004510592707154433,0.024911332343472224,NA,NA,NA
Anisodexis__rotated_lat_scaled,0.054788075401156676,-0.004788549155279122,0.06722962174390897,0.0844960785182775,0.00926276296377182,0.16032813768833876
Anisodexis__mean_scaled,-0.07217658580222633,-0.040486492086008234,0.024567726742462177,NA,NA,NA
Anisodexis__Mod_R_deltaTMyr_scaled,-0.0536227493500337,-0.04418375608540922,0.03337786877613773,NA,NA,NA
Anisodexis__time,0.021553891001967713,-0.014735255190717512,0.03948896182417631,NA,NA,NA
Anthichnium__rotated_lat_scaled,-0.006281415845733136,-0.035655170747214866,0.03658628874652127,0.2063401869815425,0.015409333631396294,0.5091232508420944
Anthichnium__mean_scaled,-0.020193597287870943,-0.03875992971073227,0.03367283393910467,NA,NA,NA
Anthichnium__Mod_R_deltaTMyr_scaled,0.047909434273606166,-0.03259744405096084,0.07693161836841889,NA,NA,NA
Anthichnium__time,0.05095231857412728,0.002818491991493894,0.01747343803264035,NA,NA,NA
Anthracobamus__rotated_lat_scaled,0.049960356518568005,-0.012850850469845859,0.048764582313160616,0.21839479735732312,0.11993138864636421,0.32731527369469404
Anthracobamus__mean_scaled,-0.04288371837348677,-0.06339773571394593,0.024965531649876565,NA,NA,NA
Anthracobamus__Mod_R_deltaTMyr_scaled,0.020515789469354787,-0.019751591563503867,0.03839017535005171,NA,NA,NA
Anthracobamus__time,0.056848922475473955,-0.008193874770118442,0.052543889773596295,NA,NA,NA
Apachesaurus__rotated_lat_scaled,0.042748579000035536,-0.009822787526945025,0.042984052244355794,0.14089191997001763,0.019033893942832947,0.3062310449022334
Apachesaurus__mean_scaled,-0.07951776853500632,-0.04372760893445689,0.00786911812002829,NA,NA,NA
Apachesaurus__Mod_R_deltaTMyr_scaled,-0.09329909787629731,-0.04710229957197159,0.026974419253812765,NA,NA,NA
Apachesaurus__time,0.13700676011387258,-0.0035413564840405896,0.08683658946848832,NA,NA,NA
Apateon__rotated_lat_scaled,0.04163665336062668,-0.01441323614963746,0.03863720143247309,0.3204575603203557,0.012223847210407257,1.3913993760943413
Apateon__mean_scaled,-0.0417010266755942,-0.059571084809568464,0.022689959986894007,NA,NA,NA
Apateon__Mod_R_deltaTMyr_scaled,0.09310700482243728,-0.02651517074547216,0.08975484040216788,NA,NA,NA
Apateon__time,0.040910815759943396,-0.0036945608127360104,0.013582177265150208,NA,NA,NA
Aphaneramma_Temperate_N__rotated_lat_scaled,-0.0018622399850749206,-0.12502504124953537,0.02938389345365392,0.5444455609115539,0.1713305525481701,1.0252063274383545
Aphaneramma_Temperate_N__mean_scaled,0.07331205561080914,0.068329192610145,0.05542821085912202,NA,NA,NA
Aphaneramma_Temperate_N__Mod_R_deltaTMyr_scaled,0.03727479812884068,-0.054828094831047856,0.05564465859811524,NA,NA,NA
Aphaneramma_Temperate_N__time,0.025228833512838236,0.007329890953024135,0.024207416175794007,NA,NA,NA
Aphaneramma_Temperate_S__rotated_lat_scaled,0.029335815563789818,-0.014655881289855722,0.03298485232130427,0.9951250025525223,0.1084042526781559,2.312174916267395
Aphaneramma_Temperate_S__mean_scaled,0.03946833085167773,0.0026797414777123343,0.04044720655881868,NA,NA,NA
Aphaneramma_Temperate_S__Mod_R_deltaTMyr_scaled,0.050812293328516805,-0.09584374498243077,0.07948354255704185,NA,NA,NA
Aphaneramma_Temperate_S__time,0.01433700752342876,0.0036258322771600595,0.011748577649520387,NA,NA,NA
Arachana__rotated_lat_scaled,0.10122514878283255,0.002799512766799385,0.04365017166748969,0.23129978134908014,0.047935353592038155,0.5911203622817993
Arachana__mean_scaled,-0.028239761511795223,-0.04181427753298469,0.03840850912487286,NA,NA,NA
Arachana__Mod_R_deltaTMyr_scaled,-0.08490782246197341,-0.06265132892798154,0.02586471869642877,NA,NA,NA
Arachana__time,0.1092687692726031,-0.002527958823247244,0.05674077959789386,NA,NA,NA
Archegosaurus__rotated_lat_scaled,0.04478936164465267,-0.006540896190192958,0.05157353495376267,0.15185387617551896,0.00952325388789177,0.44087356328964233
Archegosaurus__mean_scaled,-0.0359749790965725,-0.03953122398620178,0.035189935897244125,NA,NA,NA
Archegosaurus__Mod_R_deltaTMyr_scaled,0.004897985891730059,-0.03222882135284946,0.04346060369934915,NA,NA,NA
Archegosaurus__time,0.004188060468295589,-0.025893110988169904,0.03444010453632923,NA,NA,NA
Arenaerpeton__rotated_lat_scaled,0.029714446872777384,-0.05005149323401422,0.026790475812368264,0.7648842010437511,0.1370798759162426,2.1298170760273933
Arenaerpeton__mean_scaled,0.05481884103866175,0.014749612810637575,0.029443589859517894,NA,NA,NA
Arenaerpeton__Mod_R_deltaTMyr_scaled,0.03297573275803195,-0.07594954557263303,0.0971637270408763,NA,NA,NA
Arenaerpeton__time,0.016444426597942062,0.007057373478595579,0.011266386373922738,NA,NA,NA
Aspidosaurus_Temperate_N__rotated_lat_scaled,0.006514166878332617,-0.020929217136118002,0.04161447612815375,0.1355945163472643,0.015960464021191,0.2578973099589348
Aspidosaurus_Temperate_N__mean_scaled,-0.04741378331695159,-0.05093714392123667,0.01551564831303595,NA,NA,NA
Aspidosaurus_Temperate_N__Mod_R_deltaTMyr_scaled,-0.0017943973894580267,-0.031116000841475335,0.05554361007358495,NA,NA,NA
Aspidosaurus_Temperate_N__time,0.044335082907928154,-0.0012116906185840963,0.051990444571910543,NA,NA,NA
Aspidosaurus_Tropical_N__rotated_lat_scaled,0.07295700468270297,-0.0084796382327137,0.03400707603616933,0.24803618170701155,0.007646549493074417,1.1196235325187445
Aspidosaurus_Tropical_N__mean_scaled,-0.05925836735405028,-0.05628416030864369,0.01817296061096965,NA,NA,NA
Aspidosaurus_Tropical_N__Mod_R_deltaTMyr_scaled,0.0554238829575479,-0.03634968221444453,0.0957791187831577,NA,NA,NA
Aspidosaurus_Tropical_N__time,0.04496021415339783,-0.0030805717616121677,0.01670502365638849,NA,NA,NA
Aspidosaurus_Tropical_S__rotated_lat_scaled,0.07699310665062513,-0.005524201436052553,0.04117498457948592,0.20792059290470205,0.024072036147117615,0.7797667346894741
Aspidosaurus_Tropical_S__mean_scaled,-0.058119499450549485,-0.039689503013086616,0.029464655085256766,NA,NA,NA
Aspidosaurus_Tropical_S__Mod_R_deltaTMyr_scaled,0.026472794980800244,-0.04171234926660328,0.07328425687609412,NA,NA,NA
Aspidosaurus_Tropical_S__time,0.028620743456413036,-0.017267998801671656,0.020740282545848383,NA,NA,NA
Astreptorhachis__rotated_lat_scaled,0.0698863566169166,-0.004028760049534159,0.05877996418453246,0.23119158478220925,0.08888086769729853,0.38229494681581855
Astreptorhachis__mean_scaled,-0.04515649775596103,-0.06522297736386325,0.022232458915056846,NA,NA,NA
