clade	species	ts	te
0.0	Acanthostomatops	293.4108657632066	293.25992328381955
0.0	Acerastea	251.8045421844252	251.6107557588518
0.0	Acheloma	293.6510747293346	273.7529345394201
0.0	Acroplous	299.40647183721137	289.8697129073597
0.0	Actinodon	296.6859832647738	286.106984965775
0.0	Actiobates	303.92834808002675	303.77862634929124
0.0	Adamanterpeton	309.08718022458476	308.93753321490897
0.0	Almasaurus	227.66353693787036	226.3982468646679
0.0	Amphibamus	310.351733232548	306.86955065711817
0.0	Anakamacops	269.5511211499934	267.2977887041766
0.0	Anaschisma	237.15561673064136	201.52981573505664
0.0	Anconastes	300.7544903394353	300.6045272357174
0.0	Angusaurus	254.77250044086765	244.13625750930632
0.0	Anisodexis	281.3177196231339	280.61146257139825
0.0	Anthichnium	261.92490253583827	260.22513874843924
0.0	Anthracobamus	300.54144424321413	300.3894659470733
0.0	Apachesaurus	236.39585787142673	204.41554768326932
0.0	Apateon	300.7184441421343	264.5073170384548
0.0	Aphaneramma_Temperate_N	253.1658352424165	246.21920574621737
0.0	Aphaneramma_Temperate_S	252.8720872052994	250.89397381628083
0.0	Arachana	227.10690088622619	226.11421542737048
0.0	Archegosaurus	298.2209742302526	282.1753816967757
0.0	Arenaerpeton	252.10569498568145	251.72451596060017
0.0	Aspidosaurus_Temperate_N	273.85706097087825	271.93977502841176
0.0	Aspidosaurus_Tropical_N	303.2624433515102	270.10938334488515
0.0	Aspidosaurus_Tropical_S	302.37471675939355	272.33306578247544
0.0	Astreptorhachis	300.946637474217	300.79790447448164
0.0	Australerpeton	267.0886541987731	257.6277108807988
0.0	Bageherpeton	261.94913850538984	260.82234077694517
0.0	Banksiops	252.11947471390673	251.24180395150478
0.0	Bashkirosaurus	268.05769237782255	265.7783059827327
0.0	Bathignathus	250.48934899886672	241.7677529404823
0.0	Batrachosuchoides_Temperate_N	255.53836047760777	243.84883038893483
0.0	Batrachosuchus_Temperate_S	253.590298845688	241.7820867575716
0.0	Benthosphenus	249.55051311368098	249.43905226090388
0.0	Benthosuchus	251.5009727618334	247.18302150744668
0.0	Bermanerpeton	300.7208520201759	300.5684858920571
0.0	Boreopelta	247.46522257740807	247.3284290944447
0.0	Bothriceps	259.50916543061663	251.24784317669454
0.0	Brachyops	249.92823966830713	249.82193688595376
0.0	Branchierpeton	305.64910386990596	291.7026232774809
0.0	Branchiosaurus	309.0308186922953	292.6640153193286
0.0	Brevidorsum	295.55843993192417	295.413572334014
0.0	Broiliellus	299.74430441620456	274.27669119708537
