age,syn_L_mean,syn_L_hpd_m95,syn_L_hpd_M95,syn_M_mean,syn_M_hpd_m95,syn_M_hpd_M95,syn_R_mean,syn_R_hpd_m95,syn_R_hpd_M95,rep_all_L_mean,rep_all_L_hpd_m95,rep_all_L_hpd_M95,rep_all_M_mean,rep_all_M_hpd_m95,rep_all_M_hpd_M95,rep_all_R_mean,rep_all_R_hpd_m95,rep_all_R_hpd_M95
-198.6296768,,,,,,,,,,0.008501712,0.000221939,0.020434845,0.336833395,0.22577554,0.449366572,-0.328331683,-0.444734924,-0.221849738
-198.7515221,0.026595141,0.000118436,0.085143161,0.242363691,0.097176552,0.402402497,-0.21576855,-0.387238723,-0.05095629,,,,,,,,,
-208,0.026595141,0.000118436,0.085143161,0.242363691,0.097176552,0.402402497,-0.21576855,-0.387238723,-0.05095629,0.008501712,0.000221939,0.020434845,0.336833395,0.22577554,0.449366572,-0.328331683,-0.444734924,-0.221849738
-208.00001,0.021785315,3.76E-05,0.054648177,0.089643421,0.014393749,0.161660314,-0.067858106,-0.146757532,0.01145106,0.008956845,0.000505055,0.020596115,0.018734154,0.003489225,0.035573191,-0.009777309,-0.030167221,0.010857786
-217,0.021785315,3.76E-05,0.054648177,0.089643421,0.014393749,0.161660314,-0.067858106,-0.146757532,0.01145106,0.008956845,0.000505055,0.020596115,0.018734154,0.003489225,0.035573191,-0.009777309,-0.030167221,0.010857786
-217.00001,0.011289138,0.000431848,0.030327546,0.06071998,0.013213407,0.111530243,-0.049430842,-0.104429531,0.005052546,0.010150498,0.000595021,0.024748733,0.012484495,0.001988759,0.024367137,-0.002333997,-0.01833964,0.019048311
-227,0.011289138,0.000431848,0.030327546,0.06071998,0.013213407,0.111530243,-0.049430842,-0.104429531,0.005052546,0.010150498,0.000595021,0.024748733,0.012484495,0.001988759,0.024367137,-0.002333997,-0.01833964,0.019048311
-227.00001,0.029470387,0.000169398,0.087469145,0.109788059,0.031219282,0.177804728,-0.080317672,-0.172813621,0.005236177,0.053758533,0.003590818,0.111729203,0.034520336,0.011372703,0.063833796,0.019238198,-0.046628438,0.088177066
-237,0.029470387,0.000169398,0.087469145,0.109788059,0.031219282,0.177804728,-0.080317672,-0.172813621,0.005236177,0.053758533,0.003590818,0.111729203,0.034520336,0.011372703,0.063833796,0.019238198,-0.046628438,0.088177066
-237.00001,0.08738627,0.015194486,0.169714371,0.148410676,0.046491455,0.242568481,-0.061024406,-0.178115912,0.06884029,0.111213677,0.024284299,0.202118729,0.101829439,0.024414345,0.173606893,0.009384237,-0.114702852,0.132389015
