feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.25286162525415423,0.17644008994102478,0.324092298746109,NA,NA,NA
Abajudon__lat_range_z_trans,0.31283525118594135,0.0037082479460732853,0.021627233784292207,0.5712092791116448,0.26378152146935463,1.0648745393846184
Abajudon__Temperate_N,0.22301536728515065,-0.005582131428507542,0.02868095777926482,NA,NA,NA
Abajudon__Tropical,0.029675464628282456,-0.0007611977131561287,0.005288005493147103,NA,NA,NA
Abajudon__Temperate_S,-0.29153864428008736,-0.0166182936663491,0.010648984815644318,NA,NA,NA
Abajudon__Antarctic,0.040751904869749354,-0.0002766820699050371,0.005733350089985108,NA,NA,NA
Abajudon__mat_z_trans,-0.007624468789712529,-0.013840045650114733,0.03191208052792378,NA,NA,NA
Abajudon__map_z_trans,0.018758637323391163,-0.010309291072325215,0.02089399294811053,NA,NA,NA
Abajudon__wmm_z_trans,-0.16616375278193038,-0.03853152558900462,0.04222645342847785,NA,NA,NA
Abajudon__cmm_z_trans,0.007242356956589082,-0.011909861875764746,0.018755097180964186,NA,NA,NA
Abajudon__wmmcmm_z_trans,0.05434326209619826,-0.024008468165092348,0.03629632183689159,NA,NA,NA
Abajudon__wetmon_z_trans,0.020276595669506913,-0.02383095007336342,0.05163645578286419,NA,NA,NA
Abajudon__drymon_z_trans,0.0038496817762420383,-0.004894486668859499,0.007824448124612289,NA,NA,NA
Abajudon__wetdry_z_trans,0.06204028671636409,-0.022611709932654895,0.03892799770405668,NA,NA,NA
Abajudon__time,-0.054600317401530825,-0.006973693982000783,0.0036409192498743645,NA,NA,NA
Abdalodon__lat_range_z_trans,0.15041810597426875,0.00833065534662468,0.030735066542228753,0.9266864726366475,0.6638014856725931,1.2566661294549704
Abdalodon__Temperate_N,0.09804133926050711,-0.01430313022080359,0.039644803386006976,NA,NA,NA
Abdalodon__Tropical,0.012590636083522695,-0.0011534575391305034,0.005821546157035808,NA,NA,NA
Abdalodon__Temperate_S,-0.17183373271634328,-0.040357534496971804,0.0023807815042998603,NA,NA,NA
Abdalodon__Antarctic,0.01725070132932001,-0.000734513846119789,0.0072228730491429105,NA,NA,NA
Abdalodon__mat_z_trans,0.0008770466206458247,-0.013492892829850493,0.019473625807676764,NA,NA,NA
Abdalodon__map_z_trans,-0.003127877226427564,-0.004670970294566192,0.01001192003424308,NA,NA,NA
Abdalodon__wmm_z_trans,0.0498259546979968,-0.02364483745966839,0.04092000170860178,NA,NA,NA
Abdalodon__cmm_z_trans,0.021877476837846882,-0.021411104093072737,0.045292178584745,NA,NA,NA
Abdalodon__wmmcmm_z_trans,0.04365890549250373,-0.03729604335877208,0.06018580433312521,NA,NA,NA
Abdalodon__wetmon_z_trans,0.0025050099115574865,-0.011309985565502674,0.019792558654313775,NA,NA,NA
Abdalodon__drymon_z_trans,0.00994482405650517,-0.00281998065199228,0.009762256456375578,NA,NA,NA
Abdalodon__wetdry_z_trans,0.01586142151498622,-0.011397928441777852,0.027935100288778787,NA,NA,NA
Abdalodon__time,0.004971813417264409,-0.002178366489421082,0.004913782239534755,NA,NA,NA
Aelurognathus__lat_range_z_trans,-0.6679982352629303,-0.04805615712507503,-0.01525325937361856,0.33607287221944715,0.013316198717802763,0.9745523259043694
Aelurognathus__Temperate_N,0.1271779109304771,-0.007020221559563573,0.02560318072932553,NA,NA,NA
Aelurognathus__Tropical,-0.0010806041661999188,-0.0018117728373795293,0.002872288308175252,NA,NA,NA
Aelurognathus__Temperate_S,-0.1427127593914338,-0.018233214603976387,0.0065933385971584865,NA,NA,NA
Aelurognathus__Antarctic,0.004647767259739339,-0.0018380787036825312,0.0027152205144875758,NA,NA,NA
Aelurognathus__mat_z_trans,0.03509586136700818,-0.005160792112983985,0.010357309006950822,NA,NA,NA
Aelurognathus__map_z_trans,0.061464684472302904,-0.01833196199016968,0.045810224268146675,NA,NA,NA
Aelurognathus__wmm_z_trans,0.09053651630412787,-0.00503089397912363,0.03197741403554906,NA,NA,NA
Aelurognathus__cmm_z_trans,0.04029977845377289,-0.008246239971875232,0.016743944965083624,NA,NA,NA
Aelurognathus__wmmcmm_z_trans,0.0731889386207331,-0.009323329076903818,0.025672606318502128,NA,NA,NA
Aelurognathus__wetmon_z_trans,0.19596199498977512,-0.0204556736582558,0.06598195303602548,NA,NA,NA
Aelurognathus__drymon_z_trans,0.16715296125854365,-0.007151196796629683,0.05543857780930733,NA,NA,NA
Aelurognathus__wetdry_z_trans,0.07242233497672715,-0.02254016223334616,0.043053218397939054,NA,NA,NA
Aelurognathus__time,0.023565538339898922,-0.0032403952920597306,0.00652628213307655,NA,NA,NA
Aelurosaurus__lat_range_z_trans,-0.36553773216903207,-0.01750400703511431,-0.014553929862247416,0.15962314920798235,0.08257043361663818,0.25031463894993067
Aelurosaurus__Temperate_N,0.1784204661275726,-0.007282557462389456,0.05221548537456016,NA,NA,NA
Aelurosaurus__Tropical,0.02892602915293537,-0.0009446127541103893,0.006953942027793183,NA,NA,NA
Aelurosaurus__Temperate_S,-0.38402830260340126,-0.029511402209796683,0.014322705118432694,NA,NA,NA
Aelurosaurus__Antarctic,0.04000552194193006,-0.0009056670078099241,0.006819831736856063,NA,NA,NA
Aelurosaurus__mat_z_trans,0.006304248635424301,-0.011724120821403752,0.018917545872630736,NA,NA,NA
Aelurosaurus__map_z_trans,0.02746240729931742,-0.011352187842776943,0.017424313013070875,NA,NA,NA
Aelurosaurus__wmm_z_trans,0.07861460843123495,-0.01426230917226409,0.05762246767588588,NA,NA,NA
Aelurosaurus__cmm_z_trans,0.04776322431571316,-0.018246453600822204,0.031848708557812314,NA,NA,NA
Aelurosaurus__wmmcmm_z_trans,0.08498345301253721,-0.026325378789562686,0.05759865648726531,NA,NA,NA
Aelurosaurus__wetmon_z_trans,0.006262681274674833,-0.015646612215841647,0.017730774218728738,NA,NA,NA
Aelurosaurus__drymon_z_trans,0.06442823370460246,-0.0037372900905332847,0.02372666414216965,NA,NA,NA
Aelurosaurus__wetdry_z_trans,-0.0008628412906546146,-0.017605342065361098,0.02715649532227888,NA,NA,NA
Aelurosaurus__time,0.03748413587338291,-0.001392148873238303,0.006308639060871947,NA,NA,NA
Aelurosuchus__lat_range_z_trans,0.17305505312617994,0.004875799700427949,0.017532124342605076,0.7723309681734827,0.42128472588956356,1.2264403854496777
Aelurosuchus__Temperate_N,0.14125015086182857,-0.006806266166009506,0.02671770060344464,NA,NA,NA
Aelurosuchus__Tropical,0.015365498282106425,-0.0010049774692296592,0.00429068751405168,NA,NA,NA
Aelurosuchus__Temperate_S,-0.16664383042379508,-0.01965048180470714,0.011121332689412778,NA,NA,NA
Aelurosuchus__Antarctic,0.01956982310985356,-0.00026942056986169676,0.004517047713844121,NA,NA,NA
Aelurosuchus__mat_z_trans,-0.006000052421356936,-0.014997606991288836,0.026103238941267034,NA,NA,NA
Aelurosuchus__map_z_trans,-0.0010466994330286927,-0.010687740052220899,0.01772681844092081,NA,NA,NA
Aelurosuchus__wmm_z_trans,0.025138126763047285,-0.007261814118452549,0.014565984222078214,NA,NA,NA
Aelurosuchus__cmm_z_trans,0.018476943017068596,-0.02062217533873327,0.02431605484531668,NA,NA,NA
Aelurosuchus__wmmcmm_z_trans,0.014822334901010151,-0.014445589517366067,0.029565630156195375,NA,NA,NA
Aelurosuchus__wetmon_z_trans,0.0076954002606376415,-0.03163151053993201,0.03611825125557258,NA,NA,NA
Aelurosuchus__drymon_z_trans,-0.008834971180750098,-0.017494836069688203,0.029370124001246323,NA,NA,NA
Aelurosuchus__wetdry_z_trans,-0.08789804277547598,-0.03278843430842692,0.06439019070344408,NA,NA,NA
Aelurosuchus__time,0.10791189116682882,-0.0036550366955359725,0.017757113316709604,NA,NA,NA
