feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.25458062376827,0.17097030580043793,0.324597030878067,NA,NA,NA
Abajudon__lat_range_z_trans,0.297247761166941,0.017624147425263113,0.0550208481236055,0.6464192271846696,0.3185471004107967,1.2029244732111692
Abajudon__Temperate_N,-0.043463980559089926,-0.055693704137926556,0.04769336368252174,NA,NA,NA
Abajudon__Tropical,0.023083944572876887,-0.001624774529800077,0.008650700272604632,NA,NA,NA
Abajudon__Temperate_S,0.03855666918365075,-0.03523912480522053,0.06713521269508486,NA,NA,NA
Abajudon__Antarctic,0.047817609562304485,0.0006738136875922364,0.011773862814240482,NA,NA,NA
Abajudon__mean_z_trans,-0.2611570605972776,-0.06269663080647071,0.02075185325175933,NA,NA,NA
Abajudon__Mod_R_deltaTMyr_z_trans,0.38779295135394476,0.010211879655615003,0.1082713638156234,NA,NA,NA
Abajudon__time,-0.2352972709150804,-0.04422591228949038,0.0052998262226270874,NA,NA,NA
Abdalodon__lat_range_z_trans,0.15371323726984823,0.021524439430958334,0.05512255419669558,1.0145986737383645,0.7305605039000511,1.3976646806113422
Abdalodon__Temperate_N,-0.02163468291306258,-0.06419912195496064,0.05141959443802883,NA,NA,NA
Abdalodon__Tropical,0.010065037319488697,-0.0023260549662368316,0.008289057298061965,NA,NA,NA
Abdalodon__Temperate_S,0.018617548867969923,-0.0451909644483223,0.06755224528984122,NA,NA,NA
Abdalodon__Antarctic,0.021572750511289773,0.0006857684068511797,0.011365584879931568,NA,NA,NA
Abdalodon__mean_z_trans,-0.11466067161846713,-0.07652815887647797,0.01955072388977042,NA,NA,NA
Abdalodon__Mod_R_deltaTMyr_z_trans,0.19483157678482674,0.006063986104650188,0.10257892450337103,NA,NA,NA
Abdalodon__time,-0.007924172453623616,-0.01100019949689989,0.008718346382366415,NA,NA,NA
Aelurognathus__lat_range_z_trans,-0.6463387105986476,-0.0647417552077928,-0.01865590723025216,0.5006997646905075,0.01120493933558464,1.3763881903141737
Aelurognathus__Temperate_N,0.02583927432046039,-0.014473670252083863,0.023708433059781608,NA,NA,NA
Aelurognathus__Tropical,0.0299780759580608,-0.00014302380205916045,0.008212247977588174,NA,NA,NA
Aelurognathus__Temperate_S,0.028963301940821112,-0.013966995430087144,0.039659462902249705,NA,NA,NA
Aelurognathus__Antarctic,0.041495521867182104,0.00033068883828264907,0.008271442193572776,NA,NA,NA
Aelurognathus__mean_z_trans,0.6184326339757535,-0.02422951817182642,0.17380565191029101,NA,NA,NA
