feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-37.46034865131226,-40.0,-15.920953983271037,0.3962672084569931,0.2610015273094177,0.5252776741981506,-1476.3796752688477,-2846.6576481879406,-805.498568078493,1.0
biome,none,Temperate_N_Tropical,none,0.69,-1.354486897949704,-2.711976252989933,2.2106292028807744,0.32190227225422857,0.2284102886915207,0.41518735885620117,-310.51759995000714,-497.33046920282504,-157.4008566335317,4.0
biome,none,Temperate_N_Temperate_S,none,0.6,-1.0852705445721296,-3.0093974876896983,2.3852677135713094,0.32190227225422857,0.2284102886915207,0.41518735885620117,-310.51759995000714,-497.33046920282504,-157.4008566335317,4.0
biome,none,Temperate_N_Antarctic,none,0.67,1.5876197148098763,-5.299349955494463,10.73795433377935,0.32190227225422857,0.2284102886915207,0.41518735885620117,-310.51759995000714,-497.33046920282504,-157.4008566335317,4.0
biome,none,Tropical_Temperate_S,none,0.65,1.1777931999224314,-2.380837487872779,2.6918931839494378,0.32190227225422857,0.2284102886915207,0.41518735885620117,-310.51759995000714,-497.33046920282504,-157.4008566335317,4.0
biome,none,Tropical_Antarctic,none,0.76,2.087422460211072,-3.9746797656142916,11.73820921669466,0.32190227225422857,0.2284102886915207,0.41518735885620117,-310.51759995000714,-497.33046920282504,-157.4008566335317,4.0
biome,none,Temperate_S_Antarctic,none,0.7,1.9581916764161296,-4.180799337234779,12.762521696448431,0.32190227225422857,0.2284102886915207,0.41518735885620117,-310.51759995000714,-497.33046920282504,-157.4008566335317,4.0
mean_z_trans,none,none,none,0.79,-1.5670519787515218,-7.519998298125277,2.2865497928584895,0.1766107262670994,0.07806810736656189,0.34084296226501465,-863.7960854915233,-2324.874829266064,-87.83237953525713,3.0
Mod_R_deltaTMyr_z_trans,none,none,none,1.0,-5.253683073212235,-22.456699615512456,-1.0469592605181424,0.34617586478590967,0.17370788753032684,0.5621079206466675,-899.5422721454926,-1644.3091636676068,-230.12755238149362,2.0
time,none,none,none,1.0,-7.112410582332711,-20.695555652174832,-1.9258474439873847,0.40734957113862036,0.1931755095720291,0.6553478837013245,-1147.4046473651583,-2104.745400834044,-262.5165380147305,1.0
