Time,mat_z_trans,map_z_trans,wmm_z_trans,cmm_z_trans,wmmcmm_z_trans,wetmon_z_trans,drymon_z_trans,wetdry_z_trans,208-217,217-227,227-237,237-242,242-246.7,246.7-252,252-259.5,259.5-264.3,264.3-274.4,274.4-283.5,283.5-290.1
199.3,0.636282831,-0.125708183,0.935990845,0.23202465,0.315160617,-0.214917596,-0.605214952,-0.006092633,0,0,0,0,0,0,0,0,0,0,0
200,0.636282831,-0.125708183,0.935990845,0.23202465,0.315160617,-0.214917596,-0.605214952,-0.006092633,0,0,0,0,0,0,0,0,0,0,0
201,0.636282831,-0.125708183,0.935990845,0.23202465,0.315160617,-0.214917596,-0.605214952,-0.006092633,0,0,0,0,0,0,0,0,0,0,0
201.3,0.932414708,1.167003166,0.905312061,0.558768521,0.004693377,1.556154685,0.380521132,1.689356665,0,0,0,0,0,0,0,0,0,0,0
202,0.932414708,1.167003166,0.905312061,0.558768521,0.004693377,1.556154685,0.380521132,1.689356665,0,0,0,0,0,0,0,0,0,0,0
203,0.932414708,1.167003166,0.905312061,0.558768521,0.004693377,1.556154685,0.380521132,1.689356665,0,0,0,0,0,0,0,0,0,0,0
204,0.932414708,1.167003166,0.905312061,0.558768521,0.004693377,1.556154685,0.380521132,1.689356665,0,0,0,0,0,0,0,0,0,0,0
205,0.932414708,1.167003166,0.905312061,0.558768521,0.004693377,1.556154685,0.380521132,1.689356665,0,0,0,0,0,0,0,0,0,0,0
206,0.932414708,1.167003166,0.905312061,0.558768521,0.004693377,1.556154685,0.380521132,1.689356665,0,0,0,0,0,0,0,0,0,0,0
207,0.932414708,1.167003166,0.905312061,0.558768521,0.004693377,1.556154685,0.380521132,1.689356665,0,0,0,0,0,0,0,0,0,0,0
208,0.932414708,1.167003166,0.905312061,0.558768521,0.004693377,1.556154685,0.380521132,1.689356665,1,0,0,0,0,0,0,0,0,0,0
208.5,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1,0,0,0,0,0,0,0,0,0,0
209,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1,0,0,0,0,0,0,0,0,0,0
210,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1,0,0,0,0,0,0,0,0,0,0
211,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1,0,0,0,0,0,0,0,0,0,0
212,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1,0,0,0,0,0,0,0,0,0,0
213,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1,0,0,0,0,0,0,0,0,0,0
214,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1,0,0,0,0,0,0,0,0,0,0
215,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1,0,0,0,0,0,0,0,0,0,0
216,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1,0,0,0,0,0,0,0,0,0,0
217,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,0,1,0,0,0,0,0,0,0,0,0
218,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,0,1,0,0,0,0,0,0,0,0,0
219,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,0,1,0,0,0,0,0,0,0,0,0
220,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,0,1,0,0,0,0,0,0,0,0,0
221,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,0,1,0,0,0,0,0,0,0,0,0
222,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,0,1,0,0,0,0,0,0,0,0,0
223,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,0,1,0,0,0,0,0,0,0,0,0
224,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,0,1,0,0,0,0,0,0,0,0,0
225,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,0,1,0,0,0,0,0,0,0,0,0
226,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,0,1,0,0,0,0,0,0,0,0,0
