Time,mat_z_trans,map_z_trans,wmm_z_trans,cmm_z_trans,wmmcmm_z_trans,wetmon_z_trans,drymon_z_trans,wetdry_z_trans
201.4,1.030602746,1.929754138,0.88802512,0.620071778,-0.123821317,2.919458933,0.99288895,3.225504834
202,1.030602746,1.929754138,0.88802512,0.620071778,-0.123821317,2.919458933,0.99288895,3.225504834
203,1.030602746,1.929754138,0.88802512,0.620071778,-0.123821317,2.919458933,0.99288895,3.225504834
204,1.030602746,1.929754138,0.88802512,0.620071778,-0.123821317,2.919458933,0.99288895,3.225504834
205,1.030602746,1.929754138,0.88802512,0.620071778,-0.123821317,2.919458933,0.99288895,3.225504834
205.7,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
206,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
207,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
208,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
209,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
210,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
211,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
212,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
213,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
214,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
215,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
216,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
217,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
218,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
219,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
220,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
221,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
222,0.825376907,-0.776212986,1.145625354,0.239216809,0.295842048,-1.013081904,-0.783552859,-0.79955166
